日付,時間帯,市区町村,平休日フラグ,都道府県,人流
2019/01/01,day,19443:丹波山村,休日,19:山梨県,1195
2019/01/01,day,19442:小菅村,休日,19:山梨県,1098
2019/01/01,day,19430:富士河口湖町,休日,19:山梨県,43438
2019/01/01,day,19429:鳴沢村,休日,19:山梨県,6907
2019/01/01,day,19425:山中湖村,休日,19:山梨県,14549
2019/01/01,day,19424:忍野村,休日,19:山梨県,7773
2019/01/01,day,19423:西桂町,休日,19:山梨県,4889
2019/01/01,day,19422:道志村,休日,19:山梨県,3371
2019/01/01,day,19384:昭和町,休日,19:山梨県,27669
2019/01/01,day,19368:富士川町,休日,19:山梨県,17869
2019/01/01,day,19366:南部町,休日,19:山梨県,10558
2019/01/01,day,19365:身延町,休日,19:山梨県,21441
2019/01/01,day,19364:早川町,休日,19:山梨県,1279
2019/01/01,day,19346:市川三郷町,休日,19:山梨県,17474
2019/01/01,day,19214:中央市,休日,19:山梨県,29452
2019/01/01,day,19213:甲州市,休日,19:山梨県,35355
2019/01/01,day,19212:上野原市,休日,19:山梨県,31199
2019/01/01,day,19211:笛吹市,休日,19:山梨県,78922
2019/01/01,day,19210:甲斐市,休日,19:山梨県,74414
2019/01/01,day,19209:北杜市,休日,19:山梨県,67189
2019/01/01,day,19208:南アルプス市,休日,19:山梨県,69858
2019/01/01,day,19207:韮崎市,休日,19:山梨県,33694
2019/01/01,day,19206:大月市,休日,19:山梨県,32951
2019/01/01,day,19205:山梨市,休日,19:山梨県,40688
2019/01/01,day,19204:都留市,休日,19:山梨県,33526
2019/01/01,day,19202:富士吉田市,休日,19:山梨県,58637
2019/01/01,day,19201:甲府市,休日,19:山梨県,193451
2019/01/02,day,19443:丹波山村,平日,19:山梨県,1196
2019/01/02,day,19442:小菅村,平日,19:山梨県,456
2019/01/02,day,19430:富士河口湖町,平日,19:山梨県,38925
2019/01/02,day,19429:鳴沢村,平日,19:山梨県,6706
2019/01/02,day,19425:山中湖村,平日,19:山梨県,14168
2019/01/02,day,19424:忍野村,平日,19:山梨県,7716
2019/01/02,day,19423:西桂町,平日,19:山梨県,4713
2019/01/02,day,19422:道志村,平日,19:山梨県,3309
2019/01/02,day,19384:昭和町,平日,19:山梨県,27402
2019/01/02,day,19368:富士川町,平日,19:山梨県,15229
2019/01/02,day,19366:南部町,平日,19:山梨県,10572
2019/01/02,day,19365:身延町,平日,19:山梨県,18392
2019/01/02,day,19364:早川町,平日,19:山梨県,1017
2019/01/02,day,19346:市川三郷町,平日,19:山梨県,16457
2019/01/02,day,19214:中央市,平日,19:山梨県,28863
2019/01/02,day,19213:甲州市,平日,19:山梨県,35246
2019/01/02,day,19212:上野原市,平日,19:山梨県,30696
2019/01/02,day,19211:笛吹市,平日,19:山梨県,77197
2019/01/02,day,19210:甲斐市,平日,19:山梨県,75577
2019/01/02,day,19209:北杜市,平日,19:山梨県,60369
2019/01/02,day,19208:南アルプス市,平日,19:山梨県,69247
2019/01/02,day,19207:韮崎市,平日,19:山梨県,34099
2019/01/02,day,19206:大月市,平日,19:山梨県,32686
2019/01/02,day,19205:山梨市,平日,19:山梨県,38656
2019/01/02,day,19204:都留市,平日,19:山梨県,32891
2019/01/02,day,19202:富士吉田市,平日,19:山梨県,55848
2019/01/02,day,19201:甲府市,平日,19:山梨県,193109
2019/01/03,day,19443:丹波山村,平日,19:山梨県,1193
2019/01/03,day,19442:小菅村,平日,19:山梨県,993
2019/01/03,day,19430:富士河口湖町,平日,19:山梨県,37222
2019/01/03,day,19429:鳴沢村,平日,19:山梨県,6482
2019/01/03,day,19425:山中湖村,平日,19:山梨県,13653
2019/01/03,day,19424:忍野村,平日,19:山梨県,7269
2019/01/03,day,19423:西桂町,平日,19:山梨県,4652
2019/01/03,day,19422:道志村,平日,19:山梨県,2654
2019/01/03,day,19384:昭和町,平日,19:山梨県,27819
2019/01/03,day,19368:富士川町,平日,19:山梨県,15303
2019/01/03,day,19366:南部町,平日,19:山梨県,9807
2019/01/03,day,19365:身延町,平日,19:山梨県,17678
2019/01/03,day,19364:早川町,平日,19:山梨県,868
2019/01/03,day,19346:市川三郷町,平日,19:山梨県,16074
2019/01/03,day,19214:中央市,平日,19:山梨県,29267
2019/01/03,day,19213:甲州市,平日,19:山梨県,33226
2019/01/03,day,19212:上野原市,平日,19:山梨県,28572
2019/01/03,day,19211:笛吹市,平日,19:山梨県,78087
2019/01/03,day,19210:甲斐市,平日,19:山梨県,74826
2019/01/03,day,19209:北杜市,平日,19:山梨県,59252
2019/01/03,day,19208:南アルプス市,平日,19:山梨県,67293
2019/01/03,day,19207:韮崎市,平日,19:山梨県,31689
2019/01/03,day,19206:大月市,平日,19:山梨県,30610
2019/01/03,day,19205:山梨市,平日,19:山梨県,36712
2019/01/03,day,19204:都留市,平日,19:山梨県,32111
2019/01/03,day,19202:富士吉田市,平日,19:山梨県,52963
2019/01/03,day,19201:甲府市,平日,19:山梨県,193118
2019/01/04,day,19443:丹波山村,平日,19:山梨県,1309
2019/01/04,day,19442:小菅村,平日,19:山梨県,861
2019/01/04,day,19430:富士河口湖町,平日,19:山梨県,34406
2019/01/04,day,19429:鳴沢村,平日,19:山梨県,5513
2019/01/04,day,19425:山中湖村,平日,19:山梨県,11959
2019/01/04,day,19424:忍野村,平日,19:山梨県,7377
2019/01/04,day,19423:西桂町,平日,19:山梨県,4803
2019/01/04,day,19422:道志村,平日,19:山梨県,1643
2019/01/04,day,19384:昭和町,平日,19:山梨県,27449
2019/01/04,day,19368:富士川町,平日,19:山梨県,14711
2019/01/04,day,19366:南部町,平日,19:山梨県,8315
2019/01/04,day,19365:身延町,平日,19:山梨県,15480
2019/01/04,day,19364:早川町,平日,19:山梨県,1430
2019/01/04,day,19346:市川三郷町,平日,19:山梨県,14413
2019/01/04,day,19214:中央市,平日,19:山梨県,30818
2019/01/04,day,19213:甲州市,平日,19:山梨県,31237
2019/01/04,day,19212:上野原市,平日,19:山梨県,25721
2019/01/04,day,19211:笛吹市,平日,19:山梨県,77137
2019/01/04,day,19210:甲斐市,平日,19:山梨県,68480
2019/01/04,day,19209:北杜市,平日,19:山梨県,56208
2019/01/04,day,19208:南アルプス市,平日,19:山梨県,63575
2019/01/04,day,19207:韮崎市,平日,19:山梨県,29729
2019/01/04,day,19206:大月市,平日,19:山梨県,26071
2019/01/04,day,19205:山梨市,平日,19:山梨県,35110
2019/01/04,day,19204:都留市,平日,19:山梨県,29186
2019/01/04,day,19202:富士吉田市,平日,19:山梨県,53022
2019/01/04,day,19201:甲府市,平日,19:山梨県,202368
2019/01/05,day,19443:丹波山村,休日,19:山梨県,1572
2019/01/05,day,19442:小菅村,休日,19:山梨県,916
2019/01/05,day,19430:富士河口湖町,休日,19:山梨県,33322
2019/01/05,day,19429:鳴沢村,休日,19:山梨県,5644
2019/01/05,day,19425:山中湖村,休日,19:山梨県,11419
2019/01/05,day,19424:忍野村,休日,19:山梨県,7037
2019/01/05,day,19423:西桂町,休日,19:山梨県,3996
2019/01/05,day,19422:道志村,休日,19:山梨県,1664
2019/01/05,day,19384:昭和町,休日,19:山梨県,27611
2019/01/05,day,19368:富士川町,休日,19:山梨県,13664
2019/01/05,day,19366:南部町,休日,19:山梨県,7812
2019/01/05,day,19365:身延町,休日,19:山梨県,13700
2019/01/05,day,19364:早川町,休日,19:山梨県,1326
2019/01/05,day,19346:市川三郷町,休日,19:山梨県,13915
2019/01/05,day,19214:中央市,休日,19:山梨県,27977
2019/01/05,day,19213:甲州市,休日,19:山梨県,30094
2019/01/05,day,19212:上野原市,休日,19:山梨県,26279
2019/01/05,day,19211:笛吹市,休日,19:山梨県,75973
2019/01/05,day,19210:甲斐市,休日,19:山梨県,72858
2019/01/05,day,19209:北杜市,休日,19:山梨県,54190
2019/01/05,day,19208:南アルプス市,休日,19:山梨県,65067
2019/01/05,day,19207:韮崎市,休日,19:山梨県,30803
2019/01/05,day,19206:大月市,休日,19:山梨県,27083
2019/01/05,day,19205:山梨市,休日,19:山梨県,35839
2019/01/05,day,19204:都留市,休日,19:山梨県,29047
2019/01/05,day,19202:富士吉田市,休日,19:山梨県,51838
2019/01/05,day,19201:甲府市,休日,19:山梨県,192884
2019/01/06,day,19443:丹波山村,休日,19:山梨県,1095
2019/01/06,day,19442:小菅村,休日,19:山梨県,938
2019/01/06,day,19430:富士河口湖町,休日,19:山梨県,27301
2019/01/06,day,19429:鳴沢村,休日,19:山梨県,3831
2019/01/06,day,19425:山中湖村,休日,19:山梨県,8732
2019/01/06,day,19424:忍野村,休日,19:山梨県,8029
2019/01/06,day,19423:西桂町,休日,19:山梨県,4608
2019/01/06,day,19422:道志村,休日,19:山梨県,1360
2019/01/06,day,19384:昭和町,休日,19:山梨県,28412
2019/01/06,day,19368:富士川町,休日,19:山梨県,13682
2019/01/06,day,19366:南部町,休日,19:山梨県,7450
2019/01/06,day,19365:身延町,休日,19:山梨県,13215
2019/01/06,day,19364:早川町,休日,19:山梨県,922
2019/01/06,day,19346:市川三郷町,休日,19:山梨県,14591
2019/01/06,day,19214:中央市,休日,19:山梨県,29190
2019/01/06,day,19213:甲州市,休日,19:山梨県,30432
2019/01/06,day,19212:上野原市,休日,19:山梨県,24764
2019/01/06,day,19211:笛吹市,休日,19:山梨県,73240
2019/01/06,day,19210:甲斐市,休日,19:山梨県,73553
2019/01/06,day,19209:北杜市,休日,19:山梨県,49431
2019/01/06,day,19208:南アルプス市,休日,19:山梨県,65411
2019/01/06,day,19207:韮崎市,休日,19:山梨県,30278
2019/01/06,day,19206:大月市,休日,19:山梨県,26299
2019/01/06,day,19205:山梨市,休日,19:山梨県,34158
2019/01/06,day,19204:都留市,休日,19:山梨県,29706
2019/01/06,day,19202:富士吉田市,休日,19:山梨県,50325
2019/01/06,day,19201:甲府市,休日,19:山梨県,189094
2019/01/07,day,19443:丹波山村,平日,19:山梨県,924
2019/01/07,day,19442:小菅村,平日,19:山梨県,744
2019/01/07,day,19430:富士河口湖町,平日,19:山梨県,25660
2019/01/07,day,19429:鳴沢村,平日,19:山梨県,4023
2019/01/07,day,19425:山中湖村,平日,19:山梨県,8528
2019/01/07,day,19424:忍野村,平日,19:山梨県,8513
2019/01/07,day,19423:西桂町,平日,19:山梨県,4087
2019/01/07,day,19422:道志村,平日,19:山梨県,1526
2019/01/07,day,19384:昭和町,平日,19:山梨県,27979
2019/01/07,day,19368:富士川町,平日,19:山梨県,14061
2019/01/07,day,19366:南部町,平日,19:山梨県,6842
2019/01/07,day,19365:身延町,平日,19:山梨県,11642
2019/01/07,day,19364:早川町,平日,19:山梨県,1569
2019/01/07,day,19346:市川三郷町,平日,19:山梨県,13943
2019/01/07,day,19214:中央市,平日,19:山梨県,30809
2019/01/07,day,19213:甲州市,平日,19:山梨県,27098
2019/01/07,day,19212:上野原市,平日,19:山梨県,21482
2019/01/07,day,19211:笛吹市,平日,19:山梨県,69748
