週,平休日フラグ,時間帯,end_day,start_day,居住都道府県,市区町村,都道府県,population_inflow
202101_W1,全日,day,20210110,20210104,44:大分県,10525:邑楽町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,27:大阪府,10525:邑楽町,10:群馬県,2
202101_W1,全日,day,20210110,20210104,26:京都府,10525:邑楽町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,23:愛知県,10525:邑楽町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,22:静岡県,10525:邑楽町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,20:長野県,10525:邑楽町,10:群馬県,2
202101_W1,全日,day,20210110,20210104,19:山梨県,10525:邑楽町,10:群馬県,15
202101_W1,全日,day,20210110,20210104,15:新潟県,10525:邑楽町,10:群馬県,4
202101_W1,全日,day,20210110,20210104,14:神奈川県,10525:邑楽町,10:群馬県,41
202101_W1,全日,day,20210110,20210104,13:東京都,10525:邑楽町,10:群馬県,97
202101_W1,全日,day,20210110,20210104,12:千葉県,10525:邑楽町,10:群馬県,13
202101_W1,全日,day,20210110,20210104,11:埼玉県,10525:邑楽町,10:群馬県,584
202101_W1,全日,day,20210110,20210104,10:群馬県,10525:邑楽町,10:群馬県,22928
202101_W1,全日,day,20210110,20210104,09:栃木県,10525:邑楽町,10:群馬県,864
202101_W1,全日,day,20210110,20210104,08:茨城県,10525:邑楽町,10:群馬県,9
202101_W1,全日,day,20210110,20210104,07:福島県,10525:邑楽町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,04:宮城県,10525:邑楽町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,01:北海道,10525:邑楽町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,46:鹿児島県,10524:大泉町,10:群馬県,119
202101_W1,全日,day,20210110,20210104,42:長崎県,10524:大泉町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,40:福岡県,10524:大泉町,10:群馬県,30
202101_W1,全日,day,20210110,20210104,34:広島県,10524:大泉町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,28:兵庫県,10524:大泉町,10:群馬県,6
202101_W1,全日,day,20210110,20210104,27:大阪府,10524:大泉町,10:群馬県,21
202101_W1,全日,day,20210110,20210104,23:愛知県,10524:大泉町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,22:静岡県,10524:大泉町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,20:長野県,10524:大泉町,10:群馬県,7
202101_W1,全日,day,20210110,20210104,19:山梨県,10524:大泉町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,17:石川県,10524:大泉町,10:群馬県,14
202101_W1,全日,day,20210110,20210104,15:新潟県,10524:大泉町,10:群馬県,257
202101_W1,全日,day,20210110,20210104,14:神奈川県,10524:大泉町,10:群馬県,122
202101_W1,全日,day,20210110,20210104,13:東京都,10524:大泉町,10:群馬県,112
202101_W1,全日,day,20210110,20210104,12:千葉県,10524:大泉町,10:群馬県,14
202101_W1,全日,day,20210110,20210104,11:埼玉県,10524:大泉町,10:群馬県,1532
202101_W1,全日,day,20210110,20210104,10:群馬県,10524:大泉町,10:群馬県,36083
202101_W1,全日,day,20210110,20210104,09:栃木県,10524:大泉町,10:群馬県,374
202101_W1,全日,day,20210110,20210104,08:茨城県,10524:大泉町,10:群馬県,9
202101_W1,全日,day,20210110,20210104,07:福島県,10524:大泉町,10:群馬県,87
202101_W1,全日,day,20210110,20210104,04:宮城県,10524:大泉町,10:群馬県,2
202101_W1,全日,day,20210110,20210104,03:岩手県,10524:大泉町,10:群馬県,5
202101_W1,全日,day,20210110,20210104,44:大分県,10523:千代田町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,26:京都府,10523:千代田町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,23:愛知県,10523:千代田町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,22:静岡県,10523:千代田町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,20:長野県,10523:千代田町,10:群馬県,12
202101_W1,全日,day,20210110,20210104,19:山梨県,10523:千代田町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,15:新潟県,10523:千代田町,10:群馬県,8
202101_W1,全日,day,20210110,20210104,14:神奈川県,10523:千代田町,10:群馬県,132
202101_W1,全日,day,20210110,20210104,13:東京都,10523:千代田町,10:群馬県,24
202101_W1,全日,day,20210110,20210104,12:千葉県,10523:千代田町,10:群馬県,8
202101_W1,全日,day,20210110,20210104,11:埼玉県,10523:千代田町,10:群馬県,816
202101_W1,全日,day,20210110,20210104,10:群馬県,10523:千代田町,10:群馬県,10708
202101_W1,全日,day,20210110,20210104,09:栃木県,10523:千代田町,10:群馬県,313
202101_W1,全日,day,20210110,20210104,08:茨城県,10523:千代田町,10:群馬県,71
202101_W1,全日,day,20210110,20210104,47:沖縄県,10522:明和町,10:群馬県,54
202101_W1,全日,day,20210110,20210104,44:大分県,10522:明和町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,35:山口県,10522:明和町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,34:広島県,10522:明和町,10:群馬県,6
202101_W1,全日,day,20210110,20210104,29:奈良県,10522:明和町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,28:兵庫県,10522:明和町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,27:大阪府,10522:明和町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,26:京都府,10522:明和町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,25:滋賀県,10522:明和町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,23:愛知県,10522:明和町,10:群馬県,2
202101_W1,全日,day,20210110,20210104,22:静岡県,10522:明和町,10:群馬県,23
202101_W1,全日,day,20210110,20210104,20:長野県,10522:明和町,10:群馬県,2
202101_W1,全日,day,20210110,20210104,19:山梨県,10522:明和町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,15:新潟県,10522:明和町,10:群馬県,179
202101_W1,全日,day,20210110,20210104,14:神奈川県,10522:明和町,10:群馬県,9
202101_W1,全日,day,20210110,20210104,13:東京都,10522:明和町,10:群馬県,48
202101_W1,全日,day,20210110,20210104,12:千葉県,10522:明和町,10:群馬県,24
202101_W1,全日,day,20210110,20210104,11:埼玉県,10522:明和町,10:群馬県,1156
202101_W1,全日,day,20210110,20210104,10:群馬県,10522:明和町,10:群馬県,9640
202101_W1,全日,day,20210110,20210104,09:栃木県,10522:明和町,10:群馬県,178
202101_W1,全日,day,20210110,20210104,08:茨城県,10522:明和町,10:群馬県,17
202101_W1,全日,day,20210110,20210104,07:福島県,10522:明和町,10:群馬県,31
202101_W1,全日,day,20210110,20210104,06:山形県,10522:明和町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,05:秋田県,10522:明和町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,04:宮城県,10522:明和町,10:群馬県,2
202101_W1,全日,day,20210110,20210104,03:岩手県,10522:明和町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,02:青森県,10522:明和町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,01:北海道,10522:明和町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,40:福岡県,10521:板倉町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,33:岡山県,10521:板倉町,10:群馬県,1
202101_W1,全日,day,20210110,20210104,29:奈良県,10521:板倉町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,28:兵庫県,10521:板倉町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,27:大阪府,10521:板倉町,10:群馬県,6
202101_W1,全日,day,20210110,20210104,26:京都府,10521:板倉町,10:群馬県,0
202101_W1,全日,day,20210110,20210104,23:愛知県,10521:板倉町,10:群馬県,2
202101_W1,全日,day,20210110,20210104,22:静岡県,10521:板倉町,10:群馬県,2
