週,平休日フラグ,時間帯,end_day,start_day,居住都道府県,市区町村,都道府県,population_inflow
202101_W1,全日,day,20210110,20210104,28:兵庫県,20602:栄村,20:長野県,0
202101_W1,全日,day,20210110,20210104,27:大阪府,20602:栄村,20:長野県,0
202101_W1,全日,day,20210110,20210104,25:滋賀県,20602:栄村,20:長野県,0
202101_W1,全日,day,20210110,20210104,23:愛知県,20602:栄村,20:長野県,0
202101_W1,全日,day,20210110,20210104,20:長野県,20602:栄村,20:長野県,960
202101_W1,全日,day,20210110,20210104,19:山梨県,20602:栄村,20:長野県,7
202101_W1,全日,day,20210110,20210104,16:富山県,20602:栄村,20:長野県,0
202101_W1,全日,day,20210110,20210104,15:新潟県,20602:栄村,20:長野県,44
202101_W1,全日,day,20210110,20210104,13:東京都,20602:栄村,20:長野県,8
202101_W1,全日,day,20210110,20210104,12:千葉県,20602:栄村,20:長野県,6
202101_W1,全日,day,20210110,20210104,11:埼玉県,20602:栄村,20:長野県,5
202101_W1,全日,day,20210110,20210104,10:群馬県,20602:栄村,20:長野県,0
202101_W1,全日,day,20210110,20210104,09:栃木県,20602:栄村,20:長野県,0
202101_W1,全日,day,20210110,20210104,08:茨城県,20602:栄村,20:長野県,0
202101_W1,全日,day,20210110,20210104,04:宮城県,20602:栄村,20:長野県,0
202101_W1,全日,day,20210110,20210104,01:北海道,20602:栄村,20:長野県,0
202101_W1,全日,day,20210110,20210104,34:広島県,20590:飯綱町,20:長野県,0
202101_W1,全日,day,20210110,20210104,33:岡山県,20590:飯綱町,20:長野県,0
202101_W1,全日,day,20210110,20210104,28:兵庫県,20590:飯綱町,20:長野県,0
202101_W1,全日,day,20210110,20210104,27:大阪府,20590:飯綱町,20:長野県,10
202101_W1,全日,day,20210110,20210104,26:京都府,20590:飯綱町,20:長野県,1
202101_W1,全日,day,20210110,20210104,25:滋賀県,20590:飯綱町,20:長野県,0
202101_W1,全日,day,20210110,20210104,24:三重県,20590:飯綱町,20:長野県,15
202101_W1,全日,day,20210110,20210104,23:愛知県,20590:飯綱町,20:長野県,9
202101_W1,全日,day,20210110,20210104,22:静岡県,20590:飯綱町,20:長野県,1
202101_W1,全日,day,20210110,20210104,21:岐阜県,20590:飯綱町,20:長野県,0
202101_W1,全日,day,20210110,20210104,20:長野県,20590:飯綱町,20:長野県,9926
202101_W1,全日,day,20210110,20210104,19:山梨県,20590:飯綱町,20:長野県,5
202101_W1,全日,day,20210110,20210104,18:福井県,20590:飯綱町,20:長野県,1
202101_W1,全日,day,20210110,20210104,17:石川県,20590:飯綱町,20:長野県,2
202101_W1,全日,day,20210110,20210104,16:富山県,20590:飯綱町,20:長野県,1
202101_W1,全日,day,20210110,20210104,15:新潟県,20590:飯綱町,20:長野県,25
202101_W1,全日,day,20210110,20210104,14:神奈川県,20590:飯綱町,20:長野県,72
202101_W1,全日,day,20210110,20210104,13:東京都,20590:飯綱町,20:長野県,17
202101_W1,全日,day,20210110,20210104,12:千葉県,20590:飯綱町,20:長野県,1
202101_W1,全日,day,20210110,20210104,11:埼玉県,20590:飯綱町,20:長野県,4
202101_W1,全日,day,20210110,20210104,10:群馬県,20590:飯綱町,20:長野県,314
202101_W1,全日,day,20210110,20210104,09:栃木県,20590:飯綱町,20:長野県,1
202101_W1,全日,day,20210110,20210104,08:茨城県,20590:飯綱町,20:長野県,1
202101_W1,全日,day,20210110,20210104,05:秋田県,20590:飯綱町,20:長野県,0
202101_W1,全日,day,20210110,20210104,01:北海道,20590:飯綱町,20:長野県,0
202101_W1,全日,day,20210110,20210104,40:福岡県,20588:小川村,20:長野県,0
202101_W1,全日,day,20210110,20210104,29:奈良県,20588:小川村,20:長野県,4
202101_W1,全日,day,20210110,20210104,27:大阪府,20588:小川村,20:長野県,0
202101_W1,全日,day,20210110,20210104,25:滋賀県,20588:小川村,20:長野県,0
202101_W1,全日,day,20210110,20210104,23:愛知県,20588:小川村,20:長野県,7
202101_W1,全日,day,20210110,20210104,22:静岡県,20588:小川村,20:長野県,0
202101_W1,全日,day,20210110,20210104,21:岐阜県,20588:小川村,20:長野県,1
202101_W1,全日,day,20210110,20210104,20:長野県,20588:小川村,20:長野県,2479
202101_W1,全日,day,20210110,20210104,17:石川県,20588:小川村,20:長野県,1
202101_W1,全日,day,20210110,20210104,16:富山県,20588:小川村,20:長野県,4
202101_W1,全日,day,20210110,20210104,15:新潟県,20588:小川村,20:長野県,1
202101_W1,全日,day,20210110,20210104,14:神奈川県,20588:小川村,20:長野県,1
202101_W1,全日,day,20210110,20210104,13:東京都,20588:小川村,20:長野県,13
202101_W1,全日,day,20210110,20210104,12:千葉県,20588:小川村,20:長野県,1
202101_W1,全日,day,20210110,20210104,11:埼玉県,20588:小川村,20:長野県,4
202101_W1,全日,day,20210110,20210104,10:群馬県,20588:小川村,20:長野県,0
202101_W1,全日,day,20210110,20210104,08:茨城県,20588:小川村,20:長野県,0
202101_W1,全日,day,20210110,20210104,41:佐賀県,20583:信濃町,20:長野県,0
202101_W1,全日,day,20210110,20210104,36:徳島県,20583:信濃町,20:長野県,31
202101_W1,全日,day,20210110,20210104,34:広島県,20583:信濃町,20:長野県,0
202101_W1,全日,day,20210110,20210104,33:岡山県,20583:信濃町,20:長野県,1
202101_W1,全日,day,20210110,20210104,28:兵庫県,20583:信濃町,20:長野県,13
202101_W1,全日,day,20210110,20210104,27:大阪府,20583:信濃町,20:長野県,68
202101_W1,全日,day,20210110,20210104,26:京都府,20583:信濃町,20:長野県,94
202101_W1,全日,day,20210110,20210104,25:滋賀県,20583:信濃町,20:長野県,8
202101_W1,全日,day,20210110,20210104,24:三重県,20583:信濃町,20:長野県,198
202101_W1,全日,day,20210110,20210104,23:愛知県,20583:信濃町,20:長野県,68
202101_W1,全日,day,20210110,20210104,22:静岡県,20583:信濃町,20:長野県,7
202101_W1,全日,day,20210110,20210104,21:岐阜県,20583:信濃町,20:長野県,65
202101_W1,全日,day,20210110,20210104,20:長野県,20583:信濃町,20:長野県,7767
202101_W1,全日,day,20210110,20210104,19:山梨県,20583:信濃町,20:長野県,3
