週,平休日フラグ,時間帯,end_day,start_day,居住都道府県,市区町村,都道府県,population_inflow
202101_W1,全日,day,20210110,20210104,47:沖縄県,22461:森町,22:静岡県,2
202101_W1,全日,day,20210110,20210104,46:鹿児島県,22461:森町,22:静岡県,18
202101_W1,全日,day,20210110,20210104,45:宮崎県,22461:森町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,44:大分県,22461:森町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,43:熊本県,22461:森町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,42:長崎県,22461:森町,22:静岡県,0
202101_W1,全日,day,20210110,20210104,41:佐賀県,22461:森町,22:静岡県,0
202101_W1,全日,day,20210110,20210104,40:福岡県,22461:森町,22:静岡県,7
202101_W1,全日,day,20210110,20210104,38:愛媛県,22461:森町,22:静岡県,3
202101_W1,全日,day,20210110,20210104,37:香川県,22461:森町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,36:徳島県,22461:森町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,35:山口県,22461:森町,22:静岡県,0
202101_W1,全日,day,20210110,20210104,34:広島県,22461:森町,22:静岡県,5
202101_W1,全日,day,20210110,20210104,33:岡山県,22461:森町,22:静岡県,7
202101_W1,全日,day,20210110,20210104,32:島根県,22461:森町,22:静岡県,3
202101_W1,全日,day,20210110,20210104,31:鳥取県,22461:森町,22:静岡県,12
202101_W1,全日,day,20210110,20210104,30:和歌山県,22461:森町,22:静岡県,0
202101_W1,全日,day,20210110,20210104,29:奈良県,22461:森町,22:静岡県,4
202101_W1,全日,day,20210110,20210104,28:兵庫県,22461:森町,22:静岡県,22
202101_W1,全日,day,20210110,20210104,27:大阪府,22461:森町,22:静岡県,50
202101_W1,全日,day,20210110,20210104,26:京都府,22461:森町,22:静岡県,34
202101_W1,全日,day,20210110,20210104,25:滋賀県,22461:森町,22:静岡県,3
202101_W1,全日,day,20210110,20210104,24:三重県,22461:森町,22:静岡県,20
202101_W1,全日,day,20210110,20210104,23:愛知県,22461:森町,22:静岡県,175
202101_W1,全日,day,20210110,20210104,22:静岡県,22461:森町,22:静岡県,17917
202101_W1,全日,day,20210110,20210104,21:岐阜県,22461:森町,22:静岡県,52
202101_W1,全日,day,20210110,20210104,20:長野県,22461:森町,22:静岡県,31
202101_W1,全日,day,20210110,20210104,19:山梨県,22461:森町,22:静岡県,5
202101_W1,全日,day,20210110,20210104,18:福井県,22461:森町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,17:石川県,22461:森町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,16:富山県,22461:森町,22:静岡県,12
202101_W1,全日,day,20210110,20210104,15:新潟県,22461:森町,22:静岡県,0
202101_W1,全日,day,20210110,20210104,14:神奈川県,22461:森町,22:静岡県,54
202101_W1,全日,day,20210110,20210104,13:東京都,22461:森町,22:静岡県,38
202101_W1,全日,day,20210110,20210104,12:千葉県,22461:森町,22:静岡県,17
202101_W1,全日,day,20210110,20210104,11:埼玉県,22461:森町,22:静岡県,27
202101_W1,全日,day,20210110,20210104,10:群馬県,22461:森町,22:静岡県,5
202101_W1,全日,day,20210110,20210104,09:栃木県,22461:森町,22:静岡県,4
202101_W1,全日,day,20210110,20210104,08:茨城県,22461:森町,22:静岡県,12
202101_W1,全日,day,20210110,20210104,07:福島県,22461:森町,22:静岡県,0
202101_W1,全日,day,20210110,20210104,06:山形県,22461:森町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,04:宮城県,22461:森町,22:静岡県,3
202101_W1,全日,day,20210110,20210104,02:青森県,22461:森町,22:静岡県,2
202101_W1,全日,day,20210110,20210104,01:北海道,22461:森町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,40:福岡県,22429:川根本町,22:静岡県,0
202101_W1,全日,day,20210110,20210104,34:広島県,22429:川根本町,22:静岡県,0
202101_W1,全日,day,20210110,20210104,26:京都府,22429:川根本町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,23:愛知県,22429:川根本町,22:静岡県,76
202101_W1,全日,day,20210110,20210104,22:静岡県,22429:川根本町,22:静岡県,6067
202101_W1,全日,day,20210110,20210104,21:岐阜県,22429:川根本町,22:静岡県,43
202101_W1,全日,day,20210110,20210104,20:長野県,22429:川根本町,22:静岡県,8
202101_W1,全日,day,20210110,20210104,14:神奈川県,22429:川根本町,22:静岡県,15
202101_W1,全日,day,20210110,20210104,13:東京都,22429:川根本町,22:静岡県,5
202101_W1,全日,day,20210110,20210104,11:埼玉県,22429:川根本町,22:静岡県,3
202101_W1,全日,day,20210110,20210104,08:茨城県,22429:川根本町,22:静岡県,8
202101_W1,全日,day,20210110,20210104,07:福島県,22429:川根本町,22:静岡県,1
202101_W1,全日,day,20210110,20210104,47:沖縄県,22424:吉田町,22:静岡県,103
