週,平休日フラグ,時間帯,end_day,start_day,居住都道府県,市区町村,都道府県,population_inflow
202001_W1,全日,day,20200105,20191230,47:沖縄県,09411:那珂川町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,45:宮崎県,09411:那珂川町,09:栃木県,14
202001_W1,全日,day,20200105,20191230,40:福岡県,09411:那珂川町,09:栃木県,11
202001_W1,全日,day,20200105,20191230,39:高知県,09411:那珂川町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,34:広島県,09411:那珂川町,09:栃木県,2
202001_W1,全日,day,20200105,20191230,32:島根県,09411:那珂川町,09:栃木県,51
202001_W1,全日,day,20200105,20191230,28:兵庫県,09411:那珂川町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,27:大阪府,09411:那珂川町,09:栃木県,46
202001_W1,全日,day,20200105,20191230,25:滋賀県,09411:那珂川町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,23:愛知県,09411:那珂川町,09:栃木県,84
202001_W1,全日,day,20200105,20191230,22:静岡県,09411:那珂川町,09:栃木県,32
202001_W1,全日,day,20200105,20191230,19:山梨県,09411:那珂川町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,17:石川県,09411:那珂川町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,15:新潟県,09411:那珂川町,09:栃木県,2
202001_W1,全日,day,20200105,20191230,14:神奈川県,09411:那珂川町,09:栃木県,195
202001_W1,全日,day,20200105,20191230,13:東京都,09411:那珂川町,09:栃木県,271
202001_W1,全日,day,20200105,20191230,12:千葉県,09411:那珂川町,09:栃木県,234
202001_W1,全日,day,20200105,20191230,11:埼玉県,09411:那珂川町,09:栃木県,314
202001_W1,全日,day,20200105,20191230,10:群馬県,09411:那珂川町,09:栃木県,2
202001_W1,全日,day,20200105,20191230,09:栃木県,09411:那珂川町,09:栃木県,15163
202001_W1,全日,day,20200105,20191230,08:茨城県,09411:那珂川町,09:栃木県,491
202001_W1,全日,day,20200105,20191230,07:福島県,09411:那珂川町,09:栃木県,113
202001_W1,全日,day,20200105,20191230,06:山形県,09411:那珂川町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,04:宮城県,09411:那珂川町,09:栃木県,30
202001_W1,全日,day,20200105,20191230,03:岩手県,09411:那珂川町,09:栃木県,88
202001_W1,全日,day,20200105,20191230,02:青森県,09411:那珂川町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,01:北海道,09411:那珂川町,09:栃木県,24
202001_W1,全日,day,20200105,20191230,47:沖縄県,09407:那須町,09:栃木県,3
202001_W1,全日,day,20200105,20191230,46:鹿児島県,09407:那須町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,45:宮崎県,09407:那須町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,43:熊本県,09407:那須町,09:栃木県,12
202001_W1,全日,day,20200105,20191230,42:長崎県,09407:那須町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,41:佐賀県,09407:那須町,09:栃木県,10
202001_W1,全日,day,20200105,20191230,40:福岡県,09407:那須町,09:栃木県,31
202001_W1,全日,day,20200105,20191230,39:高知県,09407:那須町,09:栃木県,2
202001_W1,全日,day,20200105,20191230,38:愛媛県,09407:那須町,09:栃木県,32
202001_W1,全日,day,20200105,20191230,37:香川県,09407:那須町,09:栃木県,12
202001_W1,全日,day,20200105,20191230,36:徳島県,09407:那須町,09:栃木県,24
202001_W1,全日,day,20200105,20191230,35:山口県,09407:那須町,09:栃木県,7
202001_W1,全日,day,20200105,20191230,34:広島県,09407:那須町,09:栃木県,36
202001_W1,全日,day,20200105,20191230,33:岡山県,09407:那須町,09:栃木県,15
202001_W1,全日,day,20200105,20191230,31:鳥取県,09407:那須町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,30:和歌山県,09407:那須町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,29:奈良県,09407:那須町,09:栃木県,12
202001_W1,全日,day,20200105,20191230,28:兵庫県,09407:那須町,09:栃木県,30
202001_W1,全日,day,20200105,20191230,27:大阪府,09407:那須町,09:栃木県,191
202001_W1,全日,day,20200105,20191230,26:京都府,09407:那須町,09:栃木県,24
202001_W1,全日,day,20200105,20191230,25:滋賀県,09407:那須町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,24:三重県,09407:那須町,09:栃木県,21
202001_W1,全日,day,20200105,20191230,23:愛知県,09407:那須町,09:栃木県,170
202001_W1,全日,day,20200105,20191230,22:静岡県,09407:那須町,09:栃木県,232
202001_W1,全日,day,20200105,20191230,21:岐阜県,09407:那須町,09:栃木県,2
202001_W1,全日,day,20200105,20191230,20:長野県,09407:那須町,09:栃木県,37
202001_W1,全日,day,20200105,20191230,19:山梨県,09407:那須町,09:栃木県,44
202001_W1,全日,day,20200105,20191230,18:福井県,09407:那須町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,17:石川県,09407:那須町,09:栃木県,8
202001_W1,全日,day,20200105,20191230,16:富山県,09407:那須町,09:栃木県,56
202001_W1,全日,day,20200105,20191230,15:新潟県,09407:那須町,09:栃木県,67
202001_W1,全日,day,20200105,20191230,14:神奈川県,09407:那須町,09:栃木県,2012
202001_W1,全日,day,20200105,20191230,13:東京都,09407:那須町,09:栃木県,5697
202001_W1,全日,day,20200105,20191230,12:千葉県,09407:那須町,09:栃木県,2632
202001_W1,全日,day,20200105,20191230,11:埼玉県,09407:那須町,09:栃木県,4128
202001_W1,全日,day,20200105,20191230,10:群馬県,09407:那須町,09:栃木県,691
202001_W1,全日,day,20200105,20191230,09:栃木県,09407:那須町,09:栃木県,23380
202001_W1,全日,day,20200105,20191230,08:茨城県,09407:那須町,09:栃木県,2089
202001_W1,全日,day,20200105,20191230,07:福島県,09407:那須町,09:栃木県,2035
202001_W1,全日,day,20200105,20191230,06:山形県,09407:那須町,09:栃木県,279
202001_W1,全日,day,20200105,20191230,05:秋田県,09407:那須町,09:栃木県,334
202001_W1,全日,day,20200105,20191230,04:宮城県,09407:那須町,09:栃木県,983
202001_W1,全日,day,20200105,20191230,03:岩手県,09407:那須町,09:栃木県,212
202001_W1,全日,day,20200105,20191230,02:青森県,09407:那須町,09:栃木県,107
202001_W1,全日,day,20200105,20191230,01:北海道,09407:那須町,09:栃木県,19
202001_W1,全日,day,20200105,20191230,45:宮崎県,09386:高根沢町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,43:熊本県,09386:高根沢町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,40:福岡県,09386:高根沢町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,38:愛媛県,09386:高根沢町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,35:山口県,09386:高根沢町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,34:広島県,09386:高根沢町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,33:岡山県,09386:高根沢町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,29:奈良県,09386:高根沢町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,28:兵庫県,09386:高根沢町,09:栃木県,11
202001_W1,全日,day,20200105,20191230,27:大阪府,09386:高根沢町,09:栃木県,57
202001_W1,全日,day,20200105,20191230,26:京都府,09386:高根沢町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,25:滋賀県,09386:高根沢町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,24:三重県,09386:高根沢町,09:栃木県,11
202001_W1,全日,day,20200105,20191230,23:愛知県,09386:高根沢町,09:栃木県,2
202001_W1,全日,day,20200105,20191230,22:静岡県,09386:高根沢町,09:栃木県,118
202001_W1,全日,day,20200105,20191230,21:岐阜県,09386:高根沢町,09:栃木県,76
202001_W1,全日,day,20200105,20191230,20:長野県,09386:高根沢町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,19:山梨県,09386:高根沢町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,17:石川県,09386:高根沢町,09:栃木県,3
202001_W1,全日,day,20200105,20191230,15:新潟県,09386:高根沢町,09:栃木県,15
202001_W1,全日,day,20200105,20191230,14:神奈川県,09386:高根沢町,09:栃木県,181
202001_W1,全日,day,20200105,20191230,13:東京都,09386:高根沢町,09:栃木県,516
202001_W1,全日,day,20200105,20191230,12:千葉県,09386:高根沢町,09:栃木県,151
202001_W1,全日,day,20200105,20191230,11:埼玉県,09386:高根沢町,09:栃木県,543
202001_W1,全日,day,20200105,20191230,10:群馬県,09386:高根沢町,09:栃木県,81
202001_W1,全日,day,20200105,20191230,09:栃木県,09386:高根沢町,09:栃木県,21816
202001_W1,全日,day,20200105,20191230,08:茨城県,09386:高根沢町,09:栃木県,263
202001_W1,全日,day,20200105,20191230,07:福島県,09386:高根沢町,09:栃木県,69
202001_W1,全日,day,20200105,20191230,06:山形県,09386:高根沢町,09:栃木県,5
202001_W1,全日,day,20200105,20191230,05:秋田県,09386:高根沢町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,04:宮城県,09386:高根沢町,09:栃木県,40
202001_W1,全日,day,20200105,20191230,03:岩手県,09386:高根沢町,09:栃木県,78
202001_W1,全日,day,20200105,20191230,02:青森県,09386:高根沢町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,01:北海道,09386:高根沢町,09:栃木県,24
202001_W1,全日,day,20200105,20191230,47:沖縄県,09384:塩谷町,09:栃木県,9
202001_W1,全日,day,20200105,20191230,43:熊本県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,40:福岡県,09384:塩谷町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,39:高知県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,38:愛媛県,09384:塩谷町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,36:徳島県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,33:岡山県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,30:和歌山県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,29:奈良県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,28:兵庫県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,27:大阪府,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,26:京都府,09384:塩谷町,09:栃木県,2
202001_W1,全日,day,20200105,20191230,25:滋賀県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,24:三重県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,23:愛知県,09384:塩谷町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,22:静岡県,09384:塩谷町,09:栃木県,81
202001_W1,全日,day,20200105,20191230,21:岐阜県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,20:長野県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,19:山梨県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,18:福井県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,17:石川県,09384:塩谷町,09:栃木県,0
202001_W1,全日,day,20200105,20191230,16:富山県,09384:塩谷町,09:栃木県,1
202001_W1,全日,day,20200105,20191230,15:新潟県,09384:塩谷町,09:栃木県,32
202001_W1,全日,day,20200105,20191230,14:神奈川県,09384:塩谷町,09:栃木県,224
202001_W1,全日,day,20200105,20191230,13:東京都,09384:塩谷町,09:栃木県,149
202001_W1,全日,day,20200105,20191230,12:千葉県,09384:塩谷町,09:栃木県,73
202001_W1,全日,day,20200105,20191230,11:埼玉県,09384:塩谷町,09:栃木県,189
202001_W1,全日,day,20200105,20191230,10:群馬県,09384:塩谷町,09:栃木県,17
202001_W1,全日,day,20200105,20191230,09:栃木県,09384:塩谷町,09:栃木県,11080
202001_W1,全日,day,20200105,20191230,08:茨城県,09384:塩谷町,09:栃木県,90
202001_W1,全日,day,20200105,20191230,07:福島県,09384:塩谷町,09:栃木県,52
202001_W1,全日,day,20200105,20191230,06:山形県,09384:塩谷町,09:栃木県,4
202001_W1,全日,day,20200105,20191230,05:秋田県,09384:塩谷町,09:栃木県,223
202001_W1,全日,day,20200105,20191230,04:宮城県,09384:塩谷町,09:栃木県,15
202001_W1,全日,day,20200105,20191230,03:岩手県,09384:塩谷町,09:栃木県,5
202001_W1,全日,day,20200105,20191230,02:青森県,09384:塩谷町,09:栃木県,3
