週,平休日フラグ,時間帯,end_day,start_day,居住都道府県,市区町村,都道府県,population_inflow
202101_W1,全日,day,20210110,20210104,27:大阪府,19443:丹波山村,19:山梨県,0
202101_W1,全日,day,20210110,20210104,19:山梨県,19443:丹波山村,19:山梨県,497
202101_W1,全日,day,20210110,20210104,14:神奈川県,19443:丹波山村,19:山梨県,20
202101_W1,全日,day,20210110,20210104,13:東京都,19443:丹波山村,19:山梨県,85
202101_W1,全日,day,20210110,20210104,12:千葉県,19443:丹波山村,19:山梨県,15
202101_W1,全日,day,20210110,20210104,11:埼玉県,19443:丹波山村,19:山梨県,7
202101_W1,全日,day,20210110,20210104,07:福島県,19443:丹波山村,19:山梨県,7
202101_W1,全日,day,20210110,20210104,40:福岡県,19442:小菅村,19:山梨県,0
202101_W1,全日,day,20210110,20210104,31:鳥取県,19442:小菅村,19:山梨県,0
202101_W1,全日,day,20210110,20210104,22:静岡県,19442:小菅村,19:山梨県,2
202101_W1,全日,day,20210110,20210104,19:山梨県,19442:小菅村,19:山梨県,746
202101_W1,全日,day,20210110,20210104,14:神奈川県,19442:小菅村,19:山梨県,2
202101_W1,全日,day,20210110,20210104,13:東京都,19442:小菅村,19:山梨県,51
202101_W1,全日,day,20210110,20210104,11:埼玉県,19442:小菅村,19:山梨県,2
202101_W1,全日,day,20210110,20210104,42:長崎県,19430:富士河口湖町,19:山梨県,1
202101_W1,全日,day,20210110,20210104,41:佐賀県,19430:富士河口湖町,19:山梨県,3
202101_W1,全日,day,20210110,20210104,40:福岡県,19430:富士河口湖町,19:山梨県,2
202101_W1,全日,day,20210110,20210104,34:広島県,19430:富士河口湖町,19:山梨県,1
202101_W1,全日,day,20210110,20210104,33:岡山県,19430:富士河口湖町,19:山梨県,128
202101_W1,全日,day,20210110,20210104,29:奈良県,19430:富士河口湖町,19:山梨県,14
202101_W1,全日,day,20210110,20210104,28:兵庫県,19430:富士河口湖町,19:山梨県,6
202101_W1,全日,day,20210110,20210104,27:大阪府,19430:富士河口湖町,19:山梨県,43
202101_W1,全日,day,20210110,20210104,26:京都府,19430:富士河口湖町,19:山梨県,34
202101_W1,全日,day,20210110,20210104,25:滋賀県,19430:富士河口湖町,19:山梨県,1
202101_W1,全日,day,20210110,20210104,23:愛知県,19430:富士河口湖町,19:山梨県,275
202101_W1,全日,day,20210110,20210104,22:静岡県,19430:富士河口湖町,19:山梨県,712
202101_W1,全日,day,20210110,20210104,21:岐阜県,19430:富士河口湖町,19:山梨県,2
202101_W1,全日,day,20210110,20210104,20:長野県,19430:富士河口湖町,19:山梨県,59
202101_W1,全日,day,20210110,20210104,19:山梨県,19430:富士河口湖町,19:山梨県,25520
202101_W1,全日,day,20210110,20210104,16:富山県,19430:富士河口湖町,19:山梨県,36
202101_W1,全日,day,20210110,20210104,15:新潟県,19430:富士河口湖町,19:山梨県,233
202101_W1,全日,day,20210110,20210104,14:神奈川県,19430:富士河口湖町,19:山梨県,419
202101_W1,全日,day,20210110,20210104,13:東京都,19430:富士河口湖町,19:山梨県,1336
202101_W1,全日,day,20210110,20210104,12:千葉県,19430:富士河口湖町,19:山梨県,86
202101_W1,全日,day,20210110,20210104,11:埼玉県,19430:富士河口湖町,19:山梨県,433
202101_W1,全日,day,20210110,20210104,10:群馬県,19430:富士河口湖町,19:山梨県,31
202101_W1,全日,day,20210110,20210104,09:栃木県,19430:富士河口湖町,19:山梨県,45
202101_W1,全日,day,20210110,20210104,08:茨城県,19430:富士河口湖町,19:山梨県,450
202101_W1,全日,day,20210110,20210104,01:北海道,19430:富士河口湖町,19:山梨県,0
202101_W1,全日,day,20210110,20210104,43:熊本県,19429:鳴沢村,19:山梨県,0
202101_W1,全日,day,20210110,20210104,40:福岡県,19429:鳴沢村,19:山梨県,2
202101_W1,全日,day,20210110,20210104,28:兵庫県,19429:鳴沢村,19:山梨県,1
202101_W1,全日,day,20210110,20210104,27:大阪府,19429:鳴沢村,19:山梨県,4
202101_W1,全日,day,20210110,20210104,26:京都府,19429:鳴沢村,19:山梨県,0
202101_W1,全日,day,20210110,20210104,25:滋賀県,19429:鳴沢村,19:山梨県,15
202101_W1,全日,day,20210110,20210104,23:愛知県,19429:鳴沢村,19:山梨県,7
202101_W1,全日,day,20210110,20210104,22:静岡県,19429:鳴沢村,19:山梨県,186
202101_W1,全日,day,20210110,20210104,20:長野県,19429:鳴沢村,19:山梨県,4
202101_W1,全日,day,20210110,20210104,19:山梨県,19429:鳴沢村,19:山梨県,2586
202101_W1,全日,day,20210110,20210104,17:石川県,19429:鳴沢村,19:山梨県,0
202101_W1,全日,day,20210110,20210104,14:神奈川県,19429:鳴沢村,19:山梨県,191
202101_W1,全日,day,20210110,20210104,13:東京都,19429:鳴沢村,19:山梨県,275
202101_W1,全日,day,20210110,20210104,12:千葉県,19429:鳴沢村,19:山梨県,188
