Date,Code,Pref,newcaseday,Totalcase,newdeath,totaldeath,Test,Kyugyo,emergency,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Rt,Treat,Post
2020-01-16,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-17,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-18,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-19,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-20,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-21,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-22,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-23,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-24,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-25,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-26,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-27,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-28,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-29,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-30,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-01-31,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-02-01,19,山梨県,0,0,0,0,,0,0,,,,,,,,1,0
2020-02-02,19,山梨県,0,0,0,0,1,0,0,,,,,,,,1,0
2020-02-03,19,山梨県,0,0,0,0,2,0,0,,,,,,,,1,0
2020-02-04,19,山梨県,0,0,0,0,1,0,0,,,,,,,,1,0
2020-02-05,19,山梨県,0,0,0,0,1,0,0,,,,,,,,1,0
2020-02-06,19,山梨県,0,0,0,0,0,0,0,,,,,,,,1,0
2020-02-07,19,山梨県,0,0,0,0,0,0,0,,,,,,,,1,0
2020-02-08,19,山梨県,0,0,0,0,0,0,0,,,,,,,,1,0
2020-02-09,19,山梨県,0,0,0,0,0,0,0,,,,,,,,1,0
2020-02-10,19,山梨県,0,0,0,0,0,0,0,,,,,,,,1,0
2020-02-11,19,山梨県,0,0,0,0,1,0,0,,,,,,,,1,0
2020-02-12,19,山梨県,0,0,0,0,0,0,0,,,,,,,,1,0
2020-02-13,19,山梨県,0,0,0,0,0,0,0,,,,,,,,1,0
2020-02-14,19,山梨県,0,0,0,0,1,0,0,,,,,,,,1,0
2020-02-15,19,山梨県,0,0,0,0,1,0,0,-1,0,5,-5,5,0,,1,0
2020-02-16,19,山梨県,0,0,0,0,0,0,0,-6,-3,-33,-13,-1,2,,1,0
2020-02-17,19,山梨県,0,0,0,0,3,0,0,-1,-2,4,2,0,1,,1,0
2020-02-18,19,山梨県,0,0,0,0,3,0,0,1,2,1,1,0,1,,1,0
2020-02-19,19,山梨県,0,0,0,0,5,0,0,0,2,9,5,0,0,,1,0
2020-02-20,19,山梨県,0,0,0,0,1,0,0,2,6,0,2,1,0,,1,0
2020-02-21,19,山梨県,0,0,0,0,12,0,0,-2,-2,7,3,0,1,,1,0
2020-02-22,19,山梨県,0,0,0,0,1,0,0,-1,4,-8,3,-1,1,,1,0
2020-02-23,19,山梨県,0,0,0,0,0,0,0,12,12,47,30,1,0,,1,0
2020-02-24,19,山梨県,0,0,0,0,2,0,0,28,8,87,33,-53,13,,1,0
2020-02-25,19,山梨県,0,0,0,0,20,0,0,2,6,-9,-1,0,1,,1,0
2020-02-26,19,山梨県,0,0,0,0,11,0,0,-1,2,-14,-6,0,1,,1,0
2020-02-27,19,山梨県,0,0,0,0,3,0,0,1,5,-4,-4,1,1,,1,0
2020-02-28,19,山梨県,0,0,0,0,11,0,0,0,12,-3,-12,1,2,,1,0
2020-02-29,19,山梨県,0,0,0,0,4,0,0,-4,10,-20,-25,5,3,,1,0
2020-03-01,19,山梨県,0,0,0,0,4,0,0,-6,7,-5,-22,5,3,,1,0
2020-03-02,19,山梨県,0,0,0,0,12,0,0,-7,0,-28,-25,-2,4,,1,0
2020-03-03,19,山梨県,0,0,0,0,11,0,0,-2,6,2,-16,0,3,,1,0
2020-03-04,19,山梨県,0,0,0,0,10,0,0,-7,1,-18,-23,-4,4,,1,0
2020-03-05,19,山梨県,0,0,0,0,15,0,0,-6,2,-12,-19,-2,3,,1,0
2020-03-06,19,山梨県,1,1,0,0,15,0,0,-7,-2,6,-15,-3,4,,1,0
2020-03-07,19,山梨県,1,2,0,0,32,0,0,-9,1,-7,-23,-3,4,,1,0
2020-03-08,19,山梨県,0,2,0,0,5,0,0,-20,-4,-57,-38,-7,7,,1,0
2020-03-09,19,山梨県,0,2,0,0,35,0,0,-9,-2,3,-18,-3,4,,1,0
2020-03-10,19,山梨県,0,2,0,0,13,0,0,-10,-2,-35,-25,-5,6,,1,0
