ID,Date_approval,Type,Name,Address
1,2020-07-17,Food,レストラン・バー・アルフィー,甲府市中央4-3-19桜商事ビル1階
2,2020-07-17,Food,ハーブガーデン四季の香り,富士河口湖町船津1200-1
3,2020-07-17,Food,発酵酒場かえるのより道,甲府市丸の内1-20-21
4,2020-07-17,Food,レストランパセリ×タニタカフェ　ヘルシースパサンロード店,甲府市大里町4144-4
5,2020-07-17,Food,ヘルシーレストランパセリ,甲府市後屋町429
6,2020-07-31,Food,佳幸,韮崎市上祖母石778-4
7,2020-07-31,Food,カントリーグリル・やまの時間,北杜市高根町清里3570-1
8,2020-07-31,Food,モコカフェ,北杜市大泉町西井出8240-370
9,2020-07-31,Food,玉喜亭,富士吉田市松山1386
10,2020-07-31,Food,お食事処川　甲西本店,南アルプス市西南湖368
11,2020-07-31,Food,お食事処あやの　上野原本店,上野原市上野原1709-1
12,2020-07-31,Food,日本大学附属明誠高校　学生食堂,上野原市上野原3200
13,2020-07-31,Food,五合園レストハウス,鳴沢村字富士山8545-1
14,2020-07-31,Food,有限会社　東京屋製菓,富士吉田市竜ヶ丘1-5-1
15,2020-07-31,Food,ほうとう蔵 歩成 河口湖店,富士河口湖町船津6931
16,2020-07-31,Food,お食事処川　昭和本店,昭和町西条4339-3
17,2020-07-31,Food,恵比寿夜ノ森河口湖,富士河口湖町船津1196-1
18,2020-07-31,Food,割烹ふるや,都留市中央3-1-15
19,2020-07-31,Food,酒蔵レストラン臺民,北杜市白州町台ケ原2287
20,2020-07-31,Food,寿し正,笛吹市境川町石橋2057
21,2020-07-31,Food,奥庭荘,鳴沢村字富士山8545-1
22,2020-07-31,Food,みたまの湯　ふるさと味工房みはらし亭,市川三郷町大塚2608
23,2020-07-31,Food,KANON,山中湖村平野2396-24
24,2020-07-31,Food,中央自動車道谷村PA下り線,都留市川棚字原の裏216-3
25,2020-07-31,Food,佐渡屋,甲府市相生2-3-13
26,2020-07-31,Food,台ケ原珈琲,北杜市白州町台ケ原2215
27,2020-08-07,Food,富士山五合目こみたけ売店,富士吉田市上吉田小御岳下5617
28,2020-08-07,Food,天下一品　甲府向町店,甲府市向町719
29,2020-08-07,Food,MY crib,富士河口湖町船津6713-120
30,2020-08-07,Food,極。,甲府市丸の内1ｰ16ｰ15紅梅ビル1階
31,2020-08-07,Food,メルシャン株式会社シャトー・メルシャン勝沼ワイナリー　ワインギャラリー,甲州市勝沼町下岩崎1425-1
32,2020-08-07,Food,富士川クラフトパークエントランス棟,身延町下山1597
33,2020-08-07,Food,桂川うどんセンター,大月市富浜町鳥沢8438
34,2020-08-07,Food,小瀬スポーツ公園体育館レストラン,甲府市小瀬町840
35,2020-08-07,Food,有限会社 富士山みはらし,富士吉田市上吉田字小御岳下5617-42
36,2020-08-07,Food,CHEVAL,富士吉田市上吉田東8-10-10
37,2020-08-07,Food,和菜屋　宴,山梨市小原西1073-2
38,2020-08-07,Food,鶏っこ,富士河口湖町船津3265-2
