mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53382419,19,19201,2020,02,0,0,33
53382419,19,19201,2020,02,0,1,68
53382419,19,19201,2020,02,0,2,62
53382419,19,19201,2020,02,1,0,30
53382419,19,19201,2020,02,1,1,78
53382419,19,19201,2020,02,1,2,53
53382419,19,19201,2020,02,2,0,31
53382419,19,19201,2020,02,2,1,74
53382419,19,19201,2020,02,2,2,56
53382429,19,19201,2020,02,0,0,49
53382429,19,19201,2020,02,0,1,22
53382429,19,19201,2020,02,0,2,39
53382429,19,19201,2020,02,1,0,17
53382429,19,19201,2020,02,1,2,13
53382429,19,19201,2020,02,2,0,30
53382429,19,19201,2020,02,2,2,23
53382438,19,19201,2020,02,0,0,38
53382438,19,19201,2020,02,0,2,25
53382438,19,19201,2020,02,1,0,45
53382438,19,19201,2020,02,1,2,24
53382438,19,19201,2020,02,2,0,42
53382438,19,19201,2020,02,2,2,25
53382439,19,19201,2020,02,0,0,48
53382439,19,19201,2020,02,0,2,35
53382439,19,19201,2020,02,1,0,72
53382439,19,19201,2020,02,1,2,39
53382439,19,19201,2020,02,2,0,63
53382439,19,19201,2020,02,2,2,37
53382447,19,19201,2020,02,0,0,37
53382447,19,19201,2020,02,0,1,35
53382447,19,19201,2020,02,0,2,35
53382447,19,19201,2020,02,1,0,22
53382447,19,19201,2020,02,1,2,15
53382447,19,19201,2020,02,2,0,27
53382447,19,19201,2020,02,2,1,13
53382447,19,19201,2020,02,2,2,23
53382448,19,19201,2020,02,1,1,10
53382467,19,19201,2020,02,0,0,28
53382467,19,19201,2020,02,0,1,18
53382467,19,19201,2020,02,0,2,18
53382467,19,19201,2020,02,1,0,11
53382467,19,19201,2020,02,2,0,17
53382467,19,19201,2020,02,2,2,10
53382477,19,19201,2020,02,0,0,63
53382477,19,19201,2020,02,0,1,44
53382477,19,19201,2020,02,0,2,54
53382477,19,19201,2020,02,1,0,38
53382477,19,19201,2020,02,1,1,17
53382477,19,19201,2020,02,1,2,24
