Pref,Population(千人)
北海道,"5,250"
青森県,"1,246"
岩手県,"1,227"
宮城県,"2,306"
秋田県,966
山形県,"1,078"
福島県,"1,846"
茨城県,"2,860"
栃木県,"1,934"
群馬県,"1,942"
埼玉県,"7,350"
千葉県,"6,259"
東京都,"13,921"
神奈川県,"9,198"
新潟県,"2,223"
富山県,"1,044"
石川県,"1,138"
福井県,768
山梨県,811
長野県,"2,049"
岐阜県,"1,987"
静岡県,"3,644"
愛知県,"7,552"
三重県,"1,781"
滋賀県,"1,414"
京都府,"2,583"
大阪府,"8,809"
兵庫県,"5,466"
奈良県,"1,330"
和歌山県,925
鳥取県,556
島根県,674
岡山県,"1,890"
広島県,"2,804"
山口県,"1,358"
徳島県,728
香川県,956
愛媛県,"1,339"
高知県,698
福岡県,"5,104"
佐賀県,815
長崎県,"1,327"
熊本県,"1,748"
大分県,"1,135"
宮崎県,"1,073"
鹿児島県,"1,602"
沖縄県,"1,453"
