date,prefecture,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
6/1/20,沖縄県,0.119565,0.075239,-0.007563,0.029685,0.060895,0.10451,0.138262,0.138285,0.098677,0.049469,0.082776,0.09667,0.142499,0.284892
6/1/20,鹿児島県,-0.019291,-0.0386,-0.037179,-0.021272,-0.005753,0.029353,0.117244,0.029703,0.029361,0.034516,0.032509,0.053225,0.09379,0.204311
6/1/20,東京都,0.635495,0.30287,0.26126,0.261297,0.266079,0.230389,0.308063,0.614804,0.293945,0.319808,0.343674,0.298853,0.297588,0.424989
6/1/20,宮崎県,0.144186,0.02126,-0.033153,0.004964,-0.006955,0.088088,0.154824,0.153702,0.091977,0.060187,0.067369,0.061307,0.151146,0.245066
6/1/20,長崎県,0.121231,0.052868,-0.002706,-0.028482,0.011808,0.039989,0.095939,0.160421,0.083725,0.049715,0.046394,0.070107,0.117244,0.218182
6/1/20,熊本県,0.266741,0.042559,-0.007162,0.028327,0.036308,0.084937,0.183889,0.248791,0.086934,0.05721,0.076017,0.085543,0.140581,0.287824
6/1/20,佐賀県,0.089079,0.042491,-0.005781,0.017397,0.01055,0.075855,0.133126,0.064167,0.081811,0.04389,0.062581,0.054982,0.093434,0.186562
6/1/20,福岡県,0.303295,0.119844,0.022167,0.039994,0.086687,0.104838,0.219232,0.314074,0.16907,0.11653,0.129093,0.13345,0.193286,0.304007
6/1/20,大分県,0.241688,0.014012,-0.046813,-0.010853,0.00026,0.07505,0.156811,0.142075,0.045954,0.03698,0.060597,0.052305,0.130529,0.212257
6/1/20,高知県,0.15761,0.002967,0.007009,0.003106,0.000596,0.052523,0.139894,0.131304,0.019048,0.005786,0.02129,0.044002,0.083026,0.189939
6/1/20,愛媛県,0.213087,-0.037156,-0.051988,-0.019352,0.014294,0.04269,0.133407,0.214189,0.03811,0.046788,0.054213,0.047385,0.096841,0.161616
6/1/20,山口県,0.286411,0.007086,-0.048368,-0.000961,0.012847,0.081608,0.134346,0.241641,0.070891,0.022772,0.067764,0.079124,0.13021,0.237278
6/1/20,徳島県,0.137724,0.041282,-0.014946,-0.001439,0.050082,0.064839,0.15965,0.076882,0.095089,0.050005,0.048904,0.050551,0.141487,0.243014
6/1/20,和歌山県,0.325794,0.045578,-0.041703,0.030389,0.023162,0.071265,0.135154,0.309081,0.082125,0.053692,0.117064,0.078731,0.1098,0.148725
6/1/20,三重県,0.122881,-0.00495,-0.048878,-0.020516,0.014177,0.041299,0.130717,0.140505,0.071198,0.0473,0.04873,0.065631,0.096513,0.179798
6/1/20,奈良県,0.529617,0.161919,0.02027,0.065215,0.099878,0.083681,0.18357,0.503863,0.173095,0.104055,0.196301,0.162038,0.201989,0.326238
6/1/20,島根県,0.297728,0.044064,-0.082039,-0.006205,-0.016813,0.065794,0.131951,0.170778,-0.028238,-0.03334,0.03805,0.038268,0.035201,0.221635
6/1/20,広島県,0.272059,0.052526,-0.010285,0.013246,0.048331,0.068956,0.173161,0.236537,0.120951,0.081334,0.100106,0.095611,0.148937,0.29792
6/1/20,香川県,0.165857,-0.00118,-0.030542,-0.017357,0.01228,0.075473,0.133831,0.167939,0.054057,0.064734,0.035683,0.049536,0.120553,0.253157
6/1/20,岡山県,0.102949,0.013705,-0.025587,-0.037628,-0.003926,0.068165,0.095738,0.12463,0.096533,0.02892,0.059663,0.068249,0.113163,0.179218
6/1/20,兵庫県,0.448144,0.137008,0.040606,0.064552,0.086146,0.086187,0.166621,0.473567,0.19354,0.133561,0.169341,0.153317,0.176561,0.279673
6/1/20,大阪府,0.494807,0.149007,0.051051,0.082279,0.114939,0.094341,0.156575,0.47643,0.183353,0.145004,0.190778,0.168763,0.187087,0.272002
6/1/20,愛知県,0.257613,0.063998,0.007971,0.026439,0.064757,0.102662,0.195138,0.27063,0.155971,0.122089,0.148193,0.141078,0.173506,0.305875
6/1/20,静岡県,0.179343,0.050103,-0.01745,0.013373,0.049193,0.09593,0.153847,0.201348,0.102589,0.062498,0.065395,0.093192,0.132245,0.231188
6/1/20,鳥取県,0.083529,-0.040866,-0.02222,-0.008942,-0.023765,0.054943,0.153785,0.165377,-0.019119,0.016186,0.02428,0.025411,0.093869,0.107245
6/1/20,京都府,0.415059,0.182665,0.018905,0.057782,0.086411,0.10237,0.16751,0.447956,0.177649,0.130577,0.156976,0.168602,0.191435,0.274321
6/1/20,滋賀県,0.380522,0.11774,-0.025697,0.050553,0.0803,0.074567,0.180561,0.38441,0.143891,0.104649,0.14744,0.119493,0.176376,0.280405
6/1/20,岐阜県,0.480185,0.03549,0.003926,0.059708,0.058756,0.086827,0.165599,0.420651,0.144971,0.142682,0.171414,0.118195,0.17328,0.228558
6/1/20,長野県,0.101326,-0.006409,-0.024042,-0.021651,0.002364,0.055559,0.098843,0.095422,0.038599,0.060372,0.047048,0.055563,0.088813,0.180574
6/1/20,山梨県,0.430294,0.0866,0.030597,0.070699,0.09449,0.093127,0.17873,0.44511,0.125627,0.087121,0.156491,0.122615,0.169806,0.261948
6/1/20,千葉県,0.472553,0.202945,0.13455,0.154227,0.179068,0.160662,0.252726,0.504908,0.255287,0.219086,0.236445,0.203134,0.234234,0.370085
6/1/20,神奈川県,0.69082,0.278403,0.208379,0.229764,0.253782,0.21879,0.307448,0.678501,0.268748,0.26767,0.313254,0.277519,0.27813,0.417409
6/1/20,福井県,0.25751,0.007828,-0.026866,-0.027194,0.017867,0.033644,0.02656,0.17454,0.074821,0.042966,0.074188,0.048247,0.109261,0.180296
6/1/20,埼玉県,0.659524,0.209091,0.133278,0.157143,0.173052,0.167599,0.258238,0.657002,0.219918,0.222004,0.251969,0.204808,0.237316,0.378683
6/1/20,茨城県,0.413274,0.063121,0.006303,0.058179,0.087089,0.112419,0.214561,0.386736,0.131268,0.086187,0.123459,0.120739,0.159373,0.266994
6/1/20,石川県,0.378752,0.159979,-0.015854,0.025928,0.087321,0.078624,0.165539,0.315143,0.176942,0.093246,0.115401,0.131908,0.178261,0.274241
6/1/20,富山県,0.304021,0.052842,0.013768,0.001915,0.007503,0.021119,0.117125,0.192677,0.141558,0.0524,0.071441,0.056584,0.09512,0.218841
6/1/20,群馬県,0.435845,0.014549,-0.004197,0.049251,0.071347,0.085741,0.209334,0.461476,0.108597,0.119413,0.143641,0.107061,0.161645,0.238125
6/1/20,栃木県,0.181405,0.078549,0.017522,0.020558,0.052558,0.120165,0.205674,0.165036,0.100519,0.092388,0.058762,0.095125,0.148217,0.282325
6/1/20,新潟県,0.225697,0.058712,-0.032412,-0.01045,0.007066,0.023316,0.085432,0.249677,0.097174,0.033298,0.050935,0.065137,0.109662,0.184212
6/1/20,福島県,0.145844,0.007368,-0.026695,-0.013175,-0.005548,0.03164,0.090206,0.1794,0.037363,0.033329,0.028645,0.051475,0.078897,0.161347
6/1/20,山形県,0.134825,-0.056151,-0.038038,-0.062989,-0.011841,0.063872,0.028258,0.119683,0.033535,0.016188,0.029147,0.033617,0.105257,0.11185
6/1/20,宮城県,0.279556,0.030819,0.00801,0.012884,0.018539,0.063773,0.099374,0.23238,0.082636,0.095735,0.088907,0.079494,0.145252,0.211805
6/1/20,秋田県,0.031511,0.051919,-0.025855,-0.055401,-0.037324,0.017611,0.030508,0.098208,-0.016944,-0.000886,0.02087,0.010594,0.035585,0.088769
6/1/20,岩手県,0.063447,-0.054668,-0.045119,-0.048745,-0.019369,0.046803,0.088386,0.078717,0.061981,0.039554,0.006676,0.065443,0.069936,0.172209
6/1/20,青森県,0.015853,-0.056007,-0.046541,-0.059572,-0.046,-0.028004,-0.026664,-0.058038,0.012668,-0.007414,-0.00118,0.012332,0.003219,0.016506
6/1/20,北海道,0.25028,0.071111,-0.005262,0.003487,0.020639,0.011831,0.012408,0.22162,0.106643,0.069834,0.081635,0.085908,0.099309,0.1807
6/2/20,沖縄県,0.082458,0.070469,0.000856,0.02101,0.068668,0.119292,0.187025,0.099025,0.110457,0.044176,0.086526,0.085553,0.182735,0.242338
6/2/20,鹿児島県,-0.017004,-0.032882,-0.006304,-0.012692,0.007984,0.022051,0.055599,-0.007565,0.045483,0.031902,0.023824,0.048145,0.068569,0.127542
6/2/20,東京都,0.6352,0.323029,0.28726,0.290461,0.290381,0.244284,0.262303,0.602401,0.308781,0.314272,0.340519,0.298586,0.278906,0.366717
