date,prefecture,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
3/1/21,沖縄県,0.359015,0.081465,-0.011261,0.048418,0.032713,0.021223,0.012647,0.376563,0.123624,0.040288,0.099576,0.063881,0.087247,0.147167
3/1/21,鹿児島県,0.261801,0.035552,-0.019632,-0.016222,0.018446,0.019033,0.025429,0.233262,0.087731,0.04167,0.045004,0.041782,0.089618,0.11872
3/1/21,東京都,0.352108,0.255386,0.226126,0.209277,0.163926,0.159723,0.099465,0.317488,0.217212,0.222611,0.220162,0.158449,0.183977,0.184345
3/1/21,宮崎県,0.151803,0.098194,0.02873,-0.024493,0.027172,0.081376,0.097428,0.206153,0.111918,0.079582,0.041895,0.04304,0.145787,0.066929
3/1/21,長崎県,0.127241,0.093908,0.02343,0.001957,0.006217,0.045731,-0.015628,0.186268,0.098322,0.080289,0.049796,0.038199,0.111834,0.073632
3/1/21,熊本県,0.259111,0.01001,-0.014183,-0.013942,0.023274,0.046397,-0.057591,0.242236,0.095541,0.059335,0.024434,0.035462,0.103045,0.106673
3/1/21,佐賀県,0.251706,0.039091,0.069557,0.025627,-0.004681,0.059428,-0.036838,0.238251,0.087124,0.059754,0.050076,0.034582,0.090938,0.020485
3/1/21,福岡県,0.297567,0.05705,0.022636,0.025516,0.029527,0.058029,0.018467,0.279131,0.109386,0.078037,0.086205,0.051823,0.108038,0.090254
3/1/21,大分県,0.298126,0.006598,-0.024272,-0.017295,0.013225,0.037249,0.060988,0.20527,0.05251,0.051409,0.068134,0.031965,0.085758,0.144943
3/1/21,高知県,0.298368,-0.026609,-0.01864,0.027834,-0.015777,0.067901,0.014329,0.289934,0.048365,0.011596,0.02864,0.062101,0.082903,0.064991
3/1/21,愛媛県,0.140295,0.044109,-0.038214,-0.006591,-0.014944,0.043527,-0.018079,0.099642,0.012047,0.043017,0.047025,0.002724,0.06855,0.031013
3/1/21,山口県,0.335642,0.02604,-0.022829,0.01041,0.009078,0.052734,-0.047372,0.298335,0.058274,0.044506,0.064467,0.024749,0.105374,0.069292
3/1/21,徳島県,0.339384,0.068772,0.011374,0.043779,0.041852,0.066467,0.039014,0.224056,0.125857,0.076715,0.111991,0.082854,0.154994,0.125125
3/1/21,和歌山県,0.375565,0.051691,-0.013656,0.017879,-0.00486,0.015194,-0.005272,0.247984,0.063593,0.041943,0.068854,-0.004878,0.099454,0.038189
3/1/21,奈良県,0.431331,0.117702,0.011399,0.047771,0.04488,0.066293,0.029642,0.372811,0.148915,0.071034,0.121926,0.069824,0.13833,0.127034
3/1/21,三重県,0.382109,0.029213,0.008943,0.062946,0.029446,0.090925,0.067508,0.357221,0.098572,0.088927,0.140325,0.069906,0.137936,0.096935
3/1/21,島根県,0.139102,-0.024923,0.014423,0.046196,-0.028387,0.048662,0.029971,0.155957,-0.055388,0.032165,0.058142,0.011428,0.067827,0.065435
3/1/21,広島県,0.421357,0.057392,-0.005397,0.010969,0.011013,0.036673,0.009546,0.388912,0.080816,0.060847,0.088545,0.036832,0.094775,0.089562
3/1/21,香川県,0.226364,0.023827,-0.02221,0.007213,-0.016703,0.054757,0.05701,0.095978,0.018448,0.026318,0.0385,0.02224,0.107175,0.066378
3/1/21,岡山県,0.258528,0.017056,-0.040502,-0.006256,-0.04,0.058216,-0.025545,0.277901,0.069978,0.008597,0.06252,0.007368,0.085402,0.050144
3/1/21,兵庫県,0.327346,0.094499,0.024613,0.057986,0.022388,0.064371,0.00687,0.278767,0.124886,0.094926,0.104972,0.055338,0.114757,0.087206
3/1/21,大阪府,0.409218,0.09387,0.024338,0.060603,0.032231,0.07004,0.015966,0.384315,0.107953,0.096234,0.137895,0.065417,0.120046,0.097953
3/1/21,愛知県,0.318686,0.046468,0.021227,0.036545,0.031902,0.083598,0.054976,0.340321,0.117224,0.096248,0.132473,0.074586,0.144588,0.15909
3/1/21,静岡県,0.39124,0.065909,0.02176,0.062047,0.040198,0.067915,0.032408,0.391933,0.090109,0.060586,0.09805,0.069173,0.1104,0.130388
3/1/21,鳥取県,0.282343,0.100031,0.022869,0.018474,0.009299,0.049647,-0.100357,0.206613,0.037614,0.034715,0.028089,0.047848,0.091708,0.071463
3/1/21,京都府,0.422256,0.103523,0.028777,0.049445,0.041392,0.074959,-0.019777,0.377235,0.153566,0.0653,0.12949,0.05219,0.15198,0.059168
3/1/21,滋賀県,0.372295,0.058126,-0.045004,0.028678,0.012487,0.060528,-0.019212,0.306162,0.109811,0.057189,0.104738,0.039385,0.098168,0.057842
3/1/21,岐阜県,0.437552,0.047681,-0.004959,0.067814,0.062225,0.09997,0.043639,0.41497,0.1187,0.115049,0.140134,0.06098,0.157885,0.107922
3/1/21,長野県,0.202803,0.002636,-0.009009,-0.001025,0.004017,0.052329,0.011988,0.201159,0.082026,0.046459,0.050274,0.02847,0.07436,0.086445
3/1/21,山梨県,0.394678,-0.001504,-0.021773,0.048515,0.002075,0.021939,-0.029938,0.363935,0.056395,0.008471,0.079653,0.031945,0.068315,-0.00709
3/1/21,千葉県,0.329848,0.169818,0.12882,0.127436,0.111858,0.134821,0.066378,0.341354,0.178027,0.155693,0.15727,0.108612,0.15222,0.157739
