date,state,value
2020/6/1,沖縄県,0.3314
2020/6/1,東京都,0.561475
2020/6/1,鹿児島県,0.296869
2020/6/1,宮崎県,0.392063
2020/6/1,長崎県,0.354193
2020/6/1,熊本県,0.413582
2020/6/1,佐賀県,0.365456
2020/6/1,福岡県,0.390533
2020/6/1,大分県,0.332405
2020/6/1,高知県,0.398595
2020/6/1,愛媛県,0.308082
2020/6/1,山口県,0.381749
2020/6/1,徳島県,0.35566
2020/6/1,和歌山県,0.331295
2020/6/1,三重県,0.25539
2020/6/1,奈良県,0.419165
2020/6/1,島根県,0.414635
2020/6/1,広島県,0.392446
2020/6/1,香川県,0.327158
2020/6/1,岡山県,0.299986
2020/6/1,兵庫県,0.406988
2020/6/1,大阪府,0.401759
2020/6/1,愛知県,0.336918
2020/6/1,静岡県,0.354857
2020/6/1,鳥取県,0.392376
2020/6/1,京都府,0.415048
2020/6/1,滋賀県,0.326457
2020/6/1,岐阜県,0.369293
2020/6/1,長野県,0.360615
2020/6/1,山梨県,0.451339
2020/6/1,千葉県,0.488603
2020/6/1,神奈川県,0.54929
2020/6/1,福井県,0.311104
2020/6/1,埼玉県,0.484028
2020/6/1,茨城県,0.401281
2020/6/1,石川県,0.490017
2020/6/1,富山県,0.384923
2020/6/1,群馬県,0.420073
2020/6/1,栃木県,0.373389
2020/6/1,新潟県,0.414422
2020/6/1,福島県,0.380434
2020/6/1,山形県,0.345477
2020/6/1,宮城県,0.380245
2020/6/1,秋田県,0.444096
2020/6/1,岩手県,0.354523
2020/6/1,青森県,0.313412
2020/6/1,北海道,0.387786
2020/6/2,沖縄県,0.313467
2020/6/2,東京都,0.546376
2020/6/2,鹿児島県,0.303671
2020/6/2,宮崎県,0.393627
2020/6/2,長崎県,0.329192
2020/6/2,熊本県,0.358819
2020/6/2,佐賀県,0.386601
2020/6/2,福岡県,0.44083
2020/6/2,大分県,0.431079
2020/6/2,高知県,0.491449
2020/6/2,愛媛県,0.348363
2020/6/2,山口県,0.341361
2020/6/2,徳島県,0.331023
2020/6/2,和歌山県,0.39308
2020/6/2,三重県,0.337152
2020/6/2,奈良県,0.404416
2020/6/2,島根県,0.504149
2020/6/2,広島県,0.400035
2020/6/2,香川県,0.29559
2020/6/2,岡山県,0.371651
2020/6/2,兵庫県,0.436089
2020/6/2,大阪府,0.438634
