date,prefecture,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
7/1/20,沖縄県,0.038039,0.05244,0.010593,0.020287,0.04864,0.066573,0.132976,0.029661,0.062164,0.025665,0.040529,0.057107,0.106915,0.188145
7/1/20,鹿児島県,0.048431,-0.009419,-0.008714,0.002862,0.008513,0.028239,0.030471,0.042005,0.03619,0.037686,0.025419,0.035506,0.054032,0.089128
7/1/20,東京都,0.252589,0.241938,0.21934,0.204304,0.209127,0.212506,0.27318,0.256292,0.220131,0.215252,0.230029,0.222044,0.242379,0.363767
7/1/20,宮崎県,0.08875,0.018212,0.020662,0.016503,0.019291,0.072532,0.04565,0.049637,0.023981,0.03517,0.040758,0.056403,0.113117,0.140292
7/1/20,長崎県,0.153536,0.015698,0.004186,-0.006105,0.004656,0.040941,0.072336,0.132813,0.056911,0.034385,0.031583,0.042329,0.0838,0.133736
7/1/20,熊本県,0.204227,0.005609,0.002217,0.009173,0.023123,0.051593,0.084197,0.051884,0.046354,0.0087,0.01509,0.021022,0.083788,0.151228
7/1/20,佐賀県,0.075084,0.024539,0.040972,0.037961,0.008761,0.061477,0.049691,0.051697,0.069928,0.004437,0.024859,0.017005,0.085221,0.081559
7/1/20,福岡県,0.133725,0.099603,0.034636,0.0316,0.067487,0.072615,0.137032,0.098882,0.105101,0.056883,0.056715,0.07101,0.113597,0.164521
7/1/20,大分県,0.187668,0.049153,0.001075,0.013009,0.021144,0.040791,0.114496,0.05541,0.059245,0.037709,0.058882,0.048571,0.081958,0.13371
7/1/20,高知県,0.093964,-0.030949,0.011096,0.023371,0.018177,0.040605,0.078851,0.032472,-0.017764,-0.005209,0.004127,0.031262,0.033605,0.128812
7/1/20,愛媛県,0.201751,0.002849,-0.009775,0.004303,0.022682,0.039,0.115754,0.133231,0.009374,0.039309,0.028804,0.019872,0.058299,0.113717
7/1/20,山口県,0.310462,0.077819,-0.009257,-0.013485,0.028497,0.045252,0.10279,0.185304,0.060005,0.010256,0.046525,0.054513,0.083603,0.112854
7/1/20,徳島県,0.080967,-0.001941,0.018015,-0.014171,0.021683,0.081915,0.106749,-0.00327,0.049809,0.038528,0.008169,0.024828,0.126475,0.171835
7/1/20,和歌山県,0.014451,0.050049,-0.011012,0.028404,0.014958,0.062728,0.15739,-0.012563,0.047926,0.017615,0.013549,0.029805,0.09207,0.139103
7/1/20,三重県,0.052555,0.04844,0.01512,0.004075,0.028836,0.070392,0.145293,0.066797,0.069296,0.029566,0.037736,0.065134,0.095553,0.168577
7/1/20,奈良県,0.174648,0.150553,0.028016,0.045713,0.081666,0.079143,0.132046,0.092062,0.127223,0.055161,0.0754,0.099317,0.118239,0.211551
7/1/20,島根県,0.21234,0.037649,-0.008144,0.008455,0.031022,0.094797,0.120819,0.086195,-0.055976,0.007705,0.051282,0.03049,0.069658,0.219949
7/1/20,広島県,0.14288,0.056747,0.010829,0.023509,0.045019,0.043359,0.128001,0.08222,0.063264,0.047001,0.055228,0.056652,0.104434,0.176129
7/1/20,香川県,0.140537,0.023645,-0.017628,0.009399,0.010924,0.067305,0.137691,0.085237,0.022028,0.024409,0.019056,0.041599,0.13386,0.207006
7/1/20,岡山県,0.047231,0.050198,0.003863,-0.008144,0.00908,0.065152,0.080631,0.052226,0.055127,0.030775,0.028867,0.041206,0.082577,0.118498
7/1/20,兵庫県,0.146398,0.114195,0.038796,0.041751,0.063722,0.074251,0.129128,0.149336,0.124182,0.063589,0.06861,0.090532,0.118065,0.180541
7/1/20,大阪府,0.125591,0.128093,0.054756,0.054741,0.084382,0.084886,0.102221,0.114448,0.115761,0.06492,0.081274,0.103455,0.110248,0.190052
7/1/20,愛知県,0.097443,0.077617,0.04158,0.038318,0.05968,0.093475,0.161183,0.103325,0.117042,0.069424,0.074776,0.095837,0.132442,0.228416
7/1/20,静岡県,0.148766,0.077442,0.032197,0.050586,0.077379,0.146156,0.269688,0.143586,0.087705,0.073835,0.072358,0.101922,0.192703,0.348227
7/1/20,鳥取県,0.058702,0.036934,0.041214,0.005644,0.005892,0.05918,0.032725,0.170513,0.00446,0.020571,0.027643,0.023632,0.053664,0.091957
7/1/20,京都府,0.190129,0.148946,0.045477,0.046541,0.078445,0.084607,0.112452,0.244562,0.152043,0.063442,0.071073,0.106585,0.128279,0.170775
7/1/20,滋賀県,0.120676,0.112058,0.038362,0.042812,0.07028,0.08817,0.14277,0.101816,0.115599,0.053951,0.064904,0.076077,0.127302,0.196435
7/1/20,岐阜県,0.208713,0.048826,-0.004072,0.025007,0.048699,0.096678,0.181774,0.169649,0.097293,0.063765,0.055673,0.057449,0.123953,0.188711
7/1/20,長野県,0.19144,0.042163,0.003763,0.022922,0.048444,0.083815,0.153814,0.167679,0.072852,0.051546,0.057779,0.06943,0.129841,0.220835
7/1/20,山梨県,0.231483,0.076607,0.033817,0.035692,0.07149,0.121013,0.16633,0.228722,0.090122,0.070745,0.059987,0.090657,0.135607,0.249462
7/1/20,千葉県,0.120245,0.184404,0.123495,0.113835,0.143025,0.165192,0.306429,0.17349,0.197872,0.147302,0.144327,0.162591,0.215779,0.364103
7/1/20,神奈川県,0.345293,0.228877,0.170917,0.179321,0.208123,0.20961,0.320333,0.327209,0.20831,0.188375,0.209674,0.209078,0.264492,0.411798
7/1/20,福井県,0.12753,0.038386,-0.011268,0.015885,0.00178,0.044628,0.127787,0.071301,0.106487,0.008235,0.057672,0.046496,0.070228,0.093457
