date,prefecture,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
2/1/21,沖縄県,0.14363,0.077802,0.025474,0.060992,0.063961,0.036902,0.031751,0.222364,0.136276,0.087782,0.096278,0.090286,0.115416,0.197079
2/1/21,東京都,0.371527,0.269142,0.252817,0.243892,0.19734,0.204768,0.172511,0.352418,0.241992,0.257193,0.258457,0.201197,0.227827,0.261701
2/1/21,鹿児島県,0.282216,0.041679,0.00645,-0.020169,0.026903,0.049343,0.073439,0.250683,0.118282,0.064976,0.060884,0.071843,0.111456,0.168913
2/1/21,宮崎県,0.192717,0.071523,0.04977,-0.003234,0.055215,0.095958,0.100114,0.25166,0.118099,0.102539,0.047189,0.08593,0.18418,0.187833
2/1/21,長崎県,0.217826,0.147588,0.063542,0.040723,0.057799,0.112691,0.179941,0.231955,0.139894,0.117211,0.108254,0.114968,0.181783,0.262474
2/1/21,熊本県,0.402177,0.040546,0.001845,0.028632,0.066326,0.105088,0.067262,0.336996,0.103316,0.09215,0.090901,0.096768,0.151715,0.208274
2/1/21,佐賀県,0.141862,0.069477,0.06024,0.036224,0.034264,0.113662,0.124005,0.089477,0.123458,0.073471,0.041633,0.065666,0.169123,0.202667
2/1/21,福岡県,0.275177,0.111273,0.064701,0.053451,0.078796,0.128287,0.159972,0.263811,0.161406,0.128055,0.125327,0.100986,0.192383,0.244025
2/1/21,大分県,0.251702,0.015535,0.008712,-0.016272,0.024129,0.085315,0.108052,0.281971,0.062384,0.081405,0.078964,0.069233,0.1346,0.145738
2/1/21,高知県,0.157178,0.025321,0.051028,0.012274,-0.007139,0.126235,0.110708,0.196314,0.084413,0.082529,0.030693,0.080997,0.139321,0.137054
2/1/21,愛媛県,0.237613,0.034419,-0.017653,0.005584,0.006833,0.089034,0.07805,0.258405,0.047747,0.089808,0.06969,0.028684,0.100889,0.096357
2/1/21,山口県,0.235387,0.042505,0.00033,0.011997,0.019432,0.103439,0.119723,0.212385,0.107027,0.042946,0.076579,0.061909,0.151101,0.197438
2/1/21,徳島県,0.290358,0.090383,0.035605,0.019436,0.050346,0.105007,0.101827,0.197475,0.153153,0.115527,0.099645,0.114534,0.211831,0.203011
2/1/21,和歌山県,0.162773,0.078518,-0.01322,0.00149,-0.004586,0.076827,0.031103,0.204591,0.119581,0.058056,0.069871,0.035082,0.135947,0.125818
2/1/21,奈良県,0.24817,0.145907,0.054777,0.055438,0.065544,0.090042,0.113648,0.265031,0.170441,0.088974,0.127506,0.093923,0.170336,0.205195
2/1/21,三重県,0.174768,0.072183,0.039299,0.04916,0.050806,0.106157,0.093873,0.246667,0.155687,0.079441,0.118074,0.08664,0.168919,0.149961
2/1/21,島根県,-0.042569,0.022149,0.010027,0.014578,0.006633,0.071965,0.033376,0.095181,-0.022864,0.022044,0.034523,0.013453,0.073473,0.150508
2/1/21,広島県,0.231055,0.078474,0.029528,0.022381,0.040408,0.101543,0.160397,0.263026,0.109056,0.091696,0.100132,0.07121,0.179875,0.242554
2/1/21,香川県,0.135682,0.047131,0.00284,0.006251,0.027081,0.097504,0.086385,0.148237,0.070209,0.069576,0.038411,0.052174,0.171625,0.176487
2/1/21,岡山県,0.14022,0.039827,-0.030154,0.006742,-0.022511,0.092704,0.072753,0.220758,0.102079,0.053228,0.079046,0.030472,0.157116,0.199432
2/1/21,兵庫県,0.198768,0.143941,0.069626,0.077487,0.061804,0.13083,0.127817,0.223716,0.160301,0.127034,0.12665,0.094547,0.185048,0.229474
2/1/21,大阪府,0.225118,0.111574,0.062913,0.074665,0.05675,0.126224,0.126615,0.227025,0.134465,0.126409,0.140338,0.086316,0.183148,0.229986
2/1/21,愛知県,0.195657,0.067829,0.045218,0.053202,0.049502,0.121021,0.129545,0.232581,0.15017,0.125152,0.145618,0.101297,0.191832,0.254731
2/1/21,静岡県,0.210795,0.081217,0.03395,0.051139,0.056136,0.095158,0.080992,0.254978,0.142786,0.088449,0.097974,0.084212,0.153744,0.165284
2/1/21,鳥取県,-0.007634,0.098209,-0.01258,-0.01974,0.012618,0.035923,0.018438,0.160811,0.00174,0.051709,0.026342,0.043052,0.080184,0.166827
2/1/21,京都府,0.252602,0.108588,0.0628,0.057028,0.057623,0.139012,0.086888,0.304308,0.163727,0.124545,0.116175,0.089273,0.206464,0.202922
2/1/21,滋賀県,0.23713,0.04561,-0.007855,0.014743,0.031512,0.096813,0.066123,0.234343,0.118384,0.087431,0.095012,0.062957,0.152267,0.175208
2/1/21,岐阜県,0.252724,0.082445,0.038928,0.052804,0.068314,0.135537,0.12605,0.257753,0.164691,0.144873,0.119546,0.084627,0.205361,0.232671
2/1/21,長野県,0.144698,0.035134,0.010909,0.011683,0.01039,0.092493,0.083932,0.191106,0.114993,0.097696,0.067712,0.049177,0.125882,0.193676
2/1/21,山梨県,0.248157,0.022313,-0.014449,0.015121,0.018246,0.075184,0.067022,0.166023,0.063241,0.076306,0.056701,0.055554,0.121642,0.139524
2/1/21,千葉県,0.237641,0.197633,0.158949,0.149068,0.135102,0.1731,0.145088,0.277526,0.210753,0.180757,0.179887,0.139159,0.206266,0.251797
2/1/21,神奈川県,0.324862,0.242595,0.212893,0.211894,0.194039,0.186527,0.169733,0.373021,0.214916,0.214972,0.23049,0.17582,0.219525,0.266211
2/1/21,福井県,0.305635,0.003247,-0.027003,0.035183,0.015314,0.092618,0.046161,0.333592,0.071447,0.040338,0.08693,0.016833,0.139023,0.138464
2/1/21,埼玉県,0.286459,0.185523,0.136195,0.129647,0.114735,0.162518,0.136914,0.349896,0.191959,0.159971,0.167006,0.123656,0.19915,0.251634
2/1/21,茨城県,0.209214,0.0926,0.044931,0.058344,0.06339,0.121207,0.13709,0.241433,0.15485,0.107214,0.093993,0.086302,0.174826,0.201582
2/1/21,石川県,0.178227,0.095307,0.010816,0.023693,0.031554,0.087645,0.050536,0.175506,0.133621,0.076148,0.065175,0.056892,0.124342,0.113431
2/1/21,富山県,0.10619,0.047492,0.016167,-0.017327,-0.048891,0.061001,0.071322,0.127406,0.129695,0.076414,0.043924,0.025014,0.138399,0.125151
2/1/21,群馬県,0.11766,0.011113,0.009338,0.014522,0.028672,0.06397,0.085343,0.203547,0.100522,0.069865,0.062827,0.041076,0.149744,0.131487
2/1/21,栃木県,0.208613,0.07296,0.05276,0.036684,0.040194,0.14595,0.029847,0.25611,0.105156,0.089654,0.072461,0.075451,0.145041,0.169856
2/1/21,新潟県,0.240476,0.067367,0.018371,0.028478,0.005448,0.082851,0.055198,0.230528,0.089965,0.071309,0.066854,0.03947,0.13005,0.102637
2/1/21,福島県,0.236763,0.02978,0.019649,0.018584,0.034646,0.077763,0.028203,0.279327,0.064154,0.095997,0.059518,0.084107,0.107855,0.104863
2/1/21,山形県,0.208587,0.017513,0.02516,-0.010163,0.049455,0.120871,0.02532,0.25254,0.119193,0.098838,0.07246,0.0494,0.150832,0.107684
2/1/21,宮城県,0.173756,0.044656,0.005796,0.0075,0.009829,0.082266,0.051488,0.16128,0.070301,0.073038,0.07181,0.065808,0.154214,0.13338
2/1/21,秋田県,0.081537,0.097506,0.029697,0.003606,0.027761,0.09858,-0.039989,0.171833,0.106343,0.061491,0.028204,0.083496,0.136084,0.178004
2/1/21,岩手県,0.095854,-0.041142,-0.001924,-0.024454,0.005091,0.099852,0.036311,0.147079,0.058555,0.092987,0.032981,0.032958,0.147957,0.153856
2/1/21,青森県,0.250551,0.06157,0.037316,0.036533,0.039052,0.065527,0.015943,0.139895,0.132871,0.068683,0.061642,0.055947,0.114331,0.100738
2/1/21,北海道,0.109611,0.070149,0.038867,0.022186,0.028882,0.08307,0.086768,0.180286,0.114358,0.105216,0.072179,0.076336,0.151326,0.185244
2/2/21,沖縄県,0.127297,0.117871,0.06196,0.063768,0.059253,0.061998,0.064332,0.228234,0.164681,0.093295,0.086703,0.089919,0.125447,0.198895
2/2/21,鹿児島県,0.186628,0.053363,0.025499,0.001325,0.045446,0.062155,0.077789,0.213489,0.088648,0.046742,0.038449,0.053444,0.076149,0.117862
2/2/21,東京都,0.374348,0.296435,0.286234,0.278245,0.233892,0.234669,0.201593,0.371848,0.252226,0.266188,0.267068,0.212241,0.238647,0.287713
2/2/21,宮崎県,0.218397,0.123677,0.085801,0.023659,0.066141,0.112621,0.120059,0.241113,0.118253,0.081556,0.050607,0.093871,0.189144,0.160955
2/2/21,長崎県,0.206014,0.142312,0.080211,0.053463,0.08218,0.109848,0.106539,0.24975,0.136166,0.101588,0.080617,0.072445,0.144145,0.159932
2/2/21,熊本県,0.228067,0.075425,0.025832,0.027766,0.057759,0.093991,0.06949,0.187526,0.109425,0.07124,0.043802,0.050406,0.11939,0.159307
2/2/21,佐賀県,0.179589,0.037794,0.106802,0.050004,0.077829,0.109637,0.021086,0.139293,0.114064,0.083332,0.028272,0.0454,0.112578,0.099547
2/2/21,福岡県,0.264253,0.120745,0.098591,0.088362,0.093453,0.111959,0.052654,0.265073,0.134385,0.112924,0.101146,0.077279,0.129396,0.142483
2/2/21,大分県,0.445542,0.075434,0.05135,0.038317,0.067789,0.087963,0.119386,0.365771,0.109356,0.070818,0.100524,0.068425,0.127046,0.140593
2/2/21,高知県,0.119313,0.030333,0.043418,0.028818,0.002121,0.093809,0.012943,0.182176,0.037051,0.020618,0.022563,0.04428,0.05202,0.125888
2/2/21,愛媛県,0.230678,0.061529,0.006201,0.029651,0.045949,0.082864,0.045775,0.221465,0.05324,0.068775,0.068892,0.029722,0.108537,0.046027
2/2/21,山口県,0.224097,0.056233,0.03342,0.044557,0.035072,0.089961,0.023247,0.212564,0.074046,0.039663,0.056487,0.04832,0.118834,0.05031
2/2/21,徳島県,0.246338,0.104676,0.059042,0.050538,0.089271,0.09768,0.067213,0.153507,0.123097,0.090551,0.062489,0.061298,0.14476,0.17216
2/2/21,和歌山県,0.191857,0.084013,0.049217,0.067993,0.062986,0.103656,0.121924,0.209738,0.122095,0.075562,0.08839,0.074257,0.148264,0.176023
2/2/21,三重県,0.202201,0.10761,0.096897,0.094884,0.071765,0.125019,0.121548,0.234819,0.153451,0.094351,0.104376,0.090434,0.133049,0.121423
2/2/21,奈良県,0.252547,0.202851,0.087756,0.105346,0.103076,0.137312,0.139929,0.256595,0.174556,0.101644,0.124768,0.096335,0.176424,0.22029
2/2/21,島根県,0.078773,0.081287,0.031573,0.048366,0.035805,0.129802,0.064513,0.076697,-0.043003,0.000452,0.057861,0.034745,0.083263,0.134034
2/2/21,広島県,0.259295,0.104715,0.073486,0.059732,0.044793,0.088733,0.066008,0.296595,0.103057,0.058694,0.082575,0.052688,0.135954,0.118638
