date,state,value
2020/7/1,沖縄県,0.245611
2020/7/1,東京都,0.399942
2020/7/1,鹿児島県,0.209109
2020/7/1,宮崎県,0.2811
2020/7/1,長崎県,0.293741
2020/7/1,熊本県,0.221407
2020/7/1,佐賀県,0.230479
2020/7/1,福岡県,0.273059
2020/7/1,大分県,0.355772
2020/7/1,高知県,0.339612
2020/7/1,愛媛県,0.214622
2020/7/1,山口県,0.292278
2020/7/1,徳島県,0.251995
2020/7/1,和歌山県,0.215143
2020/7/1,三重県,0.191413
2020/7/1,奈良県,0.242642
2020/7/1,島根県,0.477303
2020/7/1,広島県,0.241988
2020/7/1,香川県,0.189896
2020/7/1,岡山県,0.264743
2020/7/1,兵庫県,0.259707
2020/7/1,大阪府,0.245388
2020/7/1,愛知県,0.267105
2020/7/1,静岡県,0.394394
2020/7/1,鳥取県,0.338722
2020/7/1,京都府,0.27257
2020/7/1,滋賀県,0.224396
2020/7/1,岐阜県,0.29069
2020/7/1,長野県,0.364067
2020/7/1,山梨県,0.329207
2020/7/1,千葉県,0.39404
2020/7/1,神奈川県,0.425146
2020/7/1,福井県,0.293459
2020/7/1,埼玉県,0.362793
2020/7/1,茨城県,0.321422
2020/7/1,石川県,0.40506
2020/7/1,富山県,0.335549
2020/7/1,群馬県,0.277381
2020/7/1,栃木県,0.349781
2020/7/1,新潟県,0.365692
2020/7/1,福島県,0.335123
2020/7/1,山形県,0.332628
2020/7/1,宮城県,0.326873
2020/7/1,秋田県,0.418563
2020/7/1,岩手県,0.418412
2020/7/1,青森県,0.304626
2020/7/1,北海道,0.342922
2020/7/2,沖縄県,0.224726
2020/7/2,東京都,0.332823
2020/7/2,鹿児島県,0.262474
2020/7/2,宮崎県,0.280299
2020/7/2,長崎県,0.21731
2020/7/2,熊本県,0.293389
2020/7/2,佐賀県,0.337989
2020/7/2,福岡県,0.290359
2020/7/2,大分県,0.271186
2020/7/2,高知県,0.350209
2020/7/2,愛媛県,0.253389
2020/7/2,山口県,0.214126
2020/7/2,徳島県,0.18481
2020/7/2,和歌山県,0.236448
2020/7/2,三重県,0.194083
2020/7/2,奈良県,0.263222
2020/7/2,島根県,0.327846
2020/7/2,広島県,0.273027
2020/7/2,香川県,0.214039
2020/7/2,岡山県,0.278635
2020/7/2,兵庫県,0.24706
2020/7/2,大阪府,0.257107
2020/7/2,愛知県,0.239564
2020/7/2,静岡県,0.22422
2020/7/2,鳥取県,0.207486
2020/7/2,京都府,0.270036
2020/7/2,滋賀県,0.304303
2020/7/2,岐阜県,0.227213
2020/7/2,長野県,0.326873
2020/7/2,山梨県,0.244571
2020/7/2,千葉県,0.304729
2020/7/2,神奈川県,0.337684
2020/7/2,福井県,0.295708
2020/7/2,埼玉県,0.31643
2020/7/2,茨城県,0.294282
2020/7/2,石川県,0.393237
2020/7/2,富山県,0.26056
2020/7/2,群馬県,0.293244
2020/7/2,栃木県,0.303492
2020/7/2,新潟県,0.306563
2020/7/2,福島県,0.310926
2020/7/2,山形県,0.35019
2020/7/2,宮城県,0.270102
2020/7/2,秋田県,0.307924
2020/7/2,岩手県,0.343458
2020/7/2,青森県,0.376428
2020/7/2,北海道,0.360075
2020/7/3,沖縄県,-0.100827
2020/7/3,東京都,0.243243
2020/7/3,鹿児島県,0.281063
2020/7/3,宮崎県,0.070943
2020/7/3,長崎県,0.111426
2020/7/3,熊本県,0.164561
2020/7/3,佐賀県,0.228548
2020/7/3,福岡県,0.174907
2020/7/3,大分県,0.12264
2020/7/3,高知県,0.230279
2020/7/3,愛媛県,0.125489
2020/7/3,山口県,0.068778
2020/7/3,徳島県,0.215945
2020/7/3,和歌山県,0.196507
2020/7/3,三重県,0.097612
2020/7/3,奈良県,0.185609
2020/7/3,島根県,0.129989
2020/7/3,広島県,0.067137
