date,prefecture,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
1/1/21,沖縄県,0.609516,0.638442,0.462598,0.469079,0.475356,0.485444,0.576376,0.518494,0.513852,0.431207,0.446613,0.453255,0.513051,0.552077
1/1/21,鹿児島県,0.468137,0.409272,0.465293,0.444517,0.496211,0.564966,0.618771,0.365998,0.347721,0.438157,0.463752,0.504322,0.586588,0.652409
1/1/21,東京都,0.69567,0.570198,0.534881,0.52892,0.569643,0.651851,0.675848,0.650567,0.594108,0.600054,0.590862,0.612861,0.682037,0.722361
1/1/21,宮崎県,0.473592,0.381124,0.458467,0.468336,0.470439,0.606986,0.608546,0.139963,0.377698,0.410899,0.440463,0.493847,0.605442,0.634408
1/1/21,長崎県,0.594168,0.570882,0.544217,0.538174,0.555858,0.644483,0.689075,0.49897,0.469817,0.512235,0.536551,0.564013,0.662194,0.717522
1/1/21,熊本県,0.661735,0.50037,0.487952,0.483455,0.528374,0.577195,0.644403,0.459242,0.412846,0.47124,0.515841,0.54648,0.620548,0.64044
1/1/21,佐賀県,0.682445,0.608112,0.532539,0.543471,0.580454,0.593888,0.554135,0.493521,0.523277,0.509906,0.510908,0.54376,0.625029,0.669418
1/1/21,福岡県,0.619831,0.590384,0.548624,0.544471,0.558974,0.643382,0.701452,0.526907,0.518128,0.556546,0.565051,0.55398,0.658479,0.708139
1/1/21,大分県,0.528193,0.479711,0.473929,0.488128,0.513389,0.602928,0.629719,0.414921,0.36938,0.461671,0.459213,0.461426,0.634085,0.671406
1/1/21,高知県,0.47639,0.410328,0.526622,0.510295,0.521568,0.605282,0.62814,0.43039,0.366101,0.438999,0.487368,0.49376,0.638271,0.67967
1/1/21,愛媛県,0.64114,0.52488,0.499648,0.502604,0.548317,0.6174,0.605115,0.453282,0.417175,0.464518,0.501423,0.507826,0.586752,0.655634
1/1/21,山口県,0.622124,0.504184,0.493752,0.531565,0.53651,0.630464,0.635673,0.417219,0.446494,0.492392,0.529082,0.52944,0.633143,0.660874
1/1/21,徳島県,0.57995,0.496449,0.450732,0.491546,0.513725,0.582469,0.598305,0.338056,0.39712,0.483827,0.467787,0.52968,0.585445,0.634298
1/1/21,和歌山県,0.535605,0.560054,0.507283,0.511066,0.498552,0.620998,0.659061,0.478789,0.488445,0.516318,0.490479,0.488084,0.61651,0.726942
1/1/21,奈良県,0.708823,0.635285,0.593654,0.605232,0.581333,0.652724,0.707902,0.651555,0.587995,0.629781,0.601177,0.58195,0.675195,0.70796
1/1/21,三重県,0.57076,0.618152,0.61367,0.560156,0.554229,0.631066,0.645379,0.473393,0.507168,0.494963,0.523357,0.541688,0.60244,0.66345
1/1/21,島根県,0.648377,0.476894,0.50499,0.555649,0.533966,0.65028,0.689189,0.460876,0.396403,0.42824,0.546838,0.537234,0.587951,0.664459
1/1/21,広島県,0.592614,0.571595,0.580613,0.59179,0.586439,0.667352,0.713162,0.57209,0.499611,0.57115,0.591603,0.574325,0.680324,0.723834
1/1/21,香川県,0.544535,0.611079,0.535173,0.54591,0.53631,0.604217,0.604572,0.42521,0.449919,0.482119,0.519126,0.531752,0.614089,0.671376
1/1/21,岡山県,0.643893,0.571271,0.520841,0.54878,0.520819,0.632106,0.654548,0.565578,0.487673,0.482646,0.529681,0.536481,0.624051,0.655046
