date,state,value
2020/2/1,沖縄県,-0.074336
2020/2/1,東京都,-0.106207
2020/2/1,鹿児島県,0.007943
2020/2/1,宮崎県,-0.00159
2020/2/1,長崎県,0.026712
2020/2/1,熊本県,-0.08204
2020/2/1,佐賀県,0.003446
2020/2/1,福岡県,-0.107213
2020/2/1,大分県,0.022625
2020/2/1,高知県,0.08058
2020/2/1,愛媛県,0.082431
2020/2/1,山口県,0.026553
2020/2/1,徳島県,-0.016067
2020/2/1,和歌山県,0.078122
2020/2/1,三重県,0.040014
2020/2/1,奈良県,0.004603
2020/2/1,島根県,0.196431
2020/2/1,広島県,0.000645
2020/2/1,香川県,0.009662
2020/2/1,岡山県,-0.027808
2020/2/1,兵庫県,0.031015
2020/2/1,大阪府,-0.036826
2020/2/1,愛知県,-0.005385
2020/2/1,静岡県,-0.030838
2020/2/1,鳥取県,-0.166334
2020/2/1,京都府,-0.049211
2020/2/1,滋賀県,-0.021736
2020/2/1,岐阜県,0.064543
2020/2/1,長野県,0.072842
2020/2/1,山梨県,-0.044075
2020/2/1,千葉県,-0.050425
2020/2/1,神奈川県,-0.051099
2020/2/1,福井県,0.002649
2020/2/1,埼玉県,-0.041998
2020/2/1,茨城県,0.011193
2020/2/1,石川県,-0.057237
2020/2/1,富山県,-0.045196
2020/2/1,群馬県,0.082043
2020/2/1,栃木県,0.118841
2020/2/1,新潟県,0.097862
2020/2/1,福島県,0.051836
2020/2/1,山形県,-0.023341
2020/2/1,宮城県,-0.049314
2020/2/1,秋田県,0.112291
2020/2/1,岩手県,0.120415
2020/2/1,青森県,-0.004622
2020/2/1,北海道,-0.001359
2020/2/2,沖縄県,0.109676
2020/2/2,東京都,0.167839
2020/2/2,鹿児島県,0.411965
2020/2/2,宮崎県,0.39042
2020/2/2,長崎県,0.269917
2020/2/2,熊本県,0.362788
2020/2/2,佐賀県,0.311087
2020/2/2,福岡県,0.273193
2020/2/2,大分県,0.313782
2020/2/2,高知県,0.519296
2020/2/2,愛媛県,0.218718
2020/2/2,山口県,0.40339
2020/2/2,徳島県,0.250683
2020/2/2,和歌山県,0.283601
2020/2/2,三重県,0.170796
2020/2/2,奈良県,0.158787
2020/2/2,島根県,0.589056
2020/2/2,広島県,0.326847
2020/2/2,香川県,0.253816
2020/2/2,岡山県,0.314421
2020/2/2,兵庫県,0.191528
2020/2/2,大阪府,0.173959
2020/2/2,愛知県,0.170938
2020/2/2,静岡県,0.238752
2020/2/2,鳥取県,0.290922
2020/2/2,京都府,0.151776
2020/2/2,滋賀県,0.266554
2020/2/2,岐阜県,0.200189
2020/2/2,長野県,0.264019
2020/2/2,山梨県,0.221126
2020/2/2,千葉県,0.146563
2020/2/2,神奈川県,0.133324
2020/2/2,福井県,0.294079
2020/2/2,埼玉県,0.135685
2020/2/2,茨城県,0.219251
2020/2/2,石川県,0.219164
2020/2/2,富山県,0.348132
2020/2/2,群馬県,0.235971
2020/2/2,栃木県,0.141038
2020/2/2,新潟県,0.291179
2020/2/2,福島県,0.357091
2020/2/2,山形県,0.39234
2020/2/2,宮城県,0.304657
2020/2/2,秋田県,0.454044
2020/2/2,岩手県,0.47949
2020/2/2,青森県,0.418421
2020/2/2,北海道,0.3194
2020/2/3,沖縄県,0.125824
2020/2/3,東京都,0.114545
2020/2/3,鹿児島県,0.21811
2020/2/3,宮崎県,0.27482
2020/2/3,長崎県,0.158881
2020/2/3,熊本県,0.180988
2020/2/3,佐賀県,0.107517
2020/2/3,福岡県,0.087918
2020/2/3,大分県,0.19952
2020/2/3,高知県,0.160171
2020/2/3,愛媛県,0.148578
2020/2/3,山口県,0.136776
2020/2/3,徳島県,0.203764
2020/2/3,和歌山県,0.225688
2020/2/3,三重県,0.110558
2020/2/3,奈良県,0.106065
2020/2/3,島根県,0.168785
2020/2/3,広島県,0.098274
2020/2/3,香川県,0.12225
2020/2/3,岡山県,0.111953
2020/2/3,兵庫県,0.12969
2020/2/3,大阪府,0.118926
2020/2/3,愛知県,0.0257
2020/2/3,静岡県,0.07758
2020/2/3,鳥取県,0.247885
2020/2/3,京都府,0.113117
2020/2/3,滋賀県,0.145434
2020/2/3,岐阜県,0.151953
2020/2/3,長野県,0.184574
2020/2/3,山梨県,0.152677
2020/2/3,千葉県,0.09111
2020/2/3,神奈川県,0.105604
2020/2/3,福井県,0.14553
2020/2/3,埼玉県,0.053055
2020/2/3,茨城県,0.085953
2020/2/3,石川県,0.128584
2020/2/3,富山県,0.123842
2020/2/3,群馬県,0.132446
2020/2/3,栃木県,0.089422
2020/2/3,新潟県,0.167843
2020/2/3,福島県,0.192263
2020/2/3,山形県,0.109647
2020/2/3,宮城県,0.0731
2020/2/3,秋田県,0.208729
2020/2/3,岩手県,0.239349
