代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
栃木県全体,すべての時間帯,2020年1月第1週,市区町村内,0.119675929
栃木県全体,すべての時間帯,2020年1月第1週,都道府県内,-6.199018298
栃木県全体,すべての時間帯,2020年1月第1週,都道府県外,1.426975951
栃木県全体,すべての時間帯,2020年1月第2週,市区町村内,-1.137970356
栃木県全体,すべての時間帯,2020年1月第2週,都道府県内,-3.229940818
栃木県全体,すべての時間帯,2020年1月第2週,都道府県外,10.433209199
栃木県全体,すべての時間帯,2020年1月第3週,市区町村内,-1.105543919
栃木県全体,すべての時間帯,2020年1月第3週,都道府県内,-2.313938140
栃木県全体,すべての時間帯,2020年1月第3週,都道府県外,8.210048584
栃木県全体,すべての時間帯,2020年1月第4週,市区町村内,-1.359978496
栃木県全体,すべての時間帯,2020年1月第4週,都道府県内,-0.104626627
栃木県全体,すべての時間帯,2020年1月第4週,都道府県外,7.203837031
栃木県全体,すべての時間帯,2020年1月第5週,市区町村内,-1.221453634
栃木県全体,すべての時間帯,2020年1月第5週,都道府県内,-1.273781422
栃木県全体,すべての時間帯,2020年1月第5週,都道府県外,6.132263398
栃木県全体,すべての時間帯,2020年2月第1週,市区町村内,0.818887790
栃木県全体,すべての時間帯,2020年2月第1週,都道府県内,0.073789837
栃木県全体,すべての時間帯,2020年2月第1週,都道府県外,-8.161335619
栃木県全体,すべての時間帯,2020年2月第2週,市区町村内,1.840962964
栃木県全体,すべての時間帯,2020年2月第2週,都道府県内,-3.373962440
栃木県全体,すべての時間帯,2020年2月第2週,都道府県外,-8.867775867
栃木県全体,すべての時間帯,2020年2月第3週,市区町村内,1.831568039
栃木県全体,すべての時間帯,2020年2月第3週,都道府県内,-3.944337103
栃木県全体,すべての時間帯,2020年2月第3週,都道府県外,-0.569780475
栃木県全体,すべての時間帯,2020年2月第4週,市区町村内,3.682947504
栃木県全体,すべての時間帯,2020年2月第4週,都道府県内,-11.678480718
栃木県全体,すべての時間帯,2020年2月第4週,都道府県外,-9.599131470
栃木県全体,すべての時間帯,2020年3月第1週,市区町村内,3.653169494
栃木県全体,すべての時間帯,2020年3月第1週,都道府県内,-7.983554223
栃木県全体,すべての時間帯,2020年3月第1週,都道府県外,-17.992833289
栃木県全体,すべての時間帯,2020年3月第2週,市区町村内,4.160750536
栃木県全体,すべての時間帯,2020年3月第2週,都道府県内,-8.350844014
栃木県全体,すべての時間帯,2020年3月第2週,都道府県外,-16.831616085
栃木県全体,すべての時間帯,2020年3月第3週,市区町村内,3.554450050
栃木県全体,すべての時間帯,2020年3月第3週,都道府県内,-7.029906789
栃木県全体,すべての時間帯,2020年3月第3週,都道府県外,-7.989790392
栃木県全体,すべての時間帯,2020年3月第4週,市区町村内,5.104447116
栃木県全体,すべての時間帯,2020年3月第4週,都道府県内,-8.405677900
栃木県全体,すべての時間帯,2020年3月第4週,都道府県外,-23.065871279
栃木県全体,すべての時間帯,2020年4月第1週,市区町村内,4.584026411
栃木県全体,すべての時間帯,2020年4月第1週,都道府県内,-8.714952837
栃木県全体,すべての時間帯,2020年4月第1週,都道府県外,-20.128922208
栃木県全体,すべての時間帯,2020年4月第2週,市区町村内,7.941849019
栃木県全体,すべての時間帯,2020年4月第2週,都道府県内,-15.923536430
栃木県全体,すべての時間帯,2020年4月第2週,都道府県外,-40.344662727
栃木県全体,すべての時間帯,2020年4月第3週,市区町村内,8.725775534
栃木県全体,すべての時間帯,2020年4月第3週,都道府県内,-19.090561530
栃木県全体,すべての時間帯,2020年4月第3週,都道府県外,-41.579084048
栃木県全体,すべての時間帯,2020年4月第4週,市区町村内,11.170254373
栃木県全体,すべての時間帯,2020年4月第4週,都道府県内,-23.391950928
栃木県全体,すべての時間帯,2020年4月第4週,都道府県外,-53.918379480
栃木県全体,すべての時間帯,2020年4月第5週,市区町村内,17.388045484
栃木県全体,すべての時間帯,2020年4月第5週,都道府県内,-16.935617884
栃木県全体,すべての時間帯,2020年4月第5週,都道府県外,-82.593412852
栃木県全体,すべての時間帯,2020年5月第1週,市区町村内,17.354825076
栃木県全体,すべての時間帯,2020年5月第1週,都道府県内,-50.348976542
栃木県全体,すべての時間帯,2020年5月第1週,都道府県外,-74.886019039
栃木県全体,すべての時間帯,2020年5月第2週,市区町村内,10.947459778
