代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
群馬県全体,すべての時間帯,2020年1月第1週,市区町村内,-0.172361947
群馬県全体,すべての時間帯,2020年1月第1週,都道府県内,-5.751037358
群馬県全体,すべての時間帯,2020年1月第1週,都道府県外,5.387472271
群馬県全体,すべての時間帯,2020年1月第2週,市区町村内,-2.283516082
群馬県全体,すべての時間帯,2020年1月第2週,都道府県内,-1.776444742
群馬県全体,すべての時間帯,2020年1月第2週,都道府県外,14.573337267
群馬県全体,すべての時間帯,2020年1月第3週,市区町村内,-1.906616310
群馬県全体,すべての時間帯,2020年1月第3週,都道府県内,-1.094252431
群馬県全体,すべての時間帯,2020年1月第3週,都道府県外,12.373607638
群馬県全体,すべての時間帯,2020年1月第4週,市区町村内,-2.517189848
群馬県全体,すべての時間帯,2020年1月第4週,都道府県内,1.324276391
群馬県全体,すべての時間帯,2020年1月第4週,都道府県外,12.938769123
群馬県全体,すべての時間帯,2020年1月第5週,市区町村内,-1.864979489
群馬県全体,すべての時間帯,2020年1月第5週,都道府県内,0.792914312
群馬県全体,すべての時間帯,2020年1月第5週,都道府県外,13.054321132
群馬県全体,すべての時間帯,2020年2月第1週,市区町村内,0.618423366
群馬県全体,すべての時間帯,2020年2月第1週,都道府県内,-1.171588019
群馬県全体,すべての時間帯,2020年2月第1週,都道府県外,-8.659837196
群馬県全体,すべての時間帯,2020年2月第2週,市区町村内,1.077369572
群馬県全体,すべての時間帯,2020年2月第2週,都道府県内,-0.269290055
群馬県全体,すべての時間帯,2020年2月第2週,都道府県外,-7.876314141
群馬県全体,すべての時間帯,2020年2月第3週,市区町村内,1.036128169
群馬県全体,すべての時間帯,2020年2月第3週,都道府県内,-1.753947500
群馬県全体,すべての時間帯,2020年2月第3週,都道府県外,2.689270990
群馬県全体,すべての時間帯,2020年2月第4週,市区町村内,3.197936859
群馬県全体,すべての時間帯,2020年2月第4週,都道府県内,-9.628916456
群馬県全体,すべての時間帯,2020年2月第4週,都道府県外,-4.461833362
群馬県全体,すべての時間帯,2020年3月第1週,市区町村内,3.093124421
