代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
静岡県全体,すべての時間帯,2020年1月第1週,市区町村内,-0.935138236
静岡県全体,すべての時間帯,2020年1月第1週,都道府県内,0.378622096
静岡県全体,すべての時間帯,2020年1月第1週,都道府県外,12.501785642
静岡県全体,すべての時間帯,2020年1月第2週,市区町村内,-2.324156265
静岡県全体,すべての時間帯,2020年1月第2週,都道府県内,1.072367486
静岡県全体,すべての時間帯,2020年1月第2週,都道府県外,18.541009603
静岡県全体,すべての時間帯,2020年1月第3週,市区町村内,-2.233952493
静岡県全体,すべての時間帯,2020年1月第3週,都道府県内,1.522140106
静岡県全体,すべての時間帯,2020年1月第3週,都道府県外,12.775233795
静岡県全体,すべての時間帯,2020年1月第4週,市区町村内,-1.719628141
静岡県全体,すべての時間帯,2020年1月第4週,都道府県内,0.196065183
静岡県全体,すべての時間帯,2020年1月第4週,都道府県外,10.986246133
静岡県全体,すべての時間帯,2020年1月第5週,市区町村内,-1.561925242
静岡県全体,すべての時間帯,2020年1月第5週,都道府県内,1.586095287
静岡県全体,すべての時間帯,2020年1月第5週,都道府県外,12.772915052
静岡県全体,すべての時間帯,2020年2月第1週,市区町村内,0.586686129
静岡県全体,すべての時間帯,2020年2月第1週,都道府県内,1.315456939
静岡県全体,すべての時間帯,2020年2月第1週,都道府県外,-12.477386239
静岡県全体,すべての時間帯,2020年2月第2週,市区町村内,1.339534056
静岡県全体,すべての時間帯,2020年2月第2週,都道府県内,-2.024183424
静岡県全体,すべての時間帯,2020年2月第2週,都道府県外,-5.950712906
静岡県全体,すべての時間帯,2020年2月第3週,市区町村内,0.328520316
静岡県全体,すべての時間帯,2020年2月第3週,都道府県内,0.689101781
静岡県全体,すべての時間帯,2020年2月第3週,都道府県外,5.102008693
静岡県全体,すべての時間帯,2020年2月第4週,市区町村内,2.692567595
静岡県全体,すべての時間帯,2020年2月第4週,都道府県内,-6.943666647
静岡県全体,すべての時間帯,2020年2月第4週,都道府県外,-11.740805258
静岡県全体,すべての時間帯,2020年3月第1週,市区町村内,3.559198732
静岡県全体,すべての時間帯,2020年3月第1週,都道府県内,-6.516634635
静岡県全体,すべての時間帯,2020年3月第1週,都道府県外,-21.545681183
静岡県全体,すべての時間帯,2020年3月第2週,市区町村内,4.023875794
静岡県全体,すべての時間帯,2020年3月第2週,都道府県内,-7.426317453
静岡県全体,すべての時間帯,2020年3月第2週,都道府県外,-23.911544843
静岡県全体,すべての時間帯,2020年3月第3週,市区町村内,3.589122887
静岡県全体,すべての時間帯,2020年3月第3週,都道府県内,-4.582393534
静岡県全体,すべての時間帯,2020年3月第3週,都道府県外,-7.862027385
静岡県全体,すべての時間帯,2020年3月第4週,市区町村内,4.616536556
静岡県全体,すべての時間帯,2020年3月第4週,都道府県内,-6.342159445
静岡県全体,すべての時間帯,2020年3月第4週,都道府県外,-29.786692950
静岡県全体,すべての時間帯,2020年4月第1週,市区町村内,3.943176975
静岡県全体,すべての時間帯,2020年4月第1週,都道府県内,-7.938008262
静岡県全体,すべての時間帯,2020年4月第1週,都道府県外,-29.438148810
静岡県全体,すべての時間帯,2020年4月第2週,市区町村内,8.861907861
静岡県全体,すべての時間帯,2020年4月第2週,都道府県内,-18.382041666
静岡県全体,すべての時間帯,2020年4月第2週,都道府県外,-51.936853437
静岡県全体,すべての時間帯,2020年4月第3週,市区町村内,9.670033448
静岡県全体,すべての時間帯,2020年4月第3週,都道府県内,-20.313421125
静岡県全体,すべての時間帯,2020年4月第3週,都道府県外,-51.794800167
静岡県全体,すべての時間帯,2020年4月第4週,市区町村内,12.502612716
静岡県全体,すべての時間帯,2020年4月第4週,都道府県内,-25.919151747
静岡県全体,すべての時間帯,2020年4月第4週,都道府県外,-64.307413842
静岡県全体,すべての時間帯,2020年4月第5週,市区町村内,18.368128072
静岡県全体,すべての時間帯,2020年4月第5週,都道府県内,-21.194412559
静岡県全体,すべての時間帯,2020年4月第5週,都道府県外,-89.189899689
静岡県全体,すべての時間帯,2020年5月第1週,市区町村内,19.327093560
静岡県全体,すべての時間帯,2020年5月第1週,都道府県内,-52.471016910
