エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
山梨県全体,2020年1月第1週,アジア・エスニック,-15.673141326
山梨県全体,2020年1月第1週,カフェ・スイーツ,-16.745308899
山梨県全体,2020年1月第1週,すべて,-8.015503680
山梨県全体,2020年1月第1週,ファミレス・ファストフード,14.586994728
山梨県全体,2020年1月第1週,中華,29.609246010
山梨県全体,2020年1月第1週,和食,5.422659730
山梨県全体,2020年1月第1週,居酒屋・バー,-10.849193877
山梨県全体,2020年1月第1週,洋食・西洋料理,-7.615397434
山梨県全体,2020年1月第1週,肉料理,-10.927152318
山梨県全体,2020年1月第1週,鍋料理,24.852941176
山梨県全体,2020年1月第2週,アジア・エスニック,-6.879606880
山梨県全体,2020年1月第2週,カフェ・スイーツ,-5.949179078
山梨県全体,2020年1月第2週,すべて,-4.687989325
山梨県全体,2020年1月第2週,ファミレス・ファストフード,30
山梨県全体,2020年1月第2週,中華,21.553884712
山梨県全体,2020年1月第2週,和食,2.290600246
山梨県全体,2020年1月第2週,居酒屋・バー,-5.285654712
山梨県全体,2020年1月第2週,洋食・西洋料理,-0.913165800
山梨県全体,2020年1月第2週,肉料理,-2.600370599
山梨県全体,2020年1月第2週,鍋料理,20.499788225
山梨県全体,2020年1月第3週,アジア・エスニック,-5.398601399
山梨県全体,2020年1月第3週,カフェ・スイーツ,-9.087883406
山梨県全体,2020年1月第3週,すべて,-6.764005522
山梨県全体,2020年1月第3週,ファミレス・ファストフード,25.438596491
山梨県全体,2020年1月第3週,中華,26.494452724
山梨県全体,2020年1月第3週,和食,2.611977536
山梨県全体,2020年1月第3週,居酒屋・バー,-10.579119897
山梨県全体,2020年1月第3週,洋食・西洋料理,-5.781720932
山梨県全体,2020年1月第3週,肉料理,-5.328077314
山梨県全体,2020年1月第3週,鍋料理,33.217542336
山梨県全体,2020年1月第4週,アジア・エスニック,-8.946648427
山梨県全体,2020年1月第4週,カフェ・スイーツ,-12.030938751
山梨県全体,2020年1月第4週,すべて,-0.678182298
山梨県全体,2020年1月第4週,ファミレス・ファストフード,51.335311573
山梨県全体,2020年1月第4週,中華,32.276657061
山梨県全体,2020年1月第4週,和食,14.714062142
山梨県全体,2020年1月第4週,居酒屋・バー,-6.879456328
山梨県全体,2020年1月第4週,洋食・西洋料理,12.768616788
山梨県全体,2020年1月第4週,肉料理,-16.254437870
山梨県全体,2020年1月第4週,鍋料理,19.715808171
山梨県全体,2020年1月第5週,アジア・エスニック,4.945756222
山梨県全体,2020年1月第5週,カフェ・スイーツ,-14.982815409
山梨県全体,2020年1月第5週,すべて,-5.805434574
山梨県全体,2020年1月第5週,ファミレス・ファストフード,59.516616314
山梨県全体,2020年1月第5週,中華,29.074143771
山梨県全体,2020年1月第5週,和食,5.080685081
山梨県全体,2020年1月第5週,居酒屋・バー,-6.770075036
山梨県全体,2020年1月第5週,洋食・西洋料理,-0.955963015
山梨県全体,2020年1月第5週,肉料理,-7.599225557
山梨県全体,2020年1月第5週,鍋料理,20.152453549
山梨県全体,2020年2月第1週,アジア・エスニック,-29.634888438
山梨県全体,2020年2月第1週,カフェ・スイーツ,-15.887600497
山梨県全体,2020年2月第1週,すべて,-10.026661504
山梨県全体,2020年2月第1週,ファミレス・ファストフード,15.265486726
山梨県全体,2020年2月第1週,中華,18.773025789
山梨県全体,2020年2月第1週,和食,-2.227810203
山梨県全体,2020年2月第1週,居酒屋・バー,-9.649164792
山梨県全体,2020年2月第1週,洋食・西洋料理,-8.573830205
山梨県全体,2020年2月第1週,肉料理,-9.445188957
山梨県全体,2020年2月第1週,鍋料理,7.672634271
山梨県全体,2020年2月第2週,アジア・エスニック,-14.486567914
山梨県全体,2020年2月第2週,カフェ・スイーツ,-6.099224756
山梨県全体,2020年2月第2週,すべて,4.696892037
山梨県全体,2020年2月第2週,ファミレス・ファストフード,22.624434389
山梨県全体,2020年2月第2週,中華,49.733905579
山梨県全体,2020年2月第2週,和食,13.984433402
山梨県全体,2020年2月第2週,居酒屋・バー,6.634739561
山梨県全体,2020年2月第2週,洋食・西洋料理,1.863051508
山梨県全体,2020年2月第2週,肉料理,8.389301991
山梨県全体,2020年2月第2週,鍋料理,44.093339815
山梨県全体,2020年2月第3週,アジア・エスニック,7.561235357
山梨県全体,2020年2月第3週,カフェ・スイーツ,-4.413638765
山梨県全体,2020年2月第3週,すべて,6.983863844
山梨県全体,2020年2月第3週,ファミレス・ファストフード,7.259953162
山梨県全体,2020年2月第3週,中華,38.437344810
山梨県全体,2020年2月第3週,和食,20.878206850
山梨県全体,2020年2月第3週,居酒屋・バー,-1.021085414
山梨県全体,2020年2月第3週,洋食・西洋料理,2.387194701
山梨県全体,2020年2月第3週,肉料理,12.866289091
山梨県全体,2020年2月第3週,鍋料理,14.909701806
山梨県全体,2020年2月第4週,アジア・エスニック,-6.814537680
山梨県全体,2020年2月第4週,カフェ・スイーツ,-12.251427840
山梨県全体,2020年2月第4週,すべて,-7.433359436
山梨県全体,2020年2月第4週,ファミレス・ファストフード,6.038647343
山梨県全体,2020年2月第4週,中華,37.285550896
山梨県全体,2020年2月第4週,和食,4.969182637
山梨県全体,2020年2月第4週,居酒屋・バー,-20.434873292
山梨県全体,2020年2月第4週,洋食・西洋料理,-12.632372266
山梨県全体,2020年2月第4週,肉料理,-12.137390995
山梨県全体,2020年2月第4週,鍋料理,4.939516129
山梨県全体,2020年3月第1週,アジア・エスニック,-22.170504655
山梨県全体,2020年3月第1週,カフェ・スイーツ,-16.463459582
山梨県全体,2020年3月第1週,すべて,-18.755143092
山梨県全体,2020年3月第1週,ファミレス・ファストフード,4.157043880
山梨県全体,2020年3月第1週,中華,11.268334771
山梨県全体,2020年3月第1週,和食,-14.638848219
山梨県全体,2020年3月第1週,居酒屋・バー,-32.507564297
山梨県全体,2020年3月第1週,洋食・西洋料理,-11.936915304
山梨県全体,2020年3月第1週,肉料理,-24.176455234
山梨県全体,2020年3月第1週,鍋料理,-18.127911902
山梨県全体,2020年3月第2週,アジア・エスニック,-16.885007278
山梨県全体,2020年3月第2週,カフェ・スイーツ,-20.808196878
山梨県全体,2020年3月第2週,すべて,-21.184163823
山梨県全体,2020年3月第2週,ファミレス・ファストフード,6.976744186
山梨県全体,2020年3月第2週,中華,1.147998759
山梨県全体,2020年3月第2週,和食,-15.299292101
山梨県全体,2020年3月第2週,居酒屋・バー,-30.918872184
山梨県全体,2020年3月第2週,洋食・西洋料理,-19.616145004
山梨県全体,2020年3月第2週,肉料理,-26.294702478
山梨県全体,2020年3月第2週,鍋料理,-5.216622458
山梨県全体,2020年3月第3週,アジア・エスニック,-17.683998995
山梨県全体,2020年3月第3週,カフェ・スイーツ,-3.398181745
山梨県全体,2020年3月第3週,すべて,-5.008611094
山梨県全体,2020年3月第3週,ファミレス・ファストフード,-5.916030534
山梨県全体,2020年3月第3週,中華,25.551782683
山梨県全体,2020年3月第3週,和食,3.987206021
山梨県全体,2020年3月第3週,居酒屋・バー,-23.309339324
山梨県全体,2020年3月第3週,洋食・西洋料理,-4.085626911
山梨県全体,2020年3月第3週,肉料理,-12.974468498
山梨県全体,2020年3月第3週,鍋料理,2.635983264
山梨県全体,2020年3月第4週,アジア・エスニック,-26.092512139
山梨県全体,2020年3月第4週,カフェ・スイーツ,-31.988345278
山梨県全体,2020年3月第4週,すべて,-30.556088102
山梨県全体,2020年3月第4週,ファミレス・ファストフード,-15.948275862
山梨県全体,2020年3月第4週,中華,-1.641742523
山梨県全体,2020年3月第4週,和食,-26.372605201
山梨県全体,2020年3月第4週,居酒屋・バー,-34.728340675
山梨県全体,2020年3月第4週,洋食・西洋料理,-28.319395540
山梨県全体,2020年3月第4週,肉料理,-31.702249234
山梨県全体,2020年3月第4週,鍋料理,-10.806618407
山梨県全体,2020年4月第1週,アジア・エスニック,-60.623946037
山梨県全体,2020年4月第1週,カフェ・スイーツ,-57.972944644
山梨県全体,2020年4月第1週,すべて,-55.898318043
山梨県全体,2020年4月第1週,ファミレス・ファストフード,-33.982683983
山梨県全体,2020年4月第1週,中華,-25.301421630
山梨県全体,2020年4月第1週,和食,-50.710659170
山梨県全体,2020年4月第1週,居酒屋・バー,-64.233541099
山梨県全体,2020年4月第1週,洋食・西洋料理,-57.662272651
山梨県全体,2020年4月第1週,肉料理,-60.555992657
山梨県全体,2020年4月第1週,鍋料理,-46.317829457
山梨県全体,2020年4月第2週,アジア・エスニック,-68.969098935
山梨県全体,2020年4月第2週,カフェ・スイーツ,-62.359956632
山梨県全体,2020年4月第2週,すべて,-64.865534955
山梨県全体,2020年4月第2週,ファミレス・ファストフード,-29.157175399
山梨県全体,2020年4月第2週,中華,-27.970049917
山梨県全体,2020年4月第2週,和食,-61.949296590
山梨県全体,2020年4月第2週,居酒屋・バー,-78.078928443
山梨県全体,2020年4月第2週,洋食・西洋料理,-67.558820508
山梨県全体,2020年4月第2週,肉料理,-68.926096414
山梨県全体,2020年4月第2週,鍋料理,-55.616575137
山梨県全体,2020年4月第3週,アジア・エスニック,-63.208685163
山梨県全体,2020年4月第3週,カフェ・スイーツ,-66.472130175
山梨県全体,2020年4月第3週,すべて,-61.920026038
山梨県全体,2020年4月第3週,ファミレス・ファストフード,-10.666666667
山梨県全体,2020年4月第3週,中華,-28.674897119
山梨県全体,2020年4月第3週,和食,-50.920280116
山梨県全体,2020年4月第3週,居酒屋・バー,-75.954987032
山梨県全体,2020年4月第3週,洋食・西洋料理,-71.176424971
山梨県全体,2020年4月第3週,肉料理,-68.083439428
山梨県全体,2020年4月第3週,鍋料理,-60.748476936
山梨県全体,2020年4月第4週,アジア・エスニック,-71.243581157
山梨県全体,2020年4月第4週,カフェ・スイーツ,-75.914381136
山梨県全体,2020年4月第4週,すべて,-75.463393364
山梨県全体,2020年4月第4週,ファミレス・ファストフード,-37.636080871
山梨県全体,2020年4月第4週,中華,-42.398108221
山梨県全体,2020年4月第4週,和食,-71.823408063
山梨県全体,2020年4月第4週,居酒屋・バー,-82.473874216
山梨県全体,2020年4月第4週,洋食・西洋料理,-80.405050328
山梨県全体,2020年4月第4週,肉料理,-79.141104294
山梨県全体,2020年4月第4週,鍋料理,-76.266383280
山梨県全体,2020年4月第5週,アジア・エスニック,-77.013559876
山梨県全体,2020年4月第5週,カフェ・スイーツ,-86.097045098
山梨県全体,2020年4月第5週,すべて,-85.300651297
山梨県全体,2020年4月第5週,ファミレス・ファストフード,-51.4
山梨県全体,2020年4月第5週,中華,-58.370675748
山梨県全体,2020年4月第5週,和食,-84.730895538
山梨県全体,2020年4月第5週,居酒屋・バー,-87.256963373
山梨県全体,2020年4月第5週,洋食・西洋料理,-87.016551609
山梨県全体,2020年4月第5週,肉料理,-87.223017322
山梨県全体,2020年4月第5週,鍋料理,-81.900668577
山梨県全体,2020年5月第1週,アジア・エスニック,-55.770405048
山梨県全体,2020年5月第1週,カフェ・スイーツ,-64.619903169
山梨県全体,2020年5月第1週,すべて,-61.918842449
山梨県全体,2020年5月第1週,ファミレス・ファストフード,-13.787085515
山梨県全体,2020年5月第1週,中華,-19.747607821
山梨県全体,2020年5月第1週,和食,-56.905453482
山梨県全体,2020年5月第1週,居酒屋・バー,-72.041763341
