エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
茨城県全体,2020年1月第1週,アジア・エスニック,10.305384698
茨城県全体,2020年1月第1週,カフェ・スイーツ,-8.482069868
茨城県全体,2020年1月第1週,すべて,-6.691429943
茨城県全体,2020年1月第1週,ファミレス・ファストフード,-8.430493274
茨城県全体,2020年1月第1週,中華,4.121700689
茨城県全体,2020年1月第1週,和食,-4.773757922
茨城県全体,2020年1月第1週,居酒屋・バー,4.493471838
茨城県全体,2020年1月第1週,洋食・西洋料理,2.159866037
茨城県全体,2020年1月第1週,肉料理,-3.805104408
茨城県全体,2020年1月第1週,鍋料理,-21.610111901
茨城県全体,2020年1月第2週,アジア・エスニック,8.205357143
茨城県全体,2020年1月第2週,カフェ・スイーツ,-6.587671040
茨城県全体,2020年1月第2週,すべて,-3.028394168
茨城県全体,2020年1月第2週,ファミレス・ファストフード,-7.457443934
茨城県全体,2020年1月第2週,中華,9.550486264
茨城県全体,2020年1月第2週,和食,-1.087169551
茨城県全体,2020年1月第2週,居酒屋・バー,6.734013152
茨城県全体,2020年1月第2週,洋食・西洋料理,7.115191508
茨城県全体,2020年1月第2週,肉料理,7.156352242
茨城県全体,2020年1月第2週,鍋料理,-22.619896948
茨城県全体,2020年1月第3週,アジア・エスニック,-1.399759181
茨城県全体,2020年1月第3週,カフェ・スイーツ,-10.629069359
茨城県全体,2020年1月第3週,すべて,-2.489891712
茨城県全体,2020年1月第3週,ファミレス・ファストフード,-2.619372442
茨城県全体,2020年1月第3週,中華,10.710482276
茨城県全体,2020年1月第3週,和食,-0.882747625
茨城県全体,2020年1月第3週,居酒屋・バー,14.385096557
茨城県全体,2020年1月第3週,洋食・西洋料理,12.432175850
茨城県全体,2020年1月第3週,肉料理,3.171708278
茨城県全体,2020年1月第3週,鍋料理,-7.609038835
茨城県全体,2020年1月第4週,アジア・エスニック,10.410568784
茨城県全体,2020年1月第4週,カフェ・スイーツ,-5.218635126
茨城県全体,2020年1月第4週,すべて,2.734368236
茨城県全体,2020年1月第4週,ファミレス・ファストフード,15.342837746
茨城県全体,2020年1月第4週,中華,4.595080984
茨城県全体,2020年1月第4週,和食,8.545903578
茨城県全体,2020年1月第4週,居酒屋・バー,17.009828254
茨城県全体,2020年1月第4週,洋食・西洋料理,9.707207707
茨城県全体,2020年1月第4週,肉料理,9.037694013
茨城県全体,2020年1月第4週,鍋料理,-0.108518719
茨城県全体,2020年1月第5週,アジア・エスニック,16.265203911
茨城県全体,2020年1月第5週,カフェ・スイーツ,-6.949450876
茨城県全体,2020年1月第5週,すべて,3.523025133
茨城県全体,2020年1月第5週,ファミレス・ファストフード,1.641836424
茨城県全体,2020年1月第5週,中華,9.922246220
茨城県全体,2020年1月第5週,和食,7.150918027
茨城県全体,2020年1月第5週,居酒屋・バー,14.120827085
茨城県全体,2020年1月第5週,洋食・西洋料理,16.186950207
茨城県全体,2020年1月第5週,肉料理,12.888215561
茨城県全体,2020年1月第5週,鍋料理,10.057242805
茨城県全体,2020年2月第1週,アジア・エスニック,4.091327000
茨城県全体,2020年2月第1週,カフェ・スイーツ,-2.248133171
茨城県全体,2020年2月第1週,すべて,3.832124188
茨城県全体,2020年2月第1週,ファミレス・ファストフード,-5.138339921
茨城県全体,2020年2月第1週,中華,6.788117893
茨城県全体,2020年2月第1週,和食,6.294519942
茨城県全体,2020年2月第1週,居酒屋・バー,11.778985304
茨城県全体,2020年2月第1週,洋食・西洋料理,14.980004603
茨城県全体,2020年2月第1週,肉料理,11.451186200
茨城県全体,2020年2月第1週,鍋料理,-15.321556053
茨城県全体,2020年2月第2週,アジア・エスニック,7.626997717
茨城県全体,2020年2月第2週,カフェ・スイーツ,5.907803573
