エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
長野県全体,2020年1月第1週,アジア・エスニック,-14.709386999
長野県全体,2020年1月第1週,カフェ・スイーツ,-9.772715315
長野県全体,2020年1月第1週,すべて,-8.080304191
長野県全体,2020年1月第1週,ファミレス・ファストフード,39.163916392
長野県全体,2020年1月第1週,中華,10.754307748
長野県全体,2020年1月第1週,和食,-3.699982441
長野県全体,2020年1月第1週,居酒屋・バー,-14.307798296
長野県全体,2020年1月第1週,洋食・西洋料理,-2.251839113
長野県全体,2020年1月第1週,肉料理,-9.322033898
長野県全体,2020年1月第1週,鍋料理,-28.684210526
長野県全体,2020年1月第2週,アジア・エスニック,-1.007524550
長野県全体,2020年1月第2週,カフェ・スイーツ,-5.355812478
長野県全体,2020年1月第2週,すべて,-7.556710018
長野県全体,2020年1月第2週,ファミレス・ファストフード,14.983050847
長野県全体,2020年1月第2週,中華,7.624003167
長野県全体,2020年1月第2週,和食,-5.429237302
長野県全体,2020年1月第2週,居酒屋・バー,-10.768800506
長野県全体,2020年1月第2週,洋食・西洋料理,-0.236654075
長野県全体,2020年1月第2週,肉料理,-5.670487987
長野県全体,2020年1月第2週,鍋料理,-24.448367167
長野県全体,2020年1月第3週,アジア・エスニック,-4.039868519
長野県全体,2020年1月第3週,カフェ・スイーツ,-6.003909356
長野県全体,2020年1月第3週,すべて,-2.137822013
長野県全体,2020年1月第3週,ファミレス・ファストフード,21.744877726
長野県全体,2020年1月第3週,中華,11.497157296
長野県全体,2020年1月第3週,和食,4.275799752
長野県全体,2020年1月第3週,居酒屋・バー,-5.894528438
長野県全体,2020年1月第3週,洋食・西洋料理,3.604084514
長野県全体,2020年1月第3週,肉料理,0.098047954
長野県全体,2020年1月第3週,鍋料理,-21.307127312
長野県全体,2020年1月第4週,アジア・エスニック,-3.754528488
長野県全体,2020年1月第4週,カフェ・スイーツ,3.128903654
長野県全体,2020年1月第4週,すべて,5.504448502
長野県全体,2020年1月第4週,ファミレス・ファストフード,22.257250946
長野県全体,2020年1月第4週,中華,14.272237945
長野県全体,2020年1月第4週,和食,13.199761395
長野県全体,2020年1月第4週,居酒屋・バー,6.584758693
長野県全体,2020年1月第4週,洋食・西洋料理,9.752559412
長野県全体,2020年1月第4週,肉料理,0.337683673
長野県全体,2020年1月第4週,鍋料理,-15.357529794
長野県全体,2020年1月第5週,アジア・エスニック,15.061642242
長野県全体,2020年1月第5週,カフェ・スイーツ,-1.043550425
長野県全体,2020年1月第5週,すべて,-0.136266513
