エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
静岡県全体,2020年1月第1週,アジア・エスニック,-2.652670402
静岡県全体,2020年1月第1週,カフェ・スイーツ,-4.532346190
静岡県全体,2020年1月第1週,すべて,-3.105810674
静岡県全体,2020年1月第1週,ファミレス・ファストフード,5.340042201
静岡県全体,2020年1月第1週,中華,16.004194071
静岡県全体,2020年1月第1週,和食,2.881301177
静岡県全体,2020年1月第1週,居酒屋・バー,-4.602931851
静岡県全体,2020年1月第1週,洋食・西洋料理,-7.484607161
静岡県全体,2020年1月第1週,肉料理,-0.950693099
静岡県全体,2020年1月第1週,鍋料理,-4.038166638
静岡県全体,2020年1月第2週,アジア・エスニック,-3.280353728
静岡県全体,2020年1月第2週,カフェ・スイーツ,-8.944332900
静岡県全体,2020年1月第2週,すべて,-4.478782345
静岡県全体,2020年1月第2週,ファミレス・ファストフード,7.249889819
静岡県全体,2020年1月第2週,中華,17.725884324
静岡県全体,2020年1月第2週,和食,1.231316019
静岡県全体,2020年1月第2週,居酒屋・バー,-1.217036938
静岡県全体,2020年1月第2週,洋食・西洋料理,-3.859253139
静岡県全体,2020年1月第2週,肉料理,-4.551016991
静岡県全体,2020年1月第2週,鍋料理,2.557377049
静岡県全体,2020年1月第3週,アジア・エスニック,-6.613824695
静岡県全体,2020年1月第3週,カフェ・スイーツ,-7.492399306
静岡県全体,2020年1月第3週,すべて,-3.819798083
静岡県全体,2020年1月第3週,ファミレス・ファストフード,-0.703021091
静岡県全体,2020年1月第3週,中華,10.606514788
静岡県全体,2020年1月第3週,和食,1.802210375
静岡県全体,2020年1月第3週,居酒屋・バー,0.704337827
静岡県全体,2020年1月第3週,洋食・西洋料理,-3.304886133
静岡県全体,2020年1月第3週,肉料理,-1.167998595
静岡県全体,2020年1月第3週,鍋料理,6.967281183
静岡県全体,2020年1月第4週,アジア・エスニック,1.969400180
静岡県全体,2020年1月第4週,カフェ・スイーツ,-4.456599519
静岡県全体,2020年1月第4週,すべて,2.639338169
静岡県全体,2020年1月第4週,ファミレス・ファストフード,8.185053381
静岡県全体,2020年1月第4週,中華,18.928734374
静岡県全体,2020年1月第4週,和食,10.534490635
静岡県全体,2020年1月第4週,居酒屋・バー,10.967508550
静岡県全体,2020年1月第4週,洋食・西洋料理,2.637146633
静岡県全体,2020年1月第4週,肉料理,5.775842014
静岡県全体,2020年1月第4週,鍋料理,16.546824916
静岡県全体,2020年1月第5週,アジア・エスニック,1.518945993
静岡県全体,2020年1月第5週,カフェ・スイーツ,-3.912127116
静岡県全体,2020年1月第5週,すべて,-0.348095979
静岡県全体,2020年1月第5週,ファミレス・ファストフード,4.557405784
静岡県全体,2020年1月第5週,中華,19.592743428
静岡県全体,2020年1月第5週,和食,4.449977425
静岡県全体,2020年1月第5週,居酒屋・バー,7.848052610
静岡県全体,2020年1月第5週,洋食・西洋料理,1.643358678
静岡県全体,2020年1月第5週,肉料理,1.779654626
静岡県全体,2020年1月第5週,鍋料理,6.508082754
静岡県全体,2020年2月第1週,アジア・エスニック,-10.510783201
静岡県全体,2020年2月第1週,カフェ・スイーツ,-10.730145880
静岡県全体,2020年2月第1週,すべて,-4.231370774
静岡県全体,2020年2月第1週,ファミレス・ファストフード,-6.546505696
静岡県全体,2020年2月第1週,中華,3.536217837
静岡県全体,2020年2月第1週,和食,1.907781861
静岡県全体,2020年2月第1週,居酒屋・バー,0.102065930
静岡県全体,2020年2月第1週,洋食・西洋料理,-5.861046944
静岡県全体,2020年2月第1週,肉料理,-7.173435539
静岡県全体,2020年2月第1週,鍋料理,0.475423664
静岡県全体,2020年2月第2週,アジア・エスニック,1.175218842
静岡県全体,2020年2月第2週,カフェ・スイーツ,3.639344262
静岡県全体,2020年2月第2週,すべて,5.332259787
静岡県全体,2020年2月第2週,ファミレス・ファストフード,9.488906498
静岡県全体,2020年2月第2週,中華,23.721421357
静岡県全体,2020年2月第2週,和食,8.245276923
静岡県全体,2020年2月第2週,居酒屋・バー,10.114296660
静岡県全体,2020年2月第2週,洋食・西洋料理,4.675306989
静岡県全体,2020年2月第2週,肉料理,5.524159021
静岡県全体,2020年2月第2週,鍋料理,8.287904600
静岡県全体,2020年2月第3週,アジア・エスニック,-0.166605925
静岡県全体,2020年2月第3週,カフェ・スイーツ,-2.551435319
静岡県全体,2020年2月第3週,すべて,-0.516870306
静岡県全体,2020年2月第3週,ファミレス・ファストフード,2.150950643
静岡県全体,2020年2月第3週,中華,18.640500016
静岡県全体,2020年2月第3週,和食,4.876928901
静岡県全体,2020年2月第3週,居酒屋・バー,3.214886155
