代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
山梨県全体,すべての時間帯,2020年1月第1週,市区町村内,-0.168373814
山梨県全体,すべての時間帯,2020年1月第1週,都道府県内,-7.810716954
山梨県全体,すべての時間帯,2020年1月第1週,都道府県外,5.259046747
山梨県全体,すべての時間帯,2020年1月第2週,市区町村内,-2.453649778
山梨県全体,すべての時間帯,2020年1月第2週,都道府県内,-5.374092558
山梨県全体,すべての時間帯,2020年1月第2週,都道府県外,10.694331466
山梨県全体,すべての時間帯,2020年1月第3週,市区町村内,-2.422890782
山梨県全体,すべての時間帯,2020年1月第3週,都道府県内,-2.457260001
山梨県全体,すべての時間帯,2020年1月第3週,都道府県外,7.603616863
山梨県全体,すべての時間帯,2020年1月第4週,市区町村内,-3.627933802
山梨県全体,すべての時間帯,2020年1月第4週,都道府県内,-0.766221475
山梨県全体,すべての時間帯,2020年1月第4週,都道府県外,6.312064131
山梨県全体,すべての時間帯,2020年1月第5週,市区町村内,-1.802709241
山梨県全体,すべての時間帯,2020年1月第5週,都道府県内,-3.130702504
山梨県全体,すべての時間帯,2020年1月第5週,都道府県外,7.309811561
山梨県全体,すべての時間帯,2020年2月第1週,市区町村内,0.931750448
山梨県全体,すべての時間帯,2020年2月第1週,都道府県内,-2.103237637
山梨県全体,すべての時間帯,2020年2月第1週,都道府県外,-6.363874632
山梨県全体,すべての時間帯,2020年2月第2週,市区町村内,0.528107033
山梨県全体,すべての時間帯,2020年2月第2週,都道府県内,-1.331027586
山梨県全体,すべての時間帯,2020年2月第2週,都道府県外,-8.250396580
山梨県全体,すべての時間帯,2020年2月第3週,市区町村内,1.378723311
山梨県全体,すべての時間帯,2020年2月第3週,都道府県内,-3.178600985
山梨県全体,すべての時間帯,2020年2月第3週,都道府県外,16.012208646
山梨県全体,すべての時間帯,2020年2月第4週,市区町村内,3.546485796
山梨県全体,すべての時間帯,2020年2月第4週,都道府県内,-9.724171287
山梨県全体,すべての時間帯,2020年2月第4週,都道府県外,-3.632889072
山梨県全体,すべての時間帯,2020年3月第1週,市区町村内,3.894696641
山梨県全体,すべての時間帯,2020年3月第1週,都道府県内,-7.318763800
山梨県全体,すべての時間帯,2020年3月第1週,都道府県外,-21.148887291
山梨県全体,すべての時間帯,2020年3月第2週,市区町村内,5.225883907
山梨県全体,すべての時間帯,2020年3月第2週,都道府県内,-8.924800702
山梨県全体,すべての時間帯,2020年3月第2週,都道府県外,-19.662793939
山梨県全体,すべての時間帯,2020年3月第3週,市区町村内,3.502589899
山梨県全体,すべての時間帯,2020年3月第3週,都道府県内,-5.949927243
山梨県全体,すべての時間帯,2020年3月第3週,都道府県外,-2.296158036
山梨県全体,すべての時間帯,2020年3月第4週,市区町村内,5.639782692
山梨県全体,すべての時間帯,2020年3月第4週,都道府県内,-9.445623204
山梨県全体,すべての時間帯,2020年3月第4週,都道府県外,-33.168818199
山梨県全体,すべての時間帯,2020年4月第1週,市区町村内,4.624065923
山梨県全体,すべての時間帯,2020年4月第1週,都道府県内,-9.673836492
山梨県全体,すべての時間帯,2020年4月第1週,都道府県外,-34.786024526
山梨県全体,すべての時間帯,2020年4月第2週,市区町村内,8.746732103
山梨県全体,すべての時間帯,2020年4月第2週,都道府県内,-17.895149470
山梨県全体,すべての時間帯,2020年4月第2週,都道府県外,-54.723492039
山梨県全体,すべての時間帯,2020年4月第3週,市区町村内,9.583856815
山梨県全体,すべての時間帯,2020年4月第3週,都道府県内,-19.147072276
山梨県全体,すべての時間帯,2020年4月第3週,都道府県外,-56.372515490
山梨県全体,すべての時間帯,2020年4月第4週,市区町村内,11.879466247
山梨県全体,すべての時間帯,2020年4月第4週,都道府県内,-23.390384452
