エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
栃木県全体,2020年1月第1週,アジア・エスニック,-1.594146087
栃木県全体,2020年1月第1週,カフェ・スイーツ,-15.219196112
栃木県全体,2020年1月第1週,すべて,-7.420921623
栃木県全体,2020年1月第1週,ファミレス・ファストフード,8.170585891
栃木県全体,2020年1月第1週,中華,15.636737437
栃木県全体,2020年1月第1週,和食,-3.631308175
栃木県全体,2020年1月第1週,居酒屋・バー,-10.735409844
栃木県全体,2020年1月第1週,洋食・西洋料理,-0.435257694
栃木県全体,2020年1月第1週,肉料理,-13.315724429
栃木県全体,2020年1月第1週,鍋料理,-11.264314092
栃木県全体,2020年1月第2週,アジア・エスニック,1.053062059
栃木県全体,2020年1月第2週,カフェ・スイーツ,-25.537157927
栃木県全体,2020年1月第2週,すべて,-9.839000932
栃木県全体,2020年1月第2週,ファミレス・ファストフード,29.535147392
栃木県全体,2020年1月第2週,中華,17.110283126
栃木県全体,2020年1月第2週,和食,-2.572228999
栃木県全体,2020年1月第2週,居酒屋・バー,-11.725663717
栃木県全体,2020年1月第2週,洋食・西洋料理,-0.556995444
栃木県全体,2020年1月第2週,肉料理,-5.391515152
栃木県全体,2020年1月第2週,鍋料理,-5.744504355
栃木県全体,2020年1月第3週,アジア・エスニック,-12.399963205
栃木県全体,2020年1月第3週,カフェ・スイーツ,-17.087569870
栃木県全体,2020年1月第3週,すべて,-7.064713977
栃木県全体,2020年1月第3週,ファミレス・ファストフード,10.720802920
栃木県全体,2020年1月第3週,中華,17.962726261
栃木県全体,2020年1月第3週,和食,-0.023221589
栃木県全体,2020年1月第3週,居酒屋・バー,-6.049113291
栃木県全体,2020年1月第3週,洋食・西洋料理,-2.383189730
栃木県全体,2020年1月第3週,肉料理,-8.780250798
栃木県全体,2020年1月第3週,鍋料理,-9.078590786
栃木県全体,2020年1月第4週,アジア・エスニック,-0.311173975
栃木県全体,2020年1月第4週,カフェ・スイーツ,-11.984405018
栃木県全体,2020年1月第4週,すべて,-1.229192488
栃木県全体,2020年1月第4週,ファミレス・ファストフード,16.505747126
栃木県全体,2020年1月第4週,中華,19.775089224
栃木県全体,2020年1月第4週,和食,4.129376370
栃木県全体,2020年1月第4週,居酒屋・バー,-1.465340352
栃木県全体,2020年1月第4週,洋食・西洋料理,8.176811185
栃木県全体,2020年1月第4週,肉料理,2.462054801
栃木県全体,2020年1月第4週,鍋料理,16.203914429
栃木県全体,2020年1月第5週,アジア・エスニック,4.467717141
栃木県全体,2020年1月第5週,カフェ・スイーツ,-13.466039005
栃木県全体,2020年1月第5週,すべて,-5.229265980
栃木県全体,2020年1月第5週,ファミレス・ファストフード,21.963394343
栃木県全体,2020年1月第5週,中華,20.743675989
栃木県全体,2020年1月第5週,和食,1.274208688
栃木県全体,2020年1月第5週,居酒屋・バー,-2.028822337
栃木県全体,2020年1月第5週,洋食・西洋料理,-2.043470610
栃木県全体,2020年1月第5週,肉料理,-5.447404786
栃木県全体,2020年1月第5週,鍋料理,-8.713602781
栃木県全体,2020年2月第1週,アジア・エスニック,-10.841836735
栃木県全体,2020年2月第1週,カフェ・スイーツ,-12.509980696
栃木県全体,2020年2月第1週,すべて,-2.769067925
栃木県全体,2020年2月第1週,ファミレス・ファストフード,19.232685600
栃木県全体,2020年2月第1週,中華,0.503941078
栃木県全体,2020年2月第1週,和食,5.754432723
栃木県全体,2020年2月第1週,居酒屋・バー,-1.430852628
栃木県全体,2020年2月第1週,洋食・西洋料理,2.485390770
栃木県全体,2020年2月第1週,肉料理,-2.071012725
栃木県全体,2020年2月第1週,鍋料理,-2.245356195
栃木県全体,2020年2月第2週,アジア・エスニック,-8.331112887
栃木県全体,2020年2月第2週,カフェ・スイーツ,-9.026040680
栃木県全体,2020年2月第2週,すべて,3.194291840
栃木県全体,2020年2月第2週,ファミレス・ファストフード,27.752502275
栃木県全体,2020年2月第2週,中華,22.426520981
栃木県全体,2020年2月第2週,和食,11.517413815
栃木県全体,2020年2月第2週,居酒屋・バー,3.831888462
栃木県全体,2020年2月第2週,洋食・西洋料理,6.008763223
栃木県全体,2020年2月第2週,肉料理,0.287263124
栃木県全体,2020年2月第2週,鍋料理,2.204981625
栃木県全体,2020年2月第3週,アジア・エスニック,-11.403911487
栃木県全体,2020年2月第3週,カフェ・スイーツ,-14.396165913
栃木県全体,2020年2月第3週,すべて,-4.873975068
