エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
群馬県全体,2020年1月第1週,アジア・エスニック,-5.012084976
群馬県全体,2020年1月第1週,カフェ・スイーツ,-7.997647751
群馬県全体,2020年1月第1週,すべて,-0.230854753
群馬県全体,2020年1月第1週,ファミレス・ファストフード,30.580357143
群馬県全体,2020年1月第1週,中華,6.084363017
群馬県全体,2020年1月第1週,和食,1.818387993
群馬県全体,2020年1月第1週,居酒屋・バー,24.944949613
群馬県全体,2020年1月第1週,洋食・西洋料理,8.225894316
群馬県全体,2020年1月第1週,肉料理,4.513589301
群馬県全体,2020年1月第1週,鍋料理,6.195892039
群馬県全体,2020年1月第2週,アジア・エスニック,-2.803210128
群馬県全体,2020年1月第2週,カフェ・スイーツ,-10.103081357
群馬県全体,2020年1月第2週,すべて,-2.285599143
群馬県全体,2020年1月第2週,ファミレス・ファストフード,40.485312899
群馬県全体,2020年1月第2週,中華,10.334411164
群馬県全体,2020年1月第2週,和食,-2.019027275
群馬県全体,2020年1月第2週,居酒屋・バー,26.076931604
群馬県全体,2020年1月第2週,洋食・西洋料理,6.045207796
群馬県全体,2020年1月第2週,肉料理,4.526464180
群馬県全体,2020年1月第2週,鍋料理,15.776951673
群馬県全体,2020年1月第3週,アジア・エスニック,-6.794541464
群馬県全体,2020年1月第3週,カフェ・スイーツ,-5.834153721
群馬県全体,2020年1月第3週,すべて,3.247023330
群馬県全体,2020年1月第3週,ファミレス・ファストフード,24.705882353
群馬県全体,2020年1月第3週,中華,10.278466249
群馬県全体,2020年1月第3週,和食,4.070661095
群馬県全体,2020年1月第3週,居酒屋・バー,24.465349767
群馬県全体,2020年1月第3週,洋食・西洋料理,19.621970073
群馬県全体,2020年1月第3週,肉料理,6.015811386
群馬県全体,2020年1月第3週,鍋料理,17.084213704
群馬県全体,2020年1月第4週,アジア・エスニック,-6.650018498
群馬県全体,2020年1月第4週,カフェ・スイーツ,-0.038081444
群馬県全体,2020年1月第4週,すべて,5.975943258
群馬県全体,2020年1月第4週,ファミレス・ファストフード,24.074074074
群馬県全体,2020年1月第4週,中華,12.113160363
群馬県全体,2020年1月第4週,和食,9.071090466
群馬県全体,2020年1月第4週,居酒屋・バー,30.054305995
群馬県全体,2020年1月第4週,洋食・西洋料理,15.773680604
群馬県全体,2020年1月第4週,肉料理,5.417836739
群馬県全体,2020年1月第4週,鍋料理,15.478927203
群馬県全体,2020年1月第5週,アジア・エスニック,-2.849173142
群馬県全体,2020年1月第5週,カフェ・スイーツ,-3.170751720
群馬県全体,2020年1月第5週,すべて,-0.304457168
群馬県全体,2020年1月第5週,ファミレス・ファストフード,31.034482759
群馬県全体,2020年1月第5週,中華,20.714730937
群馬県全体,2020年1月第5週,和食,0.073893298
群馬県全体,2020年1月第5週,居酒屋・バー,19.816801662
群馬県全体,2020年1月第5週,洋食・西洋料理,2.222770696
群馬県全体,2020年1月第5週,肉料理,5.629728527
群馬県全体,2020年1月第5週,鍋料理,14.333175131
群馬県全体,2020年2月第1週,アジア・エスニック,-4.662834200
群馬県全体,2020年2月第1週,カフェ・スイーツ,-10.678578017
群馬県全体,2020年2月第1週,すべて,-3.823966337
群馬県全体,2020年2月第1週,ファミレス・ファストフード,18.621973929
群馬県全体,2020年2月第1週,中華,14.358212201
群馬県全体,2020年2月第1週,和食,-3.267023117
群馬県全体,2020年2月第1週,居酒屋・バー,16.720858239
群馬県全体,2020年2月第1週,洋食・西洋料理,-1.046454366
群馬県全体,2020年2月第1週,肉料理,4.444292736
群馬県全体,2020年2月第1週,鍋料理,5.177854274
群馬県全体,2020年2月第2週,アジア・エスニック,2.089552239
群馬県全体,2020年2月第2週,カフェ・スイーツ,0.178060933
群馬県全体,2020年2月第2週,すべて,9.101489814
群馬県全体,2020年2月第2週,ファミレス・ファストフード,61.516034985
群馬県全体,2020年2月第2週,中華,21.630973193
群馬県全体,2020年2月第2週,和食,8.676336601
群馬県全体,2020年2月第2週,居酒屋・バー,39.873211611
群馬県全体,2020年2月第2週,洋食・西洋料理,13.668604223
群馬県全体,2020年2月第2週,肉料理,15.145869086
群馬県全体,2020年2月第2週,鍋料理,25.512456638
群馬県全体,2020年2月第3週,アジア・エスニック,1.924709878
群馬県全体,2020年2月第3週,カフェ・スイーツ,-8.528157066
群馬県全体,2020年2月第3週,すべて,5.772194840
群馬県全体,2020年2月第3週,ファミレス・ファストフード,38.397502601
群馬県全体,2020年2月第3週,中華,21.988852088
群馬県全体,2020年2月第3週,和食,4.305569871
群馬県全体,2020年2月第3週,居酒屋・バー,35.328103914
群馬県全体,2020年2月第3週,洋食・西洋料理,22.039942939
群馬県全体,2020年2月第3週,肉料理,7.871944860
群馬県全体,2020年2月第3週,鍋料理,27.268331990
群馬県全体,2020年2月第4週,アジア・エスニック,1.780821918
群馬県全体,2020年2月第4週,カフェ・スイーツ,-14.585481798
群馬県全体,2020年2月第4週,すべて,-4.975000252
群馬県全体,2020年2月第4週,ファミレス・ファストフード,29.357798165
群馬県全体,2020年2月第4週,中華,12.620339576
群馬県全体,2020年2月第4週,和食,1.654190205
群馬県全体,2020年2月第4週,居酒屋・バー,1.270098089
群馬県全体,2020年2月第4週,洋食・西洋料理,1.966175514
群馬県全体,2020年2月第4週,肉料理,-6.681009819
群馬県全体,2020年2月第4週,鍋料理,7.793557326
群馬県全体,2020年3月第1週,アジア・エスニック,-12.767029424
群馬県全体,2020年3月第1週,カフェ・スイーツ,-20.746613809
群馬県全体,2020年3月第1週,すべて,-14.032365705
群馬県全体,2020年3月第1週,ファミレス・ファストフード,-5.841584158
群馬県全体,2020年3月第1週,中華,-9.133663366
群馬県全体,2020年3月第1週,和食,-9.323589705
群馬県全体,2020年3月第1週,居酒屋・バー,-7.195272671
群馬県全体,2020年3月第1週,洋食・西洋料理,-7.776072824
群馬県全体,2020年3月第1週,肉料理,-11.697130262
群馬県全体,2020年3月第1週,鍋料理,-11.515059325
群馬県全体,2020年3月第2週,アジア・エスニック,-6.762716848
群馬県全体,2020年3月第2週,カフェ・スイーツ,-13.625831488
群馬県全体,2020年3月第2週,すべて,-11.154707983
群馬県全体,2020年3月第2週,ファミレス・ファストフード,20.3
群馬県全体,2020年3月第2週,中華,-3.046145869
群馬県全体,2020年3月第2週,和食,-7.109773866
群馬県全体,2020年3月第2週,居酒屋・バー,-7.275787167
群馬県全体,2020年3月第2週,洋食・西洋料理,-9.449117334
群馬県全体,2020年3月第2週,肉料理,-4.488861969
群馬県全体,2020年3月第2週,鍋料理,-7.883688384
群馬県全体,2020年3月第3週,アジア・エスニック,-15.415632754
群馬県全体,2020年3月第3週,カフェ・スイーツ,-15.990754705
群馬県全体,2020年3月第3週,すべて,-10.310476406
群馬県全体,2020年3月第3週,ファミレス・ファストフード,13.582677165
群馬県全体,2020年3月第3週,中華,-4.552622842
群馬県全体,2020年3月第3週,和食,-7.333374234
群馬県全体,2020年3月第3週,居酒屋・バー,-3.204246118
