代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
茨城県全体,すべての時間帯,2020年1月第1週,市区町村内,0.214643699
茨城県全体,すべての時間帯,2020年1月第1週,都道府県内,-7.513542406
茨城県全体,すべての時間帯,2020年1月第1週,都道府県外,-0.602933510
茨城県全体,すべての時間帯,2020年1月第2週,市区町村内,-1.856292784
茨城県全体,すべての時間帯,2020年1月第2週,都道府県内,-1.154994671
茨城県全体,すべての時間帯,2020年1月第2週,都道府県外,8.284180418
茨城県全体,すべての時間帯,2020年1月第3週,市区町村内,-2.033044431
茨城県全体,すべての時間帯,2020年1月第3週,都道府県内,0.063597851
茨城県全体,すべての時間帯,2020年1月第3週,都道府県外,11.818820867
茨城県全体,すべての時間帯,2020年1月第4週,市区町村内,-2.194517861
茨城県全体,すべての時間帯,2020年1月第4週,都道府県内,0.415116751
茨城県全体,すべての時間帯,2020年1月第4週,都道府県外,9.885945244
茨城県全体,すべての時間帯,2020年1月第5週,市区町村内,-1.532332185
茨城県全体,すべての時間帯,2020年1月第5週,都道府県内,0.566505166
茨城県全体,すべての時間帯,2020年1月第5週,都道府県外,9.498613906
茨城県全体,すべての時間帯,2020年2月第1週,市区町村内,-0.260246966
茨城県全体,すべての時間帯,2020年2月第1週,都道府県内,2.309492826
茨城県全体,すべての時間帯,2020年2月第1週,都道府県外,-3.093950834
茨城県全体,すべての時間帯,2020年2月第2週,市区町村内,0.346036865
茨城県全体,すべての時間帯,2020年2月第2週,都道府県内,-0.680514782
茨城県全体,すべての時間帯,2020年2月第2週,都道府県外,-9.781212844
茨城県全体,すべての時間帯,2020年2月第3週,市区町村内,0.687470107
茨城県全体,すべての時間帯,2020年2月第3週,都道府県内,-1.696672177
茨城県全体,すべての時間帯,2020年2月第3週,都道府県外,-5.034142746
茨城県全体,すべての時間帯,2020年2月第4週,市区町村内,3.527168298
茨城県全体,すべての時間帯,2020年2月第4週,都道府県内,-8.298390447
茨城県全体,すべての時間帯,2020年2月第4週,都道府県外,-11.941147081
茨城県全体,すべての時間帯,2020年3月第1週,市区町村内,3.533758284
茨城県全体,すべての時間帯,2020年3月第1週,都道府県内,-5.086876765
茨城県全体,すべての時間帯,2020年3月第1週,都道府県外,-14.423630884
茨城県全体,すべての時間帯,2020年3月第2週,市区町村内,3.942082176
茨城県全体,すべての時間帯,2020年3月第2週,都道府県内,-5.675694043
茨城県全体,すべての時間帯,2020年3月第2週,都道府県外,-15.671266485
茨城県全体,すべての時間帯,2020年3月第3週,市区町村内,3.554610897
茨城県全体,すべての時間帯,2020年3月第3週,都道府県内,-5.104236099
茨城県全体,すべての時間帯,2020年3月第3週,都道府県外,-7.507398004
茨城県全体,すべての時間帯,2020年3月第4週,市区町村内,5.243226561
茨城県全体,すべての時間帯,2020年3月第4週,都道府県内,-6.830021860
茨城県全体,すべての時間帯,2020年3月第4週,都道府県外,-23.235450246
茨城県全体,すべての時間帯,2020年4月第1週,市区町村内,5.009306683
茨城県全体,すべての時間帯,2020年4月第1週,都道府県内,-9.017434309
茨城県全体,すべての時間帯,2020年4月第1週,都道府県外,-18.557101649
茨城県全体,すべての時間帯,2020年4月第2週,市区町村内,9.096307149
茨城県全体,すべての時間帯,2020年4月第2週,都道府県内,-16.894966686
茨城県全体,すべての時間帯,2020年4月第2週,都道府県外,-37.228031507
茨城県全体,すべての時間帯,2020年4月第3週,市区町村内,10.783333220
茨城県全体,すべての時間帯,2020年4月第3週,都道府県内,-19.906558760
茨城県全体,すべての時間帯,2020年4月第3週,都道府県外,-38.351678371
