代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
長野県全体,すべての時間帯,2020年1月第1週,市区町村内,-0.529734051
長野県全体,すべての時間帯,2020年1月第1週,都道府県内,-5.721829076
長野県全体,すべての時間帯,2020年1月第1週,都道府県外,2.324830597
長野県全体,すべての時間帯,2020年1月第2週,市区町村内,-2.831149543
長野県全体,すべての時間帯,2020年1月第2週,都道府県内,-3.165716855
長野県全体,すべての時間帯,2020年1月第2週,都道府県外,6.940394392
長野県全体,すべての時間帯,2020年1月第3週,市区町村内,-2.707943741
長野県全体,すべての時間帯,2020年1月第3週,都道府県内,-1.424666483
長野県全体,すべての時間帯,2020年1月第3週,都道府県外,4.215343109
長野県全体,すべての時間帯,2020年1月第4週,市区町村内,-3.055282064
長野県全体,すべての時間帯,2020年1月第4週,都道府県内,0.720124060
長野県全体,すべての時間帯,2020年1月第4週,都道府県外,3.069890287
長野県全体,すべての時間帯,2020年1月第5週,市区町村内,-2.411478680
長野県全体,すべての時間帯,2020年1月第5週,都道府県内,-1.283563927
長野県全体,すべての時間帯,2020年1月第5週,都道府県外,4.051170500
長野県全体,すべての時間帯,2020年2月第1週,市区町村内,1.404795066
長野県全体,すべての時間帯,2020年2月第1週,都道府県内,-2.516698099
長野県全体,すべての時間帯,2020年2月第1週,都道府県外,-14.793108783
長野県全体,すべての時間帯,2020年2月第2週,市区町村内,1.736820471
長野県全体,すべての時間帯,2020年2月第2週,都道府県内,-4.193513805
長野県全体,すべての時間帯,2020年2月第2週,都道府県外,-10.880022521
長野県全体,すべての時間帯,2020年2月第3週,市区町村内,1.310081744
長野県全体,すべての時間帯,2020年2月第3週,都道府県内,-2.599509672
長野県全体,すべての時間帯,2020年2月第3週,都道府県外,11.285018564
長野県全体,すべての時間帯,2020年2月第4週,市区町村内,3.260774924
長野県全体,すべての時間帯,2020年2月第4週,都道府県内,-10.669610796
長野県全体,すべての時間帯,2020年2月第4週,都道府県外,-6.223707747
長野県全体,すべての時間帯,2020年3月第1週,市区町村内,3.211845978
長野県全体,すべての時間帯,2020年3月第1週,都道府県内,-6.600707714
長野県全体,すべての時間帯,2020年3月第1週,都道府県外,-20.851468078
長野県全体,すべての時間帯,2020年3月第2週,市区町村内,3.675255624
長野県全体,すべての時間帯,2020年3月第2週,都道府県内,-4.762616682
長野県全体,すべての時間帯,2020年3月第2週,都道府県外,-22.621520961
長野県全体,すべての時間帯,2020年3月第3週,市区町村内,3.928307772
長野県全体,すべての時間帯,2020年3月第3週,都道府県内,-5.578357060
長野県全体,すべての時間帯,2020年3月第3週,都道府県外,-5.597346501
長野県全体,すべての時間帯,2020年3月第4週,市区町村内,4.822001235
長野県全体,すべての時間帯,2020年3月第4週,都道府県内,-8.846205231
長野県全体,すべての時間帯,2020年3月第4週,都道府県外,-28.085301616
長野県全体,すべての時間帯,2020年4月第1週,市区町村内,3.225868820
長野県全体,すべての時間帯,2020年4月第1週,都道府県内,-8.067220411
長野県全体,すべての時間帯,2020年4月第1週,都道府県外,-27.577856627
長野県全体,すべての時間帯,2020年4月第2週,市区町村内,7.831288944
長野県全体,すべての時間帯,2020年4月第2週,都道府県内,-18.140365162
長野県全体,すべての時間帯,2020年4月第2週,都道府県外,-55.732232442
長野県全体,すべての時間帯,2020年4月第3週,市区町村内,8.467332295
長野県全体,すべての時間帯,2020年4月第3週,都道府県内,-20.803302294
長野県全体,すべての時間帯,2020年4月第3週,都道府県外,-60.781381758
長野県全体,すべての時間帯,2020年4月第4週,市区町村内,10.805666539
長野県全体,すべての時間帯,2020年4月第4週,都道府県内,-24.493116332
長野県全体,すべての時間帯,2020年4月第4週,都道府県外,-72.863765016
長野県全体,すべての時間帯,2020年4月第5週,市区町村内,17.275179194
長野県全体,すべての時間帯,2020年4月第5週,都道府県内,-25.075448049
長野県全体,すべての時間帯,2020年4月第5週,都道府県外,-93.329563134
長野県全体,すべての時間帯,2020年5月第1週,市区町村内,17.716215204
長野県全体,すべての時間帯,2020年5月第1週,都道府県内,-49.859124086
長野県全体,すべての時間帯,2020年5月第1週,都道府県外,-89.007690772
長野県全体,すべての時間帯,2020年5月第2週,市区町村内,11.572330986
長野県全体,すべての時間帯,2020年5月第2週,都道府県内,-20.294099045
長野県全体,すべての時間帯,2020年5月第2週,都道府県外,-67.322193912
長野県全体,すべての時間帯,2020年5月第3週,市区町村内,11.117630111
長野県全体,すべての時間帯,2020年5月第3週,都道府県内,-16.889660441
長野県全体,すべての時間帯,2020年5月第3週,都道府県外,-70.734344570
長野県全体,すべての時間帯,2020年5月第4週,市区町村内,9.392182412
