観測所,住所,LocName,fX,fY,Keido,Ido,,
大泉,北杜市大泉町谷戸,,,山梨県/北杜市/大泉町谷戸,138.37169,35.89465,5,5
乙女湖,山梨市牧丘町柳平,,,山梨県/山梨市/牧丘町柳平,138.66148,35.82104,5,5
韮崎,韮崎市大草町若尾,,,山梨県/韮崎市/大草町若尾,138.44501,35.69971,5,5
甲府,甲府市飯田　甲府地方気象台,,,山梨県/甲府市/飯田,138.55200,35.66892,5,5
勝沼,甲州市勝沼町勝沼,,,山梨県/甲州市/勝沼町勝沼,138.72801,35.66318,5,5
大月,大月市大月,,,山梨県/大月市/大月,138.94069,35.61377,5,5
上野原,上野原市上野原,,,山梨県/上野原市/上野原,139.10963,35.63784,5,5
古関,甲府市古関町,,,山梨県/甲府市/古関町,138.62076,35.52530,5,5
切石,南巨摩郡身延町切石,,,山梨県/南巨摩郡/身延町/切石,138.44058,35.46628,5,5
河口湖,南都留郡富士河口湖町船津　河口湖特別地域気象観測所,,,山梨県/南都留郡/富士河口湖町/船津,138.75851,35.47574,5,5
山中,南都留郡山中湖村梨ケ原,,,山梨県/南都留郡/山中湖村,138.86125,35.41054,5,3
南部,南巨摩郡南部町南部,,,山梨県/南巨摩郡/南部町/南部,138.44753,35.28976,5,5
