,Date,Day,avg_temp,rain,City,Pref
2,2018/12/30,日,4.8,0.0,富士,Shizuoka
3,2018/12/31,月,5.1,0.5,富士,Shizuoka
4,2019/1/1,火,5.5,0.0,富士,Shizuoka
5,2019/1/2,水,5.6,0.0,富士,Shizuoka
6,2019/1/3,木,5.4,0.0,富士,Shizuoka
7,2019/1/4,金,5.7,0.0,富士,Shizuoka
8,2019/1/5,土,8.1,0.0,富士,Shizuoka
9,2019/1/6,日,5.8,0.0,富士,Shizuoka
10,2019/1/7,月,6.2,0.0,富士,Shizuoka
11,2019/1/8,火,5.9,0.0,富士,Shizuoka
12,2019/1/9,水,6.1,0.0,富士,Shizuoka
13,2019/1/10,木,4.3,0.0,富士,Shizuoka
14,2019/1/11,金,6.7,0.0,富士,Shizuoka
15,2019/1/12,土,7.2,0.0,富士,Shizuoka
16,2019/1/13,日,7.8,0.0,富士,Shizuoka
17,2019/1/14,月,6.9,0.0,富士,Shizuoka
18,2019/1/15,火,6.4,0.0,富士,Shizuoka
19,2019/1/16,水,8.4,0.0,富士,Shizuoka
20,2019/1/17,木,7.0,0.0,富士,Shizuoka
21,2019/1/18,金,5.9,0.0,富士,Shizuoka
22,2019/1/19,土,5.6,0.0,富士,Shizuoka
23,2019/1/20,日,5.3,0.5,富士,Shizuoka
24,2019/1/21,月,6.3,0.0,富士,Shizuoka
25,2019/1/22,火,6.1,0.0,富士,Shizuoka
26,2019/1/23,水,7.0,0.0,富士,Shizuoka
27,2019/1/24,木,6.9,0.0,富士,Shizuoka
28,2019/1/25,金,5.7,0.0,富士,Shizuoka
29,2019/1/26,土,5.5,0.0,富士,Shizuoka
30,2019/1/27,日,4.8,0.0,富士,Shizuoka
31,2019/1/28,月,6.2,0.0,富士,Shizuoka
32,2019/1/29,火,6.6,0.0,富士,Shizuoka
33,2019/1/30,水,6.4,0.0,富士,Shizuoka
34,2019/1/31,木,5.8,17.5,富士,Shizuoka
35,2019/2/1,金,5.6,0.0,富士,Shizuoka
36,2019/2/2,土,5.3,0.0,富士,Shizuoka
37,2019/2/3,日,8.0,5.0,富士,Shizuoka
38,2019/2/4,月,14.2,8.0,富士,Shizuoka
39,2019/2/5,火,8.1,0.0,富士,Shizuoka
40,2019/2/6,水,7.3,1.5,富士,Shizuoka
41,2019/2/7,木,10.6,0.0,富士,Shizuoka
42,2019/2/8,金,8.3,0.0,富士,Shizuoka
43,2019/2/9,土,6.7,0.0,富士,Shizuoka
44,2019/2/10,日,5.5,0.5,富士,Shizuoka
45,2019/2/11,月,5.9,0.0,富士,Shizuoka
46,2019/2/12,火,6.5,0.0,富士,Shizuoka
47,2019/2/13,水,6.8,0.0,富士,Shizuoka
48,2019/2/14,木,5.3,0.0,富士,Shizuoka
49,2019/2/15,金,6.1,0.0,富士,Shizuoka
50,2019/2/16,土,9.6,0.0,富士,Shizuoka
51,2019/2/17,日,7.9,0.0,富士,Shizuoka
52,2019/2/18,月,8.0,0.0,富士,Shizuoka
53,2019/2/19,火,9.1,14.5,富士,Shizuoka
54,2019/2/20,水,13.9,0.0,富士,Shizuoka
55,2019/2/21,木,11.1,0.0,富士,Shizuoka
56,2019/2/22,金,10.6,0.0,富士,Shizuoka
57,2019/2/23,土,10.4,0.0,富士,Shizuoka
58,2019/2/24,日,9.3,0.5,富士,Shizuoka
59,2019/2/25,月,11.9,3.5,富士,Shizuoka
60,2019/2/26,火,11.3,0.0,富士,Shizuoka
61,2019/2/27,水,9.9,0.0,富士,Shizuoka
62,2019/2/28,木,8.7,26.0,富士,Shizuoka
63,2019/3/1,金,9.8,2.0,富士,Shizuoka
64,2019/3/2,土,10.8,0.0,富士,Shizuoka
65,2019/3/3,日,9.2,7.0,富士,Shizuoka
66,2019/3/4,月,10.7,10.0,富士,Shizuoka
67,2019/3/5,火,10.9,1.0,富士,Shizuoka
68,2019/3/6,水,11.8,5.5,富士,Shizuoka
69,2019/3/7,木,9.7,17.0,富士,Shizuoka
70,2019/3/8,金,8.8,0.0,富士,Shizuoka
71,2019/3/9,土,10.3,0.0,富士,Shizuoka
72,2019/3/10,日,10.8,17.5,富士,Shizuoka
73,2019/3/11,月,13.3,7.5,富士,Shizuoka
74,2019/3/12,火,11.7,0.0,富士,Shizuoka
75,2019/3/13,水,10.1,0.0,富士,Shizuoka
76,2019/3/14,木,8.1,0.0,富士,Shizuoka
77,2019/3/15,金,9.1,0.0,富士,Shizuoka
78,2019/3/16,土,9.5,0.0,富士,Shizuoka
79,2019/3/17,日,9.8,0.0,富士,Shizuoka
80,2019/3/18,月,9.8,0.0,富士,Shizuoka
81,2019/3/19,火,12.0,0.0,富士,Shizuoka
82,2019/3/20,水,14.6,0.0,富士,Shizuoka
83,2019/3/21,木,14.7,4.5,富士,Shizuoka
84,2019/3/22,金,16.9,0.0,富士,Shizuoka
85,2019/3/23,土,9.3,0.0,富士,Shizuoka
86,2019/3/24,日,8.3,0.0,富士,Shizuoka
87,2019/3/25,月,10.4,0.0,富士,Shizuoka
88,2019/3/26,火,11.4,0.0,富士,Shizuoka
89,2019/3/27,水,13.3,0.0,富士,Shizuoka
90,2019/3/28,木,16.6,0.0,富士,Shizuoka
91,2019/3/29,金,11.3,0.0,富士,Shizuoka
92,2019/3/30,土,12.3,6.0,富士,Shizuoka
93,2019/3/31,日,13.1,0.0,富士,Shizuoka
94,2019/4/1,月,9.5,0.0,富士,Shizuoka
