,,前橋,前橋,伊勢崎,伊勢崎,長野,長野,松本,松本,上田,上田,飯田,飯田,甲府,甲府,河口湖,河口湖,浜松,浜松,静岡,静岡,富士,富士,つくば（館野）,つくば（館野）,水戸,水戸,日立,日立,宇都宮,宇都宮,小山,小山
年月日,曜日,平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm)
2018/12/30,日,1.8,0,2.4,0.0,-1.8,0.0,-3.1,0,-2.3,0.0,-1.3,0,1.9,0,-1.9,0,4.2,0,4.1,0,4.8,0.0,1.8,0,0.9,0,1.6,0.0,0.5,0,1.2,0.0
2018/12/31,月,2.8,0,3.8,0.0,-0.7,0.5,-2.9,0,-1.5,0.0,-1.8,0,1.2,0,-1.0,0,5.4,0,6.1,0.0,5.1,0.5,0.6,0,2.0,0,3.3,0.0,0.8,0,0.8,0.0
2019/1/1,火,4.4,0,4.8,0.0,-0.6,0.5,-0.7,0.0,-1.3,0.0,0.0,0.0,1.4,0,-1.3,0,6.3,0.0,7.1,0,5.5,0.0,2.2,0,1.9,0,4.1,0.0,2.4,0,2.2,0.0
2019/1/2,水,4.7,0,5.1,0.0,0.1,3.0,0.1,1.5,0.3,0.0,2.5,0.0,2.9,0,-1.1,0,7.0,0.0,8.3,0,5.6,0.0,3.2,0,4.2,0.0,5.8,0.0,3.9,0,4.4,0.0
2019/1/3,木,3.0,0.0,3.3,0.0,-1.2,0.0,-2.1,0,-1.7,0.0,0.1,0,2.3,0,-0.9,0,6.0,0,6.3,0,5.4,0.0,1.4,0,1.9,0,3.1,0.0,1.8,0,2.1,0.0
2019/1/4,金,4.2,0,4.9,0.0,-1.1,0,-2.0,0,-0.9,0.0,0.3,0,1.1,0,-0.2,0,6.7,0,6.3,0,5.7,0.0,1.4,0,1.8,0,3.8,0.0,1.8,0,1.9,0.0
2019/1/5,土,6.1,0,6.3,0.0,0.3,0.0,4.7,0,0.5,0.0,4.5,0.0,5.4,0,3.6,0,9.4,0.0,12.0,0,8.1,0.0,4.4,0,4.9,0,7.6,0.0,4.2,0,4.4,0.0
2019/1/6,日,3.4,0,4.2,0.0,-0.9,0.0,-1.1,0,-0.9,0.0,0.1,0,3.1,0,-0.3,0,6.5,0,7.2,0.0,5.8,0.0,1.3,0,3.4,0,4.0,0.0,2.3,0,2.5,0.0
2019/1/7,月,3.6,0,4.2,0.0,-0.7,0.0,-1.7,0,-1.7,0.0,0.3,0,1.8,0,-0.1,0,6.3,0,6.4,0,6.2,0.0,2.4,0,2.4,0,4.7,0.0,1.9,0,1.8,0.0
2019/1/8,火,4.3,0.0,2.5,0.0,0.7,4.0,2.0,0,-0.3,0.0,4.4,0.0,3.0,0,0.1,0,7.2,0,7.7,0,5.9,0.0,1.9,0,3.3,0,5.6,0.0,2.8,0.0,2.6,0.0
2019/1/9,水,2.8,0.0,3.4,0.0,-2.4,2.5,-1.3,0.0,-1.2,0.0,1.4,0.0,3.7,0,-1.3,0,5.6,0.0,7.5,0.0,6.1,0.0,1.7,0.0,2.9,0.0,3.4,0.0,2.9,0.0,2.9,0.0
2019/1/10,木,1.6,0,1.5,0.0,-5.0,0.0,-4.2,0,-4.8,0.0,-1.6,0,-0.1,0,-0.3,0,4.0,0,5.9,0,4.3,0.0,-1.0,0,0.6,0,3.0,0.0,-0.3,0,-1.2,0.0
