date,prefcode,pref,newcase_day,total_case,GZnew,cumGZ,sales_per,customers_per,avg_temp,avg_rain,emergency,dummy_school_closure,dummy_gathering_restriction,noftests,pop_resid,susceptible,infectious_l2,newcase_lead8,tests_lead8,newcase_lead14,tests_lead14,newcase_lead1,tests_lead1,newcase_lead7,tests_lead7,newcase_lead15,tests_lead15,newcase_lead21,tests_lead21,newcase_lead22,tests_lead22,newcase_lead28,tests_lead28,weekday,weeknum
2020-01-16,08,Ibaraki,0,0,0,0,101675.83720930232,38.43023255813954,40.22,0,0,0,0,0,2860000,2860000,0,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,1,木,3
2020-01-17,08,Ibaraki,0,0,0,0,162179.3023255814,54.52325581395349,42.92,0,0,0,0,0,2860000,2860000,0.0011357903892150467,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,5,金,3
2020-01-18,08,Ibaraki,0,0,0,0,214028.22093023255,70.79069767441861,40.34,0,0,0,0,0,2860000,2860000,0.0011357903892150467,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,土,3
2020-01-19,08,Ibaraki,0,0,0,0,120299.12790697676,47.27906976744186,41.54,0,0,0,0,0,2860000,2860000,0.0011357903892150467,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6,日,3
2020-01-20,08,Ibaraki,0,0,0,0,86249.75581395348,32.33720930232558,44.120000000000005,0,0,0,0,0,2860000,2860000,0.0011357903892150467,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,14,月,4
2020-01-21,08,Ibaraki,0,0,0,0,87820.09302325582,34.30232558139535,40.94,0,0,0,0,0,2860000,2860000,0.0011357903892150467,0,2,0,3,0,0,0,1,0,1,0,0,0,0,0,6,火,4
2020-01-22,08,Ibaraki,0,0,0,0,104580.12790697676,39.16279069767442,37.82,0,0,0,0,0,2860000,2860000,0.0011357903892150467,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,6,水,4
2020-01-23,08,Ibaraki,0,0,0,0,108342.75581395348,39.33720930232558,43.46,2.8333333333333335,0,0,0,0,2860000,2860000,0.0011357903892150467,0,3,0,1,0,0,0,1,0,1,0,1,0,5,0,13,木,4
2020-01-24,08,Ibaraki,0,0,0,0,187100.98837209304,60.2093023255814,47.24,0,0,0,0,0,2860000,2860000,0.0011357903892150467,0,1,0,1,0,0,0,3,0,0,0,5,0,5,0,14,金,4
2020-01-25,08,Ibaraki,0,0,0,0,236397.87209302327,82.44186046511628,41.480000000000004,0,0,0,0,0,2860000,2860000,0.003012451548614515,0,0,0,0,0,1,0,1,0,0,0,5,0,6,0,10,土,4
2020-01-26,08,Ibaraki,0,0,0,0,114275.67441860466,43.68604651162791,40.76,0,0,0,0,1,2860000,2860000,0.0048891127080139835,0,0,0,0,0,1,0,0,0,1,0,6,0,14,0,5,日,4
2020-01-27,08,Ibaraki,0,0,0,0,85423.27906976744,31.20930232558139,39.8,1.6666666666666667,0,0,0,1,2860000,2860000,0.005060325631742797,0,3,0,1,0,1,0,0,0,0,0,14,0,6,0,3,月,5
2020-01-28,08,Ibaraki,0,0,0,0,92115.95348837208,32.651162790697676,45.019999999999996,46,0,0,0,1,2860000,2860000,0.005060325631742798,0,1,0,0,0,2,0,3,0,0,0,6,0,6,0,14,火,5
2020-01-29,08,Ibaraki,0,0,0,0,107757.94186046511,40.372093023255815,53.6,62.166666666666664,0,0,0,2,2860000,2860000,0.005598493203744836,0,1,0,0,0,1,0,1,0,1,0,6,0,13,0,16,水,5
2020-01-30,08,Ibaraki,0,0,0,0,96434.54651162792,37.81395348837209,51.2,0,0,0,0,1,2860000,2860000,0.005755378207718046,0,1,0,1,0,3,0,1,0,5,0,13,0,14,0,27,木,5
2020-01-31,08,Ibaraki,0,0,0,0,180381.03488372092,58.5,44.24,0,0,0,0,3,2860000,2860000,0.006675253259005666,0,0,0,5,0,1,0,1,0,5,0,14,0,10,0,29,金,5
2020-02-01,08,Ibaraki,0,0,0,0,212076.61627906977,71.47674418604652,42.8,0,0,0,0,1,2860000,2860000,0.01371934976004417,0,0,0,5,0,0,0,0,0,6,0,10,0,5,0,27,土,5
2020-02-02,08,Ibaraki,0,0,0,0,124493.6511627907,46.03488372093023,41.84,0,0,0,0,0,2860000,2860000,0.01371934976004417,0,1,0,6,0,0,0,0,0,14,0,5,0,3,0,9,日,5
2020-02-03,08,Ibaraki,0,0,0,0,75078.90697674418,28.55813953488372,46.16,0,0,0,0,0,2860000,2860000,0.01371934976004417,0,0,0,14,0,3,0,1,0,6,0,3,0,14,0,18,月,6
2020-02-04,08,Ibaraki,0,0,0,0,84608.3953488372,34.19767441860465,43.64,0.3333333333333333,0,0,0,3,2860000,2860000,0.013719349760044169,0,0,0,6,0,1,0,0,0,6,0,14,0,16,0,19,火,6
2020-02-05,08,Ibaraki,0,0,0,0,89196.90697674418,36.593023255813954,43.16,0,0,0,0,1,2860000,2860000,0.02107595624670338,0,1,0,6,0,1,0,0,0,13,0,16,0,27,0,29,水,6
2020-02-06,08,Ibaraki,0,0,0,0,96614.32558139534,38.65116279069768,33.92,0,0,0,0,1,2860000,2860000,0.02864162196681207,0,5,0,13,0,1,0,1,0,14,0,27,0,29,0,21,木,6
2020-02-07,08,Ibaraki,0,0,0,0,151277.33720930232,53.127906976744185,33.32,0,0,0,0,1,2860000,2860000,0.02864162196681207,0,5,0,14,0,0,0,5,0,10,0,29,0,27,0,31,金,6
2020-02-08,08,Ibaraki,0,0,0,0,220803.53488372092,73.90697674418605,39.08,0,0,0,0,0,2860000,2860000,0.026764960807412603,0,6,0,10,0,0,0,5,0,5,0,27,0,9,0,23,土,6
2020-02-09,08,Ibaraki,0,0,0,0,131696.02325581395,49.627906976744185,35.18,0,0,0,0,0,2860000,2860000,0.024888299648013132,0,14,0,5,0,1,0,6,0,3,0,9,0,18,0,12,日,6
2020-02-10,08,Ibaraki,0,0,0,0,142497.38372093023,51.51162790697674,35.78,0,0,0,0,1,2860000,2860000,0.02471708672428432,0,6,0,3,0,0,0,14,0,14,0,18,0,19,0,13,月,7
2020-02-11,08,Ibaraki,0,0,0,0,109309.8488372093,43.24418604651163,39.32,0,0,0,0,0,2860000,2860000,0.02471708672428432,0,6,0,14,0,0,0,6,0,16,0,19,0,29,0,31,火,7
2020-02-12,08,Ibaraki,0,0,0,0,89917.94186046511,36.7906976744186,42.92,0,0,0,0,0,2860000,2860000,0.02417891915228228,0,13,0,16,0,1,0,6,0,27,0,29,0,21,0,25,水,7
2020-02-13,08,Ibaraki,0,0,0,0,90354.91860465116,36.94186046511628,49.1,0.8333333333333334,0,0,0,1,2860000,2860000,0.02402203414830907,0,14,0,27,0,5,0,13,0,29,0,21,0,31,0,22,木,7
2020-02-14,08,Ibaraki,0,0,0,0,146272.96511627908,50.627906976744185,51.38,0,0,0,0,5,2860000,2860000,0.03228384213242569,0,10,0,29,0,5,0,14,0,27,0,31,0,23,0,28,金,7
2020-02-15,08,Ibaraki,0,0,0,0,207711.6046511628,72.38372093023256,51.980000000000004,0,0,0,0,5,2860000,2860000,0.030767158417020726,0,5,0,27,0,6,0,10,0,9,0,23,0,12,0,16,土,7
2020-02-16,08,Ibaraki,0,0,0,0,103963.27906976744,39.94186046511628,48.440000000000005,8.166666666666666,0,0,0,6,2860000,2860000,0.04593128955242065,0,3,0,9,0,14,0,5,0,18,0,12,0,13,0,5,日,7
2020-02-17,08,Ibaraki,0,0,0,0,68284.5,25.20930232558139,45.5,9.166666666666666,0,0,0,14,2860000,2860000,0.05505917445667456,0,14,0,18,0,6,0,3,0,19,0,13,0,31,0,12,月,8
2020-02-18,08,Ibaraki,0,0,0,0,78669.51162790698,31.767441860465116,41.54,4.333333333333333,0,0,0,6,2860000,2860000,0.05717795732794844,0,16,0,19,0,6,0,14,0,29,0,31,0,25,1,18,火,8
2020-02-19,08,Ibaraki,0,0,0,0,102143.18604651163,40.61627906976744,42.26,0,0,0,0,6,2860000,2860000,0.058114031673450514,0,27,0,29,0,13,0,16,0,21,0,25,0,22,1,24,水,8
2020-02-20,08,Ibaraki,0,0,0,0,98688.1511627907,39.08139534883721,44.84,0,0,0,0,13,2860000,2860000,0.06057103557270049,0,29,0,21,0,14,0,27,0,31,0,22,0,28,1,32,木,8
