"","city","公表日","Nofcases","cum_cases"
"1","甲府市",2020-03-06,0.228,0.228
"2","富士吉田市",2020-03-06,0.059,0.059
"3","都留市",2020-03-06,0.036,0.036
"4","山梨市",2020-03-06,0.042,0.042
"5","大月市",2020-03-06,0.029,0.029
"6","韮崎市",2020-03-06,0.035,0.035
"7","南アルプス市",2020-03-06,0.087,0.087
"8","北杜市",2020-03-06,0.056,0.056
"9","甲斐市",2020-03-06,0.092,0.092
"10","笛吹市",2020-03-06,0.084,0.084
"11","上野原市",2020-03-06,0.028,0.028
"12","甲州市",2020-03-06,0.038,0.038
"13","中央市",2020-03-06,0.038,0.038
"14","市川三郷町",2020-03-06,0.019,0.019
"15","早川町",2020-03-06,0.001,0.001
"16","身延町",2020-03-06,0.014,0.014
"17","南部町",2020-03-06,0.009,0.009
"18","富士川町",2020-03-06,0.018,0.018
"19","昭和町",2020-03-06,0.025,0.025
"20","道志村",2020-03-06,0.002,0.002
"21","西桂町",2020-03-06,0.005,0.005
"22","忍野村",2020-03-06,0.012,0.012
"23","山中湖村",2020-03-06,0.007,0.007
"24","鳴沢村",2020-03-06,0.004,0.004
"25","富士河口湖町",2020-03-06,0.032,0.032
"26","小菅村",2020-03-06,0.001,0.001
"27","丹波山村",2020-03-06,0.001,0.001
"28","甲府市",2020-03-07,0.228,0.456
"29","富士吉田市",2020-03-07,0.059,0.118
"30","都留市",2020-03-07,0.036,0.072
"31","山梨市",2020-03-07,0.042,0.084
"32","大月市",2020-03-07,0.029,0.058
"33","韮崎市",2020-03-07,0.035,0.07
"34","南アルプス市",2020-03-07,0.087,0.174
"35","北杜市",2020-03-07,0.056,0.112
"36","甲斐市",2020-03-07,0.092,0.184
"37","笛吹市",2020-03-07,0.084,0.168
"38","上野原市",2020-03-07,0.028,0.056
"39","甲州市",2020-03-07,0.038,0.076
"40","中央市",2020-03-07,0.038,0.076
"41","市川三郷町",2020-03-07,0.019,0.038
"42","早川町",2020-03-07,0.001,0.002
"43","身延町",2020-03-07,0.014,0.028
"44","南部町",2020-03-07,0.009,0.018
"45","富士川町",2020-03-07,0.018,0.036
"46","昭和町",2020-03-07,0.025,0.05
"47","道志村",2020-03-07,0.002,0.004
"48","西桂町",2020-03-07,0.005,0.01
"49","忍野村",2020-03-07,0.012,0.024
"50","山中湖村",2020-03-07,0.007,0.014
"51","鳴沢村",2020-03-07,0.004,0.008
"52","富士河口湖町",2020-03-07,0.032,0.064
"53","小菅村",2020-03-07,0.001,0.002
"54","丹波山村",2020-03-07,0.001,0.002
"55","甲府市",2020-03-08,0,0.456
"56","富士吉田市",2020-03-08,0,0.118
"57","都留市",2020-03-08,0,0.072
"58","山梨市",2020-03-08,0,0.084
"59","大月市",2020-03-08,0,0.058
"60","韮崎市",2020-03-08,0,0.07
"61","南アルプス市",2020-03-08,0,0.174
"62","北杜市",2020-03-08,0,0.112
"63","甲斐市",2020-03-08,0,0.184
"64","笛吹市",2020-03-08,0,0.168
"65","上野原市",2020-03-08,0,0.056
"66","甲州市",2020-03-08,0,0.076
"67","中央市",2020-03-08,0,0.076
"68","市川三郷町",2020-03-08,0,0.038
"69","早川町",2020-03-08,0,0.002
"70","身延町",2020-03-08,0,0.028
"71","南部町",2020-03-08,0,0.018
"72","富士川町",2020-03-08,0,0.036
"73","昭和町",2020-03-08,0,0.05
"74","道志村",2020-03-08,0,0.004
"75","西桂町",2020-03-08,0,0.01
"76","忍野村",2020-03-08,0,0.024
"77","山中湖村",2020-03-08,0,0.014
"78","鳴沢村",2020-03-08,0,0.008
"79","富士河口湖町",2020-03-08,0,0.064
"80","小菅村",2020-03-08,0,0.002
"81","丹波山村",2020-03-08,0,0.002
"82","甲府市",2020-03-09,0,0.456
