"","公表日","city","Nofcases"
"1",2020-03-01,"上野原市",0.056
"2",2020-03-01,"中央市",0.076
"3",2020-03-01,"丹波山村",0.002
"4",2020-03-01,"北杜市",0.112
"5",2020-03-01,"南アルプス市",0.174
"6",2020-03-01,"南部町",0.018
"7",2020-03-01,"大月市",0.058
"8",2020-03-01,"富士吉田市",0.118
"9",2020-03-01,"富士川町",0.036
"10",2020-03-01,"富士河口湖町",0.064
"11",2020-03-01,"小菅村",0.002
"12",2020-03-01,"山中湖村",0.014
"13",2020-03-01,"山梨市",0.084
"14",2020-03-01,"市川三郷町",0.038
"15",2020-03-01,"忍野村",0.024
"16",2020-03-01,"早川町",0.002
"17",2020-03-01,"昭和町",0.05
"18",2020-03-01,"甲州市",0.076
"19",2020-03-01,"甲府市",0.456
"20",2020-03-01,"甲斐市",0.184
"21",2020-03-01,"笛吹市",0.168
"22",2020-03-01,"西桂町",0.01
"23",2020-03-01,"身延町",0.028
"24",2020-03-01,"道志村",0.004
"25",2020-03-01,"都留市",0.072
"26",2020-03-01,"韮崎市",0.07
"27",2020-03-01,"鳴沢村",0.008
"28",2020-03-08,"上野原市",0
"29",2020-03-08,"中央市",0
"30",2020-03-08,"丹波山村",0
"31",2020-03-08,"北杜市",0
"32",2020-03-08,"南アルプス市",0
"33",2020-03-08,"南部町",0
"34",2020-03-08,"大月市",0
"35",2020-03-08,"富士吉田市",0
"36",2020-03-08,"富士川町",0
"37",2020-03-08,"富士河口湖町",0
"38",2020-03-08,"小菅村",0
"39",2020-03-08,"山中湖村",0
"40",2020-03-08,"山梨市",0
"41",2020-03-08,"市川三郷町",0
"42",2020-03-08,"忍野村",0
"43",2020-03-08,"早川町",0
"44",2020-03-08,"昭和町",0
"45",2020-03-08,"甲州市",0
"46",2020-03-08,"甲府市",0
"47",2020-03-08,"甲斐市",0
"48",2020-03-08,"笛吹市",0
"49",2020-03-08,"西桂町",0
"50",2020-03-08,"身延町",0
"51",2020-03-08,"道志村",0
"52",2020-03-08,"都留市",0
"53",2020-03-08,"韮崎市",0
"54",2020-03-08,"鳴沢村",0
"55",2020-03-15,"上野原市",0
"56",2020-03-15,"中央市",0
"57",2020-03-15,"丹波山村",0
"58",2020-03-15,"北杜市",0
"59",2020-03-15,"南アルプス市",0
"60",2020-03-15,"南部町",0
"61",2020-03-15,"大月市",0
"62",2020-03-15,"富士吉田市",0
"63",2020-03-15,"富士川町",0
"64",2020-03-15,"富士河口湖町",0
"65",2020-03-15,"小菅村",0
"66",2020-03-15,"山中湖村",0
"67",2020-03-15,"山梨市",0
"68",2020-03-15,"市川三郷町",0
"69",2020-03-15,"忍野村",0
"70",2020-03-15,"早川町",0
"71",2020-03-15,"昭和町",0
"72",2020-03-15,"甲州市",0
"73",2020-03-15,"甲府市",0
"74",2020-03-15,"甲斐市",0
"75",2020-03-15,"笛吹市",0
"76",2020-03-15,"西桂町",0
"77",2020-03-15,"身延町",0
"78",2020-03-15,"道志村",0
"79",2020-03-15,"都留市",0
"80",2020-03-15,"韮崎市",0
"81",2020-03-15,"鳴沢村",0
"82",2020-03-22,"上野原市",0.055
"83",2020-03-22,"中央市",0.075
"84",2020-03-22,"丹波山村",0.001
"85",2020-03-22,"北杜市",0.113
"86",2020-03-22,"南アルプス市",0.174
"87",2020-03-22,"南部町",0.018
"88",2020-03-22,"大月市",0.057
"89",2020-03-22,"富士吉田市",0.118
"90",2020-03-22,"富士川町",0.036
"91",2020-03-22,"富士河口湖町",0.065
"92",2020-03-22,"小菅村",0.002
"93",2020-03-22,"山中湖村",0.014
"94",2020-03-22,"山梨市",0.084
"95",2020-03-22,"市川三郷町",0.038
"96",2020-03-22,"忍野村",0.023
"97",2020-03-22,"早川町",0.002
"98",2020-03-22,"昭和町",0.05
"99",2020-03-22,"甲州市",0.075
"100",2020-03-22,"甲府市",0.455
"101",2020-03-22,"甲斐市",0.184
