"","Pref","Week","noftests"
"1","山梨県",2020-01-20,0
"2","栃木県",2020-01-20,0
"3","群馬県",2020-01-20,0
"4","茨城県",2020-01-20,2
"5","長野県",2020-01-20,0
"6","静岡県",2020-01-20,0
"7","山梨県",2020-01-27,3
"8","栃木県",2020-01-27,9
"9","群馬県",2020-01-27,0
"10","茨城県",2020-01-27,27
"11","長野県",2020-01-27,0
"12","静岡県",2020-01-27,0
"13","山梨県",2020-02-03,12
"14","栃木県",2020-02-03,3
"15","群馬県",2020-02-03,0
"16","茨城県",2020-02-03,18
"17","長野県",2020-02-03,0
"18","静岡県",2020-02-03,0
"19","山梨県",2020-02-10,11
"20","栃木県",2020-02-10,24
"21","群馬県",2020-02-10,0
"22","茨城県",2020-02-10,70
"23","長野県",2020-02-10,24
"24","静岡県",2020-02-10,0
"25","山梨県",2020-02-17,100
"26","栃木県",2020-02-17,124
"27","群馬県",2020-02-17,0
"28","茨城県",2020-02-17,272
"29","長野県",2020-02-17,124
"30","静岡県",2020-02-17,0
"31","山梨県",2020-02-24,224
"32","栃木県",2020-02-24,153
"33","群馬県",2020-02-24,180
"34","茨城県",2020-02-24,527
"35","長野県",2020-02-24,280
"36","静岡県",2020-02-24,0
"37","山梨県",2020-03-02,400
"38","栃木県",2020-03-02,356
"39","群馬県",2020-03-02,0
"40","茨城県",2020-03-02,612
"41","長野県",2020-03-02,416
"42","静岡県",2020-03-02,0
"43","山梨県",2020-03-09,427
"44","栃木県",2020-03-09,240
"45","群馬県",2020-03-09,495
"46","茨城県",2020-03-09,565
"47","長野県",2020-03-09,304
"48","静岡県",2020-03-09,0
"49","山梨県",2020-03-16,325
"50","栃木県",2020-03-16,365
"51","群馬県",2020-03-16,355
"52","茨城県",2020-03-16,670
"53","長野県",2020-03-16,270
"54","静岡県",2020-03-16,0
"55","山梨県",2020-03-23,480
"56","栃木県",2020-03-23,725
"57","群馬県",2020-03-23,1310
"58","茨城県",2020-03-23,1645
"59","長野県",2020-03-23,825
"60","静岡県",2020-03-23,0
"61","山梨県",2020-03-30,1475
"62","栃木県",2020-03-30,1610
"63","群馬県",2020-03-30,4460
"64","茨城県",2020-03-30,3360
"65","長野県",2020-03-30,1325
"66","静岡県",2020-03-30,0
"67","山梨県",2020-04-06,2040
"68","栃木県",2020-04-06,1620
"69","群馬県",2020-04-06,1715
"70","茨城県",2020-04-06,3745
"71","長野県",2020-04-06,1875
"72","静岡県",2020-04-06,0
"73","山梨県",2020-04-13,2480
"74","栃木県",2020-04-13,1995
"75","群馬県",2020-04-13,1980
"76","茨城県",2020-04-13,3325
"77","長野県",2020-04-13,1675
"78","静岡県",2020-04-13,0
"79","山梨県",2020-04-20,2095
"80","栃木県",2020-04-20,1725
"81","群馬県",2020-04-20,2115
"82","茨城県",2020-04-20,3105
"83","長野県",2020-04-20,1570
"84","静岡県",2020-04-20,0
"85","山梨県",2020-04-27,3096
"86","栃木県",2020-04-27,2340
"87","群馬県",2020-04-27,1968
"88","茨城県",2020-04-27,3078
"89","長野県",2020-04-27,1914
"90","静岡県",2020-04-27,4572
"91","山梨県",2020-05-04,2358
"92","栃木県",2020-05-04,2388
"93","群馬県",2020-05-04,1242
"94","茨城県",2020-05-04,1830
"95","長野県",2020-05-04,1596
"96","静岡県",2020-05-04,3054
"97","山梨県",2020-05-11,2136
"98","栃木県",2020-05-11,3114
"99","群馬県",2020-05-11,1422
"100","茨城県",2020-05-11,2442
"101","長野県",2020-05-11,1872
"102","静岡県",2020-05-11,3084
"103","山梨県",2020-05-18,2292
"104","栃木県",2020-05-18,3120
"105","群馬県",2020-05-18,996
"106","茨城県",2020-05-18,1320
"107","長野県",2020-05-18,1284
"108","静岡県",2020-05-18,2394
"109","山梨県",2020-05-25,1908
"110","栃木県",2020-05-25,3522
"111","群馬県",2020-05-25,1206
"112","茨城県",2020-05-25,978
"113","長野県",2020-05-25,1278
"114","静岡県",2020-05-25,1962
"115","山梨県",2020-06-01,2376
"116","栃木県",2020-06-01,4410
"117","群馬県",2020-06-01,1818
"118","茨城県",2020-06-01,1140
"119","長野県",2020-06-01,1536
"120","静岡県",2020-06-01,2340
"121","山梨県",2020-06-08,2862
"122","栃木県",2020-06-08,4398
"123","群馬県",2020-06-08,2442
"124","茨城県",2020-06-08,1116
"125","長野県",2020-06-08,1236
"126","静岡県",2020-06-08,2160
"127","山梨県",2020-06-15,2436
"128","栃木県",2020-06-15,3762
"129","群馬県",2020-06-15,1680
"130","茨城県",2020-06-15,690
"131","長野県",2020-06-15,1194
"132","静岡県",2020-06-15,2148
"133","山梨県",2020-06-22,1740
"134","栃木県",2020-06-22,4962
"135","群馬県",2020-06-22,1788
"136","茨城県",2020-06-22,744
"137","長野県",2020-06-22,1704
"138","静岡県",2020-06-22,2358
"139","山梨県",2020-06-29,2160
"140","栃木県",2020-06-29,7380
"141","群馬県",2020-06-29,2478
"142","茨城県",2020-06-29,1524
"143","長野県",2020-06-29,1926
"144","静岡県",2020-06-29,3528
"145","山梨県",2020-07-06,1698
"146","栃木県",2020-07-06,8178
"147","群馬県",2020-07-06,2592
"148","茨城県",2020-07-06,1920
"149","長野県",2020-07-06,2052
"150","静岡県",2020-07-06,5334
"151","山梨県",2020-07-13,1920
"152","栃木県",2020-07-13,9180
"153","群馬県",2020-07-13,3906
"154","茨城県",2020-07-13,2880
"155","長野県",2020-07-13,2928
"156","静岡県",2020-07-13,7512
"157","山梨県",2020-07-20,2394
"158","栃木県",2020-07-20,9720
"159","群馬県",2020-07-20,3000
"160","茨城県",2020-07-20,2580
"161","長野県",2020-07-20,5262
"162","静岡県",2020-07-20,10092
"163","山梨県",2020-07-27,2802
"164","栃木県",2020-07-27,13842
"165","群馬県",2020-07-27,4632
"166","茨城県",2020-07-27,4662
"167","長野県",2020-07-27,11808
"168","静岡県",2020-07-27,17106
"169","山梨県",2020-08-03,4362
"170","栃木県",2020-08-03,13326
"171","群馬県",2020-08-03,4038
"172","茨城県",2020-08-03,6450
"173","長野県",2020-08-03,10266
"174","静岡県",2020-08-03,17874
"175","山梨県",2020-08-10,3090
"176","栃木県",2020-08-10,10548
"177","群馬県",2020-08-10,5106
"178","茨城県",2020-08-10,4806
"179","長野県",2020-08-10,6930
"180","静岡県",2020-08-10,16230
"181","山梨県",2020-08-17,2880
"182","栃木県",2020-08-17,11004
"183","群馬県",2020-08-17,7386
"184","茨城県",2020-08-17,4266
"185","長野県",2020-08-17,8658
"186","静岡県",2020-08-17,19716
"187","山梨県",2020-08-24,2274
"188","栃木県",2020-08-24,11976
"189","群馬県",2020-08-24,9360
"190","茨城県",2020-08-24,4476
"191","長野県",2020-08-24,11262
"192","静岡県",2020-08-24,19338
"193","山梨県",2020-08-31,1674
"194","栃木県",2020-08-31,10926
"195","群馬県",2020-08-31,5820
"196","茨城県",2020-08-31,3168
"197","長野県",2020-08-31,12378
"198","静岡県",2020-08-31,13344
