pref,week,infectious_l1,infectious_l2,sum_pop,pop_resid
Gunma,2019-12-30,0,0,2051913,1942000
Gunma,2020-01-06,0,0,1970025,1942000
Gunma,2020-01-13,0,0.006828577458592507,1965557,1942000
Gunma,2020-01-20,0.004146178096257953,0.006514661974478361,1967418,1942000
Gunma,2020-01-27,0.006211413537686222,0.005447173104240113,1968597,1942000
Gunma,2020-02-03,0.0053095229571769615,0.0283951418094126,1967183,1942000
Gunma,2020-02-10,0.031206498011201275,0.08890249036875088,1973630,1942000
Gunma,2020-02-17,0.0953494182298374,0.11506378799620924,1982478,1942000
Gunma,2020-02-24,0.1250902066165574,1.1694508083235045,1980774,1942000
Gunma,2020-03-02,1.1583981807577666,5.173902272636341,1975256,1942000
Gunma,2020-03-09,5.146283421487578,10.06775788350578,1974374,1942000
Gunma,2020-03-16,10.051973772443574,13.551936520993166,1986549,1942000
Gunma,2020-03-23,13.766462727757792,17.505350295987178,1975586,1942000
Gunma,2020-03-30,17.151787285933892,74.72729782849025,1967710,1942000
Gunma,2020-04-06,73.82601048545607,98.37194867250307,1972124,1942000
Gunma,2020-04-13,97.9139318900339,53.72817287014017,1978344,1942000
Gunma,2020-04-20,53.574664837903455,25.90493163477505,1974279,1942000
Gunma,2020-04-27,25.857087684445045,7.3055075641261435,1973922,1942000
Gunma,2020-05-04,7.2709608742973035,1.761423308851782,1971119,1942000
Gunma,2020-05-11,1.7349776235701377,2.335795820663029,1971121,1942000
Gunma,2020-05-18,2.323501140577058,2.1879925528696265,1974935,1942000
Gunma,2020-05-25,2.2002176821833537,2.184747932142217,1973313,1942000
Gunma,2020-06-01,2.194975629227475,2.278986004425834,1971661,1942000
Gunma,2020-06-08,2.31175054385628,0.4988857247578511,1970623,1942000
Gunma,2020-06-15,0.5278827891103219,2.0231444573516835,1974242,1942000
Gunma,2020-06-22,2.141192527355694,6.271106493287496,1979049,1942000
Gunma,2020-06-29,6.458382817480458,7.403021464735268,1969072,1942000
Gunma,2020-07-06,7.1797432437407736,18.100989035131608,1971972,1942000
Gunma,2020-07-13,18.03148745246731,31.20847861260082,1976549,1942000
Gunma,2020-07-20,31.59032671014261,34.5937638461926,1984348,1942000
Gunma,2020-07-27,36.676095823716174,60.165871889139304,1972168,1942000
Gunma,2020-08-03,60.20472115751772,116.00382556863346,1994398,1942000
Gunma,2020-08-10,115.56057958493108,159.31033799624944,2003490,1942000
Gunma,2020-08-17,161.98736551400657,146.57449860389616,1980373,1942000
Gunma,2020-08-24,145.8930924109192,108.59253975887712,1979358,1942000
Gunma,2020-08-31,106.53633099839116,112.6992180168881,1975683,1942000
Gunma,2020-09-07,112.32331311998078,180.462779766211,1977278,1942000
Gunma,2020-09-14,180.20710621659993,152.1366818798565,1991883,1942000
Gunma,2020-09-21,152.96098112580307,69.84258516140889,2000272,1942000
Gunma,2020-09-28,71.04352330746048,67.30474056748986,1984173,1942000
Gunma,2020-10-05,66.55583733101217,53.80436795317095,1979616,1942000
Gunma,2020-10-12,52.49568748763017,111.40946062198132,1984994,1942000
Gunma,2020-10-19,111.36966026003982,129.65125523371654,1991543,1942000
Gunma,2020-10-26,130.13748598793418,66.35198381167639,1989742,1942000
Gunma,2020-11-02,66.82275837126144,69.21463500854271,1987862,1942000
Gunma,2020-11-09,68.85956057055293,139.0957649755796,1988682,1942000
Gunma,2020-11-16,138.52836992081035,255.83067508794574,1988286,1942000
Gunma,2020-11-23,256.204722776535,356.98634610133735,1979649,1942000
Gunma,2020-11-30,356.0073037854641,469.0546950729603,1973423,1942000
Gunma,2020-12-07,466.4549778494139,554.4485187096539,1979357,1942000
Gunma,2020-12-14,554.7924912083834,537.7558477614459,1978850,1942000
Gunma,2020-12-21,538.7957815756703,509.4703983553868,1986151,1942000
