"","週","week","city","population_inflow","agrgt潜在的感染者人流_lag1","agrgt潜在的感染者人流_lag2","in_risk_lag1","in_risk_lag2"
"1","202001_W1",2019-12-30,"上野原市",27773,0,0,0,0
"2","202001_W1",2019-12-30,"中央市",29842,0,0,0,0
"3","202001_W1",2019-12-30,"丹波山村",1010,0,0,0,0
"4","202001_W1",2019-12-30,"北杜市",61050,0,0,0,0
"5","202001_W1",2019-12-30,"南アルプス市",67179,0,0,0,0
"6","202001_W1",2019-12-30,"南部町",9335,0,0,0,0
"7","202001_W1",2019-12-30,"大月市",29078,0,0,0,0
"8","202001_W1",2019-12-30,"富士吉田市",51558,0,0,0,0
"9","202001_W1",2019-12-30,"富士川町",15627,0,0,0,0
"10","202001_W1",2019-12-30,"富士河口湖町",37772,0,0,0,0
"11","202001_W1",2019-12-30,"小菅村",902,0,0,0,0
"12","202001_W1",2019-12-30,"山中湖村",13594,0,0,0,0
"13","202001_W1",2019-12-30,"山梨市",35925,0,0,0,0
"14","202001_W1",2019-12-30,"市川三郷町",15035,0,0,0,0
"15","202001_W1",2019-12-30,"忍野村",7553,0,0,0,0
"16","202001_W1",2019-12-30,"早川町",1410,0,0,0,0
"17","202001_W1",2019-12-30,"昭和町",26479,0,0,0,0
"18","202001_W1",2019-12-30,"甲州市",34946,0,0,0,0
"19","202001_W1",2019-12-30,"甲府市",192475,0,0,0,0
"20","202001_W1",2019-12-30,"甲斐市",73444,0,0,0,0
"21","202001_W1",2019-12-30,"笛吹市",76055,0,0,0,0
"22","202001_W1",2019-12-30,"西桂町",4236,0,0,0,0
"23","202001_W1",2019-12-30,"身延町",16758,0,0,0,0
"24","202001_W1",2019-12-30,"道志村",2873,0,0,0,0
"25","202001_W1",2019-12-30,"都留市",31663,0,0,0,0
"26","202001_W1",2019-12-30,"韮崎市",32357,0,0,0,0
"27","202001_W1",2019-12-30,"鳴沢村",6280,0,0,0,0
"28","202001_W2",2020-01-06,"上野原市",23856,0,0,0,0
"29","202001_W2",2020-01-06,"中央市",31122,0,0,0,0
"30","202001_W2",2020-01-06,"丹波山村",785,0,0,0,0
"31","202001_W2",2020-01-06,"北杜市",47015,0,0,0,0
"32","202001_W2",2020-01-06,"南アルプス市",63957,0,0,0,0
"33","202001_W2",2020-01-06,"南部町",7131,0,0,0,0
"34","202001_W2",2020-01-06,"大月市",24394,0,0,0,0
"35","202001_W2",2020-01-06,"富士吉田市",46718,0,0,0,0
"36","202001_W2",2020-01-06,"富士川町",13643,0,0,0,0
"37","202001_W2",2020-01-06,"富士河口湖町",27188,0,0,0,0
"38","202001_W2",2020-01-06,"小菅村",751,0,0,0,0
"39","202001_W2",2020-01-06,"山中湖村",8770,0,0,0,0
"40","202001_W2",2020-01-06,"山梨市",32271,0,0,0,0
"41","202001_W2",2020-01-06,"市川三郷町",13444,0,0,0,0
"42","202001_W2",2020-01-06,"忍野村",9397,0,0,0,0
"43","202001_W2",2020-01-06,"早川町",1141,0,0,0,0
"44","202001_W2",2020-01-06,"昭和町",27217,0,0,0,0
"45","202001_W2",2020-01-06,"甲州市",29981,0,0,0,0
"46","202001_W2",2020-01-06,"甲府市",204140,0,0,0,0
"47","202001_W2",2020-01-06,"甲斐市",64617,0,0,0,0
"48","202001_W2",2020-01-06,"笛吹市",69679,0,0,0,0
"49","202001_W2",2020-01-06,"西桂町",3411,0,0,0,0
"50","202001_W2",2020-01-06,"身延町",12391,0,0,0,0
"51","202001_W2",2020-01-06,"道志村",1756,0,0,0,0
"52","202001_W2",2020-01-06,"都留市",30299,0,0,0,0
"53","202001_W2",2020-01-06,"韮崎市",31773,0,0,0,0
"54","202001_W2",2020-01-06,"鳴沢村",4041,0,0,0,0
"55","202001_W3",2020-01-13,"上野原市",23641,0,0.000339644376809344,0,3.06699312186333e-11
"56","202001_W3",2020-01-13,"中央市",31361,0,9.66129662849827e-05,0,8.94920226903683e-12
"57","202001_W3",2020-01-13,"丹波山村",556,0,4.09372435039777e-05,0,3.50210378238359e-12
"58","202001_W3",2020-01-13,"北杜市",45934,0,0.000786486390200822,0,7.6290789469944e-11
"59","202001_W3",2020-01-13,"南アルプス市",63953,0,0.000239627931290884,0,2.35816158145254e-11
"60","202001_W3",2020-01-13,"南部町",7176,0,4.87348526025435e-05,0,5.33349100418609e-12
"61","202001_W3",2020-01-13,"大月市",24502,0,0.00034568642637454,0,3.07429956082455e-11
"62","202001_W3",2020-01-13,"富士吉田市",46901,0,0.000362972198478699,0,3.55499137731544e-11
"63","202001_W3",2020-01-13,"富士川町",14011,0,3.68448433611586e-05,0,3.56904579895039e-12
"64","202001_W3",2020-01-13,"富士河口湖町",27720,0,0.000432561277782134,0,4.19162172201779e-11
"65","202001_W3",2020-01-13,"小菅村",575,0,9.76941311687379e-06,0,7.01775240059894e-13
"66","202001_W3",2020-01-13,"山中湖村",8115,0,0.000316934272521203,0,3.10517570197266e-11
"67","202001_W3",2020-01-13,"山梨市",32475,0,0.000140254343578265,0,1.3559846681044e-11
"68","202001_W3",2020-01-13,"市川三郷町",13623,0,3.88301637679723e-05,0,4.01645129102593e-12
"69","202001_W3",2020-01-13,"忍野村",9086,0,7.06720831434241e-05,0,6.70884618831226e-12
"70","202001_W3",2020-01-13,"早川町",1188,0,9.66052201595625e-06,0,9.86694171973752e-13
"71","202001_W3",2020-01-13,"昭和町",26516,0,0.000143359920406509,0,1.3442096673461e-11
"72","202001_W3",2020-01-13,"甲州市",29510,0,0.000157189473762394,0,1.49728990449402e-11
"73","202001_W3",2020-01-13,"甲府市",203425,0,0.000933154859091837,0,8.4901634053835e-11
"74","202001_W3",2020-01-13,"甲斐市",66569,0,0.000218465387656148,0,2.11230472936221e-11
"75","202001_W3",2020-01-13,"笛吹市",70096,0,0.000404317536859971,0,3.75453812144785e-11
"76","202001_W3",2020-01-13,"西桂町",3707,0,2.17443115636685e-05,0,2.2717774151471e-12
"77","202001_W3",2020-01-13,"身延町",12492,0,8.77953949181059e-05,0,8.74493701405387e-12
"78","202001_W3",2020-01-13,"道志村",1613,0,7.41934666620246e-05,0,7.51513971915597e-12
"79","202001_W3",2020-01-13,"都留市",30656,0,0.000210396282144549,0,1.96931946094197e-11
"80","202001_W3",2020-01-13,"韮崎市",32555,0,0.000160061811579588,0,1.48624236449698e-11
"81","202001_W3",2020-01-13,"鳴沢村",4116,0,0.000134447904109386,0,1.26735836006955e-11
"82","202001_W4",2020-01-20,"上野原市",23723,0.000256489726361462,0.000310159068951717,2.12438971290922e-11,2.71292222165534e-11
"83","202001_W4",2020-01-20,"中央市",31860,6.94644772315959e-05,9.61678755547468e-05,5.53130469538758e-12,9.07813328021124e-12
"84","202001_W4",2020-01-20,"丹波山村",546,1.30426985100077e-05,3.19660943897709e-05,9.56958914925034e-13,2.29624986637245e-12
"85","202001_W4",2020-01-20,"北杜市",45491,0.000331301043751333,0.000459708294847039,2.93368188691056e-11,5.58497881986354e-11
"86","202001_W4",2020-01-20,"南アルプス市",63174,0.000112502872193778,0.00016107240840946,1.00586825906529e-11,1.9615996390822e-11
"87","202001_W4",2020-01-20,"南部町",7091,5.73083194239085e-06,9.65904913672227e-06,5.40007268998326e-13,1.38978057606689e-12
"88","202001_W4",2020-01-20,"大月市",23428,0.000218441367177365,0.000363027170439913,1.75682709379621e-11,3.64464845152585e-11
"89","202001_W4",2020-01-20,"富士吉田市",47163,0.000168816505879688,0.000253584038001004,1.48858146685112e-11,3.5542782381075e-11
"90","202001_W4",2020-01-20,"富士川町",13394,8.54353092519311e-06,1.50562149436507e-05,7.58085518372789e-13,1.12768404101895e-12
"91","202001_W4",2020-01-20,"富士河口湖町",27182,0.000246372436046405,0.000353676366663751,2.19730272796086e-11,5.25664213933709e-11
"92","202001_W4",2020-01-20,"小菅村",663,9.19474175705768e-06,1.43667839954026e-05,6.60494343585783e-13,1.03202241185279e-12
"93","202001_W4",2020-01-20,"山中湖村",7895,0.000186385866168969,0.000199583834224767,1.70582553821064e-11,2.0451502360267e-11
"94","202001_W4",2020-01-20,"山梨市",32794,7.69519772509084e-05,0.000120761777122923,6.9553806253474e-12,1.35210666912692e-11
"95","202001_W4",2020-01-20,"市川三郷町",13713,1.00226038932368e-05,1.39209529243541e-05,9.36530162602375e-13,1.39156851958469e-12
"96","202001_W4",2020-01-20,"忍野村",8909,5.97287171147342e-05,6.09181380946662e-05,5.20490204287507e-12,5.30221162341143e-12
"97","202001_W4",2020-01-20,"早川町",1239,6.16213670158976e-06,3.66352991882767e-06,5.26863600975317e-13,2.6316571502246e-13
"98","202001_W4",2020-01-20,"昭和町",26306,6.03096625439789e-05,0.000131977057641886,5.05414002825534e-12,1.46057469545e-11
"99","202001_W4",2020-01-20,"甲州市",28950,9.40594439407127e-05,0.00011931739764685,7.67100477030024e-12,1.21859529220702e-11
"100","202001_W4",2020-01-20,"甲府市",206197,0.00059203524428403,0.000911973477219023,4.97628935239111e-11,1.11538462339024e-10
"101","202001_W4",2020-01-20,"甲斐市",64458,8.99734708313582e-05,0.000147794384334721,7.49780896677446e-12,2.07487111419544e-11
"102","202001_W4",2020-01-20,"笛吹市",69543,0.000299078653385073,0.000384414376220393,2.55264070261916e-11,3.77354648398433e-11
"103","202001_W4",2020-01-20,"西桂町",3475,7.10998956036715e-06,6.27535214060138e-06,5.58861821640589e-13,5.08975520514568e-13
"104","202001_W4",2020-01-20,"身延町",11867,3.90471234701198e-05,4.9593534339441e-05,3.48264251833463e-12,5.63802136017025e-12
"105","202001_W4",2020-01-20,"道志村",1457,3.47127851366545e-05,2.12628403131959e-05,3.30761603692275e-12,1.52739316954212e-12
"106","202001_W4",2020-01-20,"都留市",31504,0.000117475834485963,0.000158661748352594,1.00268123636082e-11,1.42900964679834e-11
"107","202001_W4",2020-01-20,"韮崎市",33323,8.61137213822606e-05,0.00011417943010175,7.44912662786698e-12,1.07101018178496e-11
"108","202001_W4",2020-01-20,"鳴沢村",3884,8.87153852861093e-05,0.000100732201792779,7.70415667436024e-12,8.92843392864886e-12
"109","202001_W5",2020-01-27,"上野原市",23469,0.000331623544063472,0.000171599034454312,2.69985862230971e-11,2.05593986026243e-11
"110","202001_W5",2020-01-27,"中央市",32145,0.000100470004332721,7.01737116581213e-05,9.1766515508657e-12,8.54426227271263e-12
"111","202001_W5",2020-01-27,"丹波山村",668,1.57081008290236e-05,7.20817062579372e-06,1.17052304940575e-12,6.0208833483955e-13
"112","202001_W5",2020-01-27,"北杜市",45666,0.000408780217211168,0.000278396665793584,5.70090196992934e-11,5.303966505622e-11
"113","202001_W5",2020-01-27,"南アルプス市",63608,0.00014514565857382,0.000121188084936612,1.76874521161966e-11,2.03220645032181e-11
"114","202001_W5",2020-01-27,"南部町",7408,1.5751174821789e-05,7.02119659200246e-06,4.39839049133477e-12,1.31613252021464e-12
"115","202001_W5",2020-01-27,"大月市",23856,0.000365585501717526,0.000231629748920766,3.95689127735355e-11,3.21789387914879e-11
"116","202001_W5",2020-01-27,"富士吉田市",47610,0.000254380032334809,0.000178172183124073,4.47258981693356e-11,3.61462090794227e-11
"117","202001_W5",2020-01-27,"富士川町",13525,1.01689323362446e-05,4.91660814881639e-06,8.54880918509624e-13,5.59888810993591e-13
"118","202001_W5",2020-01-27,"富士河口湖町",27319,0.000331506308769182,0.000252904395580158,5.24558360327847e-11,5.24056540514085e-11
"119","202001_W5",2020-01-27,"小菅村",824,1.0703254076575e-05,4.59737087852884e-06,7.68856696830325e-13,3.30247171792891e-13
"120","202001_W5",2020-01-27,"山中湖村",7936,0.000213902515403863,0.00010869356517727,3.91215870931613e-11,1.57410224842647e-11
"121","202001_W5",2020-01-27,"山梨市",31528,0.000109974701492828,0.000149845686916424,1.26001044467048e-11,2.22376678200063e-11
"122","202001_W5",2020-01-27,"市川三郷町",13692,1.17106432446513e-05,7.87106978797568e-06,1.07867828996853e-12,1.06946768740395e-12
"123","202001_W5",2020-01-27,"忍野村",9212,6.61628515495157e-05,3.72170899673172e-05,6.2693349283809e-12,4.71205299055089e-12
"124","202001_W5",2020-01-27,"早川町",1162,5.61914784955193e-06,2.25905570197721e-06,4.17694947451323e-13,1.90375887494655e-13
"125","202001_W5",2020-01-27,"昭和町",26166,0.000104398681221303,0.000122988039425978,1.25000777223617e-11,1.89539802807061e-11
"126","202001_W5",2020-01-27,"甲州市",29840,0.000130176019788043,9.64809950596494e-05,1.40041256804842e-11,1.52147940898371e-11
"127","202001_W5",2020-01-27,"甲府市",207480,0.000965052978827256,0.000691462086912255,1.48059343869273e-10,1.21863173553175e-10
"128","202001_W5",2020-01-27,"甲斐市",65721,0.000146686094428883,8.41617999353203e-05,2.17746777969892e-11,1.74802801571129e-11
"129","202001_W5",2020-01-27,"笛吹市",70003,0.000378974754077421,0.000265421189813894,3.95245402643405e-11,3.58345223409525e-11
"130","202001_W5",2020-01-27,"西桂町",3425,9.79161569599696e-06,7.07185425576807e-06,8.65936866493669e-13,8.67259167666163e-13
"131","202001_W5",2020-01-27,"身延町",12850,4.68896465817492e-05,2.35866605434976e-05,5.70511552025088e-12,4.28654812696576e-12
"132","202001_W5",2020-01-27,"道志村",1510,1.80476669877253e-05,9.51678358395575e-06,1.43692997104409e-12,9.64618480160519e-13
"133","202001_W5",2020-01-27,"都留市",30842,0.000196394275007107,0.000203360032990634,2.05027875575114e-11,2.91918578936449e-11
"134","202001_W5",2020-01-27,"韮崎市",32691,9.33262673342081e-05,4.67426866551086e-05,8.53922029882537e-12,6.44333566937186e-12
"135","202001_W5",2020-01-27,"鳴沢村",4064,9.33454954096756e-05,8.13636392496106e-05,9.12565152984441e-12,1.07662615895445e-11
"136","202002_W1",2020-02-03,"上野原市",24282,0.000165697926675507,0.00152092971522987,1.71866071158908e-11,1.22934627126465e-10
"137","202002_W1",2020-02-03,"中央市",30952,8.58286466930073e-05,0.000323067995298696,1.20430141330633e-11,2.82204932914067e-11
"138","202002_W1",2020-02-03,"丹波山村",468,9.73221125921776e-06,0.000101257811699203,1.31125458853914e-12,7.87162208025057e-12
"139","202002_W1",2020-02-03,"北杜市",47044,0.000309958893617893,0.00210158792854124,5.94153876692876e-11,1.81498647076054e-10
"140","202002_W1",2020-02-03,"南アルプス市",63442,8.73752847968652e-05,0.000576286424040596,1.24989941370067e-11,4.95751219836588e-11
"141","202002_W1",2020-02-03,"南部町",7664,1.39820125308407e-05,0.00013475643440498,4.67772080485188e-12,1.33335978774061e-11
"142","202002_W1",2020-02-03,"大月市",22781,0.000251320355859077,0.00173882528856156,3.6455770278452e-11,1.43929558141245e-10
"143","202002_W1",2020-02-03,"富士吉田市",47742,0.000199596989660084,0.00101812675762084,4.63801978608114e-11,1.00379446069766e-10
"144","202002_W1",2020-02-03,"富士川町",13871,5.8455996028894e-06,7.70408015327674e-05,6.04550485499088e-13,6.51492537835223e-12
"145","202002_W1",2020-02-03,"富士河口湖町",29059,0.000218845684016785,0.00135982178949487,5.08998089313519e-11,1.60244774357551e-10
"146","202002_W1",2020-02-03,"小菅村",545,1.98782211341406e-06,4.99010467380818e-05,1.84941646086337e-13,3.62673638961538e-12
"147","202002_W1",2020-02-03,"山中湖村",8915,0.000154888045385463,0.000949877152060944,3.963228351297e-11,8.99055821671345e-11
