"","週","week","都道府県","sum_pop","agrgt潜在的感染者人流_lag1","agrgt潜在的感染者人流_lag2","in_risk_lag1","in_risk_lag2"
"1","202001_W1",2019-12-30,"山梨県",902209,0,0,0,0
"2","202001_W1",2019-12-30,"栃木県",2026802,0,0,0,0
"3","202001_W1",2019-12-30,"群馬県",2051913,0,0,0,0
"4","202001_W1",2019-12-30,"茨城県",2871890,0,0,0,0
"5","202001_W1",2019-12-30,"長野県",2315982,0,0,0,0
"6","202001_W1",2019-12-30,"静岡県",3921264,0,0,0,0
"7","202001_W2",2020-01-06,"山梨県",830888,0,0,0,0
"8","202001_W2",2020-01-06,"栃木県",1965648,0,0,0,0
"9","202001_W2",2020-01-06,"群馬県",1970025,0,0,0,0
"10","202001_W2",2020-01-06,"茨城県",2827837,0,0,0,0
"11","202001_W2",2020-01-06,"長野県",2130881,0,0,0,0
"12","202001_W2",2020-01-06,"静岡県",3733109,0,0,0,0
"13","202001_W3",2020-01-13,"山梨県",832072,0,0.00586623967175967,0,5.55464256543564e-10
"14","202001_W3",2020-01-13,"栃木県",1964567,0,0.00604002532630015,0,5.64820799574579e-10
"15","202001_W3",2020-01-13,"群馬県",1965557,0,0.00682857745859251,0,6.27467713564569e-10
"16","202001_W3",2020-01-13,"茨城県",2838112,0,0.00778228465907845,0,7.11724482681226e-10
"17","202001_W3",2020-01-13,"長野県",2120306,0,0.011142384540075,0,1.10064722722131e-09
"18","202001_W3",2020-01-13,"静岡県",3721893,0,0.0229710414796373,0,2.42222018071154e-09
"19","202001_W4",2020-01-20,"山梨県",829229,0.00328789156649914,0.00467179181915441,2.82248584271598e-10,5.535296362969e-10
"20","202001_W4",2020-01-20,"栃木県",1969341,0.00345540541781506,0.00615077474758662,2.90797752956974e-10,7.63516108204319e-10
"21","202001_W4",2020-01-20,"群馬県",1967418,0.00414617809625795,0.00651466197447836,3.48526875247843e-10,7.36916164365266e-10
"22","202001_W4",2020-01-20,"茨城県",2825948,0.00501447117136461,0.0139369498819697,4.11171935668758e-10,1.93464114308562e-09
"23","202001_W4",2020-01-20,"長野県",2113866,0.00656854873891757,0.0121171276864257,6.2644208049584e-10,2.18057998083555e-09
"24","202001_W4",2020-01-20,"静岡県",3721866,0.013814826532172,0.0229624422286229,1.44331987301605e-09,4.05692280328922e-09
"25","202001_W5",2020-01-27,"山梨県",834220,0.00460717980902556,0.0033368348671841,6.13522136803154e-10,5.6780709947131e-10
"26","202001_W5",2020-01-27,"栃木県",1963256,0.0058240429263787,0.00560696369988284,7.32659564275695e-10,9.27364355240929e-10
"27","202001_W5",2020-01-27,"群馬県",1968597,0.00621141353768622,0.00544717310424011,7.25219007476648e-10,8.82515879298481e-10
"28","202001_W5",2020-01-27,"茨城県",2836620,0.0138753511819209,0.0244570092131549,1.84148543616889e-09,3.97281051860325e-09
"29","202001_W5",2020-01-27,"長野県",2121067,0.011800272200054,0.00927048339455383,2.36926885678972e-09,2.36306902487278e-09
"30","202001_W5",2020-01-27,"静岡県",3726761,0.0220417644080727,0.0169052571897097,4.07624966705292e-09,3.86024123481406e-09
"31","202002_W1",2020-02-03,"山梨県",837237,0.00340303762787261,0.0212923798123838,6.38997488802227e-10,2.02930572732667e-09
