week,type,nofcases
2020-01-13,fitted,NA
2020-01-13,counterfactual,NA
2020-01-13,actual,0
2020-01-20,fitted,NA
2020-01-20,counterfactual,NA
2020-01-20,actual,0
2020-01-27,fitted,0.8981689544936907
2020-01-27,counterfactual,-0.10183104550622946
2020-01-27,actual,0
2020-02-03,fitted,0.9379979900463123
2020-02-03,counterfactual,-0.0620020099536045
2020-02-03,actual,0
2020-02-10,fitted,0.89881219819324
2020-02-10,counterfactual,-0.10118780180660036
2020-02-10,actual,0
2020-02-17,fitted,1.0439154010413492
2020-02-17,counterfactual,0.04391540104143199
2020-02-17,actual,0
2020-02-24,fitted,1.1434954483763276
2020-02-24,counterfactual,0.14349544837645545
2020-02-24,actual,0
2020-03-02,fitted,1.2904605109247917
2020-03-02,counterfactual,0.2904605109250473
2020-03-02,actual,2
2020-03-09,fitted,1.8750601621931788
2020-03-09,counterfactual,0.8750601621934664
2020-03-09,actual,0
2020-03-16,fitted,2.0012250066395763
2020-03-16,counterfactual,1.001225006639892
2020-03-16,actual,0
2020-03-23,fitted,2.7009886681156634
2020-03-23,counterfactual,1.7009886681160968
2020-03-23,actual,2
2020-03-30,fitted,6.602519854583772
2020-03-30,counterfactual,5.602519854585185
2020-03-30,actual,10
2020-04-06,fitted,22.800492748383405
2020-04-06,counterfactual,21.80049274838787
2020-04-06,actual,21
2020-04-13,fitted,15.745008113308089
2020-04-13,counterfactual,14.745008113309131
2020-04-13,actual,14
2020-04-20,fitted,9.490861685636117
2020-04-20,counterfactual,8.49086168563632
2020-04-20,actual,3
2020-04-27,fitted,3.0074714126920843
2020-04-27,counterfactual,2.007471412692469
2020-04-27,actual,4
2020-05-04,fitted,1.416059561067149
2020-05-04,counterfactual,0.4160595610673019
2020-05-04,actual,0
2020-05-11,fitted,1.2348081602295182
2020-05-11,counterfactual,0.23480816022963813
2020-05-11,actual,1
2020-05-18,fitted,1.6643185914343608
2020-05-18,counterfactual,0.6643185914344851
2020-05-18,actual,3
