date,type,customers
2019-01-01,fitted,21.41197224642801
2019-01-01,counterfactual,21.411972246436704
2019-01-01,actual,37.72222222222222
2019-01-02,fitted,58.515558840102706
2019-01-02,counterfactual,58.51555884010016
2019-01-02,actual,63.888888888888886
2019-01-03,fitted,58.75574321543795
2019-01-03,counterfactual,58.755743215422555
2019-01-03,actual,57.72222222222222
2019-01-04,fitted,60.29297316033119
2019-01-04,counterfactual,60.29297316033965
2019-01-04,actual,50
2019-01-05,fitted,65.31051953103209
2019-01-05,counterfactual,65.31051953102136
2019-01-05,actual,58.666666666666664
2019-01-06,fitted,46.12218720572445
2019-01-06,counterfactual,46.12218720573136
2019-01-06,actual,46.22222222222222
2019-01-07,fitted,27.974811278075606
2019-01-07,counterfactual,27.97481127807716
2019-01-07,actual,32.44444444444444
2019-01-08,fitted,26.834925502237574
2019-01-08,counterfactual,26.834925502240015
2019-01-08,actual,23.11111111111111
2019-01-09,fitted,29.670317671577127
2019-01-09,counterfactual,29.67031767158361
2019-01-09,actual,25.833333333333332
2019-01-10,fitted,33.4027973685553
2019-01-10,counterfactual,33.40279736855212
2019-01-10,actual,32.666666666666664
2019-01-11,fitted,45.502968887745496
2019-01-11,counterfactual,45.50296888773366
2019-01-11,actual,40.888888888888886
2019-01-12,fitted,65.64313260140608
2019-01-12,counterfactual,65.64313260142153
2019-01-12,actual,60.05555555555556
2019-01-13,fitted,70.39808805867462
2019-01-13,counterfactual,70.39808805867861
2019-01-13,actual,65.88888888888889
2019-01-14,fitted,44.8615131072162
2019-01-14,counterfactual,44.861513107233925
2019-01-14,actual,46.27777777777778
2019-01-15,fitted,25.632982275812967
2019-01-15,counterfactual,25.632982275813024
2019-01-15,actual,18.72222222222222
2019-01-16,fitted,32.75957424207537
2019-01-16,counterfactual,32.75957424207705
2019-01-16,actual,32.94444444444444
2019-01-17,fitted,33.83749593442358
2019-01-17,counterfactual,33.837495934424794
2019-01-17,actual,32.77777777777778
2019-01-18,fitted,48.76045701046205
2019-01-18,counterfactual,48.76045701046421
2019-01-18,actual,46.611111111111114
2019-01-19,fitted,67.4201509002365
2019-01-19,counterfactual,67.4201509002574
2019-01-19,actual,60.77777777777778
2019-01-20,fitted,49.11673377829257
2019-01-20,counterfactual,49.116733778278196
2019-01-20,actual,49
2019-01-21,fitted,27.29428442795398
2019-01-21,counterfactual,27.294284427954356
2019-01-21,actual,27.666666666666668
2019-01-22,fitted,29.477252806457724
2019-01-22,counterfactual,29.47725280645567
2019-01-22,actual,24.72222222222222
2019-01-23,fitted,33.832614708597795
2019-01-23,counterfactual,33.83261470859649
2019-01-23,actual,32.388888888888886
2019-01-24,fitted,35.51501846586402
2019-01-24,counterfactual,35.5150184658699
2019-01-24,actual,35.111111111111114
2019-01-25,fitted,51.04680119847971
2019-01-25,counterfactual,51.04680119848441
2019-01-25,actual,45.611111111111114
