week,type,customers_per
2018-12-31,actual,314.22222222222223
2018-12-31,counterfactual,310.4089541990518
2018-12-31,fitted,310.4089541990564
2019-01-07,actual,280.88888888888886
2019-01-07,counterfactual,299.4270413682867
2019-01-07,fitted,299.42704136827183
2019-01-14,actual,287.1111111111111
2019-01-14,counterfactual,302.3889072485486
2019-01-14,fitted,302.3889072485192
2019-01-21,actual,287.44444444444446
2019-01-21,counterfactual,298.188003204015
2019-01-21,fitted,298.1880032040315
2019-01-28,actual,256.5
2019-01-28,counterfactual,278.46242815680944
2019-01-28,fitted,278.46242815681586
2019-02-04,actual,270.55555555555554
2019-02-04,counterfactual,306.1117182764825
2019-02-04,fitted,306.1117182764796
2019-02-11,actual,281.11111111111114
2019-02-11,counterfactual,311.0011693170418
2019-02-11,fitted,311.00116931703724
2019-02-18,actual,268.6111111111111
2019-02-18,counterfactual,310.04764399230305
2019-02-18,fitted,310.04764399231163
2019-02-25,actual,279.05555555555554
2019-02-25,counterfactual,313.21381020872104
2019-02-25,fitted,313.2138102087229
2019-03-04,actual,301.61111111111114
2019-03-04,counterfactual,320.21776136161856
2019-03-04,fitted,320.2177613616157
2019-03-11,actual,337.6111111111111
2019-03-11,counterfactual,346.19178220683773
2019-03-11,fitted,346.19178220684745
2019-03-18,actual,363.77777777777777
2019-03-18,counterfactual,378.29461327712124
2019-03-18,fitted,378.29461327714074
2019-03-25,actual,381.22222222222223
2019-03-25,counterfactual,380.82011085032445
2019-03-25,fitted,380.8201108503232
2019-04-01,actual,332.83333333333337
2019-04-01,counterfactual,325.699900819019
2019-04-01,fitted,325.69990081900846
2019-04-08,actual,329.1666666666667
2019-04-08,counterfactual,318.6857424220127
2019-04-08,fitted,318.6857424220127
2019-04-15,actual,357.22222222222223
2019-04-15,counterfactual,330.95219595403523
2019-04-15,fitted,330.95219595402114
2019-04-22,actual,345
2019-04-22,counterfactual,344.96820468991393
2019-04-22,fitted,344.9682046899113
2019-04-29,actual,522.5555555555555
2019-04-29,counterfactual,524.350085500931
2019-04-29,fitted,524.3500855009191
2019-05-06,actual,322.38888888888886
2019-05-06,counterfactual,302.2517880213109
2019-05-06,fitted,302.25178802131234
2019-05-13,actual,317.94444444444446
2019-05-13,counterfactual,308.79775610884775
2019-05-13,fitted,308.79775610885446
2019-05-20,actual,313.3333333333333
2019-05-20,counterfactual,307.06981471590586
2019-05-20,fitted,307.0698147158903
2019-05-27,actual,300.22222222222223
2019-05-27,counterfactual,312.9826437612378
2019-05-27,fitted,312.98264376121716
2019-06-03,actual,306.44444444444446
2019-06-03,counterfactual,303.2596780368282
2019-06-03,fitted,303.25967803682875
2019-06-10,actual,318.3333333333333
2019-06-10,counterfactual,317.5774069107618
2019-06-10,fitted,317.57740691075674
2019-06-17,actual,311.94444444444446
2019-06-17,counterfactual,319.38508845612375
2019-06-17,fitted,319.3850884561174
2019-06-24,actual,319.94444444444446
2019-06-24,counterfactual,328.1573577755543
2019-06-24,fitted,328.1573577755458
2019-07-01,actual,302
2019-07-01,counterfactual,307.539447273256
2019-07-01,fitted,307.5394472732564
2019-07-08,actual,309.27777777777777
2019-07-08,counterfactual,336.29433761752375
2019-07-08,fitted,336.29433761752324
2019-07-15,actual,321.1111111111111
2019-07-15,counterfactual,333.0505789022659
2019-07-15,fitted,333.05057890226374
2019-07-22,actual,313
2019-07-22,counterfactual,330.2718964360363
2019-07-22,fitted,330.27189643603845
2019-07-29,actual,329
2019-07-29,counterfactual,335.41336263802367
2019-07-29,fitted,335.4133626380189
2019-08-05,actual,389.1666666666667
2019-08-05,counterfactual,375.3550253808565
2019-08-05,fitted,375.35502538085234
2019-08-12,actual,481.6666666666667
2019-08-12,counterfactual,463.47068590819634
2019-08-12,fitted,463.47068590818
2019-08-19,actual,345.1666666666667
2019-08-19,counterfactual,339.0549232946246
2019-08-19,fitted,339.0549232946203
2019-08-26,actual,332.16666666666663
2019-08-26,counterfactual,331.7359309474559
2019-08-26,fitted,331.735930947445
2019-09-02,actual,306.94444444444446
2019-09-02,counterfactual,294.58391627386624
2019-09-02,fitted,294.58391627386317
2019-09-09,actual,337.27777777777777
2019-09-09,counterfactual,327.88542170315094
2019-09-09,fitted,327.88542170314275
2019-09-16,actual,353.3888888888889
2019-09-16,counterfactual,335.82468430255994
2019-09-16,fitted,335.82468430256785
2019-09-23,actual,339.27777777777777
2019-09-23,counterfactual,329.8979713882315
2019-09-23,fitted,329.8979713882296
2019-09-30,actual,298.88888888888886
2019-09-30,counterfactual,301.0458651830015
2019-09-30,fitted,301.04586518300306
2019-10-07,actual,218.72222222222223
2019-10-07,counterfactual,230.35781252939822
2019-10-07,fitted,230.3578125293936
2019-10-14,actual,295.3888888888889
2019-10-14,counterfactual,302.08884352444136
2019-10-14,fitted,302.0888435244391
2019-10-21,actual,336
2019-10-21,counterfactual,320.83586891874404
2019-10-21,fitted,320.8358689187427
2019-10-28,actual,331.05555555555554
2019-10-28,counterfactual,317.7243189095368
2019-10-28,fitted,317.7243189095439
2019-11-04,actual,338.83333333333337
2019-11-04,counterfactual,314.18838055499657
2019-11-04,fitted,314.18838055499657
2019-11-11,actual,327.6666666666667
2019-11-11,counterfactual,309.7381934235368
2019-11-11,fitted,309.7381934235254
2019-11-18,actual,350.3888888888889
2019-11-18,counterfactual,315.111860605572
2019-11-18,fitted,315.11186060557594
2019-11-25,actual,332.44444444444446
2019-11-25,counterfactual,315.37573886631407
2019-11-25,fitted,315.3757388663028
2019-12-02,actual,307.6666666666667
2019-12-02,counterfactual,313.09232780581067
2019-12-02,fitted,313.09232780580817
2019-12-09,actual,316.6666666666667
2019-12-09,counterfactual,340.86319765190393
2019-12-09,fitted,340.86319765189427
2019-12-16,actual,337.22222222222223
2019-12-16,counterfactual,345.5083453458383
2019-12-16,fitted,345.5083453458319
2019-12-23,actual,363.77777777777777
2019-12-23,counterfactual,382.7932750039912
2019-12-23,fitted,382.7932750039755
2019-12-30,actual,388.77777777777777
2019-12-30,counterfactual,363.9338015866824
2019-12-30,fitted,363.9338015866831
2020-01-06,actual,257.3888888888889
2020-01-06,counterfactual,290.579015623562
2020-01-06,fitted,290.5790156235634
2020-01-13,actual,272.27777777777777
2020-01-13,counterfactual,298.884004929728
2020-01-13,fitted,298.88400492972397
2020-01-20,actual,262.05555555555554
2020-01-20,counterfactual,298.10290833826264
2020-01-20,fitted,298.1029083382609
2020-01-27,actual,229.83333333333334
2020-01-27,counterfactual,282.44389095967176
2020-01-27,fitted,282.4438909596717
2020-02-03,actual,253
2020-02-03,counterfactual,284.35569603071747
2020-02-03,fitted,284.3556960307037
2020-02-10,actual,272.72222222222223
2020-02-10,counterfactual,307.56249173375693
2020-02-10,fitted,307.56249173376
2020-02-17,actual,265.05555555555554
2020-02-17,counterfactual,307.0879344580659
2020-02-17,fitted,307.08793445806623
2020-02-24,actual,263.22222222222223
2020-02-24,counterfactual,280.8025531732525
2020-02-24,fitted,280.8025531732504
2020-03-02,actual,205.94444444444443
2020-03-02,counterfactual,240.17740526471545
2020-03-02,fitted,240.17740526471312
2020-03-09,actual,221.33333333333331
