date,type,sales_per
2019-01-01,fitted,50181.48469476598
2019-01-01,counterfactual,50181.48469477204
2019-01-01,actual,85158.72222222222
2019-01-02,fitted,157327.7834834693
2019-01-02,counterfactual,157327.78348346901
2019-01-02,actual,186983.66666666663
2019-01-03,fitted,150511.00614450758
2019-01-03,counterfactual,150511.00614446908
2019-01-03,actual,163086
2019-01-04,fitted,154902.7307235151
2019-01-04,counterfactual,154902.73072355057
2019-01-04,actual,137496
2019-01-05,fitted,172887.15315197487
2019-01-05,counterfactual,172887.15315194876
2019-01-05,actual,155578.72222222222
2019-01-06,fitted,99337.52695426383
2019-01-06,counterfactual,99337.52695428042
2019-01-06,actual,101466.33333333331
2019-01-07,fitted,66195.17519847043
2019-01-07,counterfactual,66195.1751984776
2019-01-07,actual,100744.88888888888
2019-01-08,fitted,65866.12933904513
2019-01-08,counterfactual,65866.12933905602
2019-01-08,actual,56157.38888888889
2019-01-09,fitted,73313.92668991805
2019-01-09,counterfactual,73313.92668993655
2019-01-09,actual,68519.88888888889
2019-01-10,fitted,79578.92289332717
2019-01-10,counterfactual,79578.92289332053
2019-01-10,actual,84497.55555555556
2019-01-11,fitted,138615.46359823254
2019-01-11,counterfactual,138615.4635981929
2019-01-11,actual,120333.38888888888
2019-01-12,fitted,187143.51894894717
2019-01-12,counterfactual,187143.518949007
2019-01-12,actual,171848
2019-01-13,fitted,174481.2732058765
2019-01-13,counterfactual,174481.27320588424
2019-01-13,actual,158762.5
2019-01-14,fitted,96733.8508174753
2019-01-14,counterfactual,96733.85081752048
2019-01-14,actual,101502.94444444444
2019-01-15,fitted,64867.67650686313
2019-01-15,counterfactual,64867.67650686451
2019-01-15,actual,59148.666666666664
2019-01-16,fitted,85673.88726367301
2019-01-16,counterfactual,85673.88726368168
2019-01-16,actual,94673
2019-01-17,fitted,85827.27991420383
2019-01-17,counterfactual,85827.27991420901
2019-01-17,actual,80814.33333333333
2019-01-18,fitted,149045.05815407858
2019-01-18,counterfactual,149045.05815409528
2019-01-18,actual,147761.27777777778
2019-01-19,fitted,195020.71042410075
2019-01-19,counterfactual,195020.71042417837
2019-01-19,actual,193000.66666666663
2019-01-20,fitted,105269.39014784759
2019-01-20,counterfactual,105269.39014782105
2019-01-20,actual,104923.77777777778
2019-01-21,fitted,65269.681281828765
2019-01-21,counterfactual,65269.68128183201
2019-01-21,actual,70127
2019-01-22,fitted,76859.49893696314
2019-01-22,counterfactual,76859.49893696122
2019-01-22,actual,74548.55555555556
2019-01-23,fitted,86265.17993657748
2019-01-23,counterfactual,86265.17993657809
2019-01-23,actual,83390.16666666667
2019-01-24,fitted,89762.47669933471
2019-01-24,counterfactual,89762.47669935608
2019-01-24,actual,80749
2019-01-25,fitted,158128.27526226308
2019-01-25,counterfactual,158128.2752622895
2019-01-25,actual,148965.27777777778
2019-01-26,fitted,196312.015861353
2019-01-26,counterfactual,196312.0158613115
2019-01-26,actual,180092.83333333334
