week,type,sales_per
2018-12-31,actual,829769.4444444444
2018-12-31,counterfactual,785147.6851524899
2018-12-31,fitted,785147.6851524967
2019-01-07,actual,760863.6111111111
2019-01-07,counterfactual,785194.4098738749
2019-01-07,fitted,785194.409873817
2019-01-14,actual,781824.6666666666
2019-01-14,counterfactual,782437.8532283704
2019-01-14,fitted,782437.8532282421
2019-01-21,actual,778961.1666666667
2019-01-21,counterfactual,791333.3351341006
2019-01-21,fitted,791333.3351341065
2019-01-28,actual,729078.3888888889
2019-01-28,counterfactual,740367.1046453976
2019-01-28,fitted,740367.1046453932
2019-02-04,actual,749918.8333333334
2019-02-04,counterfactual,806251.7626517242
2019-02-04,fitted,806251.7626516871
2019-02-11,actual,751880.8333333333
2019-02-11,counterfactual,807951.3651360585
2019-02-11,fitted,807951.365136014
2019-02-18,actual,769478.2222222222
2019-02-18,counterfactual,817631.9704229434
2019-02-18,fitted,817631.9704229335
2019-02-25,actual,764000.0555555556
2019-02-25,counterfactual,823367.6259055848
2019-02-25,fitted,823367.625905552
2019-03-04,actual,827634
2019-03-04,counterfactual,835232.9025746807
2019-03-04,fitted,835232.9025746423
2019-03-11,actual,888438.2777777778
2019-03-11,counterfactual,904124.0282293089
2019-03-11,fitted,904124.0282293096
2019-03-18,actual,1009607.1666666667
2019-03-18,counterfactual,1006629.5825560518
2019-03-18,fitted,1006629.5825560704
2019-03-25,actual,1038388.1111111111
2019-03-25,counterfactual,1010566.5341913045
2019-03-25,fitted,1010566.5341912571
2019-04-01,actual,858904.6666666666
2019-04-01,counterfactual,811426.0624280813
2019-04-01,fitted,811426.0624280266
2019-04-08,actual,799798.3888888889
2019-04-08,counterfactual,823452.4124282694
2019-04-08,fitted,823452.412428249
2019-04-15,actual,897512.1666666666
2019-04-15,counterfactual,867164.9741730898
2019-04-15,fitted,867164.97417302
2019-04-22,actual,955031.3333333334
2019-04-22,counterfactual,939736.9525725235
2019-04-22,fitted,939736.9525724913
2019-04-29,actual,1345340.6111111112
2019-04-29,counterfactual,1323782.8799636876
2019-04-29,fitted,1323782.879963606
2019-05-06,actual,805037.1111111111
2019-05-06,counterfactual,752381.1869336194
2019-05-06,fitted,752381.1869336026
2019-05-13,actual,828147
2019-05-13,counterfactual,789673.6429100985
2019-05-13,fitted,789673.6429100949
2019-05-20,actual,772953.0555555555
