date,prefcode,pref,newcase_day,total_case,newdeath_day,total_death,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,emergency
2020-01-16,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-17,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-18,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-19,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-20,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-21,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-22,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-23,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-24,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-25,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-26,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-27,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-28,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-29,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-30,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-01-31,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-02-01,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-02-02,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-02-03,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-02-04,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-02-05,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-02-06,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-02-07,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-02-08,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-02-09,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
2020-02-10,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0
