treat,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Neighboring_prefs,2020-01-16,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-17,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-18,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-19,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-20,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-21,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-22,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-23,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-24,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-25,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-26,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-27,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-28,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-29,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-30,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-01-31,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-01,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-02,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-03,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-04,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-05,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-06,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-07,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-08,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-09,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-10,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-11,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-12,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-13,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-14,NA,NA,NA,NA,NA,NA
Neighboring_prefs,2020-02-15,-1,3.4,10,-2,4.6,0
Neighboring_prefs,2020-02-16,-6.6,-3.2,-34.6,-10,-0.4,2.2
Neighboring_prefs,2020-02-17,-0.8,-0.6,-2.2,1.8,0.4,0.6
Neighboring_prefs,2020-02-18,2.6,2,3.2,0.2,0.6,0.8
Neighboring_prefs,2020-02-19,1.2,1.8,11.4,-1,0.4,0.2
Neighboring_prefs,2020-02-20,2.6,4.2,4,0.4,0.2,0.6
Neighboring_prefs,2020-02-21,-1.6,1.8,11.4,1,0.4,0.8
Neighboring_prefs,2020-02-22,-2.2,3.6,-1.4,2.6,-0.2,1.2
Neighboring_prefs,2020-02-23,3.6,7.6,17.4,14.6,0.4,0
Neighboring_prefs,2020-02-24,30.4,4.4,65.6,5.6,-49.4,13
Neighboring_prefs,2020-02-25,0.6,6,-3,-0.2,1,0.8
Neighboring_prefs,2020-02-26,-2.4,3.8,-6.4,-5,0.6,1
Neighboring_prefs,2020-02-27,-0.4,6,-3.2,-6,0.8,1.2
Neighboring_prefs,2020-02-28,1,17,0.4,-12.8,1.2,1.8
Neighboring_prefs,2020-02-29,-6,11.8,-12.4,-25.2,5.4,3.2
Neighboring_prefs,2020-03-01,-7.6,8.6,3.8,-23.4,2.4,3.4
Neighboring_prefs,2020-03-02,-6,1.4,-21.4,-19.8,-1.2,3.4
Neighboring_prefs,2020-03-03,-0.8,7.2,11.4,-17.6,-0.4,2.8
Neighboring_prefs,2020-03-04,-7,-0.6,-14.2,-21.6,-2,4.2
Neighboring_prefs,2020-03-05,-3.6,2.2,-5.2,-19.4,-2.2,3.8
Neighboring_prefs,2020-03-06,-6.8,1.2,9,-19.8,-1.8,4
Neighboring_prefs,2020-03-07,-8.6,2.4,-1.6,-25,-1.4,4.6
Neighboring_prefs,2020-03-08,-13.8,-3.2,-38.8,-31.6,-4,6.4
