date,prefcode,pref,newcase_day,total_case,newdeath_day,total_death,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,emergency,GZnew,cumGZ,date14,newcaseday14,date1,newcaseday1,avg_temp,avg_rain,week,weeknum,treat
2020-01-16,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-30,0,2020-01-17,0,40.22,0,2020-01-13,3,Neighboring_prefs
2020-01-16,09,Tochigi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-30,0,2020-01-17,0,39.65,0,2020-01-13,3,Neighboring_prefs
2020-01-16,10,Gunma,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-30,0,2020-01-17,0,41.9,0,2020-01-13,3,Neighboring_prefs
2020-01-16,19,Yamanashi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-30,0,2020-01-17,0,36.32,0,2020-01-13,3,Yamanashi
2020-01-16,20,Nagano,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-30,0,2020-01-17,0,32.9,0,2020-01-13,3,Neighboring_prefs
2020-01-16,22,Shizuoka,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-30,0,2020-01-17,0,44.42,0,2020-01-13,3,Neighboring_prefs
2020-01-17,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-31,0,2020-01-18,0,42.92,0,2020-01-13,3,Neighboring_prefs
2020-01-17,09,Tochigi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-31,0,2020-01-18,0,40.91,0,2020-01-13,3,Neighboring_prefs
2020-01-17,10,Gunma,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-31,0,2020-01-18,0,42.35,0,2020-01-13,3,Neighboring_prefs
2020-01-17,19,Yamanashi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-31,0,2020-01-18,0,37.85,0.25,2020-01-13,3,Yamanashi
2020-01-17,20,Nagano,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-31,0,2020-01-18,0,34.25,0,2020-01-13,3,Neighboring_prefs
2020-01-17,22,Shizuoka,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-01-31,0,2020-01-18,0,45.56,3.6666666666666665,2020-01-13,3,Neighboring_prefs
2020-01-18,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-01,0,2020-01-19,0,40.34,0,2020-01-13,3,Neighboring_prefs
2020-01-18,09,Tochigi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-01,0,2020-01-19,0,39.38,0,2020-01-13,3,Neighboring_prefs
2020-01-18,10,Gunma,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-01,0,2020-01-19,0,39.29,0,2020-01-13,3,Neighboring_prefs
2020-01-18,19,Yamanashi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-01,0,2020-01-19,0,34.07,4.75,2020-01-13,3,Yamanashi
2020-01-18,20,Nagano,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-01,0,2020-01-19,0,34.97,0,2020-01-13,3,Neighboring_prefs
2020-01-18,22,Shizuoka,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-01,0,2020-01-19,0,43.04,3.6666666666666665,2020-01-13,3,Neighboring_prefs
2020-01-19,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-02,0,2020-01-20,0,41.54,0,2020-01-13,3,Neighboring_prefs
2020-01-19,09,Tochigi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-02,0,2020-01-20,0,40.28,0,2020-01-13,3,Neighboring_prefs
2020-01-19,10,Gunma,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-02,0,2020-01-20,0,42.8,0,2020-01-13,3,Neighboring_prefs
2020-01-19,19,Yamanashi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-02,0,2020-01-20,0,34.97,0,2020-01-13,3,Yamanashi
2020-01-19,20,Nagano,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-02,0,2020-01-20,0,37.76,0,2020-01-13,3,Neighboring_prefs
2020-01-19,22,Shizuoka,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-02,0,2020-01-20,0,44.84,0,2020-01-13,3,Neighboring_prefs
2020-01-20,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-03,0,2020-01-21,0,44.120000000000005,0,2020-01-20,4,Neighboring_prefs
2020-01-20,09,Tochigi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-03,0,2020-01-21,0,42.71,0,2020-01-20,4,Neighboring_prefs
2020-01-20,10,Gunma,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-03,0,2020-01-21,0,45.230000000000004,0,2020-01-20,4,Neighboring_prefs
2020-01-20,19,Yamanashi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-03,0,2020-01-21,0,36.68,0,2020-01-20,4,Yamanashi
2020-01-20,20,Nagano,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-03,0,2020-01-21,0,39.875,0,2020-01-20,4,Neighboring_prefs
2020-01-20,22,Shizuoka,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-03,0,2020-01-21,0,47,0,2020-01-20,4,Neighboring_prefs
2020-01-21,08,Ibaraki,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-04,0,2020-01-22,0,40.94,0,2020-01-20,4,Neighboring_prefs
2020-01-21,09,Tochigi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-04,0,2020-01-22,0,40.1,0,2020-01-20,4,Neighboring_prefs
2020-01-21,10,Gunma,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-04,0,2020-01-22,0,42.08,0,2020-01-20,4,Neighboring_prefs
2020-01-21,19,Yamanashi,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2020-02-04,0,2020-01-22,0,39.2,0,2020-01-20,4,Yamanashi
