"","X","city","date","nofcases","GZapproved","cumGZ","lnGZ","nofcases14","mobility","観測所","avg_temp","rainfall","SOE","datedum","lmobility","cumcases","pop","scaled_cases","scaled_cases14"
"1",1,"上野原市","2020-03-06",0.028,0,0,0,0,23726,"大月",6.3,0,0,"2020-03-06",10.074326772221,0.028,22799,0.122812404052809,0
"2",2,"中央市","2020-03-06",0.038,0,0,0,0,30468,"甲府",7.8,0,0,"2020-03-06",10.3244322314927,0.038,30978,0.122667699657822,0
"3",3,"丹波山村","2020-03-06",0.001,0,0,0,0,532,"勝沼",6.3,0,0,"2020-03-06",6.27664348934164,0.001,540,0.185185185185185,0
"4",4,"北杜市","2020-03-06",0.056,0,0,0,0,48307,"大泉",2.7,0,0,"2020-03-06",10.7853317566759,0.056,46421,0.120635057409362,0
"5",5,"南アルプス市","2020-03-06",0.087,0,0,0,0,66121,"韮崎",6.8,0,0,"2020-03-06",11.0992416758375,0.087,71370,0.121899957965532,0
"6",6,"南部町","2020-03-06",0.009,0,0,0,0,7907,"南部",7.6,0,0,"2020-03-06",8.97550372207093,0.009,7569,0.118906064209275,0
"7",7,"大月市","2020-03-06",0.029,0,0,0,0,24032,"大月",6.3,0,0,"2020-03-06",10.0871415545639,0.029,23516,0.123320292566763,0
"8",8,"富士吉田市","2020-03-06",0.059,0,0,0,0,44824,"河口湖",3.4,0,0,"2020-03-06",10.7104989892451,0.059,48331,0.122074858786286,0
"9",9,"富士川町","2020-03-06",0.018,0,0,0,0,14035,"切石",5.9,0,0,"2020-03-06",9.54930948879598,0.018,14855,0.12117132278694,0
"10",10,"富士河口湖町","2020-03-06",0.032,0,0,0,0,33526,"河口湖",3.4,0,0,"2020-03-06",10.4200765361912,0.032,26562,0.120472855959642,0
"11",11,"小菅村","2020-03-06",0.001,0,0,0,0,NA,"勝沼",6.3,0,0,"2020-03-06",NA,0.001,715,0.13986013986014,0
"12",12,"山中湖村","2020-03-06",0.007,0,0,0,0,8703,"山中",1,0,0,"2020-03-06",9.07142307278951,0.007,5789,0.120918984280532,0
"13",13,"山梨市","2020-03-06",0.042,0,0,0,0,31742,"勝沼",6.3,0,0,"2020-03-06",10.3653960040675,0.042,34357,0.122245830543994,0
"14",14,"市川三郷町","2020-03-06",0.019,0,0,0,0,14309,"切石",5.9,0,0,"2020-03-06",9.56864398890674,0.019,15604,0.121763650346065,0
"15",15,"忍野村","2020-03-06",0.012,0,0,0,0,9895,"山中",1,0,0,"2020-03-06",9.19978485803667,0.012,9595,0.125065138092757,0
"16",16,"早川町","2020-03-06",0.001,0,0,0,0,1317,"切石",5.9,0,0,"2020-03-06",7.18311170174328,0.001,1018,0.0982318271119843,0
"17",17,"昭和町","2020-03-06",0.025,0,0,0,0,31130,"甲府",7.8,0,0,"2020-03-06",10.3459272634357,0.025,20452,0.122237433991786,0
"18",18,"甲州市","2020-03-06",0.038,0,0,0,0,30135,"勝沼",6.3,0,0,"2020-03-06",10.3134425659171,0.038,30990,0.122620200064537,0
"19",19,"甲府市","2020-03-06",0.228,0,0,0,0,196683,"甲府",7.8,0,0,"2020-03-06",12.1893485746127,0.228,187171,0.12181374251353,0
"20",20,"甲斐市","2020-03-06",0.092,0,0,0,0,72205,"甲府",7.8,0,0,"2020-03-06",11.1872645745607,0.092,75522,0.121818807764625,0
"21",21,"笛吹市","2020-03-06",0.084,0,0,0,0,67339,"古関",4.5,0,0,"2020-03-06",11.11749484259,0.084,68924,0.121873367767396,0
"22",22,"西桂町","2020-03-06",0.005,0,0,0,0,4271,"河口湖",3.4,0,0,"2020-03-06",8.35960327084147,0.005,4238,0.117980179329873,0
"23",23,"身延町","2020-03-06",0.014,0,0,0,0,12808,"切石",5.9,0,0,"2020-03-06",9.45782525467655,0.014,11306,0.123828055899522,0
"24",24,"道志村","2020-03-06",0.002,0,0,0,0,1817,"大月",6.3,0,0,"2020-03-06",7.50494206839617,0.002,1652,0.121065375302663,0
"25",25,"都留市","2020-03-06",0.036,0,0,0,0,30455,"大月",6.3,0,0,"2020-03-06",10.3240054632706,0.036,29859,0.120566663317593,0
"26",26,"韮崎市","2020-03-06",0.035,0,0,0,0,33621,"韮崎",6.8,0,0,"2020-03-06",10.4229061507201,0.035,29124,0.120175800027469,0
"27",27,"鳴沢村","2020-03-06",0.004,0,0,0,0,3570,"河口湖",3.4,0,0,"2020-03-06",8.18032087477368,0.004,3133,0.1276731567188,0
"28",28,"上野原市","2020-03-07",0.028,0,0,0,0,23726,"大月",6.3,0,0,"2020-03-07",10.074326772221,0.056,22799,0.122812404052809,0
"29",29,"中央市","2020-03-07",0.038,0,0,0,0,30468,"甲府",9.2,0,0,"2020-03-07",10.3244322314927,0.076,30978,0.122667699657822,0
"30",30,"丹波山村","2020-03-07",0.001,0,0,0,0,532,"勝沼",7.4,0,0,"2020-03-07",6.27664348934164,0.002,540,0.185185185185185,0
"31",31,"北杜市","2020-03-07",0.056,0,0,0,0,48307,"大泉",4.7,0,0,"2020-03-07",10.7853317566759,0.112,46421,0.120635057409362,0
"32",32,"南アルプス市","2020-03-07",0.087,0,0,0,0,66121,"韮崎",7.5,0,0,"2020-03-07",11.0992416758375,0.174,71370,0.121899957965532,0
"33",33,"南部町","2020-03-07",0.009,0,0,0,0,7907,"南部",9.1,0,0,"2020-03-07",8.97550372207093,0.018,7569,0.118906064209275,0
"34",34,"大月市","2020-03-07",0.029,0,0,0,0,24032,"大月",6.3,0,0,"2020-03-07",10.0871415545639,0.058,23516,0.123320292566763,0
"35",35,"富士吉田市","2020-03-07",0.059,0,0,0,0,44824,"河口湖",2.9,0,0,"2020-03-07",10.7104989892451,0.118,48331,0.122074858786286,0
"36",36,"富士川町","2020-03-07",0.018,0,0,0,0,14035,"切石",8.3,0,0,"2020-03-07",9.54930948879598,0.036,14855,0.12117132278694,0
"37",37,"富士河口湖町","2020-03-07",0.032,0,0,0,0,33526,"河口湖",2.9,0,0,"2020-03-07",10.4200765361912,0.064,26562,0.120472855959642,0
"38",38,"小菅村","2020-03-07",0.001,0,0,0,0,NA,"勝沼",7.4,0,0,"2020-03-07",NA,0.002,715,0.13986013986014,0
"39",39,"山中湖村","2020-03-07",0.007,0,0,0,0,8703,"山中",2.5,0,0,"2020-03-07",9.07142307278951,0.014,5789,0.120918984280532,0
"40",40,"山梨市","2020-03-07",0.042,0,0,0,0,31742,"勝沼",7.4,0,0,"2020-03-07",10.3653960040675,0.084,34357,0.122245830543994,0
"41",41,"市川三郷町","2020-03-07",0.019,0,0,0,0,14309,"切石",8.3,0,0,"2020-03-07",9.56864398890674,0.038,15604,0.121763650346065,0
"42",42,"忍野村","2020-03-07",0.012,0,0,0,0,9895,"山中",2.5,0,0,"2020-03-07",9.19978485803667,0.024,9595,0.125065138092757,0
"43",43,"早川町","2020-03-07",0.001,0,0,0,0,1317,"切石",8.3,0,0,"2020-03-07",7.18311170174328,0.002,1018,0.0982318271119843,0
"44",44,"昭和町","2020-03-07",0.025,0,0,0,0,31130,"甲府",9.2,0,0,"2020-03-07",10.3459272634357,0.05,20452,0.122237433991786,0
"45",45,"甲州市","2020-03-07",0.038,0,0,0,0,30135,"勝沼",7.4,0,0,"2020-03-07",10.3134425659171,0.076,30990,0.122620200064537,0
"46",46,"甲府市","2020-03-07",0.228,0,0,0,0,196683,"甲府",9.2,0,0,"2020-03-07",12.1893485746127,0.456,187171,0.12181374251353,0
"47",47,"甲斐市","2020-03-07",0.092,0,0,0,0,72205,"甲府",9.2,0,0,"2020-03-07",11.1872645745607,0.184,75522,0.121818807764625,0
"48",48,"笛吹市","2020-03-07",0.084,0,0,0,0,67339,"古関",6.5,0,0,"2020-03-07",11.11749484259,0.168,68924,0.121873367767396,0
"49",49,"西桂町","2020-03-07",0.005,0,0,0,0,4271,"河口湖",2.9,0,0,"2020-03-07",8.35960327084147,0.01,4238,0.117980179329873,0
"50",50,"身延町","2020-03-07",0.014,0,0,0,0,12808,"切石",8.3,0,0,"2020-03-07",9.45782525467655,0.028,11306,0.123828055899522,0
"51",51,"道志村","2020-03-07",0.002,0,0,0,0,1817,"大月",6.3,0,0,"2020-03-07",7.50494206839617,0.004,1652,0.121065375302663,0
"52",52,"都留市","2020-03-07",0.036,0,0,0,0,30455,"大月",6.3,0,0,"2020-03-07",10.3240054632706,0.072,29859,0.120566663317593,0
"53",53,"韮崎市","2020-03-07",0.035,0,0,0,0,33621,"韮崎",7.5,0,0,"2020-03-07",10.4229061507201,0.07,29124,0.120175800027469,0
"54",54,"鳴沢村","2020-03-07",0.004,0,0,0,0,3570,"河口湖",2.9,0,0,"2020-03-07",8.18032087477368,0.008,3133,0.1276731567188,0
"55",55,"上野原市","2020-03-08",0,0,0,0,0,23726,"大月",5.4,8,0,"2020-03-08",10.074326772221,0.056,22799,0,0
"56",56,"中央市","2020-03-08",0,0,0,0,0,30468,"甲府",7,9,0,"2020-03-08",10.3244322314927,0.076,30978,0,0
"57",57,"丹波山村","2020-03-08",0,0,0,0,0,532,"勝沼",6,8,0,"2020-03-08",6.27664348934164,0.002,540,0,0
"58",58,"北杜市","2020-03-08",0,0,0,0,0,48307,"大泉",3.5,5,0,"2020-03-08",10.7853317566759,0.112,46421,0,0
"59",59,"南アルプス市","2020-03-08",0,0,0,0,0,66121,"韮崎",5.6,8,0,"2020-03-08",11.0992416758375,0.174,71370,0,0
"60",60,"南部町","2020-03-08",0,0,0,0,0,7907,"南部",7.5,41,0,"2020-03-08",8.97550372207093,0.018,7569,0,0
"61",61,"大月市","2020-03-08",0,0,0,0,0,24032,"大月",5.4,8,0,"2020-03-08",10.0871415545639,0.058,23516,0,0
"62",62,"富士吉田市","2020-03-08",0,0,0,0,0,44824,"河口湖",2,9,0,"2020-03-08",10.7104989892451,0.118,48331,0,0
"63",63,"富士川町","2020-03-08",0,0,0,0,0,14035,"切石",6.3,16.5,0,"2020-03-08",9.54930948879598,0.036,14855,0,0
"64",64,"富士河口湖町","2020-03-08",0,0,0,0,0,33526,"河口湖",2,9,0,"2020-03-08",10.4200765361912,0.064,26562,0,0
"65",65,"小菅村","2020-03-08",0,0,0,0,0,NA,"勝沼",6,8,0,"2020-03-08",NA,0.002,715,0,0
"66",66,"山中湖村","2020-03-08",0,0,0,0,0,8703,"山中",1.5,14.5,0,"2020-03-08",9.07142307278951,0.014,5789,0,0
"67",67,"山梨市","2020-03-08",0,0,0,0,0,31742,"勝沼",6,8,0,"2020-03-08",10.3653960040675,0.084,34357,0,0
"68",68,"市川三郷町","2020-03-08",0,0,0,0,0,14309,"切石",6.3,16.5,0,"2020-03-08",9.56864398890674,0.038,15604,0,0
"69",69,"忍野村","2020-03-08",0,0,0,0,0,9895,"山中",1.5,14.5,0,"2020-03-08",9.19978485803667,0.024,9595,0,0
