"","date","city","nofcases","GZapproved","avg_temp","rainfall","cumGZ","lnGZ","mobility","datedum","nofcases_lm","lmobility"
"1",2020-03-01,"上野原市",0.111,0,8.36153846153846,3.94230769230769,0,0,23726,"2020-03-01",0,10.074326772221
"2",2020-03-01,"中央市",0.248,0,10.3346153846154,4.11538461538461,0,0,30468,"2020-03-01",0,10.3244322314927
"3",2020-03-01,"丹波山村",0.003,0,9.23846153846154,3.76923076923077,0,0,532,"2020-03-01",0,6.27664348934164
"4",2020-03-01,"北杜市",0.225,0,6.33461538461538,3.82692307692308,0,0,48307,"2020-03-01",0,10.7853317566759
"5",2020-03-01,"南アルプス市",0.572,0,8.53461538461539,4.09615384615385,0,0,66121,"2020-03-01",0,11.0992416758375
"6",2020-03-01,"南部町",0.036,0,10.2346153846154,7.71153846153846,0,0,7907,"2020-03-01",0,8.97550372207093
"7",2020-03-01,"大月市",0.115,0,8.36153846153846,3.94230769230769,0,0,24032,"2020-03-01",0,10.0871415545639
"8",2020-03-01,"富士吉田市",0.236,0,5.65769230769231,3.78846153846154,0,0,44824,"2020-03-01",0,10.7104989892451
"9",2020-03-01,"富士川町",0.072,0,9.13461538461539,4.63461538461539,0,0,14035,"2020-03-01",0,9.54930948879598
"10",2020-03-01,"富士河口湖町",0.129,0,5.65769230769231,3.78846153846154,0,0,33526,"2020-03-01",0,10.4200765361912
"11",2020-03-01,"小菅村",0.004,0,9.23846153846154,3.76923076923077,0,0,NA,"2020-03-01",0,NA
"12",2020-03-01,"山中湖村",0.028,0,4.4,5.55769230769231,0,0,8703,"2020-03-01",0,9.07142307278951
"13",2020-03-01,"山梨市",0.168,0,9.23846153846154,3.76923076923077,0,0,31742,"2020-03-01",0,10.3653960040675
"14",2020-03-01,"市川三郷町",0.076,0,9.13461538461539,4.63461538461539,0,0,14309,"2020-03-01",0,9.56864398890674
"15",2020-03-01,"忍野村",0.047,0,4.4,5.55769230769231,0,0,9895,"2020-03-01",0,9.19978485803667
"16",2020-03-01,"早川町",0.004,0,9.13461538461539,4.63461538461539,0,0,1317,"2020-03-01",0,7.18311170174328
"17",2020-03-01,"昭和町",0.1,0,10.3346153846154,4.11538461538461,0,0,31130,"2020-03-01",0,10.3459272634357
"18",2020-03-01,"甲州市",0.151,0,9.23846153846154,3.76923076923077,0,0,30135,"2020-03-01",0,10.3134425659171
"19",2020-03-01,"甲府市",2.229,0,10.3346153846154,4.11538461538461,0,0,196683,"2020-03-01",0,12.1893485746127
"20",2020-03-01,"甲斐市",0.368,0,10.3346153846154,4.11538461538461,0,0,72205,"2020-03-01",0,11.1872645745607
"21",2020-03-01,"笛吹市",0.605,0,7.65769230769231,4.07692307692308,0,0,67339,"2020-03-01",0,11.11749484259
"22",2020-03-01,"西桂町",0.02,0,5.65769230769231,3.78846153846154,0,0,4271,"2020-03-01",0,8.35960327084147
"23",2020-03-01,"身延町",0.055,0,9.13461538461539,4.63461538461539,0,0,12808,"2020-03-01",0,9.45782525467655
"24",2020-03-01,"道志村",0.008,0,8.36153846153846,3.94230769230769,0,0,1817,"2020-03-01",0,7.50494206839617
"25",2020-03-01,"都留市",0.145,0,8.36153846153846,3.94230769230769,0,0,30455,"2020-03-01",0,10.3240054632706
"26",2020-03-01,"韮崎市",0.232,0,8.53461538461539,4.09615384615385,0,0,33621,"2020-03-01",0,10.4229061507201
"27",2020-03-01,"鳴沢村",0.016,0,5.65769230769231,3.78846153846154,0,0,3570,"2020-03-01",0,8.18032087477368
"28",2020-04-01,"上野原市",6.111,0,10.4933333333333,5.16666666666667,0,0,23876,"2020-04-01",0.111,10.0806290492885
"29",2020-04-01,"中央市",1.757,0,12.7866666666667,4.26666666666667,0,0,30494,"2020-04-01",0.248,10.3252852219319
"30",2020-04-01,"丹波山村",0.003,0,11.6766666666667,3.36666666666667,0,0,480,"2020-04-01",0.003,6.17378610390194
"31",2020-04-01,"北杜市",1.839,0,8.53333333333333,3.28333333333333,0,0,45893,"2020-04-01",0.225,10.7340678789719
