week,Type,GZnew,cumGZ
2020-07-13,Food,5,5
2020-07-13,Hotel,8,8
2020-07-13,Shuzou,0,0
2020-07-13,Transition,0,0
2020-07-13,Winery,0,0
2020-07-20,Food,0,5
2020-07-20,Hotel,0,8
2020-07-20,Shuzou,0,0
2020-07-20,Transition,0,0
2020-07-20,Winery,0,0
2020-07-27,Food,21,26
2020-07-27,Hotel,19,27
2020-07-27,Shuzou,0,0
2020-07-27,Transition,0,0
2020-07-27,Winery,0,0
2020-08-03,Food,35,61
2020-08-03,Hotel,41,68
2020-08-03,Shuzou,0,0
2020-08-03,Transition,0,0
2020-08-03,Winery,0,0
2020-08-10,Food,22,83
2020-08-10,Hotel,67,135
2020-08-10,Shuzou,0,0
2020-08-10,Transition,0,0
2020-08-10,Winery,0,0
2020-08-17,Food,28,111
2020-08-17,Hotel,73,208
2020-08-17,Shuzou,0,0
2020-08-17,Transition,0,0
2020-08-17,Winery,0,0
2020-08-24,Food,15,126
2020-08-24,Hotel,74,282
2020-08-24,Shuzou,0,0
2020-08-24,Transition,0,0
2020-08-24,Winery,0,0
2020-08-31,Food,46,172
2020-08-31,Hotel,59,341
2020-08-31,Shuzou,0,0
2020-08-31,Transition,0,0
2020-08-31,Winery,0,0
2020-09-07,Food,54,226
2020-09-07,Hotel,47,388
2020-09-07,Shuzou,0,0
2020-09-07,Transition,0,0
2020-09-07,Winery,0,0
2020-09-14,Food,53,279
2020-09-14,Hotel,57,445
2020-09-14,Shuzou,0,0
2020-09-14,Transition,0,0
2020-09-14,Winery,0,0
2020-09-21,Food,58,337
2020-09-21,Hotel,54,499
2020-09-21,Shuzou,0,0
2020-09-21,Transition,0,0
2020-09-21,Winery,0,0
2020-09-28,Food,100,437
2020-09-28,Hotel,70,569
2020-09-28,Shuzou,0,0
2020-09-28,Transition,0,0
2020-09-28,Winery,0,0
2020-10-05,Food,112,549
2020-10-05,Hotel,40,609
2020-10-05,Shuzou,0,0
2020-10-05,Transition,0,0
2020-10-05,Winery,0,0
2020-10-12,Food,116,665
2020-10-12,Hotel,37,646
2020-10-12,Shuzou,0,0
2020-10-12,Transition,0,0
2020-10-12,Winery,0,0
2020-10-19,Food,143,808
2020-10-19,Hotel,21,667
2020-10-19,Shuzou,0,0
2020-10-19,Transition,0,0
2020-10-19,Winery,0,0
2020-10-26,Food,104,912
2020-10-26,Hotel,46,713
2020-10-26,Shuzou,0,0
2020-10-26,Transition,0,0
2020-10-26,Winery,0,0
2020-11-02,Food,150,1062
