"","week","cumGZFood","GZnewFood","cumGZHotel","GZnewHotel","cumGZShuzou","GZnewShuzou","cumGZWinery","GZnewWinery","cumGZTransition","GZnewTransition"
"1",2020-07-13,5,5,8,8,0,0,0,0,0,0
"2",2020-07-20,5,0,8,0,0,0,0,0,0,0
"3",2020-07-27,26,21,27,19,0,0,0,0,0,0
"4",2020-08-03,61,35,68,41,0,0,0,0,0,0
"5",2020-08-10,83,22,135,67,0,0,0,0,0,0
"6",2020-08-17,111,28,208,73,0,0,0,0,0,0
"7",2020-08-24,126,15,282,74,0,0,0,0,0,0
"8",2020-08-31,172,46,341,59,0,0,0,0,0,0
"9",2020-09-07,226,54,388,47,0,0,0,0,0,0
"10",2020-09-14,279,53,445,57,0,0,0,0,0,0
"11",2020-09-21,337,58,499,54,0,0,0,0,0,0
"12",2020-09-28,437,100,569,70,0,0,0,0,0,0
"13",2020-10-05,549,112,609,40,0,0,0,0,0,0
"14",2020-10-12,665,116,646,37,0,0,0,0,0,0
"15",2020-10-19,808,143,667,21,0,0,0,0,0,0
"16",2020-10-26,912,104,713,46,0,0,0,0,0,0
"17",2020-11-02,1062,150,727,14,0,0,25,25,0,0
"18",2020-11-09,1186,124,767,40,0,0,28,3,0,0
"19",2020-11-16,1334,148,777,10,0,0,31,3,0,0
"20",2020-11-23,1466,132,809,32,0,0,36,5,0,0
"21",2020-11-30,1582,116,834,25,0,0,37,1,0,0
"22",2020-12-07,1636,54,846,12,0,0,38,1,0,0
"23",2020-12-14,1686,50,855,9,0,0,40,2,0,0
"24",2020-12-21,1746,60,884,29,0,0,42,2,0,0
"25",2020-12-28,1746,0,884,0,0,0,42,0,0,0
"26",2021-01-04,1786,40,899,15,0,0,42,0,0,0
"27",2021-01-11,1845,59,909,10,0,0,42,0,0,0
"28",2021-01-18,1923,78,923,14,0,0,43,1,0,0
"29",2021-01-25,1977,54,930,7,0,0,43,0,0,0
"30",2021-02-01,2015,38,937,7,0,0,44,1,0,0
"31",2021-02-08,2167,152,944,7,5,5,45,1,0,0
"32",2021-02-15,2330,163,948,4,5,0,46,1,0,0
"33",2021-02-22,2498,168,952,4,5,0,46,0,0,0
"34",2021-03-01,2685,187,956,4,5,0,46,0,0,0
"35",2021-03-08,2877,192,972,16,5,0,47,1,0,0
"36",2021-03-15,3071,194,989,17,5,0,48,1,0,0
"37",2021-03-22,3275,204,997,8,5,0,48,0,0,0
"38",2021-03-29,3382,107,1005,8,5,0,48,0,0,0
"39",2021-04-05,3582,200,1013,8,5,0,48,0,0,0
"40",2021-04-12,3783,201,1023,10,7,2,49,1,0,0
"41",2021-04-19,3936,153,1061,38,7,0,49,0,5,5
"42",2021-04-26,4022,86,1091,30,7,0,49,0,23,18
