"","ID","Date_approval","Type","Name","Address","Keido","Ido","iConf","iLvl","city"
"1",1,"2020-07-17","Food","レストラン・バー・アルフィー","甲府市中央4-3-19桜商事ビル1階",138.57178,35.66037,5,7,"甲府市"
"2",2,"2020-07-17","Food","ハーブガーデン四季の香り","富士河口湖町船津1200-1",138.75716,35.50041,5,7,"富士河口湖町"
"3",3,"2020-07-17","Food","発酵酒場かえるのより道","甲府市丸の内1-20-21",138.56985,35.66189,5,7,"甲府市"
"4",4,"2020-07-17","Food","レストランパセリ×タニタカフェ　ヘルシースパサンロード店","甲府市大里町4144-4",138.55836,35.62114,5,7,"甲府市"
"5",5,"2020-07-17","Food","ヘルシーレストランパセリ","甲府市後屋町429",138.56197,35.63046,5,7,"甲府市"
"6",6,"2020-07-31","Food","佳幸","韮崎市上祖母石778-4",138.42064,35.73618,5,7,"韮崎市"
"7",7,"2020-07-31","Food","カントリーグリル・やまの時間","北杜市高根町清里3570-1",138.43507,35.92323,5,5,"北杜市"
"8",8,"2020-07-31","Food","モコカフェ","北杜市大泉町西井出8240-370",138.40251,35.90649,5,5,"北杜市"
"9",9,"2020-07-31","Food","玉喜亭","富士吉田市松山1386",138.78404,35.47911,5,7,"富士吉田市"
"10",10,"2020-07-31","Food","お食事処川　甲西本店","南アルプス市西南湖368",138.49594,35.58581,5,7,"南アルプス市"
"11",11,"2020-07-31","Food","お食事処あやの　上野原本店","上野原市上野原1709-1",139.11385,35.62281,5,7,"上野原市"
"12",12,"2020-07-31","Food","日本大学附属明誠高校　学生食堂","上野原市上野原3200",139.11763,35.62948,5,7,"上野原市"
"13",13,"2020-07-31","Food","五合園レストハウス","鳴沢村字富士山8545-1",138.7381,35.45237,5,5,"鳴沢村"
"14",14,"2020-07-31","Food","有限会社　東京屋製菓","富士吉田市竜ヶ丘1-5-1",138.79395,35.49178,5,7,"富士吉田市"
"15",15,"2020-07-31","Food","ほうとう蔵 歩成 河口湖店","富士河口湖町船津6931",138.75992,35.49054,5,7,"富士河口湖町"
"16",16,"2020-07-31","Food","お食事処川　昭和本店","昭和町西条4339-3",138.54785,35.62932,5,7,"昭和町"
"17",17,"2020-07-31","Food","恵比寿夜ノ森河口湖","富士河口湖町船津1196-1",138.75468,35.50078,5,7,"富士河口湖町"
"18",18,"2020-07-31","Food","割烹ふるや","都留市中央3-1-15",138.90889,35.55196,5,7,"都留市"
"19",19,"2020-07-31","Food","酒蔵レストラン臺民","北杜市白州町台ケ原2287",138.34253,35.80363,5,5,"北杜市"
"20",20,"2020-07-31","Food","寿し正","笛吹市境川町石橋2057",138.617,35.60362,5,7,"笛吹市"
"21",21,"2020-07-31","Food","奥庭荘","鳴沢村字富士山8545-1",138.7381,35.45237,5,5,"鳴沢村"
"22",22,"2020-07-31","Food","みたまの湯　ふるさと味工房みはらし亭","市川三郷町大塚2608",138.53333,35.56624,5,7,"市川三郷町"
"23",23,"2020-07-31","Food","KANON","山中湖村平野2396-24",138.89088,35.42954,5,7,"山中湖村"
"24",24,"2020-07-31","Food","中央自動車道谷村PA下り線","都留市川棚字原の裏216-3",138.89941,35.55122,5,5,"都留市"
"25",25,"2020-07-31","Food","佐渡屋","甲府市相生2-3-13",138.56866,35.65759,5,7,"甲府市"
"26",26,"2020-07-31","Food","台ケ原珈琲","北杜市白州町台ケ原2215",138.34253,35.80363,5,5,"北杜市"
"27",27,"2020-08-07","Food","富士山五合目こみたけ売店","富士吉田市上吉田小御岳下5617",138.75316,35.4264,5,5,"富士吉田市"
"28",28,"2020-08-07","Food","天下一品　甲府向町店","甲府市向町719",138.61594,35.64544,5,7,"甲府市"
"29",29,"2020-08-07","Food","MY crib","富士河口湖町船津6713-120",138.76015,35.50565,5,7,"富士河口湖町"
"30",30,"2020-08-07","Food","極。","甲府市丸の内1ー16ー15紅梅ビル1階",138.56969,35.66276,5,7,"甲府市"
"31",31,"2020-08-07","Food","メルシャン株式会社シャトー・メルシャン勝沼ワイナリー　ワインギャラリー","甲州市勝沼町下岩崎1425-1",138.72241,35.66047,5,7,"甲州市"
"32",32,"2020-08-07","Food","富士川クラフトパークエントランス棟","身延町下山1597",138.43732,35.41761,5,7,"身延町"
"33",33,"2020-08-07","Food","桂川うどんセンター","大月市富浜町鳥沢8438",139.00703,35.62108,5,5,"大月市"
"34",34,"2020-08-07","Food","小瀬スポーツ公園体育館レストラン","甲府市小瀬町840",138.58842,35.62075,5,7,"甲府市"
"35",35,"2020-08-07","Food","有限会社 富士山みはらし","富士吉田市上吉田字小御岳下5617-42",138.75316,35.4264,5,5,"富士吉田市"
"36",36,"2020-08-07","Food","CHEVAL","富士吉田市上吉田東8-10-10",138.75316,35.4264,5,5,"富士吉田市"
"37",37,"2020-08-07","Food","和菜屋　宴","山梨市小原西1073-2",138.68692,35.69489,5,7,"山梨市"
"38",38,"2020-08-07","Food","鶏っこ","富士河口湖町船津3265-2",138.76953,35.49267,5,7,"富士河口湖町"
"39",39,"2020-08-07","Food","甲州煮こみ屋","甲府市丸の内2-4-7　丸二ビル",138.56712,35.66603,5,7,"甲府市"
"40",40,"2020-08-07","Food","蔵元居酒屋　谷桜","甲府市中央1-9-6　青柳ビル",138.56877,35.66031,5,7,"甲府市"
"41",41,"2020-08-07","Food","味魅","甲府市中央1-1-9",138.57091,35.66053,5,7,"甲府市"
"42",42,"2020-08-07","Food","古麻樹","甲府市上石田1-2-13",138.55414,35.65871,5,7,"甲府市"
"43",43,"2020-08-07","Food","レストラン　ワインクラブ","甲府市東光寺3-13-25",138.59218,35.66753,5,7,"甲府市"
"44",44,"2020-08-07","Food","地ビールレストランシルバンズ","富士河口湖町船津字剣丸尾6663-1",138.75851,35.47574,5,5,"富士河口湖町"
"45",45,"2020-08-07","Food","女神の森セントラルガーデン奏樹カフェ＆ダイニング","北杜市小淵沢町1578",138.32664,35.89556,5,5,"北杜市"
"46",46,"2020-08-07","Food","串とも","昭和町清水新居1541-2",138.54475,35.64851,5,7,"昭和町"
"47",47,"2020-08-07","Food","展望星屑レストランガイア","山梨市江曽原1488笛吹川フルーツ公園くだもの工房3Ｆ",138.66577,35.70213,5,7,"山梨市"
"48",48,"2020-08-07","Food","Cafe ROSSO","甲府市貢川2-1-13",138.53818,35.6619,5,7,"甲府市"
"49",49,"2020-08-07","Food","河口湖ハーブ館内　カフェグリーンハウス","富士河口湖町船津6713-18",138.76015,35.50565,5,7,"富士河口湖町"
"50",50,"2020-08-07","Food","メリクリ","甲府市下鍛冶屋町958-5",138.58235,35.61975,5,7,"甲府市"
"51",51,"2020-08-07","Food","千鳥ヶ渕コーヒー","甲府市中小河原1-6-7　マロニエール101",138.57031,35.63656,5,7,"甲府市"
"52",52,"2020-08-07","Food","そば処清里　北甲斐亭","北杜市高根町清里2890-1",138.43507,35.92323,5,5,"北杜市"
"53",53,"2020-08-07","Food","釜めし　多ぬき","甲府市中央1-14-8",138.57068,35.65968,5,7,"甲府市"
"54",54,"2020-08-07","Food","ぼくり石和店","笛吹市石和町四日市場2031-33",138.62512,35.64644,5,7,"笛吹市"
"55",55,"2020-08-07","Food","ぼくりリバーサイド店","中央市山之神2738",138.51265,35.6139,5,5,"中央市"
"56",56,"2020-08-07","Food","ぼくり本店","甲府市武田2-7-20",138.57169,35.67137,5,7,"甲府市"
"57",57,"2020-08-07","Food","ごはん亭まえふじ","富士河口湖町船津4961-1",138.77599,35.4962,5,7,"富士河口湖町"
"58",58,"2020-08-07","Food","ほうとう蔵 歩成 フルーツライン店","山梨市万力1091",138.67529,35.68873,5,7,"山梨市"
"59",59,"2020-08-07","Food","フレンチダイニング竜","甲州市塩山赤尾595-1",138.73776,35.7039,5,7,"甲州市"
"60",60,"2020-08-07","Food","山梨まるごと市場　幸修","甲府市丸の内2-16-7 2F",138.56766,35.66484,5,7,"甲府市"
"61",61,"2020-08-07","Food","福乃家","笛吹市八代町南409",138.64272,35.61454,5,7,"笛吹市"
"62",62,"2020-08-14","Food","小御岳茶屋","富士吉田市上吉田小御岳下5617",138.75316,35.4264,5,5,"富士吉田市"
"63",63,"2020-08-14","Food","料理工房　ふきはら","北杜市長坂町小荒間1913−21",138.35069,35.88476,5,5,"北杜市"
"64",64,"2020-08-14","Food","昇仙峡さわらび","甲府市平瀬町3221",138.54393,35.71311,5,5,"甲府市"
"65",65,"2020-08-14","Food","レストラン鳥居平","甲州市勝沼町菱山4729",138.73755,35.66386,5,7,"甲州市"
"66",66,"2020-08-14","Food","はなの舞　富士吉田店","富士吉田市上吉田4261",138.78488,35.47875,5,7,"富士吉田市"
"67",67,"2020-08-14","Food","お食事処笹ご茶屋","昭和町西条2493-1",138.53574,35.64195,5,7,"昭和町"
"68",68,"2020-08-14","Food","里の駅いちのみや","笛吹市一宮町東原655",138.68001,35.64466,5,5,"笛吹市"
"69",69,"2020-08-14","Food","浅間園","笛吹市一宮町東新居600",138.70523,35.6378,5,7,"笛吹市"
"70",70,"2020-08-14","Food","SAMURAI　侍","富士河口湖町勝山4163-1",138.74014,35.502,5,7,"富士河口湖町"
"71",71,"2020-08-14","Food","38KAWAGUCHIKO","富士河口湖町船津1201-1",138.75468,35.50078,5,7,"富士河口湖町"
"72",72,"2020-08-14","Food","御坂農園グレープハウス","笛吹市御坂町夏目原656-1",138.65875,35.62672,5,7,"笛吹市"
"73",73,"2020-08-14","Food","旬彩酒房　みつむら","笛吹市石和町八田1-2",138.64493,35.65732,5,7,"笛吹市"
"74",74,"2020-08-14","Food","レストラン　ボルケーノ","北杜市明野町浅尾2471",138.46674,35.78696,5,5,"北杜市"
"75",75,"2020-08-14","Food","勝の家","韮崎市上ノ山3803",138.46939,35.71288,5,7,"韮崎市"
"76",76,"2020-08-14","Food","河口湖荘","富士河口湖町浅川1174-1",138.77138,35.50356,5,7,"富士河口湖町"
"77",77,"2020-08-14","Food","なべ家","富士河口湖町勝山693",138.73871,35.50562,5,7,"富士河口湖町"
"78",78,"2020-08-14","Food","食彩　しん坊","富士川町駅前通2丁目3678-22",138.46306,35.5389,5,6,"富士川町"
"79",79,"2020-08-14","Food","OYADO＆KITCHEN　ききょう","山中湖村山中865-97",138.84097,35.4307,5,7,"山中湖村"
"80",80,"2020-08-14","Food","ラーメン酒場　鹿鳴館","笛吹市石和町川中島1607-40（ホテル甲斐路1階）",138.64798,35.65836,5,7,"笛吹市"
"81",81,"2020-08-14","Food","海鮮酒場　鹿鳴館　","笛吹市石和町市部822（華やぎの章　慶山1階）",138.63457,35.65228,5,7,"笛吹市"
