Date_approval,city,N
2020-07-17,甲府市,4
2020-07-17,富士河口湖町,1
2020-07-17,韮崎市,0
2020-07-17,北杜市,0
2020-07-17,富士吉田市,0
2020-07-17,南アルプス市,0
2020-07-17,上野原市,0
2020-07-17,鳴沢村,0
2020-07-17,昭和町,0
2020-07-17,都留市,0
2020-07-17,笛吹市,0
2020-07-17,市川三郷町,0
2020-07-17,山中湖村,0
2020-07-17,甲州市,0
2020-07-17,身延町,0
2020-07-17,大月市,0
2020-07-17,山梨市,0
2020-07-17,中央市,0
2020-07-17,富士川町,0
2020-07-17,甲斐市,0
2020-07-17,忍野村,0
2020-07-17,早川町,0
2020-07-17,南部町,0
2020-07-17,道志村,0
2020-07-17,小菅村,0
2020-07-17,西桂町,0
2020-07-17,丹波山村,0
2020-07-31,甲府市,1
2020-07-31,富士河口湖町,2
2020-07-31,韮崎市,1
2020-07-31,北杜市,4
2020-07-31,富士吉田市,2
2020-07-31,南アルプス市,1
2020-07-31,上野原市,2
2020-07-31,鳴沢村,2
2020-07-31,昭和町,1
2020-07-31,都留市,2
2020-07-31,笛吹市,1
2020-07-31,市川三郷町,1
2020-07-31,山中湖村,1
2020-07-31,甲州市,0
2020-07-31,身延町,0
2020-07-31,大月市,0
2020-07-31,山梨市,0
2020-07-31,中央市,0
2020-07-31,富士川町,0
2020-07-31,甲斐市,0
2020-07-31,忍野村,0
2020-07-31,早川町,0
2020-07-31,南部町,0
2020-07-31,道志村,0
2020-07-31,小菅村,0
2020-07-31,西桂町,0
2020-07-31,丹波山村,0
2020-08-07,甲府市,14
2020-08-07,富士河口湖町,5
2020-08-07,韮崎市,0
2020-08-07,北杜市,2
2020-08-07,富士吉田市,3
2020-08-07,南アルプス市,0
2020-08-07,上野原市,0
2020-08-07,鳴沢村,0
2020-08-07,昭和町,1
2020-08-07,都留市,0
2020-08-07,笛吹市,2
2020-08-07,市川三郷町,0
2020-08-07,山中湖村,0
2020-08-07,甲州市,2
2020-08-07,身延町,1
2020-08-07,大月市,1
2020-08-07,山梨市,3
2020-08-07,中央市,1
2020-08-07,富士川町,0
2020-08-07,甲斐市,0
2020-08-07,忍野村,0
2020-08-07,早川町,0
2020-08-07,南部町,0
2020-08-07,道志村,0
2020-08-07,小菅村,0
2020-08-07,西桂町,0
2020-08-07,丹波山村,0
2020-08-14,甲府市,2
2020-08-14,富士河口湖町,4
2020-08-14,韮崎市,1
2020-08-14,北杜市,2
2020-08-14,富士吉田市,2
2020-08-14,南アルプス市,0
2020-08-14,上野原市,0
2020-08-14,鳴沢村,1
2020-08-14,昭和町,1
2020-08-14,都留市,0
2020-08-14,笛吹市,6
2020-08-14,市川三郷町,0
2020-08-14,山中湖村,1
2020-08-14,甲州市,1
2020-08-14,身延町,0
2020-08-14,大月市,0
2020-08-14,山梨市,0
2020-08-14,中央市,0
2020-08-14,富士川町,1
2020-08-14,甲斐市,0
2020-08-14,忍野村,0
2020-08-14,早川町,0
2020-08-14,南部町,0
2020-08-14,道志村,0
2020-08-14,小菅村,0
2020-08-14,西桂町,0
2020-08-14,丹波山村,0
2020-08-21,甲府市,9
2020-08-21,富士河口湖町,6
2020-08-21,韮崎市,0
2020-08-21,北杜市,1
2020-08-21,富士吉田市,0
2020-08-21,南アルプス市,0
2020-08-21,上野原市,0
2020-08-21,鳴沢村,3
2020-08-21,昭和町,2
2020-08-21,都留市,1
2020-08-21,笛吹市,3
2020-08-21,市川三郷町,0
2020-08-21,山中湖村,1
2020-08-21,甲州市,1
2020-08-21,身延町,0
2020-08-21,大月市,0
2020-08-21,山梨市,0
2020-08-21,中央市,1
2020-08-21,富士川町,0
2020-08-21,甲斐市,0
2020-08-21,忍野村,0
2020-08-21,早川町,0
2020-08-21,忍野村,0
2020-08-21,道志村,0
2020-08-21,小菅村,0
2020-08-21,西桂町,0
2020-08-21,丹波山村,0
2020-08-28,甲府市,7
2020-08-28,富士河口湖町,2
2020-08-28,韮崎市,0
2020-08-28,北杜市,1
2020-08-28,富士吉田市,0
2020-08-28,南アルプス市,0
2020-08-28,上野原市,0
2020-08-28,鳴沢村,0
2020-08-28,昭和町,0
2020-08-28,都留市,0
2020-08-28,笛吹市,2
2020-08-28,市川三郷町,0
2020-08-28,山中湖村,0
2020-08-28,甲州市,1
2020-08-28,身延町,0
2020-08-28,大月市,0
2020-08-28,山梨市,0
2020-08-28,中央市,0
2020-08-28,富士川町,0
2020-08-28,甲斐市,1
2020-08-28,忍野村,1
2020-08-28,早川町,0
2020-08-28,南部町,0
2020-08-28,道志村,0
2020-08-28,小菅村,0
2020-08-28,西桂町,0
2020-08-28,丹波山村,0
2020-09-04,甲府市,10
2020-09-04,富士河口湖町,8
2020-09-04,韮崎市,1
