"city","week","infected","newGZ","avg_temp","avg_rainfall","週","mobility","cuminfected","cumGZ","infected_2w","infected_1w","infected_yest","pop","mobility_per","susceptible","SOE"
"上野原市",2020-03-02,0.056,0,6,2.66666666666667,"202003_W1",23570,0.056,0,0,0,0,22799,1.0338172726874,22798.944,0
"中央市",2020-03-02,0.076,0,8,3,"202003_W1",31433,0.076,0,0,0,0,30978,1.01468784298534,30977.924,0
"丹波山村",2020-03-02,0.002,0,6.56666666666667,2.66666666666667,"202003_W1",638,0.002,0,0,0,0,540,1.18148148148148,539.998,0
"北杜市",2020-03-02,0.112,0,3.63333333333333,1.66666666666667,"202003_W1",47607,0.112,0,0,0,0,46421,1.02554878180134,46420.888,0
"南アルプス市",2020-03-02,0.174,0,6.63333333333333,2.66666666666667,"202003_W1",63799,0.174,0,0,0,0,71370,0.893919013591145,71369.826,0
"南部町",2020-03-02,0.018,0,8.06666666666667,13.6666666666667,"202003_W1",8208,0.018,0,0,0,0,7569,1.08442330558859,7568.982,0
"大月市",2020-03-02,0.058,0,6,2.66666666666667,"202003_W1",22491,0.058,0,0,0,0,23516,0.956412655213472,23515.942,0
"富士吉田市",2020-03-02,0.118,0,2.76666666666667,3,"202003_W1",47247,0.118,0,0,0,0,48331,0.977571331029774,48330.882,0
"富士川町",2020-03-02,0.036,0,6.83333333333333,5.5,"202003_W1",14178,0.036,0,0,0,0,14855,0.954426119151801,14854.964,0
"富士河口湖町",2020-03-02,0.064,0,2.76666666666667,3,"202003_W1",27947,0.064,0,0,0,0,26562,1.05214215797003,26561.936,0
"小菅村",2020-03-02,0.002,0,6.56666666666667,2.66666666666667,"202003_W1",729,0.002,0,0,0,0,715,1.01958041958042,714.998,0
"山中湖村",2020-03-02,0.014,0,1.66666666666667,4.83333333333333,"202003_W1",7953,0.014,0,0,0,0,5789,1.37381240283296,5788.986,0
"山梨市",2020-03-02,0.084,0,6.56666666666667,2.66666666666667,"202003_W1",31548,0.084,0,0,0,0,34357,0.918240824286172,34356.916,0
"市川三郷町",2020-03-02,0.038,0,6.83333333333333,5.5,"202003_W1",13241,0.038,0,0,0,0,15604,0.848564470648552,15603.962,0
"忍野村",2020-03-02,0.024,0,1.66666666666667,4.83333333333333,"202003_W1",9617,0.024,0,0,0,0,9595,1.00229286086503,9594.976,0
"早川町",2020-03-02,0.002,0,6.83333333333333,5.5,"202003_W1",1408,0.002,0,0,0,0,1018,1.38310412573674,1017.998,0
"昭和町",2020-03-02,0.05,0,8,3,"202003_W1",25917,0.05,0,0,0,0,20452,1.26721103070604,20451.95,0
"甲州市",2020-03-02,0.076,0,6.56666666666667,2.66666666666667,"202003_W1",30253,0.076,0,0,0,0,30990,0.97621813488222,30989.924,0
"甲府市",2020-03-02,0.456,0,8,3,"202003_W1",205231,0.456,0,0,0,0,187171,1.09648930656993,187170.544,0
"甲斐市",2020-03-02,0.184,0,8,3,"202003_W1",68423,0.184,0,0,0,0,75522,0.906000900399883,75521.816,0
"笛吹市",2020-03-02,0.168,0,5.03333333333333,4.5,"202003_W1",69489,0.168,0,0,0,0,68924,1.00819743485578,68923.832,0
"西桂町",2020-03-02,0.01,0,2.76666666666667,3,"202003_W1",3983,0.01,0,0,0,0,4238,0.939830108541765,4237.99,0
"身延町",2020-03-02,0.028,0,6.83333333333333,5.5,"202003_W1",12851,0.028,0,0,0,0,11306,1.13665310454626,11305.972,0
"道志村",2020-03-02,0.004,0,6,2.66666666666667,"202003_W1",1395,0.004,0,0,0,0,1652,0.844430992736077,1651.996,0
"都留市",2020-03-02,0.072,0,6,2.66666666666667,"202003_W1",31150,0.072,0,0,0,0,29859,1.04323654509528,29858.928,0
"韮崎市",2020-03-02,0.07,0,6.63333333333333,2.66666666666667,"202003_W1",33457,0.07,0,0,0,0,29124,1.14877764043401,29123.93,0
"鳴沢村",2020-03-02,0.008,0,2.76666666666667,3,"202003_W1",3681,0.008,0,0,0,0,3133,1.17491222470476,3132.992,0
"上野原市",2020-03-09,0,0,8.45714285714286,5.57142857142857,"202003_W2",23280,0.056,0,0.055,0,0.055,22799,1.02109741655336,22798.944,0
"中央市",2020-03-09,0,0,10.2714285714286,5.42857142857143,"202003_W2",30971,0.076,0,0.075,0,0.075,30978,0.999774033184841,30977.924,0
"丹波山村",2020-03-09,0,0,9.28571428571428,4.92857142857143,"202003_W2",599,0.002,0,0.001,0,0.001,540,1.10925925925926,539.998,0
"北杜市",2020-03-09,0,0,6.7,4.5,"202003_W2",48313,0.112,0,0.113,0,0.113,46421,1.04075741582473,46420.888,0
"南アルプス市",2020-03-09,0,0,8.5,5.14285714285714,"202003_W2",63912,0.174,0,0.174,0,0.174,71370,0.895502311895754,71369.826,0
"南部町",2020-03-09,0,0,10.2571428571429,7.64285714285714,"202003_W2",8106,0.018,0,0.018,0,0.018,7569,1.0709472849782,7568.982,0
"大月市",2020-03-09,0,0,8.45714285714286,5.57142857142857,"202003_W2",24187,0.058,0,0.057,0,0.057,23516,1.02853376424562,23515.942,0
"富士吉田市",2020-03-09,0,0,5.84285714285714,5.28571428571429,"202003_W2",47097,0.118,0,0.118,0,0.118,48331,0.974467732925038,48330.882,0
"富士川町",2020-03-09,0,0,9,5.92857142857143,"202003_W2",14887,0.036,0,0.036,0,0.036,14855,1.00215415684955,14854.964,0
"富士河口湖町",2020-03-09,0,0,5.84285714285714,5.28571428571429,"202003_W2",29561,0.064,0,0.065,0,0.065,26562,1.11290565469468,26561.936,0
"小菅村",2020-03-09,0,0,9.28571428571428,4.92857142857143,"202003_W2",672,0.002,0,0.002,0,0.002,715,0.93986013986014,714.998,0
"山中湖村",2020-03-09,0,0,4.81428571428571,7.21428571428571,"202003_W2",8592,0.014,0,0.014,0,0.014,5789,1.48419416134047,5788.986,0
"山梨市",2020-03-09,0,0,9.28571428571428,4.92857142857143,"202003_W2",31392,0.084,0,0.084,0,0.084,34357,0.913700264865966,34356.916,0
"市川三郷町",2020-03-09,0,0,9,5.92857142857143,"202003_W2",13354,0.038,0,0.038,0,0.038,15604,0.855806203537554,15603.962,0
"忍野村",2020-03-09,0,0,4.81428571428571,7.21428571428571,"202003_W2",9411,0.024,0,0.023,0,0.023,9595,0.980823345492444,9594.976,0
"早川町",2020-03-09,0,0,9,5.92857142857143,"202003_W2",1357,0.002,0,0.002,0,0.002,1018,1.33300589390963,1017.998,0
"昭和町",2020-03-09,0,0,10.2714285714286,5.42857142857143,"202003_W2",26085,0.05,0,0.05,0,0.05,20452,1.27542538627029,20451.95,0
"甲州市",2020-03-09,0,0,9.28571428571428,4.92857142857143,"202003_W2",30707,0.076,0,0.075,0,0.075,30990,0.990868021942562,30989.924,0
"甲府市",2020-03-09,0,0,10.2714285714286,5.42857142857143,"202003_W2",203444,0.456,0,0.455,0,0.455,187171,1.08694188736503,187170.544,0
"甲斐市",2020-03-09,0,0,10.2714285714286,5.42857142857143,"202003_W2",68566,0.184,0,0.184,0,0.184,75522,0.907894388390138,75521.816,0
"笛吹市",2020-03-09,0,0,7.44285714285714,5.28571428571429,"202003_W2",70861,0.168,0,0.168,0,0.168,68924,1.02810341825779,68923.832,0
"西桂町",2020-03-09,0,0,5.84285714285714,5.28571428571429,"202003_W2",3781,0.01,0,0.01,0,0.01,4238,0.892166116092496,4237.99,0
"身延町",2020-03-09,0,0,9,5.92857142857143,"202003_W2",13106,0.028,0,0.027,0,0.027,11306,1.15920750044224,11305.972,0
"道志村",2020-03-09,0,0,8.45714285714286,5.57142857142857,"202003_W2",2041,0.004,0,0.004,0,0.004,1652,1.23547215496368,1651.996,0
"都留市",2020-03-09,0,0,8.45714285714286,5.57142857142857,"202003_W2",31527,0.072,0,0.073,0,0.073,29859,1.05586255400382,29858.928,0
"韮崎市",2020-03-09,0,0,8.5,5.14285714285714,"202003_W2",33395,0.07,0,0.071,0,0.071,29124,1.14664881197638,29123.93,0
"鳴沢村",2020-03-09,0,0,5.84285714285714,5.28571428571429,"202003_W2",4030,0.008,0,0.008,0,0.008,3133,1.28630705394191,3132.992,0
"上野原市",2020-03-16,0,0,9.4,0,"202003_W3",25415,0.056,0,0.055,0.055,0.055,22799,1.11474187464362,22798.944,0
"中央市",2020-03-16,0,0,10.8571428571429,0.214285714285714,"202003_W3",30965,0.076,0,0.475,0.075,0.475,30978,0.999580347343276,30977.924,0
"丹波山村",2020-03-16,0,0,9.62857142857143,0.0714285714285714,"202003_W3",766,0.002,0,0.001,0.001,0.001,540,1.41851851851852,539.998,0
"北杜市",2020-03-16,0,0,6.85714285714286,0.142857142857143,"202003_W3",52312,0.112,0,1.113,0.113,1.113,46421,1.12690377199974,46420.888,0
"南アルプス市",2020-03-16,0,0,8.67142857142857,0.357142857142857,"202003_W3",65155,0.174,0,4.581,0.174,4.581,71370,0.912918593246462,71369.826,0
"南部町",2020-03-16,0,0,10.7285714285714,0.428571428571429,"202003_W3",7944,0.018,0,0.018,0.018,0.018,7569,1.04954419342053,7568.982,0
"大月市",2020-03-16,0,0,9.4,0,"202003_W3",24450,0.058,0,0.057,0.057,0.057,23516,1.03971763905426,23515.942,0
"富士吉田市",2020-03-16,0,0,6.45714285714286,0,"202003_W3",49726,0.118,0,0.118,0.118,0.118,48331,1.02886346237405,48330.882,0
"富士川町",2020-03-16,0,0,9.64285714285714,0.0714285714285714,"202003_W3",14674,0.036,0,0.036,0.036,0.036,14855,0.987815550319758,14854.964,0
"富士河口湖町",2020-03-16,0,0,6.45714285714286,0,"202003_W3",34508,0.064,0,0.065,0.065,0.065,26562,1.29914916045479,26561.936,0
"小菅村",2020-03-16,0,0,9.62857142857143,0.0714285714285714,"202003_W3",620,0.002,0,0.002,0.002,0.002,715,0.867132867132867,714.998,0
