"city","week","infected","newGZ","avg_temp","avg_rainfall","週.x","mobility","cuminfected","cumGZ","infected_2w","infected_1w","infected_yest","pop","mobility_per","susceptible","SOE","週.y","population_inflow","agrgt_potecovid_lag1","agrgt_potecovid_lag2","in_risk_lag1","in_risk_lag2","X1"
"上野原市",2020-03-02,0.056,0,6,2.66666666666667,"202003_W1",23570,0.056,0,0,0,0,22799,1.0338172726874,22798.944,0,"202003_W1",23569,0.0588128905603936,0.0610957480965729,6.41175068570943e-08,6.25206875400971e-08,244
"中央市",2020-03-02,0.076,0,8,3,"202003_W1",31433,0.076,0,0,0,0,30978,1.01468784298534,30977.924,0,"202003_W1",31433,0.0766315376566003,0.0741844046860044,9.25308659834413e-08,8.83065761927631e-08,245
"丹波山村",2020-03-02,0.002,0,6.56666666666667,2.66666666666667,"202003_W1",638,0.002,0,0,0,0,540,1.18148148148148,539.998,0,"202003_W1",638,0.00133471544429117,0.00180430796850332,1.05209834574619e-09,1.29347853447349e-09,246
"北杜市",2020-03-02,0.112,0,3.63333333333333,1.66666666666667,"202003_W1",47607,0.112,0,0,0,0,46421,1.02554878180134,46420.888,0,"202003_W1",47607,0.118240738028014,0.123905506783656,1.28860203264342e-07,1.27650531004029e-07,247
"南アルプス市",2020-03-02,0.174,0,6.63333333333333,2.66666666666667,"202003_W1",63799,0.174,0,0,0,0,71370,0.893919013591145,71369.826,0,"202003_W1",63798,0.153977263204849,0.152784509137546,1.87203569907073e-07,1.8453492886572e-07,248
"南部町",2020-03-02,0.018,0,8.06666666666667,13.6666666666667,"202003_W1",8208,0.018,0,0,0,0,7569,1.08442330558859,7568.982,0,"202003_W1",8207,0.0182812219393924,0.0183409890226635,2.12613275367238e-08,2.06406528621497e-08,249
"大月市",2020-03-02,0.058,0,6,2.66666666666667,"202003_W1",22491,0.058,0,0,0,0,23516,0.956412655213472,23515.942,0,"202003_W1",22490,0.0602242347169216,0.0602755716936901,6.55567920148062e-08,6.23354729933321e-08,250
"富士吉田市",2020-03-02,0.118,0,2.76666666666667,3,"202003_W1",47247,0.118,0,0,0,0,48331,0.977571331029774,48330.882,0,"202003_W1",47246,0.120239148135628,0.126321632420336,1.38828179318455e-07,1.39647897439603e-07,251
"富士川町",2020-03-02,0.036,0,6.83333333333333,5.5,"202003_W1",14178,0.036,0,0,0,0,14855,0.954426119151801,14854.964,0,"202003_W1",14179,0.0344465897856813,0.0327138335662429,4.20781312105944e-08,3.97206407489119e-08,252
"富士河口湖町",2020-03-02,0.064,0,2.76666666666667,3,"202003_W1",27947,0.064,0,0,0,0,26562,1.05214215797003,26561.936,0,"202003_W1",27947,0.072288473848371,0.0801759353965932,7.56272558701974e-08,7.59605928464586e-08,253
"小菅村",2020-03-02,0.002,0,6.56666666666667,2.66666666666667,"202003_W1",729,0.002,0,0,0,0,715,1.01958041958042,714.998,0,"202003_W1",729,0.00176627840017959,0.00180353361806205,1.88479798026443e-09,1.70876351650969e-09,254
"山中湖村",2020-03-02,0.014,0,1.66666666666667,4.83333333333333,"202003_W1",7953,0.014,0,0,0,0,5789,1.37381240283296,5788.986,0,"202003_W1",7953,0.023501191908029,0.0274351604591789,1.84179507624454e-08,1.9835504050028e-08,255
"山梨市",2020-03-02,0.084,0,6.56666666666667,2.66666666666667,"202003_W1",31548,0.084,0,0,0,0,34357,0.918240824286172,34356.916,0,"202003_W1",31546,0.0813330455443882,0.0809768637858101,9.65442176518199e-08,9.348629978168e-08,256
"市川三郷町",2020-03-02,0.038,0,6.83333333333333,5.5,"202003_W1",13241,0.038,0,0,0,0,15604,0.848564470648552,15603.962,0,"202003_W1",13239,0.0338327593120493,0.0340818370373371,4.12736734314748e-08,4.13653692105056e-08,257
"忍野村",2020-03-02,0.024,0,1.66666666666667,4.83333333333333,"202003_W1",9617,0.024,0,0,0,0,9595,1.00229286086503,9594.976,0,"202003_W1",9616,0.0227840981085112,0.0222824253788632,2.47505358500857e-08,2.40504780368197e-08,258
"早川町",2020-03-02,0.002,0,6.83333333333333,5.5,"202003_W1",1408,0.002,0,0,0,0,1018,1.38310412573674,1017.998,0,"202003_W1",1408,0.00278772104998047,0.00308187893695924,3.09473072950921e-09,2.99838862101247e-09,259
"昭和町",2020-03-02,0.05,0,8,3,"202003_W1",25917,0.05,0,0,0,0,20452,1.26721103070604,20451.95,0,"202003_W1",25916,0.0641515147429904,0.0655459886218715,7.64282239736295e-08,7.67602642396542e-08,260
"甲州市",2020-03-02,0.076,0,6.56666666666667,2.66666666666667,"202003_W1",30253,0.076,0,0,0,0,30990,0.97621813488222,30989.924,0,"202003_W1",30251,0.0751429285118323,0.0731256776317444,8.83292852363583e-08,8.35519612864053e-08,261
"甲府市",2020-03-02,0.456,0,8,3,"202003_W1",205231,0.456,0,0,0,0,187171,1.09648930656993,187170.544,0,"202003_W1",205230,0.498579232414765,0.512580314116121,5.91930163372129e-07,5.95984384345793e-07,262
"甲斐市",2020-03-02,0.184,0,8,3,"202003_W1",68423,0.184,0,0,0,0,75522,0.906000900399883,75521.816,0,"202003_W1",68423,0.168766195485471,0.166871945245449,2.02041604521652e-07,1.96778286552669e-07,263
"笛吹市",2020-03-02,0.168,0,5.03333333333333,4.5,"202003_W1",69489,0.168,0,0,0,0,68924,1.00819743485578,68923.832,0,"202003_W1",69487,0.172255697580291,0.176132614316524,2.01683690913386e-07,2.00532431401031e-07,264
"西桂町",2020-03-02,0.01,0,2.76666666666667,3,"202003_W1",3983,0.01,0,0,0,0,4238,0.939830108541765,4237.99,0,"202003_W1",3981,0.00950472629891355,0.00913968317335824,1.1490923889179e-08,1.09243622577188e-08,265
"身延町",2020-03-02,0.028,0,6.83333333333333,5.5,"202003_W1",12851,0.028,0,0,0,0,11306,1.13665310454626,11305.972,0,"202003_W1",12851,0.0307561608679902,0.0328577949319141,3.57945400901641e-08,3.66799968742882e-08,266
"道志村",2020-03-02,0.004,0,6,2.66666666666667,"202003_W1",1395,0.004,0,0,0,0,1652,0.844430992736077,1651.996,0,"202003_W1",1395,0.00364773349622537,0.00504785497158694,3.0091536986991e-09,3.93967961685043e-09,267
"都留市",2020-03-02,0.072,0,6,2.66666666666667,"202003_W1",31150,0.072,0,0,0,0,29859,1.04323654509528,29858.928,0,"202003_W1",31150,0.0775347905394511,0.0791196162143158,9.03284817103625e-08,9.00688224399779e-08,268
"韮崎市",2020-03-02,0.07,0,6.63333333333333,2.66666666666667,"202003_W1",33457,0.07,0,0,0,0,29124,1.14877764043401,29123.93,0,"202003_W1",33454,0.0797863588271278,0.0799811299133012,9.50883981474855e-08,9.37733920465743e-08,269
"鳴沢村",2020-03-02,0.008,0,2.76666666666667,3,"202003_W1",3681,0.008,0,0,0,0,3133,1.17491222470476,3132.992,0,"202003_W1",3679,0.0101934605736298,0.0115201035395308,9.58327815072502e-09,9.46126765331743e-09,270
"上野原市",2020-03-09,0,0,8.45714285714286,5.57142857142857,"202003_W2",23280,0.056,0,0.055,0,0.055,22799,1.02109741655336,22798.944,0,"202003_W2",23282,0.0616497415804852,0.0139371185494584,6.43450101031077e-08,1.52788747467929e-09,271
"中央市",2020-03-09,0,0,10.2714285714286,5.42857142857143,"202003_W2",30971,0.076,0,0.075,0,0.075,30978,0.999774033184841,30977.924,0,"202003_W2",30971,0.0776350394337453,0.0033634628045585,9.26485383634758e-08,5.02564075403099e-10,272
"丹波山村",2020-03-09,0,0,9.28571428571428,4.92857142857143,"202003_W2",599,0.002,0,0.001,0,0.001,540,1.10925925925926,539.998,0,"202003_W2",598,0.00150387465862976,0.00102586248969632,1.0659599312958e-09,8.74549146621994e-11,273
"北杜市",2020-03-09,0,0,6.7,4.5,"202003_W2",48313,0.112,0,0.113,0,0.113,46421,1.04075741582473,46420.888,0,"202003_W2",48313,0.120848219174376,0.0227264272363997,1.29000334104916e-07,3.2462983991398e-09,274
"南アルプス市",2020-03-09,0,0,8.5,5.14285714285714,"202003_W2",63912,0.174,0,0.174,0,0.174,71370,0.895502311895754,71369.826,0,"202003_W2",63911,0.155275116280063,0.00490929723048962,1.87320918921769e-07,6.44994350214271e-10,275
"南部町",2020-03-09,0,0,10.2571428571429,7.64285714285714,"202003_W2",8106,0.018,0,0.018,0,0.018,7569,1.0709472849782,7568.982,0,"202003_W2",8104,0.0189659678829919,0.00179458242732727,2.13715593034541e-08,2.6582031820445e-10,276
"大月市",2020-03-09,0,0,8.45714285714286,5.57142857142857,"202003_W2",24187,0.058,0,0.057,0,0.057,23516,1.02853376424562,23515.942,0,"202003_W2",24186,0.0603843839767718,0.0109876497814142,6.53567471225058e-08,1.2198791421177e-09,277
"富士吉田市",2020-03-09,0,0,5.84285714285714,5.28571428571429,"202003_W2",47097,0.118,0,0.118,0,0.118,48331,0.974467732925038,48330.882,0,"202003_W2",47095,0.120846835883268,0.0122648156563254,1.38887635387408e-07,1.71514323855157e-09,278
"富士川町",2020-03-09,0,0,9,5.92857142857143,"202003_W2",14887,0.036,0,0.036,0,0.036,14855,1.00215415684955,14854.964,0,"202003_W2",14887,0.0344796560638213,0.000543665228906152,4.20809131343994e-08,9.07582616083675e-11,279
"富士河口湖町",2020-03-09,0,0,5.84285714285714,5.28571428571429,"202003_W2",29561,0.064,0,0.065,0,0.065,26562,1.11290565469468,26561.936,0,"202003_W2",29560,0.0758261156873116,0.0199026753129895,7.60762415990281e-08,2.64003999984897e-09,280
"小菅村",2020-03-09,0,0,9.28571428571428,4.92857142857143,"202003_W2",672,0.002,0,0.002,0,0.002,715,0.93986013986014,714.998,0,"202003_W2",671,0.00185606430882815,0.000535010941714219,1.89236554305932e-09,4.53207265093035e-11,281
"山中湖村",2020-03-09,0,0,4.81428571428571,7.21428571428571,"202003_W2",8592,0.014,0,0.014,0,0.014,5789,1.48419416134047,5788.986,0,"202003_W2",8592,0.0238923164040971,0.0114801268535897,1.84408681893786e-08,1.61833789273473e-09,282
"山梨市",2020-03-09,0,0,9.28571428571428,4.92857142857143,"202003_W2",31392,0.084,0,0.084,0,0.084,34357,0.913700264865966,34356.916,0,"202003_W2",31389,0.0829987415849159,0.0065098655576651,9.67800170417325e-08,9.93231551614833e-10,283
"市川三郷町",2020-03-09,0,0,9,5.92857142857143,"202003_W2",13354,0.038,0,0.038,0,0.038,15604,0.855806203537554,15603.962,0,"202003_W2",13354,0.0341682684834062,0.00103508120400173,4.1316657862412e-08,1.41777092186442e-10,284
"忍野村",2020-03-09,0,0,4.81428571428571,7.21428571428571,"202003_W2",9411,0.024,0,0.023,0,0.023,9595,0.980823345492444,9594.976,0,"202003_W2",9412,0.0222419613021761,0.00347550472810697,2.4669582987595e-08,5.68480530597104e-10,285
"早川町",2020-03-09,0,0,9,5.92857142857143,"202003_W2",1357,0.002,0,0.002,0,0.002,1018,1.33300589390963,1017.998,0,"202003_W2",1359,0.00276404726212953,0.000480855364324473,3.09158559934215e-09,5.60401727933106e-11,286
"昭和町",2020-03-09,0,0,10.2714285714286,5.42857142857143,"202003_W2",26085,0.05,0,0.05,0,0.05,20452,1.27542538627029,20451.95,0,"202003_W2",26084,0.065385923776161,0.00465251455436124,7.65748748445827e-08,7.54836268883167e-10,287
"甲州市",2020-03-09,0,0,9.28571428571428,4.92857142857143,"202003_W2",30707,0.076,0,0.075,0,0.075,30990,0.990868021942562,30989.924,0,"202003_W2",30703,0.076013751105832,0.0065290192407788,8.83630867082028e-08,8.44151592351413e-10,288
"甲府市",2020-03-09,0,0,10.2714285714286,5.42857142857143,"202003_W2",203444,0.456,0,0.455,0,0.455,187171,1.08694188736503,187170.544,0,"202003_W2",203444,0.507387244410728,0.0375479073407212,5.92882824570322e-07,5.22606593388099e-09,289
"甲斐市",2020-03-09,0,0,10.2714285714286,5.42857142857143,"202003_W2",68566,0.184,0,0.184,0,0.184,75522,0.907894388390138,75521.816,0,"202003_W2",68565,0.169933595534283,0.00861082424613363,2.02072230972324e-07,1.38566827512168e-09,290
"笛吹市",2020-03-09,0,0,7.44285714285714,5.28571428571429,"202003_W2",70861,0.168,0,0.168,0,0.168,68924,1.02810341825779,68923.832,0,"202003_W2",70858,0.173852008155433,0.0149350290430157,2.0177369051122e-07,1.92343844646328e-09,291
"西桂町",2020-03-09,0,0,5.84285714285714,5.28571428571429,"202003_W2",3781,0.01,0,0.01,0,0.01,4238,0.892166116092496,4237.99,0,"202003_W2",3780,0.00952913619784584,0.000273921564907657,1.15037076348701e-08,3.698014111408e-11,292
"身延町",2020-03-09,0,0,9,5.92857142857143,"202003_W2",13106,0.028,0,0.027,0,0.027,11306,1.15920750044224,11305.972,0,"202003_W2",13104,0.0320925052527116,0.00406410089940707,3.59544173359677e-08,6.76515840957548e-10,293
"道志村",2020-03-09,0,0,8.45714285714286,5.57142857142857,"202003_W2",2041,0.004,0,0.004,0,0.004,1652,1.23547215496368,1651.996,0,"202003_W2",2039,0.00365378992858216,0.00180614572416914,3.0094229863301e-09,1.91155934983047e-10,294
"都留市",2020-03-09,0,0,8.45714285714286,5.57142857142857,"202003_W2",31527,0.072,0,0.073,0,0.073,29859,1.05586255400382,29858.928,0,"202003_W2",31525,0.0789332775281068,0.00799493232977431,9.04247342682217e-08,9.87182788484232e-10,295
"韮崎市",2020-03-09,0,0,8.5,5.14285714285714,"202003_W2",33395,0.07,0,0.071,0,0.071,29124,1.14664881197638,29123.93,0,"202003_W2",33393,0.0808804449833169,0.00545455034007864,9.50922955197613e-08,8.24263684316534e-10,296
"鳴沢村",2020-03-09,0,0,5.84285714285714,5.28571428571429,"202003_W2",4030,0.008,0,0.008,0,0.008,3133,1.28630705394191,3132.992,0,"202003_W2",4029,0.0104002987123989,0.00364273693003726,9.61749004604579e-09,4.31042187061952e-10,297
"上野原市",2020-03-16,0,0,9.4,0,"202003_W3",25415,0.056,0,0.055,0.055,0.055,22799,1.11474187464362,22798.944,0,"202003_W3",25414,0.0137269644430123,0.0975022357503944,1.48174092788735e-09,6.60982168954739e-08,298
"中央市",2020-03-16,0,0,10.8571428571429,0.214285714285714,"202003_W3",30965,0.076,0,0.475,0.075,0.475,30978,0.999580347343276,30977.924,0,"202003_W3",30965,0.00403540592217419,0.0858760430424176,5.60837026212887e-10,9.23589766450947e-08,299
"丹波山村",2020-03-16,0,0,9.62857142857143,0.0714285714285714,"202003_W3",766,0.002,0,0.001,0.001,0.001,540,1.41851851851852,539.998,0,"202003_W3",764,0.000796493290453759,0.00386683547306464,6.95269754226504e-11,1.51318339626133e-09,300
"北杜市",2020-03-16,0,0,6.85714285714286,0.142857142857143,"202003_W3",52312,0.112,0,1.113,0.113,1.113,46421,1.12690377199974,46420.888,0,"202003_W3",52307,0.0209680714894009,0.173720066198033,2.93272211975515e-09,1.36194610184373e-07,301
"南アルプス市",2020-03-16,0,0,8.67142857142857,0.357142857142857,"202003_W3",65155,0.174,0,4.581,0.174,4.581,71370,0.912918593246462,71369.826,0,"202003_W3",65154,0.0045048300142694,0.170010871984845,5.89430571983718e-10,1.92890224121262e-07,302
"南部町",2020-03-16,0,0,10.7285714285714,0.428571428571429,"202003_W3",7944,0.018,0,0.018,0.018,0.018,7569,1.04954419342053,7568.982,0,"202003_W3",7943,0.00161833709033345,0.0204874182817715,2.70307571001458e-10,2.18600195796185e-08,303
"大月市",2020-03-16,0,0,9.4,0,"202003_W3",24450,0.058,0,0.057,0.057,0.057,23516,1.03971763905426,23515.942,0,"202003_W3",24454,0.011419324482451,0.0907238244523727,1.34056557706276e-09,6.9171445682904e-08,304
"富士吉田市",2020-03-16,0,0,6.45714285714286,0,"202003_W3",49726,0.118,0,0.118,0.118,0.118,48331,1.02886346237405,48330.882,0,"202003_W3",49725,0.00851602923144185,0.135682156646838,1.09582481035521e-09,1.39033988333742e-07,305
"富士川町",2020-03-16,0,0,9.64285714285714,0.0714285714285714,"202003_W3",14674,0.036,0,0.036,0.036,0.036,14855,0.987815550319758,14854.964,0,"202003_W3",14672,0.000452824130383912,0.0373930135357526,8.59688357880968e-11,4.48606129194764e-08,306
"富士河口湖町",2020-03-16,0,0,6.45714285714286,0,"202003_W3",34508,0.064,0,0.065,0.065,0.065,26562,1.29914916045479,26561.936,0,"202003_W3",34509,0.0186465630092219,0.11469030405694,2.51413333623935e-09,8.20052384727806e-08,307
"小菅村",2020-03-16,0,0,9.62857142857143,0.0714285714285714,"202003_W3",620,0.002,0,0.002,0.002,0.002,715,0.867132867132867,714.998,0,"202003_W3",621,0.000611039837305152,0.00294709676727866,5.85755497631874e-11,1.5859478208543e-09,308
"山中湖村",2020-03-16,0,0,4.8,0.214285714285714,"202003_W3",11069,0.014,0,0.014,0.014,0.014,5789,1.91207462428744,5788.986,0,"202003_W3",11067,0.0119554943795774,0.0457606291242136,1.67951387917828e-09,2.1119268812404e-08,309
"山梨市",2020-03-16,0,0,9.62857142857143,0.0714285714285714,"202003_W3",32728,0.084,0,0.084,0.084,0.084,34357,0.952586081439008,34356.916,0,"202003_W3",32727,0.00629732122111391,0.0930503660731545,8.32301121784639e-10,9.35110998943852e-08,310
"市川三郷町",2020-03-16,0,0,9.64285714285714,0.0714285714285714,"202003_W3",13229,0.038,0,0.038,0.038,0.038,15604,0.847795437067419,15603.962,0,"202003_W3",13228,0.000995234088482987,0.0354240497795664,1.40921880694763e-10,4.01696510913574e-08,311
"忍野村",2020-03-16,0,0,4.8,0.214285714285714,"202003_W3",9176,0.024,0,0.023,0.023,0.023,9595,0.956331422615946,9594.976,0,"202003_W3",9175,0.00508192287943583,0.0330300333372449,7.1428085340196e-10,2.60777218066573e-08,312
