date,pref,avg_temp,avg_rain,newcase_day,total_case,newdeath_day,total_death,emergency,GZnew,cumGZ,newcaseday14,sales_per,customers_per,dummy_school_closure,dummy_gathering_restriction
2019-01-01,Ibaraki,36.92,0,0,0,0,0,0,0,0,0,47629.20930232558,20.406976744186046,0,0
2019-01-01,Tochigi,36.14,0,0,0,0,0,0,0,0,0,64447.25862068965,42.1551724137931,0,0
2019-01-01,Gunma,40.28,0,0,0,0,0,0,0,0,0,18676.25,5.05,0,0
2019-01-01,Yamanashi,32.09,0,0,0,0,0,0,0,0,0,85158.72222222222,37.72222222222222,0,0
2019-01-01,Nagano,31.22,0.16666666666666666,0,0,0,0,0,0,0,0,45077.51470588235,28.897058823529413,0,0
2019-01-01,Shizuoka,43.34,0,0,0,0,0,0,0,0,0,57174.08620689655,27.163793103448278,0,0
2019-01-02,Ibaraki,39.92,0,0,0,0,0,0,0,0,0,133340.8488372093,49.33720930232558,0,0
2019-01-02,Tochigi,39.47,0,0,0,0,0,0,0,0,0,185449.1551724138,89.46551724137932,0,0
2019-01-02,Gunma,40.82,0,0,0,0,0,0,0,0,0,121338.24,36.14,0,0
2019-01-02,Yamanashi,33.62,0,0,0,0,0,0,0,0,0,186983.66666666666,63.888888888888886,0,0
2019-01-02,Nagano,33.62,1.5,0,0,0,0,0,0,0,0,150633.61764705883,82.30882352941177,0,0
2019-01-02,Shizuoka,44.54,0,0,0,0,0,0,0,0,0,141389.12068965516,63.87931034482759,0,0
2019-01-03,Ibaraki,35.84,0,0,0,0,0,0,0,0,0,131550.55813953487,50.05813953488372,0,0
2019-01-03,Tochigi,35.51,0,0,0,0,0,0,0,0,0,186335.5344827586,98.72413793103448,0,0
2019-01-03,Gunma,37.67,0,0,0,0,0,0,0,0,0,112419.68,35.76,0,0
2019-01-03,Yamanashi,33.26,0,0,0,0,0,0,0,0,0,163086,57.72222222222222,0,0
2019-01-03,Nagano,30.08,0,0,0,0,0,0,0,0,0,140216.36764705883,79.48529411764706,0,0
2019-01-03,Shizuoka,42.620000000000005,0,0,0,0,0,0,0,0,0,145364.4568965517,67.73275862068965,0,0
2019-01-04,Ibaraki,36.2,0,0,0,0,0,0,0,0,0,168347.9534883721,64.77906976744185,0,0
2019-01-04,Tochigi,35.33,0,0,0,0,0,0,0,0,0,162231.3620689655,88.06896551724138,0,0
2019-01-04,Gunma,40.19,0,0,0,0,0,0,0,0,0,143972.44,43.94,0,0
2019-01-04,Yamanashi,32.81,0,0,0,0,0,0,0,0,0,137496,50,0,0
2019-01-04,Nagano,30.32,0,0,0,0,0,0,0,0,0,144338.25,75.73529411764706,0,0
2019-01-04,Shizuoka,43.22,0,0,0,0,0,0,0,0,0,139494.0603448276,67.55172413793103,0,0
2019-01-05,Ibaraki,42.14,0,0,0,0,0,0,0,0,0,181559.27906976745,65.09302325581395,0,0
2019-01-05,Tochigi,39.74,0,0,0,0,0,0,0,0,0,208733.08620689655,106.36206896551724,0,0
2019-01-05,Gunma,43.16,0,0,0,0,0,0,0,0,0,167697.79,46.8,0,0
2019-01-05,Yamanashi,40.1,0,0,0,0,0,0,0,0,0,155578.72222222222,58.666666666666664,0,0
2019-01-05,Nagano,37.7,0,0,0,0,0,0,0,0,0,141372.01470588235,80.94117647058823,0,0
2019-01-05,Shizuoka,49.7,0,0,0,0,0,0,0,0,0,150529.0775862069,67.32758620689656,0,0
2019-01-06,Ibaraki,37.22,0,0,0,0,0,0,0,0,0,116813.43023255814,45.47674418604651,0,0
2019-01-06,Tochigi,36.32,0,0,0,0,0,0,0,0,0,132920.4655172414,79.44827586206897,0,0
2019-01-06,Gunma,38.84,0,0,0,0,0,0,0,0,0,72174.81,28.55,0,0
2019-01-06,Yamanashi,34.52,0,0,0,0,0,0,0,0,0,101466.33333333333,46.22222222222222,0,0
2019-01-06,Nagano,30.86,0,0,0,0,0,0,0,0,0,93236.42647058824,62.088235294117645,0,0
2019-01-06,Shizuoka,43.7,0,0,0,0,0,0,0,0,0,71416.24137931035,43.4051724137931,0,0
2019-01-07,Ibaraki,37.7,0,0,0,0,0,0,0,0,0,76495.03488372093,31.151162790697676,0,0
2019-01-07,Tochigi,35.33,0,0,0,0,0,0,0,0,0,63419.60344827586,42.06896551724138,0,0
2019-01-07,Gunma,39.02,0,0,0,0,0,0,0,0,0,51966.92,17.14,0,0
2019-01-07,Yamanashi,33.53,0,0,0,0,0,0,0,0,0,100744.88888888889,32.44444444444444,0,0
2019-01-07,Nagano,30.74,0,0,0,0,0,0,0,0,0,57073.58823529412,38.61764705882353,0,0
2019-01-07,Shizuoka,43.34,0,0,0,0,0,0,0,0,0,45731.01724137931,22.732758620689655,0,0
2019-01-08,Ibaraki,38.48,0,0,0,0,0,0,0,0,0,73429.05813953489,27.8953488372093,0,0
2019-01-08,Tochigi,36.86,0,0,0,0,0,0,0,0,0,68424.27586206897,39.94827586206897,0,0
2019-01-08,Gunma,38.12,0,0,0,0,0,0,0,0,0,68884.04,20.22,0,0
2019-01-08,Yamanashi,34.79,0,0,0,0,0,0,0,0,0,56157.38888888889,23.11111111111111,0,0
2019-01-08,Nagano,36.26,1.3333333333333333,0,0,0,0,0,0,0,0,55417.57352941176,36.63235294117647,0,0
2019-01-08,Shizuoka,44.480000000000004,0,0,0,0,0,0,0,0,0,59733.293103448275,26.129310344827587,0,0
2019-01-09,Ibaraki,36.8,0,0,0,0,0,0,0,0,0,82354.81395348837,34.45348837209303,0,0
2019-01-09,Tochigi,37.22,0,0,0,0,0,0,0,0,0,83447.96551724138,44.62068965517241,0,0
2019-01-09,Gunma,37.58,0,0,0,0,0,0,0,0,0,71569.74,21.26,0,0
2019-01-09,Yamanashi,34.160000000000004,0,0,0,0,0,0,0,0,0,68519.88888888889,25.833333333333332,0,0
2019-01-09,Nagano,30.62,0.8333333333333334,0,0,0,0,0,0,0,0,53584.867647058825,33.63235294117647,0,0
2019-01-09,Shizuoka,43.519999999999996,0,0,0,0,0,0,0,0,0,67751.77586206897,32.06896551724138,0,0
2019-01-10,Ibaraki,33.56,0,0,0,0,0,0,0,0,0,96124.30232558139,47.825581395348834,0,0
2019-01-10,Tochigi,30.65,0,0,0,0,0,0,0,0,0,87710.70689655172,47.327586206896555,0,0
2019-01-10,Gunma,34.79,0,0,0,0,0,0,0,0,0,74751.28,22.85,0,0
2019-01-10,Yamanashi,31.64,0,0,0,0,0,0,0,0,0,84497.55555555556,32.666666666666664,0,0
2019-01-10,Nagano,25.52,0,0,0,0,0,0,0,0,0,54817.044117647056,34.544117647058826,0,0
2019-01-10,Shizuoka,40.519999999999996,0,0,0,0,0,0,0,0,0,68551.81034482758,31.767241379310345,0,0
2019-01-11,Ibaraki,40.4,0,0,0,0,0,0,0,0,0,159735.66279069768,53.73255813953488,0,0
2019-01-11,Tochigi,37.58,0,0,0,0,0,0,0,0,0,168485.72413793104,70.20689655172414,0,0
2019-01-11,Gunma,42.26,0,0,0,0,0,0,0,0,0,141191.89,35.53,0,0
2019-01-11,Yamanashi,39.92,0,0,0,0,0,0,0,0,0,120333.38888888889,40.888888888888886,0,0
2019-01-11,Nagano,33.2,0,0,0,0,0,0,0,0,0,105449.41176470589,50.73529411764706,0,0
2019-01-11,Shizuoka,45.62,0,0,0,0,0,0,0,0,0,115920.38793103448,42.61206896551724,0,0
2019-01-12,Ibaraki,38.66,0,0,0,0,0,0,0,0,0,213459.27906976745,73.63953488372093,0,0
2019-01-12,Tochigi,37.67,0,0,0,0,0,0,0,0,0,212155.10344827586,98.20689655172414,0,0
2019-01-12,Gunma,39.56,0,0,0,0,0,0,0,0,0,189557.05,51.36,0,0
2019-01-12,Yamanashi,38.39,0.25,0,0,0,0,0,0,0,0,171848,60.05555555555556,0,0
2019-01-12,Nagano,32.36,0,0,0,0,0,0,0,0,0,149048.25,73.91176470588235,0,0
2019-01-12,Shizuoka,46.4,0,0,0,0,0,0,0,0,0,153944.33620689655,64.77586206896552,0,0
2019-01-13,Ibaraki,41.42,0,0,0,0,0,0,0,0,0,207238.03488372092,76.36046511627907,0,0
2019-01-13,Tochigi,41,0,0,0,0,0,0,0,0,0,215960.1551724138,110.65517241379311,0,0
2019-01-13,Gunma,41.54,0,0,0,0,0,0,0,0,0,140975.9,50.84,0,0
2019-01-13,Yamanashi,38.39,0,0,0,0,0,0,0,0,0,158762.5,65.88888888888889,0,0
2019-01-13,Nagano,34.160000000000004,0,0,0,0,0,0,0,0,0,141325.63235294117,81.41176470588235,0,0
2019-01-13,Shizuoka,46.34,0,0,0,0,0,0,0,0,0,157047.44827586206,70.50862068965517,0,0
2019-01-14,Ibaraki,38.66,0,0,0,0,0,0,0,0,0,105550.13953488372,41.127906976744185,0,0
2019-01-14,Tochigi,37.31,0,0,0,0,0,0,0,0,0,124807.5,81.05172413793103,0,0
2019-01-14,Gunma,38.21,0,0,0,0,0,0,0,0,0,68467.09,27.41,0,0
2019-01-14,Yamanashi,34.88,0,0,0,0,0,0,0,0,0,101502.94444444444,46.27777777777778,0,0
