week,pref,avg_temp,avg_rain,sales,customers,newcase_day,GZnew,cumGZ,emergency
2018-12-31,Gunma,104.288,0,63627921,19624,0,0,0,0
2018-12-31,Ibaraki,100.472,0,67014750,25383,0,0,0,0
2018-12-31,Nagano,90.13999999999999,0.2777777777777778,48611445,27843,0,0,0,0
2018-12-31,Shizuoka,112.13600000000001,0,81822577,39099,0,0,0,0
2018-12-31,Tochigi,98.753,0,54526778,29245,0,0,0,0
2018-12-31,Yamanashi,93.92,0,14935850,5656,0,0,0,0
2019-01-07,Gunma,102.16657142857143,0,73889682,21920,0,0,0,0
2019-01-07,Ibaraki,100.66228571428572,0,78159912,29675,0,0,0,0
2019-01-07,Nagano,89.30685714285715,0.30952380952380953,41936713,23765,0,0,0,0
2019-01-07,Shizuoka,111.77085714285714,0,77566888,33709,0,0,0,0
2019-01-07,Tochigi,97.90828571428571,0,52177005,26276,0,0,0,0
2019-01-07,Yamanashi,96.49657142857144,0.03571428571428571,13695545,5056,0,0,0,0
2019-01-14,Gunma,103.85600000000001,0,75418284,22919,0,0,0,0
2019-01-14,Ibaraki,104.92057142857144,0,72523540,27607,0,0,0,0
2019-01-14,Nagano,93.13314285714287,0.7142857142857143,41077617,23740,0,0,0,0
2019-01-14,Shizuoka,112.94342857142857,0.1904761904761905,79079399,35427,0,0,0,0
2019-01-14,Tochigi,102.02771428571428,0,52271734,26957,0,0,0,0
2019-01-14,Yamanashi,98.23228571428571,0,14072844,5168,0,0,0,0
2019-01-21,Gunma,101.00942857142857,0.03571428571428571,75019627,22609,0,0,0,0
2019-01-21,Ibaraki,100.30742857142857,0.047619047619047616,75993414,27439,0,0,0,0
2019-01-21,Nagano,88.82857142857142,1.0238095238095237,41458650,22529,0,0,0,0
2019-01-21,Shizuoka,110.876,0,82825003,36439,0,0,0,0
2019-01-21,Tochigi,98.76457142857143,0,51016290,25631,0,0,0,0
2019-01-21,Yamanashi,95.31628571428571,0,14021301,5174,0,0,0,0
2019-01-28,Gunma,104.80485714285714,0,73360700,21742,0,0,0,0
2019-01-28,Ibaraki,103.68628571428572,1.5,68349812,25602,0,0,0,0
2019-01-28,Nagano,89.52285714285715,1.619047619047619,39751319,21466,0,0,0,0
2019-01-28,Shizuoka,110.876,3.4285714285714284,78282784,35046,0,0,0,0
2019-01-28,Tochigi,102.25914285714285,0.8571428571428571,45881737,23200,0,0,0,0
2019-01-28,Yamanashi,95.84857142857143,1.3214285714285714,13123411,4617,0,0,0,0
2019-02-04,Gunma,106.54057142857144,0,79255773,23287,0,0,0,0
2019-02-04,Ibaraki,106.37085714285715,0.9047619047619048,71752611,27534,0,0,0,0
2019-02-04,Nagano,95.07714285714286,1.119047619047619,46787942,25901,0,0,0,0
2019-02-04,Shizuoka,118.88342857142857,2.0952380952380953,85894952,37695,0,0,0,0
