week,pref,resview,weeknum
2020年1月第1週,Yamanashi,-8.01550368,1
2020年1月第1週,Gunma,-0.230854753,1
2020年1月第1週,Ibaragi,-6.691429943,1
2020年1月第1週,Tochigi,-7.420921623,1
2020年1月第1週,Nagano,-8.080304191,1
2020年1月第1週,Shizuoka,-3.105810674,1
2020年1月第2週,Yamanashi,-4.687989325,2
2020年1月第2週,Gunma,-2.2855991430000002,2
2020年1月第2週,Ibaragi,-3.028394168,2
2020年1月第2週,Tochigi,-9.839000932,2
2020年1月第2週,Nagano,-7.556710018,2
2020年1月第2週,Shizuoka,-4.478782345,2
2020年1月第3週,Yamanashi,-6.764005522,3
2020年1月第3週,Gunma,3.24702333,3
2020年1月第3週,Ibaragi,-2.489891712,3
2020年1月第3週,Tochigi,-7.064713977,3
2020年1月第3週,Nagano,-2.137822013,3
2020年1月第3週,Shizuoka,-3.819798083,3
2020年1月第4週,Yamanashi,-0.678182298,4
2020年1月第4週,Gunma,5.975943258,4
2020年1月第4週,Ibaragi,2.734368236,4
2020年1月第4週,Tochigi,-1.229192488,4
2020年1月第4週,Nagano,5.504448502,4
2020年1月第4週,Shizuoka,2.639338169,4
2020年1月第5週,Yamanashi,-5.805434574,5
2020年1月第5週,Gunma,-0.304457168,5
2020年1月第5週,Ibaragi,3.523025133,5
2020年1月第5週,Tochigi,-5.22926598,5
2020年1月第5週,Nagano,-0.136266513,5
2020年1月第5週,Shizuoka,-0.348095979,5
2020年2月第1週,Yamanashi,-10.026661504,6
2020年2月第1週,Gunma,-3.823966337,6
2020年2月第1週,Ibaragi,3.832124188,6
2020年2月第1週,Tochigi,-2.769067925,6
2020年2月第1週,Nagano,-9.119350405,6
2020年2月第1週,Shizuoka,-4.231370774,6
2020年2月第2週,Yamanashi,4.696892037,7
2020年2月第2週,Gunma,9.101489814,7
2020年2月第2週,Ibaragi,11.736586186,7
2020年2月第2週,Tochigi,3.19429184,7
2020年2月第2週,Nagano,3.564069554,7
2020年2月第2週,Shizuoka,5.332259787,7
2020年2月第3週,Yamanashi,6.983863844,8
2020年2月第3週,Gunma,5.77219484,8
2020年2月第3週,Ibaragi,1.841845583,8
2020年2月第3週,Tochigi,-4.873975068,8
2020年2月第3週,Nagano,-0.019396793,8
2020年2月第3週,Shizuoka,-0.516870306,8
2020年2月第4週,Yamanashi,-7.433359436,9
2020年2月第4週,Gunma,-4.975000252,9
2020年2月第4週,Ibaragi,-13.647868622,9
2020年2月第4週,Tochigi,-19.638723169,9
2020年2月第4週,Nagano,-13.18145172,9
2020年2月第4週,Shizuoka,-14.309897591,9
2020年3月第1週,Yamanashi,-18.755143092,10
2020年3月第1週,Gunma,-14.032365705,10
2020年3月第1週,Ibaragi,-16.83485623,10
2020年3月第1週,Tochigi,-20.959512319,10
2020年3月第1週,Nagano,-20.69764469,10
2020年3月第1週,Shizuoka,-20.202320147,10
2020年3月第2週,Yamanashi,-21.184163823,11
2020年3月第2週,Gunma,-11.154707983,11
2020年3月第2週,Ibaragi,-12.518455238,11
2020年3月第2週,Tochigi,-12.383466178,11
2020年3月第2週,Nagano,-15.760494748,11
2020年3月第2週,Shizuoka,-12.810196284,11
2020年3月第3週,Yamanashi,-5.008611094,12
2020年3月第3週,Gunma,-10.310476406,12
2020年3月第3週,Ibaragi,-7.859119142,12
2020年3月第3週,Tochigi,-9.949683759,12
2020年3月第3週,Nagano,-13.840748185,12
2020年3月第3週,Shizuoka,-5.77022105,12
2020年3月第4週,Yamanashi,-30.556088102,13
2020年3月第4週,Gunma,-25.591598408,13
2020年3月第4週,Ibaragi,-27.148713761,13
2020年3月第4週,Tochigi,-28.373487537,13
2020年3月第4週,Nagano,-26.646892233,13
2020年3月第4週,Shizuoka,-24.541077,13
2020年4月第1週,Yamanashi,-55.898318043,14
2020年4月第1週,Gunma,-42.117304121,14
2020年4月第1週,Ibaragi,-46.069045606,14
2020年4月第1週,Tochigi,-46.487184788,14
2020年4月第1週,Nagano,-47.310457048,14
2020年4月第1週,Shizuoka,-48.804023544,14
2020年4月第2週,Yamanashi,-64.865534955,15
2020年4月第2週,Gunma,-51.334424251,15
2020年4月第2週,Ibaragi,-56.897899034,15
2020年4月第2週,Tochigi,-56.065627399,15
2020年4月第2週,Nagano,-62.076990444,15
2020年4月第2週,Shizuoka,-60.500410488,15
2020年4月第3週,Yamanashi,-61.920026038,16
2020年4月第3週,Gunma,-51.671223912,16
2020年4月第3週,Ibaragi,-57.331941193,16
2020年4月第3週,Tochigi,-55.801757461,16
2020年4月第3週,Nagano,-63.544607369,16
2020年4月第3週,Shizuoka,-60.559319678,16
2020年4月第4週,Yamanashi,-75.463393364,17
2020年4月第4週,Gunma,-57.138147517,17
2020年4月第4週,Ibaragi,-63.67527041,17
2020年4月第4週,Tochigi,-65.854847593,17
2020年4月第4週,Nagano,-71.853063039,17
2020年4月第4週,Shizuoka,-68.699868284,17
2020年4月第5週,Yamanashi,-85.300651297,18
2020年4月第5週,Gunma,-68.972456938,18
2020年4月第5週,Ibaragi,-73.00153027,18
2020年4月第5週,Tochigi,-76.752142074,18
2020年4月第5週,Nagano,-81.927852605,18
2020年4月第5週,Shizuoka,-79.975602105,18
2020年5月第1週,Yamanashi,-61.918842449,19
2020年5月第1週,Gunma,-38.010588816,19
2020年5月第1週,Ibaragi,-43.714683661,19
2020年5月第1週,Tochigi,-46.429485823,19
2020年5月第1週,Nagano,-55.939701053,19
2020年5月第1週,Shizuoka,-51.681470428,19
2020年5月第2週,Yamanashi,-66.157092603,20
2020年5月第2週,Gunma,-46.841973053,20
2020年5月第2週,Ibaragi,-50.205577033,20
2020年5月第2週,Tochigi,-51.308010928,20
2020年5月第2週,Nagano,-59.430113144,20
2020年5月第2週,Shizuoka,-57.158920998,20
2020年5月第3週,Yamanashi,-58.548025202,21
2020年5月第3週,Gunma,-27.554114968,21
2020年5月第3週,Ibaragi,-37.451944105,21
2020年5月第3週,Tochigi,-42.363879479,21
2020年5月第3週,Nagano,-52.137173621,21
2020年5月第3週,Shizuoka,-47.672054756,21
2020年5月第4週,Yamanashi,-52.301211352,22
2020年5月第4週,Gunma,-31.196058209,22
2020年5月第4週,Ibaragi,-31.333202275,22
2020年5月第4週,Tochigi,-36.321306948,22
2020年5月第4週,Nagano,-45.468652978,22
2020年5月第4週,Shizuoka,-41.118349422,22
2020年6月第1週,Yamanashi,-47.224102406,23
2020年6月第1週,Gunma,-29.135090964,23
2020年6月第1週,Ibaragi,-23.639699112,23
2020年6月第1週,Tochigi,-32.049953246,23
2020年6月第1週,Nagano,-38.977741876,23
2020年6月第1週,Shizuoka,-32.225219361,23
2020年6月第2週,Yamanashi,-39.612825631,24
2020年6月第2週,Gunma,-23.914655412,24
2020年6月第2週,Ibaragi,-19.864053879,24
2020年6月第2週,Tochigi,-25.673836963,24
2020年6月第2週,Nagano,-29.165500063,24
2020年6月第2週,Shizuoka,-26.416474554,24
2020年6月第3週,Yamanashi,-22.876750232,25
2020年6月第3週,Gunma,-18.605838366,25
2020年6月第3週,Ibaragi,-9.965806399,25
2020年6月第3週,Tochigi,-17.1703232,25
2020年6月第3週,Nagano,-17.622708894,25
2020年6月第3週,Shizuoka,-13.856658805,25
