week,week_JP,weeknum,pref,newcase_day,newdeath_day,emergency,GZnew,cumGZ,newcaseday14,resview,in_city,in_pref,out_pref
2020-01-13,2020年1月第3週,3,Gunma,0,0,0,0,0,0,3.24702333,-1.90661631,-1.094252431,12.373607638
2020-01-13,2020年1月第3週,3,Ibaraki,0,0,0,0,0,0,-2.489891712,-2.033044431,0.063597851,11.818820867
2020-01-13,2020年1月第3週,3,Nagano,0,0,0,0,0,0,-2.137822013,-2.707943741,-1.424666483,4.215343109
2020-01-13,2020年1月第3週,3,Shizuoka,0,0,0,0,0,0,-3.819798083,-2.233952493,1.522140106,12.775233795
2020-01-13,2020年1月第3週,3,Tochigi,0,0,0,0,0,0,-7.064713977,-1.105543919,-2.31393814,8.210048584
2020-01-13,2020年1月第3週,3,Yamanashi,0,0,0,0,0,0,-6.764005522,-2.422890782,-2.457260001,7.603616863
2020-01-20,2020年1月第4週,4,Gunma,0,0,0,0,0,0,5.975943258,-2.517189848,1.324276391,12.938769123
2020-01-20,2020年1月第4週,4,Ibaraki,0,0,0,0,0,0,2.734368236,-2.194517861,0.415116751,9.885945244
2020-01-20,2020年1月第4週,4,Nagano,0,0,0,0,0,0,5.504448502,-3.055282064,0.72012406,3.069890287
2020-01-20,2020年1月第4週,4,Shizuoka,0,0,0,0,0,0,2.639338169,-1.719628141,0.196065183,10.986246133
2020-01-20,2020年1月第4週,4,Tochigi,0,0,0,0,0,0,-1.229192488,-1.359978496,-0.104626627,7.203837031
2020-01-20,2020年1月第4週,4,Yamanashi,0,0,0,0,0,0,-0.678182298,-3.627933802,-0.766221475,6.312064131
2020-01-27,2020年1月第5週,5,Gunma,0,0,0,0,0,0,-0.304457168,-1.864979489,0.792914312,13.054321132
2020-01-27,2020年1月第5週,5,Ibaraki,0,0,0,0,0,0,3.523025133,-1.532332185,0.566505166,9.498613906
2020-01-27,2020年1月第5週,5,Nagano,0,0,0,0,0,0,-0.136266513,-2.41147868,-1.283563927,4.0511705
2020-01-27,2020年1月第5週,5,Shizuoka,0,0,0,0,0,0,-0.348095979,-1.561925242,1.586095287,12.772915052
2020-01-27,2020年1月第5週,5,Tochigi,0,0,0,0,0,0,-5.22926598,-1.221453634,-1.273781422,6.132263398
2020-01-27,2020年1月第5週,5,Yamanashi,0,0,0,0,0,0,-5.805434574,-1.802709241,-3.130702504,7.309811561
2020-02-03,2020年2月第1週,6,Gunma,0,0,0,0,0,0,-3.823966337,0.618423366,-1.171588019,-8.659837196
2020-02-03,2020年2月第1週,6,Ibaraki,0,0,0,0,0,0,3.832124188,-0.260246966,2.309492826,-3.093950834
2020-02-03,2020年2月第1週,6,Nagano,0,0,0,0,0,0,-9.119350405,1.404795066,-2.516698099,-14.793108783
2020-02-03,2020年2月第1週,6,Shizuoka,0,0,0,0,0,0,-4.231370774,0.586686129,1.315456939,-12.477386239
2020-02-03,2020年2月第1週,6,Tochigi,0,0,0,0,0,0,-2.769067925,0.81888779,0.073789837,-8.161335619
2020-02-03,2020年2月第1週,6,Yamanashi,0,0,0,0,0,0,-10.026661504,0.931750448,-2.103237637,-6.363874632
2020-02-10,2020年2月第2週,7,Gunma,0,0,0,0,0,0,9.101489814,1.077369572,-0.269290055,-7.876314141
2020-02-10,2020年2月第2週,7,Ibaraki,0,0,0,0,0,0,11.736586186,0.346036865,-0.680514782,-9.781212844
2020-02-10,2020年2月第2週,7,Nagano,0,0,0,0,0,0,3.564069554,1.736820471,-4.193513805,-10.880022521
2020-02-10,2020年2月第2週,7,Shizuoka,0,0,0,0,0,0,5.332259787,1.339534056,-2.024183424,-5.950712906
2020-02-10,2020年2月第2週,7,Tochigi,0,0,0,0,0,0,3.19429184,1.840962964,-3.37396244,-8.867775867
2020-02-10,2020年2月第2週,7,Yamanashi,0,0,0,0,0,0,4.696892037,0.528107033,-1.331027586,-8.25039658
2020-02-17,2020年2月第3週,8,Gunma,0,0,0,0,0,0,5.77219484,1.036128169,-1.7539475,2.68927099
2020-02-17,2020年2月第3週,8,Ibaraki,0,0,0,0,0,0,1.841845583,0.687470107,-1.696672177,-5.034142746
2020-02-17,2020年2月第3週,8,Nagano,0,0,0,0,0,0,-0.019396793,1.310081744,-2.599509672,11.285018564
2020-02-17,2020年2月第3週,8,Shizuoka,0,0,0,0,0,0,-0.516870306,0.328520316,0.689101781,5.102008693
2020-02-17,2020年2月第3週,8,Tochigi,1,0,0,0,0,1,-4.873975068,1.831568039,-3.944337103,-0.569780475
2020-02-17,2020年2月第3週,8,Yamanashi,0,0,0,0,0,0,6.983863844,1.378723311,-3.178600985,16.012208646
2020-02-24,2020年2月第4週,9,Gunma,0,0,0,0,0,0,-4.975000252,3.197936859,-9.628916456,-4.461833362
2020-02-24,2020年2月第4週,9,Ibaraki,0,0,0,0,0,0,-13.647868622,3.527168298,-8.298390447,-11.941147081
2020-02-24,2020年2月第4週,9,Nagano,2,0,0,0,0,2,-13.18145172,3.260774924,-10.669610796,-6.223707747
2020-02-24,2020年2月第4週,9,Shizuoka,1,0,0,0,0,1,-14.309897591,2.692567595,-6.943666647,-11.740805258
2020-02-24,2020年2月第4週,9,Tochigi,0,0,0,0,0,0,-19.638723169,3.682947504,-11.678480718,-9.59913147
2020-02-24,2020年2月第4週,9,Yamanashi,0,0,0,0,0,0,-7.433359436,3.546485796,-9.724171287,-3.632889072
2020-03-02,2020年3月第1週,10,Gunma,1,0,0,0,0,1,-14.032365705,3.093124421,-6.08083853,-10.297432241
2020-03-02,2020年3月第1週,10,Ibaraki,0,0,0,0,0,0,-16.83485623,3.533758284,-5.086876765,-14.423630884
2020-03-02,2020年3月第1週,10,Nagano,1,0,0,0,0,1,-20.69764469,3.211845978,-6.600707714,-20.851468078
2020-03-02,2020年3月第1週,10,Shizuoka,0,0,0,0,0,0,-20.202320147,3.559198732,-6.516634635,-21.545681183
2020-03-02,2020年3月第1週,10,Tochigi,1,0,0,0,0,1,-20.959512319,3.653169494,-7.983554223,-17.992833289
2020-03-02,2020年3月第1週,10,Yamanashi,2,0,0,0,0,2,-18.755143092,3.894696641,-7.3187638,-21.148887291
2020-03-09,2020年3月第2週,11,Gunma,4,0,0,0,0,5,-11.154707983,4.029185656,-7.720844054,-14.230508144
2020-03-09,2020年3月第2週,11,Ibaraki,0,0,0,0,0,0,-12.518455238,3.942082176,-5.675694043,-15.671266485
2020-03-09,2020年3月第2週,11,Nagano,1,0,0,0,0,1,-15.760494748,3.675255624,-4.762616682,-22.621520961
2020-03-09,2020年3月第2週,11,Shizuoka,2,0,0,0,0,2,-12.810196284,4.023875794,-7.426317453,-23.911544843
