X.1,X,週,week,weeknum,pref,newcaseday,newcaset.1,newcaset.2,cumcases,newdeath,emergency,GZnew,cumGZ,mobility,resview,in_city,in_pref,out_pref,week_dummy,pref_dummy,population,avg_temp,rain,sum_pop,agrgt_potecovid_lag1,agrgt_potecovid_lag2,susceptable,avg_temp_q,rain_q,noftests,noftestst.1,noftestst.2,pred_covid,pred_covid2,sales,customers,lsales,lcustomers,sales_per,customers_per,cumGZHotel,cumGZTransition,cumGZWinery,cumGZShuzou,cumGZFood,cumGZFoodHotel,rand,linear_rand,linear_rand_ymns,dummy_school_closure,dummy_gathering_restriction,Night-time self-restraint rate,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
Gunma-2020-01-13,1,202001_W3,2020-01-13,3,Gunma,0,0,0,0,0,0,0,0,1965575,3.24702333,-1.90661631,-1.094252431,12.37360764,D_3,D_Gunma,1942000,6.18571428571429,0.0714285714285714,1965557,0,0.00682857745859251,1942000,38.2630612244898,0.00510204081632653,0,0,0,1.12677254319457,1.1586449055556,76499445,22017,18.1527940438685,9.99957016121317,764994.45,220.17,0,0,0,0,0,0,0,0,0,NA,NA,0.029523428571428572,-0.01968885714285714,1.2100000000000008e-4,-0.008681285714285714,-0.0023144285714285706,-0.010368285714285715,-0.004331714285714286,-0.011551999999999998,-0.02228242857142857,0.0028227142857142856,-0.001034142857142857,-0.007862714285714285,-0.001543714285714286,0.0016781428571428576,-0.001975285714285714
Gunma-2020-01-20,7,202001_W4,2020-01-20,4,Gunma,0,0,0,0,0,0,0,0,1967451,5.975943258,-2.517189848,1.324276391,12.93876912,D_4,D_Gunma,1942000,6.08571428571429,0.0714285714285714,1967418,0.00414617809625795,0.00651466197447836,1942000,37.0359183673469,0.00510204081632653,0,0,0,1.11123165380906,1.15134328368425,76950287,22076,18.1586701479368,10.0022463245594,769502.87,220.76,0,0,0,0,0,0,0,0,0,NA,NA,-0.018535142857142858,-0.014177571428571428,0.006128000000000001,0.008558142857142856,-0.0030840000000000004,0.008366285714285715,-0.004935428571428571,-0.014226714285714285,-0.01646914285714286,-0.004703285714285714,0.003722571428571429,-0.0037595714285714285,-0.008626714285714286,-0.024793142857142857,-0.035073571428571426
Gunma-2020-01-27,13,202001_W5,2020-01-27,5,Gunma,0,0,0,0,0,0,0,0,1968631,-0.304457168,-1.864979489,0.792914312,13.05432113,D_5,D_Gunma,1942000,6.67857142857143,7.46428571428571,1968597,0.00621141353768622,0.00544717310424011,1942000,44.6033163265306,55.7155612244898,0,0,0,1.10986795579619,1.07080431615661,76588105,21410,18.1539523354462,9.97161338158373,765881.05,214.1,0,0,0,0,0,0,0,0,0,0,0,0.057670285714285716,0.023553571428571427,0.02633385714285714,0.02170657142857143,0.020744142857142857,0.028602285714285712,0.023520857142857142,0.04155542857142857,0.022141,0.02435657142857143,0.020675714285714283,0.013921857142857142,0.020234571428571428,0.028815857142857147,0.050810999999999995
Gunma-2020-02-03,19,202002_W1,2020-02-03,6,Gunma,0,0,0,0,0,0,0,0,1967210,-3.823966337,0.618423366,-1.171588019,-8.659837196,D_6,D_Gunma,1942000,3.84285714285714,0,1967183,0.00530952295717696,0.0283951418094126,1942000,14.7675510204082,0,0,0,0,1.13973584262643,1.25215807561523,67348104,19850,18.0253853089767,9.89595928611534,673481.04,198.5,0,0,0,0,0,0,0,0,0,0,0,0.13407842857142857,0.01872757142857143,0.026214142857142856,0.010617428571428573,0.019683142857142857,0.023258,0.016301857142857142,0.017579,0.06444142857142857,0.022157,0.02451257142857143,0.022947,0.012909285714285713,0.02314557142857143,0.016005142857142857
Gunma-2020-02-10,25,202002_W2,2020-02-10,7,Gunma,0,0,0,0,0,0,0,0,1973663,9.101489814,1.077369572,-0.269290055,-7.876314141,D_7,D_Gunma,1942000,8.27857142857143,0.214285714285714,1973630,0.0312064980112013,0.0889024903687509,1942000,68.5347448979592,0.0459183673469388,0,0,180,1.25999536720045,1.48795449656382,79254605,23127,18.188176076289,10.0487560451274,792546.05,231.27,0,0,0,0,0,0,0,0,0,0,0,0.09460771428571428,0.18168614285714285,0.0015194285714285717,-7.170000000000008e-4,0.026129857142857142,0.029307285714285716,0.002494285714285715,-7.141428571428568e-4,0.17807271428571428,0.021705428571428573,0.02463914285714286,0.046490857142857146,0.02924957142857143,0.016321142857142857,0.008197142857142856
Gunma-2020-02-17,31,202002_W3,2020-02-17,8,Gunma,0,0,1,0,0,0,0,0,1982511,5.77219484,1.036128169,-1.7539475,2.68927099,D_8,D_Gunma,1942000,8.21428571428571,0.0357142857142857,1982478,0.0953494182298374,0.115063787996209,1942000,67.4744897959184,0.00127551020408163,0,180,0,1.42436695421358,1.61390891261658,79053259,22879,18.1856323478414,10.0379747382449,790532.59,228.79,0,0,0,0,0,0,0,0,0,0,0,0.08168057142857144,0.20963014285714285,0.020403571428571427,0.020651714285714284,0.04234585714285714,0.042562142857142854,0.01352857142857143,-9.424285714285705e-4,0.19668114285714286,0.044644142857142854,0.030003285714285715,0.054078857142857144,0.03820671428571429,0.028182142857142857,0.005801714285714285
Gunma-2020-02-24,37,202002_W4,2020-02-24,9,Gunma,0,1,4,0,0,0,0,0,1980798,-4.975000252,3.197936859,-9.628916456,-4.461833362,D_9,D_Gunma,1942000,7.95714285714286,0.678571428571429,1980774,0.125090206616557,1.1694508083235,1942000,63.3161224489796,0.460459183673469,180,0,495,1.49062980919092,1.81711391736038,71454203,20411,18.0845672849628,9.92382925019404,714542.03,204.11,0,0,0,0,0,0,0,0,0,0,0,0.16141142857142857,0.21232071428571428,0.046553,0.022591571428571426,0.05526871428571429,0.039515,0.03644971428571429,0.06381857142857143,0.23103814285714286,0.06987728571428571,0.057406428571428574,0.07844014285714286,0.05885014285714286,0.07086657142857143,0.059593714285714285
Gunma-2020-03-02,43,202003_W1,2020-03-02,10,Gunma,1,4,6,1,0,0,0,0,1975290,-14.03236571,3.093124421,-6.08083853,-10.29743224,D_10,D_Gunma,1942000,7.86428571428571,0.178571428571429,1975256,1.15839818075777,5.17390227263634,1941999,61.8469897959184,0.0318877551020408,0,495,355,1.8666610568745,3.81145302790814,55986480,17429,17.8406207909794,9.76589076452168,559864.8,174.29,0,0,0,0,0,0,0,0,0,1,0,0.26705028571428574,0.472461,0.07341157142857142,0.047085857142857145,0.106002,0.09005742857142857,0.08127757142857144,0.15281557142857144,0.4683514285714286,0.09978557142857143,0.10446342857142857,0.15063957142857143,0.10123928571428571,0.13607342857142857,0.19546714285714287
Gunma-2020-03-09,49,202003_W2,2020-03-09,11,Gunma,4,6,7,5,0,0,0,0,1974409,-11.15470798,4.029185656,-7.720844054,-14.23050814,D_11,D_Gunma,1942000,10.7,3.46428571428571,1974374,5.14628342148758,10.0677578835058,1941995,114.49,12.0012755102041,495,355,1310,3.56913727533858,11.6430478331838,60936225,18367,17.9253383834265,9.81831085512854,609362.25,183.67,0,0,0,0,0,0,0,0,0,1,0,0.26571614285714285,0.5037145714285715,0.07804857142857143,0.050059285714285716,0.11553314285714286,0.093945,0.08906557142857142,0.156551,0.48200257142857145,0.10262442857142857,0.11029042857142857,0.1657662857142857,0.11584685714285714,0.13580285714285714,0.19886428571428572
Gunma-2020-03-16,55,202003_W3,2020-03-16,12,Gunma,6,7,8,11,1,0,0,0,1986592,-10.31047641,3.427004143,-6.861378013,-7.884035265,D_12,D_Gunma,1942000,10.7928571428571,0,1986549,10.0519737724436,13.5519365209932,1941989,116.485765306122,0,355,1310,4460,11.5903790435529,17.5618706737193,65499441,20263,17.9975521662179,9.91655184186533,654994.41,202.63,0,0,0,0,0,0,0,0,0,1,0,0.232225,0.4431131428571428,0.04379585714285714,0.03493314285714286,0.08518457142857143,0.06719028571428572,0.07531128571428572,0.12975685714285715,0.410157,0.09546742857142856,0.0873152857142857,0.12861842857142858,0.08796785714285714,0.11915357142857143,0.15098671428571428
