"date","pref","Sales","customers","Rt","Ymns","Rt.lag7","Rt.lag14"
2019-01-01,"北海道",11401881,4786,NA,0,NA,NA
2019-01-01,"青森県",1649468,612,NA,0,NA,NA
2019-01-01,"岩手県",1566061,913,NA,0,NA,NA
2019-01-01,"宮城県",2562431,691,NA,0,NA,NA
2019-01-01,"秋田県",583151,300,NA,0,NA,NA
2019-01-01,"山形県",979412,387,NA,0,NA,NA
2019-01-01,"福島県",653810,340,NA,0,NA,NA
2019-01-01,"茨城県",4096112,1755,NA,0,NA,NA
2019-01-01,"栃木県",3737941,2445,NA,0,NA,NA
2019-01-01,"群馬県",1867625,505,NA,0,NA,NA
2019-01-01,"埼玉県",7354057,3220,NA,0,NA,NA
2019-01-01,"千葉県",13615530,4560,NA,0,NA,NA
2019-01-01,"東京都",33590566,13520,NA,0,NA,NA
2019-01-01,"神奈川県",15694147,6825,NA,0,NA,NA
2019-01-01,"新潟県",1462381,440,NA,0,NA,NA
2019-01-01,"山梨県",1532857,679,NA,1,NA,NA
2019-01-01,"長野県",3065271,1965,NA,0,NA,NA
2019-01-01,"富山県",1286467,981,NA,0,NA,NA
2019-01-01,"石川県",1578596,598,NA,0,NA,NA
2019-01-01,"福井県",504496,416,NA,0,NA,NA
2019-01-01,"岐阜県",3584407,1896,NA,0,NA,NA
2019-01-01,"静岡県",6632194,3151,NA,0,NA,NA
2019-01-01,"愛知県",9518620,4370,NA,0,NA,NA
2019-01-01,"三重県",666129,297,NA,0,NA,NA
2019-01-01,"滋賀県",1011261,382,NA,0,NA,NA
2019-01-01,"京都府",13241985,4797,NA,0,NA,NA
2019-01-01,"大阪府",18438515,10000,NA,0,NA,NA
2019-01-01,"兵庫県",7176114,4521,NA,0,NA,NA
2019-01-01,"奈良県",1096874,398,NA,0,NA,NA
2019-01-01,"和歌山県",1307429,629,NA,0,NA,NA
2019-01-01,"鳥取県",457818,216,NA,0,NA,NA
2019-01-01,"島根県",528097,166,NA,0,NA,NA
2019-01-01,"岡山県",2795584,1571,NA,0,NA,NA
2019-01-01,"広島県",6251981,4334,NA,0,NA,NA
2019-01-01,"山口県",2944971,1092,NA,0,NA,NA
2019-01-01,"徳島県",277132,356,NA,0,NA,NA
2019-01-01,"香川県",2583651,1590,NA,0,NA,NA
2019-01-01,"愛媛県",2373049,1740,NA,0,NA,NA
2019-01-01,"高知県",182740,65,NA,0,NA,NA
2019-01-01,"福岡県",9270026,3870,NA,0,NA,NA
2019-01-01,"佐賀県",427314,388,NA,0,NA,NA
2019-01-01,"長崎県",2081686,979,NA,0,NA,NA
2019-01-01,"熊本県",1697532,881,NA,0,NA,NA
2019-01-01,"大分県",707178,260,NA,0,NA,NA
2019-01-01,"宮崎県",945055,243,NA,0,NA,NA
2019-01-01,"鹿児島県",3880925,1452,NA,0,NA,NA
2019-01-01,"沖縄県",14487779,4965,NA,0,NA,NA
2019-01-02,"北海道",34357212,14871,NA,0,NA,NA
