date,pref,NSHR,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
2020-01-01,三重県,0.973334,0.704887,0.73502,0.669176,0.636696,0.660738,0.629555,0.574578,0.550576,0.571939,0.517293,0.560745,0.594316,0.533104,0.55272
2020-01-01,京都府,0.937752,0.818118,0.748342,0.65708,0.647963,0.684647,0.654801,0.599034,0.718036,0.659844,0.577785,0.615098,0.625185,0.557534,0.596574
2020-01-01,佐賀県,0.990838,0.747103,0.726258,0.613235,0.651189,0.633986,0.641234,0.540285,0.595412,0.702823,0.608421,0.628699,0.640784,0.568591,0.615072
2020-01-01,兵庫県,0.977922,0.695814,0.747392,0.668844,0.645844,0.668517,0.658434,0.613235,0.614471,0.653326,0.587918,0.601534,0.610011,0.568442,0.582928
2020-01-01,北海道,0.787322,0.636722,0.637925,0.583345,0.610474,0.650269,0.657147,0.637615,0.552369,0.540758,0.523878,0.574922,0.59476,0.58282,0.617209
2020-01-01,千葉県,0.931086,0.684809,0.706557,0.641708,0.659114,0.687591,0.653216,0.606405,0.619928,0.605328,0.547187,0.582796,0.602543,0.545468,0.549523
2020-01-01,和歌山県,0.928182,0.609868,0.678145,0.562289,0.584319,0.60133,0.550687,0.558051,0.530474,0.534682,0.514512,0.54107,0.518153,0.524494,0.520206
2020-01-01,埼玉県,0.973577,0.715871,0.741502,0.669839,0.673268,0.698443,0.672107,0.596924,0.663771,0.665895,0.57923500000000006,0.604098,0.630108,0.55446,0.53757
2020-01-01,大分県,0.71368,0.607884,0.5945,0.562324,0.570467,0.588304,0.597072,0.552534,0.520484,0.478294,0.465019,0.488514,0.522183,0.503178,0.5574
2020-01-01,大阪府,0.97652,0.780667,0.775911,0.68051,0.672434,0.692575,0.666163,0.617511,0.707558,0.698362,0.61637,0.636224,0.657369,0.581023,0.593898
2020-01-01,奈良県,1.05457,0.819315,0.796264,0.690372,0.674758,0.697343,0.677404,0.597122,0.748542,0.695838,0.626215,0.640202,0.643397,0.566761,0.572495
2020-01-01,宮城県,0.819765,0.6686,0.690843,0.61445,0.61904,0.663583,0.62361,0.60461,0.639369,0.633101,0.545957,0.592088,0.629055,0.548377,0.593849
2020-01-01,宮崎県,0.771203,0.520901,0.606671,0.534331,0.51932,0.559817,0.582989,0.533321,0.338729,0.507112,0.440166,0.493416,0.509079,0.506568,0.524214
2020-01-01,富山県,0.871369,0.713112,0.718329,0.646158,0.646218,0.648184,0.664354,0.604462,0.627496,0.633379,0.568026,0.612752,0.63077,0.617852,0.587972
2020-01-01,山口県,0.868405,0.685269,0.668975,0.569617,0.596233,0.614297,0.602266,0.55719,0.583877,0.52736,0.509052,0.556475,0.566162,0.521073,0.513986
2020-01-01,山形県,0.857515,0.691861,0.586771,0.517778,0.558069,0.593661,0.550831,0.453708,0.578587,0.49958,0.431638,0.480281,0.519007,0.461163,0.460523
2020-01-01,山梨県,0.645416,0.63184,0.663187,0.572871,0.556057,0.617656,0.570784,0.542944,0.648097,0.539496,0.492992,0.525568,0.550976,0.50898,0.454776
2020-01-01,岐阜県,0.920584,0.701823,0.687418,0.598762,0.606292,0.638914,0.623151,0.551954,0.602444,0.599421,0.531363,0.578794,0.587403,0.544269,0.557591
2020-01-01,岡山県,0.812277,0.716151,0.691226,0.593526,0.613422,0.638699,0.617646,0.554333,0.62959,0.585532,0.513295,0.581458,0.590879,0.536488,0.502872
2020-01-01,岩手県,0.830439,0.64098,0.574269,0.510392,0.554516,0.600059,0.586307,0.579667,0.458609,0.454829,0.480637,0.552237,0.559416,0.533852,0.558775
2020-01-01,島根県,0.900306,0.708187,0.604658,0.574868,0.600807,0.654615,0.653044,0.656116,0.575934,0.518775,0.562208,0.603396,0.648026,0.55674,0.62708
2020-01-01,広島県,0.914457,0.60725,0.695305,0.631199,0.633602,0.658403,0.651314,0.600927,0.541195,0.542147,0.530397,0.563632,0.602867,0.563863,0.595265
2020-01-01,徳島県,0.744572,0.665182,0.56748,0.510571,0.535896,0.598348,0.547508,0.474536,0.481695,0.513377,0.406602,0.513789,0.540982,0.477716,0.42081
2020-01-01,愛媛県,0.797698,0.643466,0.640965,0.52489,0.559981,0.592175,0.569696,0.565188,0.473369,0.476569,0.471347,0.528791,0.536431,0.514429,0.52956
2020-01-01,愛知県,0.865265,0.735179,0.727545,0.673139,0.643477,0.669712,0.624861,0.570149,0.658838,0.628475,0.540239,0.569081,0.580111,0.525103,0.517793
