pref,week_JP,in_city,in_pref,out_pref,weeknum
Yamanashi,2020年1月第1週,-0.168373814,-7.810716954,5.259046747,1
Yamanashi,2020年1月第2週,-2.453649778,-5.374092558,10.694331466,2
Yamanashi,2020年1月第3週,-2.422890782,-2.457260001,7.603616863,3
Yamanashi,2020年1月第4週,-3.627933802,-0.766221475,6.312064131,4
Yamanashi,2020年1月第5週,-1.802709241,-3.130702504,7.309811561,5
Yamanashi,2020年2月第1週,0.931750448,-2.103237637,-6.363874632,6
Yamanashi,2020年2月第2週,0.528107033,-1.331027586,-8.25039658,7
Yamanashi,2020年2月第3週,1.378723311,-3.178600985,16.012208646,8
Yamanashi,2020年2月第4週,3.546485796,-9.724171287,-3.632889072,9
Yamanashi,2020年3月第1週,3.894696641,-7.3187638,-21.148887291,10
Yamanashi,2020年3月第2週,5.225883907,-8.924800702,-19.662793939,11
Yamanashi,2020年3月第3週,3.502589899,-5.949927243,-2.296158036,12
Yamanashi,2020年3月第4週,5.639782692,-9.445623204,-33.168818199,13
Yamanashi,2020年4月第1週,4.624065923,-9.673836492,-34.786024526,14
Yamanashi,2020年4月第2週,8.746732103,-17.89514947,-54.723492039,15
Yamanashi,2020年4月第3週,9.583856815,-19.147072276,-56.37251549,16
Yamanashi,2020年4月第4週,11.879466247,-23.390384452,-68.033248312,17
Yamanashi,2020年4月第5週,17.396114266,-14.959982854,-91.273761942,18
Yamanashi,2020年5月第1週,21.199059206,-46.707597194,-83.640858863,19
Yamanashi,2020年5月第2週,13.518396506,-17.862060397,-65.21992027,20
Yamanashi,2020年5月第3週,12.561120897,-13.971922237,-64.345867322,21
Yamanashi,2020年5月第4週,10.545762763,-10.969834324,-58.985838271,22
Yamanashi,2020年6月第1週,15.598531687,-26.29562908,-78.496162969,23
Yamanashi,2020年6月第2週,15.15431448,-25.386401737,-71.550952076,24
Yamanashi,2020年6月第3週,7.502494057,-8.681050461,-36.453378357,25
Yamanashi,2020年6月第4週,7.572418153,-9.606913074,-25.692181217,26
Yamanashi,2020年7月第1週,4.400515749,-9.239524838,-36.509153208,27
Yamanashi,2020年7月第2週,7.302675934,-10.989223807,-51.684596541,28
Yamanashi,2020年7月第3週,4.707412336,-2.961442075,-46.524023212,29
Yamanashi,2020年7月第4週,7.165073951,-16.455129581,-11.548749516,30
Yamanashi,2020年7月第5週,5.628480345,-5.994129928,-52.307178997,31
Yamanashi,2020年8月第1週,6.003931799,-3.984337048,-41.578277571,32
Yamanashi,2020年8月第2週,6.848601351,-4.328390526,-38.565830278,33
Yamanashi,2020年8月第3週,5.212771199,-7.972464608,-32.926172421,34
Yamanashi,2020年8月第4週,3.882468526,-7.239660379,-38.869355493,35
Yamanashi,2020年9月第1週,4.360944175,-4.187250781,-36.463860069,36
Yamanashi,2020年9月第2週,6.260136878,-4.863405498,-41.039263272,37
Yamanashi,2020年9月第3週,3.395762079,1.711956941,-12.852003344,38
Yamanashi,2020年9月第4週,4.713547732,-9.188205406,16.604016371,39
Yamanashi,2020年10月第1週,2.248008721,-2.23805764,-10.083248116,40
Yamanashi,2020年10月第2週,2.364894903,0.249472761,1.550742013,41
Yamanashi,2020年10月第3週,2.628937064,0.796139886,19.248658888,42
Yamanashi,2020年10月第4週,2.871861697,4.267000112,6.323348383,43
Yamanashi,2020年10月第5週,3.568706027,-2.393551786,-11.046896002,44
Yamanashi,2020年11月第1週,2.578962594,-2.510846507,-9.868323232,45
Yamanashi,2020年11月第2週,2.138403715,-2.046739264,-3.82586527,46
Yamanashi,2020年11月第3週,2.186354421,-1.568410843,11.607262466,47
Yamanashi,2020年11月第4週,3.792628102,-6.176640832,11.239000994,48
Yamanashi,2020年12月第1週,2.830117607,-3.016770104,-0.209258455,49
Yamanashi,2020年12月第2週,3.838965021,-5.112199075,-9.43581458,50
Yamanashi,2020年12月第3週,3.561855227,-4.495356924,-9.537838884,51
Yamanashi,2020年12月第4週,3.58989271,-1.6912796939999999,-31.124705898,52
Yamanashi,2020年12月第5週,6.306528735,1.004990746,-42.804182404,53
Yamanashi,2021年1月第1週,4.418265667,19.309236212,-71.749305489,54
Yamanashi,2021年1月第2週,7.703988357,-13.140347291,-40.281932709,55
Yamanashi,2021年1月第3週,5.942909893,-3.638058477,-49.185584391,56
Yamanashi,2021年1月第4週,6.404228697,-5.82045448,-43.570804941,57
Yamanashi,2021年2月第1週,5.207795498,-5.563168808,-34.466572398,58
Yamanashi,2021年2月第2週,6.359963441,-9.860106003,-35.205392672,59
Yamanashi,2021年2月第3週,4.53235361,-3.191928856,-35.878086902,60
Yamanashi,2021年2月第4週,7.037318878,-10.531688847,-33.391499524,61
Yamanashi,2021年3月第1週,4.876005265,-4.970535618,-30.506732269,62
Yamanashi,2021年3月第2週,4.138088944,-3.603988878,-30.524868028,63
Yamanashi,2021年3月第3週,4.704758633,-5.03993995,-19.698674243,64
Yamanashi,2021年3月第4週,3.639459602,-1.101030324,-18.097768507,65
Yamanashi,2021年4月第1週,5.054349775,-5.588400793,-15.245733219,66
Yamanashi,2021年4月第2週,2.408396146,-3.725422143,-16.387620255,67
Yamanashi,2021年4月第3週,2.961629111,-3.27141528,-27.751980804,68
Yamanashi,2021年4月第4週,4.087830531,-2.49658079,-22.386428937,69
Yamanashi,2021年4月第5週,6.759836588,-9.665613849,-15.484056047,70
Yamanashi,2021年5月第1週,9.21114233,6.895338165,-61.206488872,71
Yamanashi,2021年5月第2週,4.61056102,2.228228772,-34.473886596,72
Yamanashi,2021年5月第3週,7.814256263,-3.842229639,-38.286993703,73
Yamanashi,2021年5月第4週,7.486114889,-1.866552098,-35.308042542,74
Yamanashi,2021年6月第1週,8.275329162,-5.048570264,-34.605329169,75
Yamanashi,2021年6月第2週,6.935769051,-6.050325119,-34.034800538,76
Yamanashi,2021年6月第3週,7.294368876,-6.716191201,-37.851753614,77
Yamanashi,2021年6月第4週,7.2983208490000004,-6.145635495,-35.5933444,78
Yamanashi,2021年7月第1週,8.43498444,-10.850549564,-41.274941397,79
Yamanashi,2021年7月第2週,3.924560262,-4.187435981,-16.208464866,80
Yamanashi,2021年7月第3週,5.17669173,-4.809265574,-28.886741494,81
Yamanashi,2021年7月第4週,3.192011107,-6.580702576,28.882211275,82
Yamanashi,2021年7月第5週,3.38428697,-4.535130203,-26.40284166,83
Yamanashi,2021年8月第1週,5.132190895,-5.716614892,-28.695284223,84
Yamanashi,2021年8月第2週,9.335268518,-21.355435678,-23.176125492,85
Yamanashi,2021年8月第3週,5.577433214,7.649627097,-67.129431212,86
Yamanashi,2021年8月第4週,5.452139269,-8.444056248,-43.634311933,87
Yamanashi,2021年9月第1週,4.886062178,-9.355574873,-50.759465527,88
Yamanashi,2021年9月第2週,5.134189193,-8.339320433,-36.346727733,89
Yamanashi,2021年9月第3週,5.096973716,-4.278109518,-36.691964075,90
Yamanashi,2021年9月第4週,5.236855407,-6.922766027,-19.224066828,91
Yamanashi,2021年9月第5週,3.115253633,0.287734281,-31.934272293,92
Yamanashi,2021年10月第1週,2.070895218,-2.992048947,-3.505625218,93
Gunma,2020年1月第1週,-0.172361947,-5.751037358,5.387472271,1
Gunma,2020年1月第2週,-2.283516082,-1.776444742,14.573337267,2
Gunma,2020年1月第3週,-1.90661631,-1.094252431,12.373607638,3
Gunma,2020年1月第4週,-2.517189848,1.324276391,12.938769123,4
Gunma,2020年1月第5週,-1.864979489,0.792914312,13.054321132,5
Gunma,2020年2月第1週,0.618423366,-1.171588019,-8.659837196,6
Gunma,2020年2月第2週,1.077369572,-0.269290055,-7.876314141,7
Gunma,2020年2月第3週,1.036128169,-1.7539475,2.68927099,8
Gunma,2020年2月第4週,3.197936859,-9.628916456,-4.461833362,9
Gunma,2020年3月第1週,3.093124421,-6.08083853,-10.297432241,10
Gunma,2020年3月第2週,4.029185656,-7.720844054,-14.230508144,11
Gunma,2020年3月第3週,3.427004143,-6.861378013,-7.884035265,12
Gunma,2020年3月第4週,5.098988792,-8.48702043,-21.748077012,13
Gunma,2020年4月第1週,4.58486905,-8.881063043,-20.550720883,14
Gunma,2020年4月第2週,7.632840934,-15.237954564,-37.611880327,15
Gunma,2020年4月第3週,9.527919257,-20.365418755,-36.336088247,16
Gunma,2020年4月第4週,11.386308892,-23.300201409,-49.820541438,17
Gunma,2020年4月第5週,16.00837289,-10.44253387,-80.613290939,18
Gunma,2020年5月第1週,17.189948697,-46.83174017,-72.925975592,19
Gunma,2020年5月第2週,10.424106304,-18.664702037,-51.158910094,20
